build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
56b076f-bsan,cpufeatures-0.3.0,success,8.224,6.146,3,3,2026-07-24T15:43:50Z,1976595
56b076f-bsan,android_system_properties-0.1.5,success,14.501,2.061,4,4,2026-07-24T15:43:53Z,1976597
56b076f-bsan,core-foundation-sys-0.8.7,success,15.079,1.886,1,1,2026-07-24T15:43:54Z,1976569
56b076f-bsan,base16ct-1.0.0,success,12.618,5.643,11,11,2026-07-24T15:43:58Z,1976605
56b076f-bsan,block-buffer-0.12.0,success,13.409,6.454,11,11,2026-07-24T15:44:00Z,1976604
56b076f-bsan,clap_lex-1.1.0,success,15.162,10.037,18,17,2026-07-24T15:44:06Z,1976603
56b076f-bsan,async-lock-3.4.2,test_failed,47.474,2.514,2,0,2026-07-24T15:44:35Z,1976587
56b076f-bsan,anstyle-query-1.1.5,success,34.354,2.464,3,3,2026-07-24T15:44:38Z,1976577
56b076f-bsan,camino-1.2.2,success,31.842,25.666,85,85,2026-07-24T15:44:39Z,1976585
56b076f-bsan,anstyle-1.0.14,success,56.370,10.491,42,42,2026-07-24T15:44:52Z,1976600
56b076f-bsan,bytemuck-1.25.0,success,47.429,11.245,43,41,2026-07-24T15:44:58Z,1976590
56b076f-bsan,allocator-api2-0.4.0,success,11.127,77.160,167,167,2026-07-24T15:45:05Z,1976593
56b076f-bsan,dirs-sys-0.5.0,success,12.244,1.703,9,9,2026-07-24T15:45:21Z,1976616
56b076f-bsan,data-encoding-2.11.0,success,19.067,14.823,43,42,2026-07-24T15:45:31Z,1976614
56b076f-bsan,cc-1.2.63,success,65.529,9.325,45,43,2026-07-24T15:45:30Z,1976583
56b076f-bsan,combine-4.6.7,build_failed,115.822,0.000,0,0,2026-07-24T15:45:46Z,1976568
56b076f-bsan,csv-1.4.0,test_failed,105.193,2.565,141,0,2026-07-24T15:46:01Z,1976612
56b076f-bsan,bit-set-0.10.0,success,44.411,17.872,47,47,2026-07-24T15:45:43Z,1976573
56b076f-bsan,dashmap-6.2.1,build_failed,0.159,0.000,0,0,2026-07-24T15:46:03Z,1976613
56b076f-bsan,anstream-1.0.0,build_failed,13.326,0.000,0,0,2026-07-24T15:45:55Z,1976582
56b076f-bsan,async-stream-0.3.6,build_failed,170.772,0.000,0,0,2026-07-24T15:46:40Z,1976601
56b076f-bsan,dirs-sys-next-0.1.2,success,23.312,2.317,9,9,2026-07-24T15:46:41Z,1976617
56b076f-bsan,colored-3.1.1,test_failed,111.263,94.992,128,19,2026-07-24T15:47:21Z,1976570
56b076f-bsan,const-oid-0.10.2,success,128.723,57.511,29,29,2026-07-24T15:47:26Z,1976589
56b076f-bsan,byteorder-1.5.0,success,39.809,207.550,802,802,2026-07-24T15:47:48Z,1976599
56b076f-bsan,der-0.8.0,success,118.011,35.965,100,99,2026-07-24T15:47:55Z,1976615
56b076f-bsan,ansi_term-0.12.1,success,87.278,46.504,105,105,2026-07-24T15:48:30Z,1976581
56b076f-bsan,base64ct-1.8.3,success,76.873,300.296,52,52,2026-07-24T15:49:56Z,1976586
56b076f-bsan,crc32fast-1.5.0,success,60.822,302.953,8,8,2026-07-24T15:50:04Z,1976572
56b076f-bsan,bincode-2.0.1,success,289.692,183.087,86,83,2026-07-24T15:51:40Z,1976591
56b076f-bsan,atomic-waker-1.1.2,success,227.625,7.519,3,3,2026-07-24T15:52:41Z,1976578
56b076f-bsan,either-1.16.0,success,16.130,20.543,65,65,2026-07-24T15:54:19Z,1976659
56b076f-bsan,errno-0.3.14,success,11.708,2.107,5,5,2026-07-24T15:55:00Z,1976662
56b076f-bsan,bumpalo-3.20.3,success,270.912,27.459,52,49,2026-07-24T15:54:06Z,1976579
56b076f-bsan,bindgen-0.72.1,success,495.024,44.251,47,30,2026-07-24T15:55:18Z,1976574
56b076f-bsan,event-listener-5.4.1,test_failed,161.336,3.933,11,2,2026-07-24T15:59:01Z,1976663
56b076f-bsan,foreign-types-0.5.0,success,38.383,4.232,5,5,2026-07-24T15:59:56Z,1976669
56b076f-bsan,form_urlencoded-1.2.2,success,3.740,2.106,1,1,2026-07-24T16:00:10Z,1976671
56b076f-bsan,futures-channel-0.3.32,build_failed,3.287,0.000,0,0,2026-07-24T16:00:36Z,1976672
56b076f-bsan,alloc-stdlib-0.2.2,success,1042.756,3.505,11,11,2026-07-24T16:01:02Z,1976596
56b076f-bsan,futures-task-0.3.32,test_failed,10.583,1.949,3,1,2026-07-24T16:03:39Z,1976678
56b076f-bsan,event-listener-strategy-0.5.4,test_failed,28.065,11.817,5,3,2026-07-24T16:02:07Z,1976664
56b076f-bsan,fixedbitset-0.5.7,success,25.852,464.917,69,69,2026-07-24T16:03:51Z,1976665
56b076f-bsan,foldhash-0.2.0,success,211.759,8.610,4,4,2026-07-24T16:03:42Z,1976668
56b076f-bsan,alloc-no-stdlib-2.0.4,success,1235.437,3.960,9,9,2026-07-24T16:04:16Z,1976592
56b076f-bsan,getrandom-0.4.2,test_failed,20.397,3.494,9,0,2026-07-24T16:05:17Z,1976686
56b076f-bsan,erased-serde-0.4.10,success,267.660,433.346,31,31,2026-07-24T16:06:51Z,1976661
56b076f-bsan,futures-util-0.3.32,test_failed,97.185,64.817,156,2,2026-07-24T16:07:53Z,1976679
56b076f-bsan,generic-array-1.4.2,success,219.838,14.676,39,35,2026-07-24T16:08:20Z,1976681
56b076f-bsan,constant_time_eq-0.5.0,success,240.702,1012.624,18,18,2026-07-24T16:08:17Z,1976575
56b076f-bsan,generic-array-1.4.3,success,233.080,15.388,39,35,2026-07-24T16:10:12Z,1976682
56b076f-bsan,hashlink-0.11.0,success,29.986,9.461,66,66,2026-07-24T16:11:04Z,1976707
56b076f-bsan,http-body-1.0.1,success,39.071,4.179,2,2,2026-07-24T16:12:01Z,1976712
56b076f-bsan,half-2.7.1,success,253.034,25.928,98,98,2026-07-24T16:12:36Z,1976691
56b076f-bsan,io-lifetimes-3.0.1,success,4.826,1.544,9,7,2026-07-24T16:15:06Z,1976719
56b076f-bsan,inout-0.2.2,success,16.334,3.013,1,1,2026-07-24T16:15:08Z,1976718
56b076f-bsan,hyper-1.10.1,test_failed,167.467,4.225,10,8,2026-07-24T16:15:24Z,1976714
56b076f-bsan,is-terminal-0.4.17,success,14.054,1.840,9,9,2026-07-24T16:15:51Z,1976721
56b076f-bsan,itoa-1.0.18,success,138.953,2.862,13,13,2026-07-24T16:18:41Z,1976724
56b076f-bsan,libc-0.2.186,success,9.040,2.217,6,6,2026-07-24T16:18:58Z,1976727
56b076f-bsan,lazycell-1.3.0,success,8.114,2.480,29,29,2026-07-24T16:18:58Z,1976726
56b076f-bsan,lock_api-0.4.14,success,6.594,1.876,1,1,2026-07-24T16:19:37Z,1976729
56b076f-bsan,linked-hash-map-0.5.6,success,18.799,19.972,45,45,2026-07-24T16:19:53Z,1976728
56b076f-bsan,log-0.4.30,success,43.948,10.498,59,58,2026-07-24T16:20:19Z,1976730
56b076f-bsan,lru-0.18.0,success,17.869,156.054,95,95,2026-07-24T16:23:17Z,1976734
56b076f-bsan,gimli-0.33.0,success,294.637,1021.878,554,554,2026-07-24T16:27:17Z,1976689
56b076f-bsan,minimal-lexical-0.2.1,success,37.597,21.102,42,42,2026-07-24T16:29:24Z,1976749
56b076f-bsan,matchers-0.2.0,success,52.508,489.500,21,21,2026-07-24T16:31:02Z,1976737
56b076f-bsan,mio-1.2.1,success,20.103,2.527,21,5,2026-07-24T16:32:25Z,1976754
56b076f-bsan,matchit-0.9.2,build_failed,355.468,0.000,0,0,2026-07-24T16:35:13Z,1976746
56b076f-bsan,crossbeam-utils-0.8.21,success,45.999,3145.009,221,221,2026-07-24T16:37:20Z,1976610
56b076f-bsan,once_cell-1.21.4,test_failed,91.726,7.150,75,5,2026-07-24T16:38:05Z,1976762
56b076f-bsan,object-0.39.1,test_failed,98.064,3.686,19,13,2026-07-24T16:39:05Z,1976763
56b076f-bsan,pem-rfc7468-1.0.0,success,27.914,12.510,16,15,2026-07-24T16:40:21Z,1976777
56b076f-bsan,percent-encoding-2.3.2,success,10.166,3.720,24,24,2026-07-24T16:40:27Z,1976778
56b076f-bsan,os_str_bytes-7.2.0,success,30.929,30.171,67,67,2026-07-24T16:41:39Z,1976768
56b076f-bsan,pin-project-1.1.13,build_failed,23.222,0.000,0,0,2026-07-24T16:42:52Z,1976782
56b076f-bsan,pin-project-lite-0.2.17,build_failed,15.837,0.000,0,0,2026-07-24T16:43:33Z,1976786
56b076f-bsan,powerfmt-0.2.0,success,37.788,3.749,5,5,2026-07-24T16:44:11Z,1976788
56b076f-bsan,ppv-lite86-0.2.21,success,11.389,1.287,10,2,2026-07-24T16:44:15Z,1976791
56b076f-bsan,proc-macro2-1.0.106,test_failed,53.848,8.506,76,71,2026-07-24T16:45:33Z,1976794
56b076f-bsan,ordered-float-5.3.0,success,47.935,26.147,78,78,2026-07-24T16:43:56Z,1976764
56b076f-bsan,predicates-3.1.4,test_failed,72.506,25.636,67,66,2026-07-24T16:46:04Z,1976792
56b076f-bsan,radium-1.1.1,success,4.611,1.819,11,11,2026-07-24T16:48:10Z,1976803
56b076f-bsan,quinn-udp-0.6.1,test_failed,162.114,4.536,11,3,2026-07-24T16:48:38Z,1976795
56b076f-bsan,redox_syscall-0.8.0,success,11.514,1.422,1,1,2026-07-24T16:48:54Z,1976876
56b076f-bsan,r-efi-6.0.0,success,5.493,1.776,8,6,2026-07-24T16:49:12Z,1976881
56b076f-bsan,regex-automata-0.4.14,build_failed,140.706,0.000,0,0,2026-07-24T16:51:54Z,1976886
56b076f-bsan,rustversion-1.0.22,success,89.633,117.653,8,8,2026-07-24T16:53:36Z,1976892
