build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
56b076f-bsan,anstyle-1.0.14,success,37.106,9.696,42,42,2026-07-24T17:22:22Z,1977032
56b076f-bsan,camino-1.2.2,success,26.836,25.402,85,85,2026-07-24T17:22:31Z,1977027
56b076f-bsan,base16ct-1.0.0,success,15.136,7.683,11,11,2026-07-24T17:23:40Z,1977036
56b076f-bsan,block-buffer-0.12.0,success,26.929,7.276,11,11,2026-07-24T17:23:54Z,1977038
56b076f-bsan,anstyle-query-1.1.5,success,4.649,1.202,3,3,2026-07-24T17:24:05Z,1977041
56b076f-bsan,async-stream-0.3.6,build_failed,146.188,0.000,0,0,2026-07-24T17:24:08Z,1977028
56b076f-bsan,async-lock-3.4.2,test_failed,37.018,2.151,2,0,2026-07-24T17:25:13Z,1977045
56b076f-bsan,allocator-api2-0.4.0,success,4.603,77.964,167,167,2026-07-24T17:25:47Z,1977043
56b076f-bsan,ansi_term-0.12.1,success,65.780,33.607,105,105,2026-07-24T17:26:30Z,1977039
56b076f-bsan,bit-set-0.10.0,success,56.906,14.565,47,47,2026-07-24T17:27:23Z,1977052
56b076f-bsan,bytemuck-1.25.0,success,17.998,12.719,43,41,2026-07-24T17:27:31Z,1977053
56b076f-bsan,core-foundation-sys-0.8.7,success,3.481,1.225,1,1,2026-07-24T17:27:39Z,1977054
56b076f-bsan,bumpalo-3.20.3,success,185.525,19.973,52,49,2026-07-24T17:28:07Z,1977046
56b076f-bsan,clap_lex-1.1.0,success,11.641,9.963,18,17,2026-07-24T17:28:47Z,1977057
56b076f-bsan,atomic-waker-1.1.2,success,161.107,3.264,3,3,2026-07-24T17:29:00Z,1977051
56b076f-bsan,const-oid-0.10.2,success,122.242,70.539,29,29,2026-07-24T17:29:04Z,1977049
56b076f-bsan,byteorder-1.5.0,success,65.626,265.300,802,802,2026-07-24T17:29:02Z,1977037
56b076f-bsan,android_system_properties-0.1.5,success,6.052,2.030,4,4,2026-07-24T17:29:08Z,1977059
56b076f-bsan,cpufeatures-0.3.0,success,5.303,7.243,3,3,2026-07-24T17:29:37Z,1977061
56b076f-bsan,bindgen-0.72.1,success,451.779,17.564,47,30,2026-07-24T17:29:36Z,1977029
56b076f-bsan,anstream-1.0.0,build_failed,17.282,0.000,0,0,2026-07-24T17:30:06Z,1977064
56b076f-bsan,cc-1.2.63,success,36.883,8.408,45,43,2026-07-24T17:30:19Z,1977060
56b076f-bsan,crc32fast-1.5.0,success,25.898,294.679,8,8,2026-07-24T17:31:05Z,1977050
56b076f-bsan,dashmap-6.2.1,build_failed,0.075,0.000,0,0,2026-07-24T17:31:36Z,1977115
56b076f-bsan,combine-4.6.7,build_failed,170.648,0.000,0,0,2026-07-24T17:31:02Z,1977047
56b076f-bsan,bincode-2.0.1,success,266.126,178.194,86,83,2026-07-24T17:32:02Z,1977044
56b076f-bsan,data-encoding-2.11.0,success,10.111,14.260,43,42,2026-07-24T17:32:25Z,1977116
56b076f-bsan,dirs-sys-next-0.1.2,success,11.470,1.414,9,9,2026-07-24T17:32:54Z,1977122
56b076f-bsan,csv-1.4.0,test_failed,146.192,2.172,141,0,2026-07-24T17:33:01Z,1977114
56b076f-bsan,colored-3.1.1,test_failed,107.362,99.146,128,19,2026-07-24T17:33:11Z,1977063
56b076f-bsan,dirs-sys-0.5.0,success,20.805,1.683,9,9,2026-07-24T17:33:14Z,1977121
