build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
56b076f-bsan,anstyle-query-1.1.5,success,5.254,1.291,3,3,2026-07-24T19:00:45Z,1977711
56b076f-bsan,android_system_properties-0.1.5,success,6.540,2.151,4,4,2026-07-24T19:00:45Z,1977717
56b076f-bsan,bytemuck-1.25.0,success,15.911,12.344,43,41,2026-07-24T19:01:05Z,1977714
56b076f-bsan,anstream-1.0.0,build_failed,13.573,0.000,0,0,2026-07-24T19:01:07Z,1977719
56b076f-bsan,anstyle-1.0.14,success,35.640,8.706,42,42,2026-07-24T19:01:26Z,1977724
56b076f-bsan,async-lock-3.4.2,test_failed,38.771,2.651,2,0,2026-07-24T19:01:27Z,1977709
56b076f-bsan,core-foundation-sys-0.8.7,success,10.438,1.597,1,1,2026-07-24T19:01:50Z,1977731
56b076f-bsan,block-buffer-0.12.0,success,10.001,6.576,11,11,2026-07-24T19:01:53Z,1977736
56b076f-bsan,base16ct-1.0.0,success,10.956,5.182,11,11,2026-07-24T19:01:54Z,1977732
56b076f-bsan,clap_lex-1.1.0,success,20.342,9.281,18,17,2026-07-24T19:02:08Z,1977735
56b076f-bsan,allocator-api2-0.4.0,success,11.461,82.458,167,167,2026-07-24T19:02:12Z,1977720
56b076f-bsan,cc-1.2.63,success,32.033,8.725,45,43,2026-07-24T19:02:55Z,1977738
56b076f-bsan,combine-4.6.7,build_failed,109.554,0.000,0,0,2026-07-24T19:02:52Z,1977716
56b076f-bsan,async-stream-0.3.6,build_failed,128.651,0.000,0,0,2026-07-24T19:02:55Z,1977715
56b076f-bsan,camino-1.2.2,success,27.984,25.990,85,85,2026-07-24T19:03:07Z,1977739
56b076f-bsan,cpufeatures-0.3.0,success,4.114,6.350,3,3,2026-07-24T19:03:17Z,1977742
56b076f-bsan,bit-set-0.10.0,success,27.330,15.871,47,47,2026-07-24T19:03:23Z,1977741
56b076f-bsan,ansi_term-0.12.1,success,45.391,32.225,105,105,2026-07-24T19:03:31Z,1977737
56b076f-bsan,const-oid-0.10.2,success,120.058,62.778,29,29,2026-07-24T19:03:46Z,1977710
56b076f-bsan,bumpalo-3.20.3,success,179.429,18.889,52,49,2026-07-24T19:04:12Z,1977721
56b076f-bsan,crc32fast-1.5.0,success,33.010,199.823,8,8,2026-07-24T19:04:31Z,1977725
56b076f-bsan,dashmap-6.2.1,build_failed,0.221,0.000,0,0,2026-07-24T19:04:46Z,1977750
56b076f-bsan,dirs-sys-0.5.0,success,12.249,1.620,9,9,2026-07-24T19:04:54Z,1977753
56b076f-bsan,data-encoding-2.11.0,success,10.034,13.657,43,42,2026-07-24T19:05:00Z,1977751
56b076f-bsan,dirs-sys-next-0.1.2,success,11.445,1.687,9,9,2026-07-24T19:05:02Z,1977754
56b076f-bsan,colored-3.1.1,test_failed,113.765,109.878,128,19,2026-07-24T19:05:10Z,1977728
56b076f-bsan,csv-1.4.0,test_failed,102.653,2.131,141,0,2026-07-24T19:05:22Z,1977748
56b076f-bsan,byteorder-1.5.0,success,45.936,230.883,802,802,2026-07-24T19:05:45Z,1977730
56b076f-bsan,either-1.16.0,success,17.119,21.465,65,65,2026-07-24T19:05:47Z,1977757
56b076f-bsan,errno-0.3.14,success,6.933,1.980,5,5,2026-07-24T19:05:48Z,1977760
56b076f-bsan,atomic-waker-1.1.2,success,207.600,5.424,3,3,2026-07-24T19:06:12Z,1977708
56b076f-bsan,event-listener-strategy-0.5.4,test_failed,10.870,10.206,5,3,2026-07-24T19:06:47Z,1977763
56b076f-bsan,der-0.8.0,success,93.832,33.816,100,99,2026-07-24T19:06:55Z,1977752
56b076f-bsan,bincode-2.0.1,success,218.854,153.677,86,83,2026-07-24T19:07:03Z,1977726
56b076f-bsan,futures-channel-0.3.32,build_failed,2.774,0.000,0,0,2026-07-24T19:07:10Z,1977772
56b076f-bsan,form_urlencoded-1.2.2,success,2.756,1.593,1,1,2026-07-24T19:07:12Z,1977770
56b076f-bsan,futures-task-0.3.32,test_failed,5.408,1.553,3,1,2026-07-24T19:07:44Z,1977773
56b076f-bsan,bindgen-0.72.1,success,390.823,17.861,47,30,2026-07-24T19:07:41Z,1977713
56b076f-bsan,foreign-types-0.5.0,success,21.514,4.142,5,5,2026-07-24T19:07:45Z,1977769
56b076f-bsan,getrandom-0.4.2,test_failed,10.096,3.778,9,0,2026-07-24T19:08:32Z,1977777
56b076f-bsan,foldhash-0.2.0,success,159.665,3.677,4,4,2026-07-24T19:09:04Z,1977768
56b076f-bsan,futures-util-0.3.32,test_failed,64.413,16.745,156,2,2026-07-24T19:09:11Z,1977774
56b076f-bsan,base64ct-1.8.3,success,68.946,350.024,52,52,2026-07-24T19:09:38Z,1977740
56b076f-bsan,hashlink-0.11.0,success,28.915,9.918,66,66,2026-07-24T19:10:18Z,1977781
