build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
5ac3991-bsan,anstyle-query-1.1.5,success,7.379,2.675,3,3,2026-07-09T22:18:59Z,1933744
5ac3991-bsan,base16ct-1.0.0,success,14.913,5.864,10,10,2026-07-09T22:19:04Z,1933759
5ac3991-bsan,clap_lex-1.1.0,success,18.276,2.544,0,0,2026-07-09T22:19:04Z,1933754
5ac3991-bsan,core-foundation-sys-0.8.7,success,3.299,2.538,1,1,2026-07-09T22:19:18Z,1933765
5ac3991-bsan,anstream-1.0.0,build_failed,20.056,0.000,0,0,2026-07-09T22:19:21Z,1933756
5ac3991-bsan,camino-1.2.2,success,24.775,11.590,5,5,2026-07-09T22:19:25Z,1933750
5ac3991-bsan,cc-1.2.63,success,22.550,11.211,17,15,2026-07-09T22:19:25Z,1933748
5ac3991-bsan,cpufeatures-0.3.0,success,19.037,9.867,2,2,2026-07-09T22:19:44Z,1933769
5ac3991-bsan,anstyle-1.0.14,success,50.496,3.369,8,8,2026-07-09T22:19:44Z,1933762
5ac3991-bsan,bytemuck-1.25.0,success,30.660,28.510,32,32,2026-07-09T22:19:46Z,1933740
5ac3991-bsan,async-lock-3.4.2,test_failed,49.527,5.240,2,0,2026-07-09T22:19:47Z,1933742
5ac3991-bsan,bit-set-0.10.0,success,37.619,17.776,24,24,2026-07-09T22:19:54Z,1933745
5ac3991-bsan,allocator-api2-0.4.0,success,25.518,2.870,0,0,2026-07-09T22:20:13Z,1933771
5ac3991-bsan,android_system_properties-0.1.5,success,27.597,3.399,0,0,2026-07-09T22:20:15Z,1933768
5ac3991-bsan,block-buffer-0.12.0,success,47.458,6.443,8,8,2026-07-09T22:20:22Z,1933767
5ac3991-bsan,data-encoding-2.11.0,success,8.028,2.860,0,0,2026-07-09T22:20:27Z,1933781
5ac3991-bsan,ansi_term-0.12.1,success,57.451,42.725,58,58,2026-07-09T22:20:30Z,1933741
5ac3991-bsan,errno-0.3.14,success,10.854,2.933,4,4,2026-07-09T22:20:57Z,1933790
5ac3991-bsan,dashmap-6.2.1,build_failed,0.125,0.000,0,0,2026-07-09T22:20:43Z,1933780
5ac3991-bsan,either-1.16.0,success,16.702,3.264,7,7,2026-07-09T22:21:04Z,1933787
5ac3991-bsan,async-stream-0.3.6,build_failed,137.966,0.000,0,0,2026-07-09T22:21:10Z,1933757
5ac3991-bsan,csv-1.4.0,test_failed,58.393,6.789,141,0,2026-07-09T22:21:15Z,1933779
5ac3991-bsan,foreign-types-0.5.0,success,13.992,4.946,0,0,2026-07-09T22:21:33Z,1933795
5ac3991-bsan,dirs-sys-0.5.0,success,11.297,5.830,9,9,2026-07-09T22:21:21Z,1933783
5ac3991-bsan,futures-channel-0.3.32,build_failed,3.290,0.000,0,0,2026-07-09T22:21:46Z,1933797
5ac3991-bsan,futures-task-0.3.32,success,4.462,2.704,1,1,2026-07-09T22:21:49Z,1933798
5ac3991-bsan,form_urlencoded-1.2.2,success,4.499,2.685,0,0,2026-07-09T22:22:00Z,1933796
5ac3991-bsan,bumpalo-3.20.3,success,186.961,3.151,5,5,2026-07-09T22:22:07Z,1933743
5ac3991-bsan,colored-3.1.1,test_failed,110.410,64.663,128,19,2026-07-09T22:22:18Z,1933747
5ac3991-bsan,getrandom-0.4.2,test_failed,12.552,8.654,9,0,2026-07-09T22:22:46Z,1933803
5ac3991-bsan,const-oid-0.10.2,success,116.164,136.812,27,27,2026-07-09T22:23:03Z,1933753
5ac3991-bsan,atomic-waker-1.1.2,success,175.735,34.621,1,1,2026-07-09T22:23:01Z,1933772
5ac3991-bsan,event-listener-5.4.1,test_failed,123.062,7.862,11,2,2026-07-09T22:23:12Z,1933791
5ac3991-bsan,dirs-sys-next-0.1.2,success,11.562,5.670,9,9,2026-07-09T22:22:53Z,1933784
5ac3991-bsan,event-listener-strategy-0.5.4,success,11.827,6.126,2,2,2026-07-09T22:23:25Z,1933792
5ac3991-bsan,der-0.8.0,success,136.830,49.090,78,78,2026-07-09T22:23:56Z,1933782
5ac3991-bsan,http-body-1.0.1,success,13.943,5.162,2,2,2026-07-09T22:24:10Z,1933811
5ac3991-bsan,hashlink-0.11.0,success,28.472,29.268,66,66,2026-07-09T22:24:11Z,1933808
5ac3991-bsan,foldhash-0.2.0,success,180.745,3.435,0,0,2026-07-09T22:24:26Z,1933794
5ac3991-bsan,is-terminal-0.4.17,success,16.043,3.155,6,6,2026-07-09T22:25:16Z,1933818
5ac3991-bsan,inout-0.2.2,success,17.018,5.519,1,1,2026-07-09T22:25:16Z,1933815
5ac3991-bsan,io-lifetimes-3.0.1,success,9.019,3.532,0,0,2026-07-09T22:25:52Z,1933816
5ac3991-bsan,combine-4.6.7,build_failed,143.644,0.000,0,0,2026-07-09T22:25:04Z,1933734
5ac3991-bsan,generic-array-1.4.3,success,195.155,3.376,3,3,2026-07-09T22:25:59Z,1933802
5ac3991-bsan,libc-0.2.186,success,25.277,5.731,6,6,2026-07-09T22:26:52Z,1933823
5ac3991-bsan,linked-hash-map-0.5.6,success,21.765,5.529,25,25,2026-07-09T22:26:57Z,1933824
5ac3991-bsan,bindgen-0.72.1,success,410.768,28.400,28,28,2026-07-09T22:27:07Z,1933755
5ac3991-bsan,half-2.7.1,success,220.655,12.843,45,45,2026-07-09T22:27:06Z,1933805
5ac3991-bsan,lock_api-0.4.14,success,5.635,2.786,0,0,2026-07-09T22:27:34Z,1933826
5ac3991-bsan,hyper-1.10.1,success,195.737,4.525,2,2,2026-07-09T22:27:39Z,1933812
5ac3991-bsan,futures-util-0.3.32,success,103.280,6.596,1,1,2026-07-09T22:26:57Z,1933800
5ac3991-bsan,lazycell-1.3.0,success,6.573,5.608,28,28,2026-07-09T22:27:55Z,1933822
5ac3991-bsan,log-0.4.30,success,44.664,10.410,33,32,2026-07-09T22:28:11Z,1933827
5ac3991-bsan,itoa-1.0.18,success,139.224,6.037,11,11,2026-07-09T22:28:18Z,1933821
5ac3991-bsan,mio-1.2.1,success,29.434,3.114,0,0,2026-07-09T22:29:15Z,1933833
5ac3991-bsan,bincode-2.0.1,success,287.189,280.582,61,61,2026-07-09T22:29:17Z,1933763
5ac3991-bsan,nu-ansi-term-0.50.3,success,36.923,12.925,70,70,2026-07-09T22:29:45Z,1933835
5ac3991-bsan,generic-array-1.4.2,success,215.253,6.278,3,3,2026-07-09T22:29:33Z,1933801
5ac3991-bsan,minimal-lexical-0.2.1,success,39.993,52.110,38,38,2026-07-09T22:29:53Z,1933832
5ac3991-bsan,num-complex-0.4.6,success,20.500,13.131,92,92,2026-07-09T22:29:58Z,1933836
