build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
8b9ce3c-bsan,anstyle-query-1.1.5,success,9.976,0.875,3,3,2026-07-28T18:46:26Z,1991342
8b9ce3c-bsan,core-foundation-sys-0.8.7,success,10.882,0.988,1,1,2026-07-28T18:46:26Z,1991354
8b9ce3c-bsan,dashmap-6.2.1,build_failed,0.072,0.000,0,0,2026-07-28T18:46:26Z,1991339
8b9ce3c-bsan,errno-0.3.14,success,14.205,0.860,4,4,2026-07-28T18:46:32Z,1991367
8b9ce3c-bsan,cpufeatures-0.3.0,success,13.943,3.385,2,2,2026-07-28T18:46:36Z,1991353
8b9ce3c-bsan,block-buffer-0.12.0,success,25.209,1.890,8,8,2026-07-28T18:46:38Z,1991358
8b9ce3c-bsan,base16ct-1.0.0,success,24.909,2.211,10,10,2026-07-28T18:46:45Z,1991340
8b9ce3c-bsan,anstyle-1.0.14,success,34.113,1.214,8,8,2026-07-28T18:46:54Z,1991368
8b9ce3c-bsan,dirs-sys-0.5.0,success,26.654,1.304,9,9,2026-07-28T18:46:57Z,1991369
8b9ce3c-bsan,cc-1.2.63,success,29.020,6.264,15,15,2026-07-28T18:47:06Z,1991347
8b9ce3c-bsan,csv-1.4.0,test_failed,54.555,2.171,141,0,2026-07-28T18:47:10Z,1991361
8b9ce3c-bsan,arrayvec-0.7.6,success,40.127,5.970,50,50,2026-07-28T18:47:11Z,1991355
8b9ce3c-bsan,bytemuck-1.25.0,success,22.113,8.517,32,32,2026-07-28T18:47:20Z,1991373
8b9ce3c-bsan,byteorder-1.5.0,success,57.474,11.103,290,290,2026-07-28T18:47:23Z,1991346
8b9ce3c-bsan,anstream-1.0.0,build_failed,26.493,0.000,0,0,2026-07-28T18:47:18Z,1991344
8b9ce3c-bsan,bit-set-0.10.0,success,52.146,6.545,24,24,2026-07-28T18:47:32Z,1991363
8b9ce3c-bsan,camino-1.2.2,success,46.843,3.128,5,5,2026-07-28T18:47:42Z,1991371
8b9ce3c-bsan,futures-task-0.3.32,success,5.410,1.366,1,1,2026-07-28T18:47:59Z,1991383
8b9ce3c-bsan,dirs-sys-next-0.1.2,success,10.771,1.494,9,9,2026-07-28T18:48:26Z,1991381
8b9ce3c-bsan,inout-0.2.2,success,34.827,2.072,1,1,2026-07-28T18:48:36Z,1991395
8b9ce3c-bsan,libc-0.2.186,success,8.626,1.724,6,6,2026-07-28T18:49:00Z,1991404
8b9ce3c-bsan,is-terminal-0.4.17,success,39.641,1.312,6,6,2026-07-28T18:49:05Z,1991398
8b9ce3c-bsan,futures-util-0.3.32,success,66.625,1.108,1,1,2026-07-28T18:49:18Z,1991394
8b9ce3c-bsan,ansi_term-0.12.1,success,62.958,23.260,58,58,2026-07-28T18:49:30Z,1991377
8b9ce3c-bsan,atomic-waker-1.1.2,success,162.451,2.345,1,1,2026-07-28T18:49:40Z,1991348
8b9ce3c-bsan,bumpalo-3.20.3,success,184.491,1.142,5,5,2026-07-28T18:49:47Z,1991341
8b9ce3c-bsan,const-oid-0.10.2,success,151.863,56.749,27,27,2026-07-28T18:50:08Z,1991350
8b9ce3c-bsan,linked-hash-map-0.5.6,success,25.905,2.456,25,25,2026-07-28T18:50:00Z,1991403
8b9ce3c-bsan,lru-0.18.0,success,26.660,118.481,52,52,2026-07-28T18:50:18Z,1991392
8b9ce3c-bsan,async-lock-3.4.2,test_failed,82.148,4.101,2,0,2026-07-28T18:50:17Z,1991338
8b9ce3c-bsan,log-0.4.30,success,48.379,3.298,32,31,2026-07-28T18:50:26Z,1991411
8b9ce3c-bsan,percent-encoding-2.3.2,success,3.600,1.190,18,18,2026-07-28T18:50:37Z,1991426
8b9ce3c-bsan,num-complex-0.4.6,success,10.507,2.877,92,92,2026-07-28T18:50:48Z,1991430
8b9ce3c-bsan,minimal-lexical-0.2.1,success,38.749,21.846,38,38,2026-07-28T18:51:05Z,1991414
8b9ce3c-bsan,pem-rfc7468-1.0.0,success,7.254,6.862,15,15,2026-07-28T18:51:17Z,1991432
8b9ce3c-bsan,nu-ansi-term-0.50.3,success,26.240,3.870,70,70,2026-07-28T18:51:18Z,1991425
8b9ce3c-bsan,event-listener-5.4.1,test_failed,141.988,3.419,11,2,2026-07-28T18:51:31Z,1991393
8b9ce3c-bsan,pin-project-lite-0.2.17,build_failed,12.502,0.000,0,0,2026-07-28T18:51:48Z,1991436
8b9ce3c-bsan,itoa-1.0.18,success,132.203,1.921,11,11,2026-07-28T18:51:48Z,1991409
8b9ce3c-bsan,matchers-0.2.0,success,44.196,189.297,17,17,2026-07-28T18:52:07Z,1991402
8b9ce3c-bsan,r-efi-6.0.0,success,6.202,1.279,4,4,2026-07-28T18:52:16Z,1991439
8b9ce3c-bsan,pin-project-1.1.13,build_failed,11.300,0.000,0,0,2026-07-28T18:52:18Z,1991442
8b9ce3c-bsan,radium-1.1.1,success,4.537,1.175,9,9,2026-07-28T18:52:20Z,1991440
8b9ce3c-bsan,async-trait-0.1.89,success,249.818,3.777,4,4,2026-07-28T18:52:16Z,1991384
8b9ce3c-bsan,crc32fast-1.5.0,success,35.987,294.774,6,6,2026-07-28T18:52:27Z,1991376
8b9ce3c-bsan,object-0.39.1,test_failed,62.073,2.224,19,13,2026-07-28T18:52:39Z,1991438
8b9ce3c-bsan,scopeguard-1.2.0,success,3.705,1.466,8,8,2026-07-28T18:52:42Z,1991443
8b9ce3c-bsan,base64ct-1.8.3,success,109.942,269.189,50,50,2026-07-28T18:52:36Z,1991349
8b9ce3c-bsan,shlex-2.0.1,success,6.640,1.532,7,7,2026-07-28T18:52:44Z,1991448
8b9ce3c-bsan,hyper-1.10.1,success,150.896,1.153,2,2,2026-07-28T18:52:49Z,1991412
8b9ce3c-bsan,ppv-lite86-0.2.21,success,12.687,1.521,0,0,2026-07-28T18:52:54Z,1991444
8b9ce3c-bsan,once_cell-1.21.4,test_failed,74.188,8.229,74,5,2026-07-28T18:53:12Z,1991437
8b9ce3c-bsan,redox_syscall-0.8.0,success,5.172,0.957,1,1,2026-07-28T18:53:13Z,1991447
8b9ce3c-bsan,siphasher-1.0.3,success,5.047,1.484,13,13,2026-07-28T18:53:14Z,1991449
8b9ce3c-bsan,anyhow-1.0.102,success,298.398,19.976,71,71,2026-07-28T18:52:48Z,1991364
8b9ce3c-bsan,generic-array-1.4.3,success,161.441,1.100,3,3,2026-07-28T18:53:30Z,1991431
8b9ce3c-bsan,bincode-2.0.1,success,249.080,145.622,60,60,2026-07-28T18:53:44Z,1991374
8b9ce3c-bsan,slab-0.4.12,success,33.613,3.911,47,47,2026-07-28T18:53:45Z,1991455
8b9ce3c-bsan,serde_core-1.0.228,success,40.702,1.859,1,1,2026-07-28T18:53:51Z,1991453
8b9ce3c-bsan,ordered-float-5.3.0,success,17.542,15.113,71,71,2026-07-28T18:53:52Z,1991450
8b9ce3c-bsan,erased-serde-0.4.10,success,279.766,6.850,18,18,2026-07-28T18:53:46Z,1991396
8b9ce3c-bsan,subtle-2.6.1,success,18.617,6.328,28,28,2026-07-28T18:54:06Z,1991461
8b9ce3c-bsan,utf8_iter-1.0.4,success,3.620,1.290,2,2,2026-07-28T18:54:14Z,1991467
8b9ce3c-bsan,predicates-3.1.4,success,76.310,2.326,19,19,2026-07-28T18:54:15Z,1991446
8b9ce3c-bsan,httparse-1.10.1,success,167.900,13.430,358,358,2026-07-28T18:54:21Z,1991434
