build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
8b9ce3c-bsan,dirs-sys-0.5.0,success,7.881,1.223,9,9,2026-07-28T21:21:30Z,1992544
8b9ce3c-bsan,async-lock-3.4.2,test_failed,32.756,2.004,2,0,2026-07-28T21:21:32Z,1992542
8b9ce3c-bsan,bytemuck-1.25.0,success,13.186,9.070,32,32,2026-07-28T21:22:12Z,1992546
8b9ce3c-bsan,block-buffer-0.12.0,success,19.441,3.138,8,8,2026-07-28T21:22:51Z,1992548
8b9ce3c-bsan,errno-0.3.14,success,5.650,0.933,4,4,2026-07-28T21:22:58Z,1992550
8b9ce3c-bsan,anstyle-query-1.1.5,success,2.791,0.912,3,3,2026-07-28T21:23:25Z,1992553
8b9ce3c-bsan,bit-set-0.10.0,success,36.776,7.117,24,24,2026-07-28T21:23:48Z,1992549
8b9ce3c-bsan,ansi_term-0.12.1,success,44.104,23.900,58,58,2026-07-28T21:25:05Z,1992554
8b9ce3c-bsan,camino-1.2.2,success,22.525,2.526,5,5,2026-07-28T21:25:24Z,1992559
8b9ce3c-bsan,csv-1.4.0,test_failed,55.954,3.173,141,0,2026-07-28T21:25:27Z,1992556
8b9ce3c-bsan,base16ct-1.0.0,success,9.897,2.702,10,10,2026-07-28T21:25:35Z,1992561
8b9ce3c-bsan,atomic-waker-1.1.2,success,146.324,2.328,1,1,2026-07-28T21:26:00Z,1992552
8b9ce3c-bsan,byteorder-1.5.0,success,49.103,15.086,290,290,2026-07-28T21:27:01Z,1992563
8b9ce3c-bsan,cpufeatures-0.3.0,success,7.162,3.818,2,2,2026-07-28T21:27:09Z,1992568
8b9ce3c-bsan,anstyle-1.0.14,success,36.308,1.599,8,8,2026-07-28T21:27:08Z,1992565
8b9ce3c-bsan,anstream-1.0.0,build_failed,14.178,0.000,0,0,2026-07-28T21:28:04Z,1992570
8b9ce3c-bsan,arrayvec-0.7.6,success,30.643,7.329,50,50,2026-07-28T21:28:05Z,1992569
8b9ce3c-bsan,core-foundation-sys-0.8.7,success,5.836,1.424,1,1,2026-07-28T21:28:32Z,1992574
8b9ce3c-bsan,dashmap-6.2.1,build_failed,0.088,0.000,0,0,2026-07-28T21:28:50Z,1992573
8b9ce3c-bsan,anyhow-1.0.102,success,225.270,16.563,71,71,2026-07-28T21:28:58Z,1992560
8b9ce3c-bsan,bumpalo-3.20.3,success,176.363,1.265,5,5,2026-07-28T21:31:06Z,1992572
8b9ce3c-bsan,colored-3.1.1,test_failed,92.917,86.615,128,19,2026-07-28T21:31:43Z,1992575
8b9ce3c-bsan,combine-4.6.7,build_failed,114.647,0.000,0,0,2026-07-28T21:31:41Z,1992578
8b9ce3c-bsan,base64ct-1.8.3,success,82.985,312.206,50,50,2026-07-28T21:32:34Z,1992564
8b9ce3c-bsan,crc32fast-1.5.0,success,29.264,305.228,6,6,2026-07-28T21:33:02Z,1992571
8b9ce3c-bsan,bincode-2.0.1,success,301.971,163.630,60,60,2026-07-28T21:33:02Z,1992555
8b9ce3c-bsan,futures-task-0.3.32,success,4.778,1.248,1,1,2026-07-28T21:33:19Z,1992590
8b9ce3c-bsan,cc-1.2.63,success,44.991,6.347,15,15,2026-07-28T21:33:20Z,1992581
8b9ce3c-bsan,dirs-sys-next-0.1.2,success,27.318,1.280,9,9,2026-07-28T21:33:29Z,1992588
8b9ce3c-bsan,bit-vec-0.9.1,success,44.597,436.728,58,58,2026-07-28T21:33:22Z,1992558
8b9ce3c-bsan,const-oid-0.10.2,success,117.305,62.737,27,27,2026-07-28T21:34:06Z,1992579
8b9ce3c-bsan,hashlink-0.11.0,success,41.368,11.746,66,66,2026-07-28T21:34:39Z,1992595
8b9ce3c-bsan,either-1.16.0,success,19.372,1.505,7,7,2026-07-28T21:34:47Z,1992600
8b9ce3c-bsan,getrandom-0.4.2,test_failed,15.086,3.853,9,0,2026-07-28T21:35:24Z,1992602
8b9ce3c-bsan,http-body-1.0.1,success,14.479,2.433,2,2,2026-07-28T21:35:39Z,1992606
8b9ce3c-bsan,dyn-clone-1.0.20,success,102.543,5.086,7,7,2026-07-28T21:35:46Z,1992592
8b9ce3c-bsan,inout-0.2.2,success,8.582,2.237,1,1,2026-07-28T21:35:57Z,1992616
8b9ce3c-bsan,bindgen-0.72.1,success,439.388,6.211,28,28,2026-07-28T21:37:24Z,1992577
8b9ce3c-bsan,futures-util-0.3.32,success,65.026,1.316,1,1,2026-07-28T21:37:47Z,1992622
8b9ce3c-bsan,is-terminal-0.4.17,success,35.438,1.096,6,6,2026-07-28T21:38:03Z,1992623
8b9ce3c-bsan,libc-0.2.186,success,9.699,1.857,6,6,2026-07-28T21:38:28Z,1992627
8b9ce3c-bsan,linked-hash-map-0.5.6,success,19.694,1.804,25,25,2026-07-28T21:39:35Z,1992631
8b9ce3c-bsan,event-listener-5.4.1,test_failed,161.882,5.371,11,2,2026-07-28T21:39:50Z,1992618
8b9ce3c-bsan,lru-0.18.0,success,22.898,132.329,52,52,2026-07-28T21:40:25Z,1992625
8b9ce3c-bsan,async-trait-0.1.89,success,331.088,6.413,4,4,2026-07-28T21:40:35Z,1992591
8b9ce3c-bsan,fixedbitset-0.5.7,success,57.492,403.058,62,62,2026-07-28T21:40:42Z,1992587
8b9ce3c-bsan,log-0.4.30,success,58.323,3.333,32,31,2026-07-28T21:40:55Z,1992639
8b9ce3c-bsan,minimal-lexical-0.2.1,success,47.395,21.533,38,38,2026-07-28T21:42:35Z,1992647
8b9ce3c-bsan,matchers-0.2.0,success,50.630,215.166,17,17,2026-07-28T21:42:44Z,1992626
8b9ce3c-bsan,percent-encoding-2.3.2,success,8.305,1.862,18,18,2026-07-28T21:43:01Z,1992651
8b9ce3c-bsan,erased-serde-0.4.10,success,275.092,7.007,18,18,2026-07-28T21:42:25Z,1992617
8b9ce3c-bsan,nu-ansi-term-0.50.3,success,36.441,4.818,70,70,2026-07-28T21:43:52Z,1992650
8b9ce3c-bsan,num-complex-0.4.6,success,23.526,3.210,92,92,2026-07-28T21:44:00Z,1992652
8b9ce3c-bsan,pem-rfc7468-1.0.0,success,15.699,7.942,15,15,2026-07-28T21:44:52Z,1992656
8b9ce3c-bsan,alloc-no-stdlib-2.0.4,success,1288.481,4.359,9,9,2026-07-28T21:45:03Z,1992551
8b9ce3c-bsan,half-2.7.1,success,213.420,2.638,37,37,2026-07-28T21:45:23Z,1992648
8b9ce3c-bsan,pin-project-lite-0.2.17,build_failed,9.453,0.000,0,0,2026-07-28T21:45:37Z,1992659
8b9ce3c-bsan,hyper-1.10.1,success,219.782,3.272,2,2,2026-07-28T21:45:40Z,1992643
8b9ce3c-bsan,r-efi-6.0.0,success,10.104,1.530,4,4,2026-07-28T21:46:08Z,1992664
8b9ce3c-bsan,pin-project-1.1.13,build_failed,26.252,0.000,0,0,2026-07-28T21:46:27Z,1992666
8b9ce3c-bsan,scopeguard-1.2.0,success,8.643,1.837,8,8,2026-07-28T21:46:39Z,1992669
8b9ce3c-bsan,radium-1.1.1,success,22.233,1.784,9,9,2026-07-28T21:46:39Z,1992665
8b9ce3c-bsan,ppv-lite86-0.2.21,success,16.984,1.826,0,0,2026-07-28T21:47:27Z,1992672
8b9ce3c-bsan,once_cell-1.21.4,test_failed,91.890,15.427,74,5,2026-07-28T21:47:27Z,1992660
8b9ce3c-bsan,object-0.39.1,test_failed,90.939,3.065,19,13,2026-07-28T21:47:39Z,1992663
8b9ce3c-bsan,generic-array-1.4.3,success,242.220,1.477,3,3,2026-07-28T21:47:52Z,1992655
8b9ce3c-bsan,shlex-2.0.1,success,11.560,2.240,7,7,2026-07-28T21:48:16Z,1992678
8b9ce3c-bsan,siphasher-1.0.3,success,11.273,1.720,13,13,2026-07-28T21:48:21Z,1992692
8b9ce3c-bsan,predicates-3.1.4,success,72.606,2.123,19,19,2026-07-28T21:48:23Z,1992675
