build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
aa4e1ea-bsan,async-lock-3.4.2,test_failed,51.560,1.957,2,0,2026-07-30T16:04:16Z,1998636
aa4e1ea-bsan,anstream-1.0.0,build_failed,9.592,0.000,0,0,2026-07-30T16:04:30Z,1998639
aa4e1ea-bsan,arrayvec-0.7.6,success,22.397,5.387,50,50,2026-07-30T16:05:09Z,1998641
aa4e1ea-bsan,dirs-sys-0.5.0,success,11.014,1.692,9,9,2026-07-30T16:05:39Z,1998643
aa4e1ea-bsan,bit-vec-0.9.1,success,62.926,40.980,58,58,2026-07-30T16:05:36Z,1998640
aa4e1ea-bsan,byteorder-1.5.0,success,50.970,11.305,290,290,2026-07-30T16:07:10Z,1998645
aa4e1ea-bsan,ansi_term-0.12.1,success,63.165,33.297,58,58,2026-07-30T16:07:53Z,1998644
aa4e1ea-bsan,csv-1.4.0,test_failed,56.925,2.191,141,0,2026-07-30T16:07:59Z,1998646
aa4e1ea-bsan,bumpalo-3.20.3,success,191.799,1.292,5,5,2026-07-30T16:08:18Z,1998638
aa4e1ea-bsan,bincode-2.0.1,success,287.635,157.409,60,60,2026-07-30T16:11:02Z,1998637
aa4e1ea-bsan,anyhow-1.0.102,success,290.594,17.817,71,71,2026-07-30T16:14:17Z,1998651
aa4e1ea-bsan,base64ct-1.8.3,success,97.015,259.528,50,50,2026-07-30T16:14:50Z,1998650
aa4e1ea-bsan,dashmap-6.2.1,build_failed,0.071,0.000,0,0,2026-07-30T16:15:17Z,1998655
aa4e1ea-bsan,block-buffer-0.12.0,success,30.166,1.957,8,8,2026-07-30T16:15:33Z,1998656
aa4e1ea-bsan,crc32fast-1.5.0,success,34.516,306.814,6,6,2026-07-30T16:15:28Z,1998652
aa4e1ea-bsan,anstyle-1.0.14,success,37.221,1.949,8,8,2026-07-30T16:15:56Z,1998654
aa4e1ea-bsan,base16ct-1.0.0,success,9.367,2.231,10,10,2026-07-30T16:16:12Z,1998660
aa4e1ea-bsan,cc-1.2.63,success,33.302,6.495,15,15,2026-07-30T16:16:15Z,1998657
aa4e1ea-bsan,errno-0.3.14,success,10.777,1.417,4,4,2026-07-30T16:16:38Z,1998661
aa4e1ea-bsan,core-foundation-sys-0.8.7,success,3.325,1.135,1,1,2026-07-30T16:16:57Z,1998665
aa4e1ea-bsan,bytemuck-1.25.0,success,35.167,10.190,32,32,2026-07-30T16:17:12Z,1998664
aa4e1ea-bsan,anstyle-query-1.1.5,success,3.190,1.080,3,3,2026-07-30T16:17:37Z,1998667
aa4e1ea-bsan,combine-4.6.7,build_failed,125.692,0.000,0,0,2026-07-30T16:19:57Z,1998659
aa4e1ea-bsan,atomic-waker-1.1.2,success,187.717,2.800,1,1,2026-07-30T16:20:12Z,1998663
aa4e1ea-bsan,colored-3.1.1,test_failed,136.214,55.356,128,19,2026-07-30T16:20:14Z,1998658
aa4e1ea-bsan,cpufeatures-0.3.0,success,6.260,4.344,2,2,2026-07-30T16:20:42Z,1998671
aa4e1ea-bsan,const-oid-0.10.2,success,131.536,67.906,27,27,2026-07-30T16:21:05Z,1998666
aa4e1ea-bsan,camino-1.2.2,success,33.468,3.143,5,5,2026-07-30T16:21:21Z,1998670
aa4e1ea-bsan,bit-set-0.10.0,success,31.195,6.965,24,24,2026-07-30T16:21:59Z,1998673
aa4e1ea-bsan,alloc-no-stdlib-2.0.4,success,1177.969,3.909,9,9,2026-07-30T16:24:19Z,1998642
aa4e1ea-bsan,alloc-stdlib-0.2.2,success,1172.910,3.809,11,11,2026-07-30T16:27:50Z,1998649
aa4e1ea-bsan,bindgen-0.72.1,success,440.699,5.971,28,28,2026-07-30T16:29:57Z,1998674
aa4e1ea-bsan,dirs-sys-next-0.1.2,success,13.445,1.821,9,9,2026-07-30T16:29:45Z,1998679
aa4e1ea-bsan,futures-task-0.3.32,success,7.572,1.131,1,1,2026-07-30T16:30:27Z,1998681
aa4e1ea-bsan,dyn-clone-1.0.20,success,111.571,3.189,7,7,2026-07-30T16:33:13Z,1998685
aa4e1ea-bsan,hashlink-0.11.0,success,34.804,9.652,66,66,2026-07-30T16:34:49Z,1998686
aa4e1ea-bsan,fixedbitset-0.5.7,success,39.166,374.358,62,62,2026-07-30T16:34:59Z,1998678
aa4e1ea-bsan,async-trait-0.1.89,success,291.412,5.307,4,4,2026-07-30T16:36:25Z,1998682
aa4e1ea-bsan,nu-ansi-term-0.50.3,success,34.114,3.315,70,70,2026-07-30T16:38:11Z,1998716
aa4e1ea-bsan,percent-encoding-2.3.2,success,6.001,1.291,18,18,2026-07-30T16:38:30Z,1998718
aa4e1ea-bsan,num-complex-0.4.6,success,20.153,3.724,92,92,2026-07-30T16:39:39Z,1998719
aa4e1ea-bsan,half-2.7.1,success,265.988,7.251,37,37,2026-07-30T16:42:21Z,1998699
aa4e1ea-bsan,pem-rfc7468-1.0.0,success,10.485,7.458,15,15,2026-07-30T16:43:58Z,1998721
aa4e1ea-bsan,generic-array-1.4.3,success,217.084,4.488,3,3,2026-07-30T16:44:40Z,1998720
aa4e1ea-bsan,crossbeam-utils-0.8.21,success,51.985,2117.417,61,61,2026-07-30T16:45:06Z,1998648
aa4e1ea-bsan,pin-project-lite-0.2.17,build_failed,11.656,0.000,0,0,2026-07-30T16:45:27Z,1998724
aa4e1ea-bsan,hashbrown-0.17.1,success,213.758,427.204,106,106,2026-07-30T16:47:45Z,1998714
aa4e1ea-bsan,once_cell-1.21.4,test_failed,82.777,9.822,74,5,2026-07-30T16:47:52Z,1998725
aa4e1ea-bsan,r-efi-6.0.0,success,9.607,1.460,4,4,2026-07-30T16:48:37Z,1998727
aa4e1ea-bsan,radium-1.1.1,success,3.708,1.114,9,9,2026-07-30T16:48:54Z,1998742
aa4e1ea-bsan,pin-project-1.1.13,build_failed,13.771,0.000,0,0,2026-07-30T16:49:29Z,1998743
aa4e1ea-bsan,httparse-1.10.1,success,229.870,27.462,358,358,2026-07-30T16:49:28Z,1998722
aa4e1ea-bsan,scopeguard-1.2.0,success,5.238,1.062,8,8,2026-07-30T16:49:53Z,1998744
aa4e1ea-bsan,object-0.39.1,test_failed,81.425,2.840,19,13,2026-07-30T16:49:47Z,1998726
aa4e1ea-bsan,ppv-lite86-0.2.21,success,15.273,1.006,0,0,2026-07-30T16:50:24Z,1998746
aa4e1ea-bsan,predicates-3.1.4,success,89.485,2.704,19,19,2026-07-30T16:52:05Z,1998753
aa4e1ea-bsan,shlex-2.0.1,success,9.668,1.645,7,7,2026-07-30T16:52:52Z,1998781
