build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
aa4e1ea-bsan,dashmap-6.2.1,build_failed,0.076,0.000,0,0,2026-07-30T14:33:18Z,1997752
aa4e1ea-bsan,base16ct-1.0.0,success,9.939,2.016,10,10,2026-07-30T14:33:26Z,1997757
aa4e1ea-bsan,anstyle-query-1.1.5,success,8.956,0.888,3,3,2026-07-30T14:33:26Z,1997749
aa4e1ea-bsan,core-foundation-sys-0.8.7,success,11.267,0.964,1,1,2026-07-30T14:33:29Z,1997779
aa4e1ea-bsan,errno-0.3.14,success,11.443,0.957,4,4,2026-07-30T14:33:28Z,1997745
aa4e1ea-bsan,cpufeatures-0.3.0,success,13.026,3.247,2,2,2026-07-30T14:33:31Z,1997770
aa4e1ea-bsan,block-buffer-0.12.0,success,16.623,1.881,8,8,2026-07-30T14:33:33Z,1997747
aa4e1ea-bsan,dirs-sys-0.5.0,success,10.049,1.558,9,9,2026-07-30T14:33:36Z,1997778
aa4e1ea-bsan,futures-task-0.3.32,success,6.819,0.938,1,1,2026-07-30T14:33:40Z,1997786
aa4e1ea-bsan,arrayvec-0.7.6,success,27.561,5.826,50,50,2026-07-30T14:33:48Z,1997758
aa4e1ea-bsan,dirs-sys-next-0.1.2,success,7.086,1.210,9,9,2026-07-30T14:33:48Z,1997784
aa4e1ea-bsan,camino-1.2.2,success,24.804,2.407,5,5,2026-07-30T14:33:48Z,1997769
aa4e1ea-bsan,anstream-1.0.0,build_failed,10.716,0.000,0,0,2026-07-30T14:33:49Z,1997780
aa4e1ea-bsan,anstyle-1.0.14,success,33.429,1.180,8,8,2026-07-30T14:33:51Z,1997768
aa4e1ea-bsan,bit-set-0.10.0,success,27.017,5.756,24,24,2026-07-30T14:33:53Z,1997765
aa4e1ea-bsan,cc-1.2.63,success,22.361,6.220,15,15,2026-07-30T14:34:01Z,1997751
aa4e1ea-bsan,either-1.16.0,success,13.892,1.190,7,7,2026-07-30T14:34:08Z,1997791
aa4e1ea-bsan,byteorder-1.5.0,success,48.791,11.109,290,290,2026-07-30T14:34:16Z,1997756
aa4e1ea-bsan,inout-0.2.2,success,7.110,1.669,1,1,2026-07-30T14:34:20Z,1997794
aa4e1ea-bsan,http-body-1.0.1,success,10.135,1.680,2,2,2026-07-30T14:34:23Z,1997793
aa4e1ea-bsan,bit-vec-0.9.1,success,28.619,38.351,58,58,2026-07-30T14:34:32Z,1997748
aa4e1ea-bsan,hashlink-0.11.0,success,36.990,9.310,66,66,2026-07-30T14:34:33Z,1997789
aa4e1ea-bsan,ansi_term-0.12.1,success,53.718,20.912,58,58,2026-07-30T14:34:38Z,1997766
aa4e1ea-bsan,libc-0.2.186,success,8.852,1.848,6,6,2026-07-30T14:34:42Z,1997801
aa4e1ea-bsan,getrandom-0.4.2,test_failed,11.631,3.112,9,0,2026-07-30T14:34:42Z,1997792
aa4e1ea-bsan,bytemuck-1.25.0,success,60.798,10.843,32,32,2026-07-30T14:34:42Z,1997771
aa4e1ea-bsan,csv-1.4.0,test_failed,69.770,3.060,141,0,2026-07-30T14:34:54Z,1997773
aa4e1ea-bsan,dyn-clone-1.0.20,success,82.823,3.409,7,7,2026-07-30T14:35:17Z,1997788
aa4e1ea-bsan,is-terminal-0.4.17,success,19.582,1.081,6,6,2026-07-30T14:35:14Z,1997798
aa4e1ea-bsan,futures-util-0.3.32,success,54.751,1.106,1,1,2026-07-30T14:35:19Z,1997797
aa4e1ea-bsan,combine-4.6.7,build_failed,113.554,0.000,0,0,2026-07-30T14:35:29Z,1997755
aa4e1ea-bsan,scopeguard-1.2.0,success,12.681,1.078,8,8,2026-07-30T14:36:00Z,1997806
aa4e1ea-bsan,atomic-waker-1.1.2,success,153.652,2.474,1,1,2026-07-30T14:36:01Z,1997759
aa4e1ea-bsan,colored-3.1.1,test_failed,104.300,52.196,128,19,2026-07-30T14:36:13Z,1997767
aa4e1ea-bsan,ppv-lite86-0.2.21,success,30.296,1.178,0,0,2026-07-30T14:36:17Z,1997852
aa4e1ea-bsan,r-efi-6.0.0,success,26.513,1.146,4,4,2026-07-30T14:36:21Z,1997861
aa4e1ea-bsan,const-oid-0.10.2,success,131.847,55.112,27,27,2026-07-30T14:36:26Z,1997754
aa4e1ea-bsan,lru-0.18.0,success,15.274,110.721,52,52,2026-07-30T14:36:38Z,1997799
aa4e1ea-bsan,async-lock-3.4.2,test_failed,124.163,4.946,2,0,2026-07-30T14:36:33Z,1997742
aa4e1ea-bsan,event-listener-5.4.1,test_failed,123.454,2.601,11,2,2026-07-30T14:36:46Z,1997796
aa4e1ea-bsan,object-0.39.1,test_failed,69.268,2.106,19,13,2026-07-30T14:36:58Z,1997840
aa4e1ea-bsan,once_cell-1.21.4,test_failed,75.740,7.527,74,5,2026-07-30T14:37:11Z,1997850
aa4e1ea-bsan,radium-1.1.1,success,22.069,1.369,9,9,2026-07-30T14:37:14Z,1997935
aa4e1ea-bsan,shlex-2.0.1,success,5.453,1.429,7,7,2026-07-30T14:37:29Z,1997967
aa4e1ea-bsan,anyhow-1.0.102,success,238.679,15.847,71,71,2026-07-30T14:37:38Z,1997744
aa4e1ea-bsan,bumpalo-3.20.3,success,221.256,2.452,5,5,2026-07-30T14:37:40Z,1997777
aa4e1ea-bsan,redox_syscall-0.8.0,success,7.609,1.255,1,1,2026-07-30T14:37:43Z,1997966
aa4e1ea-bsan,pin-project-1.1.13,build_failed,40.465,0.000,0,0,2026-07-30T14:37:45Z,1997942
aa4e1ea-bsan,siphasher-1.0.3,success,3.895,1.203,13,13,2026-07-30T14:37:49Z,1997968
aa4e1ea-bsan,crc32fast-1.5.0,success,30.848,257.357,6,6,2026-07-30T14:38:03Z,1997764
aa4e1ea-bsan,async-trait-0.1.89,success,249.683,1.879,4,4,2026-07-30T14:38:04Z,1997787
aa4e1ea-bsan,matchers-0.2.0,success,45.638,175.189,17,17,2026-07-30T14:38:13Z,1997800
aa4e1ea-bsan,erased-serde-0.4.10,success,224.477,3.626,18,18,2026-07-30T14:38:14Z,1997795
aa4e1ea-bsan,serde_core-1.0.228,success,25.114,1.276,1,1,2026-07-30T14:38:23Z,1997972
aa4e1ea-bsan,base64ct-1.8.3,success,66.878,241.044,50,50,2026-07-30T14:38:26Z,1997763
aa4e1ea-bsan,slab-0.4.12,success,30.533,3.865,47,47,2026-07-30T14:38:30Z,1997974
aa4e1ea-bsan,predicates-3.1.4,success,85.817,1.295,19,19,2026-07-30T14:38:31Z,1997964
aa4e1ea-bsan,ordered-float-5.3.0,success,22.054,17.296,71,71,2026-07-30T14:38:36Z,1997969
aa4e1ea-bsan,proc-macro2-1.0.106,success,59.542,9.362,68,68,2026-07-30T14:38:57Z,1997970
aa4e1ea-bsan,serde_bytes-0.11.19,success,41.815,3.291,4,4,2026-07-30T14:39:09Z,1997976
aa4e1ea-bsan,subtle-2.6.1,success,22.875,6.310,28,28,2026-07-30T14:39:18Z,1997979
aa4e1ea-bsan,bindgen-0.72.1,success,341.862,5.235,28,28,2026-07-30T14:39:18Z,1997753
aa4e1ea-bsan,urlencoding-2.1.3,success,4.354,1.125,9,9,2026-07-30T14:39:29Z,1997987
aa4e1ea-bsan,utf8_iter-1.0.4,success,4.916,1.185,2,2,2026-07-30T14:39:30Z,1997985
aa4e1ea-bsan,utf8parse-0.2.2,success,3.479,2.950,1,1,2026-07-30T14:39:49Z,1997991
aa4e1ea-bsan,socket2-0.6.4,success,7.811,1.393,10,10,2026-07-30T14:39:56Z,1997989
aa4e1ea-bsan,smallvec-1.15.1,success,79.105,3.203,63,63,2026-07-30T14:40:07Z,1997984
aa4e1ea-bsan,fixedbitset-0.5.7,success,22.937,372.685,62,62,2026-07-30T14:40:09Z,1997783
aa4e1ea-bsan,tracing-core-0.1.36,test_failed,15.128,1.222,20,19,2026-07-30T14:40:12Z,1997992
aa4e1ea-bsan,rustversion-1.0.22,success,105.571,3.443,2,2,2026-07-30T14:40:17Z,1997978
aa4e1ea-bsan,yansi-1.0.1,success,9.311,2.113,7,7,2026-07-30T14:40:37Z,1997998
aa4e1ea-bsan,unicode-normalization-0.1.25,success,10.189,63.792,13,13,2026-07-30T14:40:38Z,1997988
aa4e1ea-bsan,event-listener-strategy-0.5.4,success,8.908,1.737,2,2,2026-07-30T14:40:53Z,1997997
aa4e1ea-bsan,unicode-bidi-0.3.18,success,21.646,3.608,36,36,2026-07-30T14:41:02Z,1997995
aa4e1ea-bsan,der-0.8.0,success,107.186,23.080,78,78,2026-07-30T14:41:00Z,1997982
aa4e1ea-bsan,zeroize-1.8.2,success,4.982,2.543,13,13,2026-07-30T14:41:10Z,1998003
aa4e1ea-bsan,lazycell-1.3.0,success,3.656,1.422,28,28,2026-07-30T14:41:13Z,1997999
aa4e1ea-bsan,bincode-2.0.1,success,300.854,160.606,60,60,2026-07-30T14:41:32Z,1997781
aa4e1ea-bsan,ryu-1.0.23,test_failed,162.529,5.375,20,9,2026-07-30T14:41:24Z,1997977
aa4e1ea-bsan,tempfile-3.27.0,success,36.706,146.500,64,64,2026-07-30T14:41:58Z,1997983
aa4e1ea-bsan,yoke-0.8.2,success,38.673,3.410,12,12,2026-07-30T14:42:08Z,1998004
aa4e1ea-bsan,which-8.0.2,success,23.894,4.507,24,24,2026-07-30T14:42:16Z,1998011
