,,Native Execution,,Miri with TB,,,,,,Lazy Allocator ONLY,,,,,,Lazy Allocator + 20k visit freq GC,,,,,,Lazy Allocator + 20k visit freq GC + 100 node threshold,,,,,,Lazy Alloc + 20k visit GC + 100 node threshold + Multi compaction,,,,,,Lazy Alloc + 20k visit GC + 64 node threshold + Multi compaction,,,,,,Lazy Alloc + 25k visit GC + 64 node threshold + Multi compaction,,,,
,AVERAGE,,20.55,,2922.535,804.725,76.144,57.014,,2953.243,1.162,917.721,,,,2441.147,1.194,758.052,,,,2391.502,1.27,737.084,,,,826.599,1.332,312.072,,,,110.346,1.446,57.771,,,,78.693,1.451,49.846,,
,crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,base_miri_tests,base_miri_passed,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,lazy-alloc_tests,lazy-alloc_passed,no-thresh-visit-gc_status,no-thresh-visit-gc_seconds,no-thresh-visit-gc_speedup,no-thresh-visit-gc_overhead,no-thresh-visit-gc_tests,no-thresh-visit-gc_passed,old-visit-gc_status,old-visit-gc_seconds,old-visit-gc_speedup,old-visit-gc_overhead,old-visit-gc_tests,old-visit-gc_passed,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead,visit-gc_tests,visit-gc_passed,visit-gc-Zmiri-tree-gc-min-nodes-64_status,visit-gc-Zmiri-tree-gc-min-nodes-64_seconds,visit-gc-Zmiri-tree-gc-min-nodes-64_speedup,visit-gc-Zmiri-tree-gc-min-nodes-64_overhead,visit-gc-Zmiri-tree-gc-min-nodes-64_tests,visit-gc-Zmiri-tree-gc-min-nodes-64_passed,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_status,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_seconds,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_speedup,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_overhead,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_tests,visit-gc-top_500-Zmiri-tree-gc-min-nodes-64-Zmiri-visit-gc-25000_passed
,addr2line-0.26.1,success,1.447,success,2.452,1.695,3,3,success,6.824,0.359,4.716,3,3,success,2.298,1.067,1.588,3,3,success,2.533,0.968,1.751,3,3,success,2.036,1.204,1.407,3,3,success,3.398,0.722,2.348,3,3,success,1.988,1.233,1.374,3,3
,aes-0.9.1,success,1.771,success,169700.965,95822.115,13,10,success,168925.431,1.005,95384.207,13,10,success,150946.436,1.124,85232.318,13,10,success,143914.777,1.179,81261.873,13,10,absent,,,,,,absent,,,,,,absent,,,,,
,aho-corasick-1.1.4,success,26.174,test_failed,79410.049,3033.929,163,153,test_failed,74354.009,1.068,2840.758,163,153,test_failed,35524.116,2.235,1357.229,163,153,test_failed,27751.107,2.862,1060.255,163,153,test_failed,32382.51,2.452,1237.201,163,153,absent,,,,,,absent,,,,,
,alloc-no-stdlib-2.0.4,success,0.518,success,6.282,12.127,9,9,success,6.088,1.032,11.753,9,9,success,10.398,0.604,20.073,9,9,success,4.751,1.322,9.172,9,9,success,4.743,1.324,9.156,9,9,success,6.134,1.024,11.842,9,9,success,4.399,1.428,8.492,9,9
,alloc-stdlib-0.2.2,success,0.195,test_failed,5.969,30.61,11,2,test_failed,5.474,1.09,28.072,11,2,test_failed,6.728,0.887,34.503,11,2,test_failed,5.368,1.112,27.528,11,2,test_failed,4.247,1.405,21.779,11,2,test_failed,5.344,1.117,27.405,11,2,test_failed,3.849,1.551,19.738,11,2
,allocator-api2-0.4.0,success,21.484,success,23.989,1.117,167,167,success,22.292,1.076,1.038,167,167,success,30.174,0.795,1.404,167,167,success,28.657,0.837,1.334,167,167,success,25.343,0.947,1.18,167,167,success,31.064,0.772,1.446,167,167,success,23.554,1.018,1.096,167,167
,android_system_properties-0.1.5,success,1.529,success,1.908,1.248,4,4,success,2.342,0.815,1.532,4,4,success,2.648,0.721,1.732,4,4,success,3.435,0.555,2.247,4,4,success,1.899,1.005,1.242,4,4,success,2.047,0.932,1.339,4,4,success,5.654,0.337,3.698,4,4
,ansi_term-0.12.1,success,3.681,success,52.477,14.256,105,105,success,56.729,0.925,15.411,105,105,success,43.113,1.217,11.712,105,105,success,54.787,0.958,14.884,105,105,success,47.087,1.114,12.792,105,105,success,41.848,1.254,11.369,105,105,success,40.582,1.293,11.025,105,105
,anstream-1.0.0,build_failed,,success,5.155,,30,21,success,6.194,0.832,,30,21,success,5.334,0.966,,30,21,success,7.412,0.695,,30,21,success,4.817,1.07,,30,21,success,5.268,0.979,,30,21,success,4.396,1.173,,30,21
