crate,rust_status,rust_seconds,base_miri_status,base_miri_seconds,base_miri_overhead,lazy-alloc_status,lazy-alloc_seconds,lazy-alloc_speedup,lazy-alloc_overhead,visit-gc_status,visit-gc_seconds,visit-gc_speedup,visit-gc_overhead
_logs,fetch_failed,,fetch_failed,,,fetch_failed,,,,fetch_failed,,,
addr2line-0.26.1,success,1.447,success,2.427,1.677,success,6.005,0.404,4.150,success,10.577,0.229,7.310
aes-0.9.1,success,1.771,success,171530.412,96855.117,success,171730.487,0.999,96968.090,success,148160.532,1.158,83659.250
ahash-0.8.12,success,52.913,absent,,,absent,,,,absent,,,
aho-corasick-1.1.4,success,26.174,test_failed,82365.282,3146.836,test_failed,82762.171,0.995,3161.999,test_failed,24121.525,3.415,921.583
alloc-no-stdlib-2.0.4,success,0.518,success,8.766,16.923,success,8.520,1.029,16.448,success,4.635,1.891,8.948
alloc-stdlib-0.2.2,success,0.195,test_failed,5.352,27.446,test_failed,4.751,1.126,24.364,test_failed,3.745,1.429,19.205
allocator-api2-0.4.0,success,21.484,success,29.032,1.351,success,31.504,0.922,1.466,success,20.126,1.443,0.937
android_system_properties-0.1.5,success,1.529,success,1.939,1.268,success,2.582,0.751,1.689,success,1.802,1.076,1.179
ansi_term-0.12.1,success,3.681,success,48.630,13.211,success,49.057,0.991,13.327,success,38.479,1.264,10.453
anstream-1.0.0,build_failed,,success,5.210,,success,5.181,1.006,,success,4.578,1.138,
anstyle-1.0.14,success,2.264,success,5.903,2.607,success,7.943,0.743,3.508,success,6.206,0.951,2.741
anstyle-parse-1.0.0,build_failed,,test_failed,15.012,,test_failed,21.927,0.685,,test_failed,19.371,0.775,
anstyle-query-1.1.5,success,0.195,success,2.975,15.256,success,1.834,1.622,9.405,success,1.754,1.696,8.995
anstyle-wincon-3.0.11,success,0.196,success,1.453,7.413,success,3.410,0.426,17.398,success,4.120,0.353,21.020
anyhow-1.0.102,success,14.685,success,31.794,2.165,success,25.454,1.249,1.733,success,30.806,1.032,2.098
arc-swap-1.9.1,success,6.675,test_failed,96.025,14.386,test_failed,96.674,0.993,14.483,test_failed,116.364,0.825,17.433
arrayvec-0.7.6,success,3.394,success,25.934,7.641,success,25.831,1.004,7.611,success,24.543,1.057,7.231
async-compression-0.4.42,success,0.584,success,2.474,4.236,success,2.672,0.926,4.575,success,2.208,1.120,3.781
async-io-2.6.0,success,28.861,test_failed,3.416,0.118,test_failed,3.478,0.982,0.121,test_failed,18.566,0.184,0.643
async-lock-3.4.2,success,8.432,success,111.492,13.222,success,111.236,1.002,13.192,success,112.399,0.992,13.330
async-stream-0.3.6,build_failed,,test_failed,5.385,,test_failed,4.935,1.091,,test_failed,4.357,1.236,
async-trait-0.1.89,test_failed,16.088,success,3.089,0.192,success,3.407,0.907,0.212,success,3.458,0.893,0.215
atomic-waker-1.1.2,success,0.588,success,2.651,4.509,success,2.829,0.937,4.811,success,9.765,0.271,16.607
atty-0.2.14,test_failed,0.058,test_failed,2.187,37.707,test_failed,2.618,0.835,45.138,test_failed,2.062,1.061,35.552
backtrace-0.3.76,test_failed,0.462,test_failed,12.555,27.175,test_failed,12.403,1.012,26.846,test_failed,12.440,1.009,26.926
