build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
base-miri,anstyle-wincon-3.0.11,success,2.803,2.255,0,0,2026-06-21T17:43:54Z,1861321
base-miri,anstyle-query-1.1.5,success,1.869,3.280,3,3,2026-06-21T17:43:54Z,1861331
base-miri,android_system_properties-0.1.5,success,5.393,1.908,4,4,2026-06-21T17:43:55Z,1861328
base-miri,base16ct-1.0.0,success,2.883,6.260,11,11,2026-06-21T17:43:56Z,1861343
base-miri,alloc-stdlib-0.2.2,test_failed,3.041,5.969,11,2,2026-06-21T17:43:56Z,1861344
base-miri,alloc-no-stdlib-2.0.4,success,3.064,6.282,9,9,2026-06-21T17:43:57Z,1861332
base-miri,block-buffer-0.12.0,success,5.735,4.028,11,11,2026-06-21T17:43:57Z,1861330
base-miri,atty-0.2.14,test_failed,2.251,2.226,3,0,2026-06-21T17:43:57Z,1861342
base-miri,anstyle-1.0.14,success,5.504,5.737,42,42,2026-06-21T17:44:02Z,1861329
base-miri,bstr-1.12.1,test_failed,12.228,1.644,0,0,2026-06-21T17:44:03Z,1861352
base-miri,bytemuck-1.25.0,success,2.980,14.107,43,41,2026-06-21T17:44:05Z,1861327
base-miri,cmake-0.1.58,test_failed,2.215,1.412,2,0,2026-06-21T17:44:10Z,1861359
base-miri,backtrace-0.3.76,test_failed,8.811,11.652,3,1,2026-06-21T17:44:10Z,1861324
base-miri,cexpr-0.6.0,build_failed,4.404,0.000,0,0,2026-06-21T17:44:12Z,1861356
base-miri,allocator-api2-0.4.0,success,2.809,23.989,167,167,2026-06-21T17:44:15Z,1861322
base-miri,clap_lex-1.1.0,success,6.018,3.446,18,17,2026-06-21T17:44:16Z,1861358
base-miri,bit-set-0.10.0,success,12.313,16.576,47,47,2026-06-21T17:44:20Z,1861338
base-miri,arrayvec-0.7.6,success,6.947,25.359,93,92,2026-06-21T17:44:21Z,1861326
base-miri,cpufeatures-0.3.0,success,0.521,4.440,3,3,2026-06-21T17:44:27Z,1861368
base-miri,anstream-1.0.0,success,25.334,5.155,30,21,2026-06-21T17:44:26Z,1861339
base-miri,console-0.16.3,test_failed,15.796,1.830,18,0,2026-06-21T17:44:28Z,1861363
base-miri,async-stream-0.3.6,test_failed,30.622,5.011,2,2,2026-06-21T17:44:30Z,1861348
base-miri,cc-1.2.63,success,6.805,10.711,45,43,2026-06-21T17:44:31Z,1861355
base-miri,async-trait-0.1.89,success,40.616,3.073,5,4,2026-06-21T17:44:36Z,1861325
base-miri,chrono-0.4.44,test_failed,17.162,4.179,287,0,2026-06-21T17:44:36Z,1861357
base-miri,atomic-waker-1.1.2,success,35.396,2.616,3,3,2026-06-21T17:44:37Z,1861337
base-miri,async-io-2.6.0,test_failed,32.342,3.214,15,0,2026-06-21T17:44:36Z,1861340
base-miri,bindgen-0.72.1,test_failed,18.340,22.090,47,29,2026-06-21T17:44:39Z,1861323
base-miri,anyhow-1.0.102,success,25.685,24.997,98,97,2026-06-21T17:44:41Z,1861341
base-miri,dashmap-6.2.1,fetch_failed,0.000,0.000,0,0,2026-06-21T17:44:46Z,1861380
base-miri,bumpalo-3.20.3,success,28.528,14.323,52,49,2026-06-21T17:44:43Z,1861334
base-miri,core-foundation-sys-0.8.7,success,8.121,8.406,1,1,2026-06-21T17:44:47Z,1861367
base-miri,core-foundation-0.10.1,test_failed,14.555,3.488,39,0,2026-06-21T17:44:54Z,1861366
base-miri,colored-3.1.1,test_failed,22.935,10.206,128,19,2026-06-21T17:44:51Z,1861360
base-miri,bitvec-1.0.1,test_failed,32.900,21.342,140,0,2026-06-21T17:44:54Z,1861346
base-miri,data-encoding-2.11.0,success,1.242,11.987,43,42,2026-06-21T17:44:59Z,1861381
base-miri,camino-1.2.2,test_failed,22.317,21.653,85,81,2026-06-21T17:44:58Z,1861354
base-miri,dirs-sys-next-0.1.2,success,2.938,3.837,9,9,2026-06-21T17:45:04Z,1861385
base-miri,deranged-0.5.8,test_failed,10.513,2.328,0,0,2026-06-21T17:45:06Z,1861383
base-miri,errno-0.3.14,test_failed,2.742,2.723,4,3,2026-06-21T17:45:13Z,1861391
base-miri,dyn-clone-1.0.20,success,16.269,5.088,13,12,2026-06-21T17:45:15Z,1861386
base-miri,der-0.8.0,test_failed,14.999,10.301,78,76,2026-06-21T17:45:18Z,1861382
base-miri,byteorder-1.5.0,success,20.500,58.885,412,412,2026-06-21T17:45:18Z,1861317
base-miri,ansi_term-0.12.1,success,11.230,52.477,105,105,2026-06-21T17:45:22Z,1861318
base-miri,find-msvc-tools-0.1.9,success,1.166,1.357,0,0,2026-06-21T17:45:24Z,1861395
base-miri,anstyle-parse-1.0.0,test_failed,36.334,16.445,3,0,2026-06-21T17:45:21Z,1861316
base-miri,foreign-types-shared-0.3.1,success,0.650,1.469,0,0,2026-06-21T17:45:28Z,1861400
base-miri,concurrent-queue-2.5.0,success,28.125,46.362,45,45,2026-06-21T17:45:27Z,1861362
base-miri,criterion-0.8.2,test_failed,41.657,7.335,28,0,2026-06-21T17:45:30Z,1861370
base-miri,foreign-types-0.5.0,success,6.895,2.817,5,5,2026-06-21T17:45:36Z,1861399
base-miri,either-1.16.0,success,8.212,13.454,65,65,2026-06-21T17:45:36Z,1861387
base-miri,filetime-0.2.29,test_failed,5.710,1.478,8,0,2026-06-21T17:45:35Z,1861394
base-miri,event-listener-strategy-0.5.4,success,3.305,2.903,5,5,2026-06-21T17:45:41Z,1861393
base-miri,erased-serde-0.4.10,success,17.872,8.629,31,30,2026-06-21T17:45:42Z,1861390
base-miri,futures-sink-0.3.32,success,0.625,1.332,0,0,2026-06-21T17:45:48Z,1861405
base-miri,futures-task-0.3.32,test_failed,1.035,1.712,3,1,2026-06-21T17:45:49Z,1861406
base-miri,form_urlencoded-1.2.2,success,1.443,0.887,1,1,2026-06-21T17:45:50Z,1861401
base-miri,const-oid-0.10.2,test_failed,30.826,8.033,27,26,2026-06-21T17:45:49Z,1861365
base-miri,futures-channel-0.3.32,test_failed,2.880,2.781,1,1,2026-06-21T17:45:55Z,1861402
base-miri,futures-core-0.3.32,test_failed,1.959,2.856,2,0,2026-06-21T17:45:55Z,1861403
base-miri,async-lock-3.4.2,success,5.344,113.017,118,114,2026-06-21T17:45:54Z,1861347
base-miri,event-listener-5.4.1,success,22.489,8.525,43,43,2026-06-21T17:45:52Z,1861392
base-miri,crc32fast-1.5.0,test_failed,4.659,91.447,6,5,2026-06-21T17:45:58Z,1861369
base-miri,home-0.5.12,test_failed,1.045,1.761,3,0,2026-06-21T17:46:10Z,1861417
base-miri,addr2line-0.26.1,success,62.872,2.452,3,3,2026-06-21T17:46:05Z,1861314
base-miri,combine-4.6.7,test_failed,60.631,40.065,227,224,2026-06-21T17:46:09Z,1861361
base-miri,futures-executor-0.3.32,test_failed,6.023,2.091,0,0,2026-06-21T17:46:11Z,1861404
base-miri,hermit-abi-0.5.2,test_failed,2.429,2.706,3,0,2026-06-21T17:46:16Z,1861416
base-miri,crossbeam-epoch-0.9.18,test_failed,8.501,9.849,38,0,2026-06-21T17:46:13Z,1861374
base-miri,dirs-sys-0.5.0,success,5.144,4.841,9,9,2026-06-21T17:45:53Z,1861384
base-miri,arc-swap-1.9.1,test_failed,38.173,97.012,40,35,2026-06-21T17:46:19Z,1861350
base-miri,futures-util-0.3.32,test_failed,17.809,11.957,156,2,2026-06-21T17:46:24Z,1861407
base-miri,bincode-2.0.1,success,39.652,106.037,86,82,2026-06-21T17:46:24Z,1861335
base-miri,crossbeam-queue-0.3.12,success,12.400,67.025,36,36,2026-06-21T17:46:24Z,1861375
base-miri,getrandom-0.4.2,success,3.108,24.890,17,16,2026-06-21T17:46:28Z,1861410
base-miri,iana-time-zone-haiku-0.1.2,test_failed,4.030,1.462,1,0,2026-06-21T17:46:33Z,1861428
base-miri,http-body-1.0.1,success,3.223,2.791,2,2,2026-06-21T17:46:33Z,1861421
base-miri,fixedbitset-0.5.7,success,5.311,66.679,69,69,2026-06-21T17:46:34Z,1861396
base-miri,bit-vec-0.9.1,success,18.412,132.003,106,106,2026-06-21T17:46:35Z,1861315
base-miri,hashlink-0.11.0,success,9.061,22.713,66,66,2026-06-21T17:46:45Z,1861415
base-miri,foldhash-0.2.0,success,46.858,2.453,4,4,2026-06-21T17:46:47Z,1861398
base-miri,hostname-0.4.2,test_failed,35.219,2.623,5,4,2026-06-21T17:46:50Z,1861418
base-miri,inout-0.2.2,success,2.641,2.419,1,1,2026-06-21T17:46:52Z,1861436
base-miri,async-compression-0.4.42,success,94.919,3.817,0,0,2026-06-21T17:46:37Z,1861320
base-miri,generic-array-1.4.3,success,42.374,6.296,39,35,2026-06-21T17:46:50Z,1861409
base-miri,generic-array-1.4.2,success,43.105,6.905,39,35,2026-06-21T17:46:51Z,1861408
base-miri,crossbeam-utils-0.8.21,success,27.717,52.681,221,220,2026-06-21T17:46:46Z,1861376
base-miri,hyper-1.10.1,test_failed,30.586,2.399,10,8,2026-06-21T17:47:02Z,1861425
base-miri,js-sys-0.3.99,success,0.212,0.097,0,0,2026-06-21T17:47:08Z,1861443
base-miri,hyper-util-0.1.20,test_failed,30.080,1.763,0,0,2026-06-21T17:47:06Z,1861426
base-miri,libc-0.2.186,success,3.612,3.770,6,6,2026-06-21T17:47:14Z,1861446
