build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
base-miri,core-foundation-sys-0.8.7,success,3.230,4.481,1,1,2026-07-08T15:32:27Z,1926213
base-miri,block-buffer-0.12.0,success,5.898,4.244,11,11,2026-07-08T15:32:30Z,1926217
base-miri,cpufeatures-0.3.0,success,2.442,8.567,3,3,2026-07-08T15:32:31Z,1926227
base-miri,base16ct-1.0.0,success,4.196,8.650,11,11,2026-07-08T15:32:32Z,1926231
base-miri,clap_lex-1.1.0,success,9.121,3.540,18,17,2026-07-08T15:32:33Z,1926212
base-miri,anstyle-1.0.14,success,7.189,6.522,42,42,2026-07-08T15:32:36Z,1926211
base-miri,bytemuck-1.25.0,success,3.579,17.196,43,41,2026-07-08T15:32:41Z,1926219
base-miri,alloc-stdlib-0.2.2,test_failed,1.018,4.346,11,2,2026-07-08T15:32:45Z,1926238
base-miri,alloc-no-stdlib-2.0.4,success,0.882,5.039,9,9,2026-07-08T15:32:45Z,1926241
base-miri,backtrace-0.3.76,test_failed,13.047,11.872,3,1,2026-07-08T15:32:46Z,1926221
base-miri,const-oid-0.10.2,test_failed,16.696,6.607,27,26,2026-07-08T15:32:48Z,1926234
base-miri,allocator-api2-0.4.0,success,5.779,25.300,167,167,2026-07-08T15:32:51Z,1926226
base-miri,anstyle-query-1.1.5,success,0.824,1.804,3,3,2026-07-08T15:32:52Z,1926246
base-miri,android_system_properties-0.1.5,success,2.457,1.938,4,4,2026-07-08T15:32:53Z,1926247
base-miri,arrayvec-0.7.6,success,8.955,26.126,93,92,2026-07-08T15:32:55Z,1926232
base-miri,cc-1.2.63,success,8.109,11.462,45,43,2026-07-08T15:32:51Z,1926209
base-miri,dashmap-6.2.1,fetch_failed,0.000,0.000,0,0,2026-07-08T15:33:00Z,1926254
base-miri,camino-1.2.2,test_failed,12.912,18.015,85,81,2026-07-08T15:32:59Z,1926216
base-miri,async-stream-0.3.6,test_failed,28.354,4.756,2,2,2026-07-08T15:33:01Z,1926218
base-miri,async-trait-0.1.89,success,42.433,3.246,5,4,2026-07-08T15:33:08Z,1926235
base-miri,atomic-waker-1.1.2,success,35.280,2.638,3,3,2026-07-08T15:33:08Z,1926223
base-miri,bit-set-0.10.0,success,10.571,16.663,47,47,2026-07-08T15:33:09Z,1926242
base-miri,anyhow-1.0.102,success,25.563,24.828,98,97,2026-07-08T15:33:14Z,1926215
base-miri,bumpalo-3.20.3,success,28.525,14.485,52,49,2026-07-08T15:33:14Z,1926222
base-miri,colored-3.1.1,test_failed,31.431,11.804,128,19,2026-07-08T15:33:15Z,1926220
base-miri,ansi_term-0.12.1,success,9.468,48.898,105,105,2026-07-08T15:33:23Z,1926228
base-miri,dirs-sys-0.5.0,success,3.221,4.043,9,9,2026-07-08T15:33:28Z,1926258
base-miri,constant_time_eq-0.5.0,success,43.106,6.175,12,12,2026-07-08T15:33:27Z,1926214
base-miri,data-encoding-2.11.0,success,1.279,12.522,43,42,2026-07-08T15:33:32Z,1926256
base-miri,dirs-sys-next-0.1.2,success,3.237,4.000,9,9,2026-07-08T15:33:32Z,1926259
base-miri,anstream-1.0.0,success,25.988,5.165,30,21,2026-07-08T15:33:33Z,1926243
base-miri,either-1.16.0,success,5.551,9.507,65,65,2026-07-08T15:33:38Z,1926261
base-miri,dyn-clone-1.0.20,success,16.139,5.059,13,12,2026-07-08T15:33:42Z,1926260
base-miri,bindgen-0.72.1,test_failed,23.105,23.211,47,29,2026-07-08T15:33:41Z,1926240
base-miri,concurrent-queue-2.5.0,success,29.644,47.752,45,45,2026-07-08T15:33:43Z,1926224
base-miri,errno-0.3.14,test_failed,2.756,2.689,4,3,2026-07-08T15:33:46Z,1926264
base-miri,foreign-types-0.5.0,success,7.204,3.047,5,5,2026-07-08T15:33:50Z,1926269
base-miri,addr2line-0.26.1,success,56.112,2.198,3,3,2026-07-08T15:33:44Z,1926208
base-miri,futures-task-0.3.32,test_failed,0.977,1.686,3,1,2026-07-08T15:33:51Z,1926272
base-miri,futures-channel-0.3.32,test_failed,1.193,1.763,1,1,2026-07-08T15:33:52Z,1926271
base-miri,der-0.8.0,test_failed,15.458,10.876,78,76,2026-07-08T15:33:51Z,1926257
base-miri,crossbeam-utils-0.8.21,success,7.671,40.170,221,220,2026-07-08T15:33:52Z,1926251
base-miri,byteorder-1.5.0,success,23.528,61.670,412,412,2026-07-08T15:33:55Z,1926229
base-miri,crc32fast-1.5.0,test_failed,8.846,93.121,6,5,2026-07-08T15:34:02Z,1926233
base-miri,event-listener-strategy-0.5.4,success,3.655,3.148,5,5,2026-07-08T15:33:59Z,1926266
base-miri,form_urlencoded-1.2.2,success,9.417,7.687,1,1,2026-07-08T15:34:04Z,1926270
base-miri,crossbeam-queue-0.3.12,success,8.154,62.798,36,36,2026-07-08T15:34:13Z,1926250
base-miri,foldhash-0.2.0,success,30.951,2.068,4,4,2026-07-08T15:34:20Z,1926268
base-miri,erased-serde-0.4.10,success,20.469,9.115,31,30,2026-07-08T15:34:20Z,1926263
base-miri,http-body-1.0.1,success,2.308,2.487,2,2,2026-07-08T15:34:24Z,1926285
base-miri,event-listener-5.4.1,success,22.652,8.523,43,43,2026-07-08T15:34:25Z,1926265
base-miri,futures-util-0.3.32,test_failed,18.795,12.282,156,2,2026-07-08T15:34:28Z,1926273
base-miri,hashlink-0.11.0,success,7.083,23.530,66,66,2026-07-08T15:34:32Z,1926282
base-miri,inout-0.2.2,success,11.939,4.098,1,1,2026-07-08T15:34:35Z,1926288
base-miri,getrandom-0.4.2,success,3.222,23.430,17,16,2026-07-08T15:34:38Z,1926276
base-miri,lock_api-0.4.14,success,1.082,2.094,1,1,2026-07-08T15:34:44Z,1926296
base-miri,async-lock-3.4.2,success,5.539,107.965,118,114,2026-07-08T15:34:42Z,1926239
