build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
better-bt-bsan,anstyle-query-1.1.5,success,6.643,3.006,3,3,2026-07-07T19:14:46Z,1922610
better-bt-bsan,android_system_properties-0.1.5,success,9.759,4.023,4,4,2026-07-07T19:14:49Z,1922613
better-bt-bsan,anstyle-wincon-3.0.11,success,11.245,3.237,0,0,2026-07-07T19:14:51Z,1922595
better-bt-bsan,base16ct-1.0.0,success,8.161,11.859,11,11,2026-07-07T19:14:53Z,1922593
better-bt-bsan,anstream-1.0.0,build_failed,13.929,0.000,0,0,2026-07-07T19:14:57Z,1922616
better-bt-bsan,atty-0.2.14,test_failed,5.703,3.077,3,0,2026-07-07T19:14:57Z,1922612
better-bt-bsan,block-buffer-0.12.0,success,14.311,12.795,11,11,2026-07-07T19:15:01Z,1922594
better-bt-bsan,anstyle-parse-1.0.0,build_failed,17.867,0.000,0,0,2026-07-07T19:15:00Z,1922591
better-bt-bsan,async-lock-3.4.2,test_failed,38.113,6.237,2,0,2026-07-07T19:15:33Z,1922603
better-bt-bsan,anstyle-1.0.14,success,36.406,10.765,42,42,2026-07-07T19:15:53Z,1922626
better-bt-bsan,cexpr-0.6.0,test_failed,28.203,3.935,0,0,2026-07-07T19:15:56Z,1922632
better-bt-bsan,bytemuck-1.25.0,success,21.234,31.151,43,41,2026-07-07T19:15:56Z,1922627
better-bt-bsan,allocator-api2-0.4.0,success,5.108,80.734,167,167,2026-07-07T19:16:01Z,1922606
better-bt-bsan,clap_lex-1.1.0,success,13.006,16.244,18,17,2026-07-07T19:16:05Z,1922634
better-bt-bsan,camino-1.2.2,success,28.053,30.970,85,85,2026-07-07T19:16:07Z,1922630
better-bt-bsan,cmake-0.1.58,success,22.478,4.325,5,5,2026-07-07T19:16:10Z,1922635
better-bt-bsan,cc-1.2.63,success,37.230,21.535,45,43,2026-07-07T19:16:25Z,1922631
better-bt-bsan,bit-set-0.10.0,success,30.881,76.704,47,47,2026-07-07T19:16:34Z,1922619
better-bt-bsan,core-foundation-0.10.1,build_failed,15.562,0.000,0,0,2026-07-07T19:16:37Z,1922642
better-bt-bsan,core-foundation-sys-0.8.7,success,3.070,2.715,1,1,2026-07-07T19:16:38Z,1922643
better-bt-bsan,cpufeatures-0.3.0,success,4.015,14.074,3,3,2026-07-07T19:16:59Z,1922644
better-bt-bsan,async-stream-0.3.6,build_failed,145.490,0.000,0,0,2026-07-07T19:17:06Z,1922617
better-bt-bsan,atomic-waker-1.1.2,success,151.588,12.780,3,3,2026-07-07T19:17:39Z,1922605
better-bt-bsan,bitvec-1.0.1,test_failed,198.689,12.052,141,0,2026-07-07T19:18:27Z,1922624
better-bt-bsan,ahash-0.8.12,build_failed,206.357,0.000,0,0,2026-07-07T19:18:37Z,1922599
better-bt-bsan,async-io-2.6.0,test_failed,211.582,15.461,15,0,2026-07-07T19:18:49Z,1922598
better-bt-bsan,byteorder-1.5.0,success,45.673,220.727,802,802,2026-07-07T19:19:06Z,1922614
