build,crate,status,compile_seconds,run_seconds,tests,passed,timestamp,job_id
bsan,bytemuck-1.25.0,success,36.769,30.535,43,41,2026-07-02T05:54:39Z,1911400
bsan,bit-set-0.10.0,success,43.101,25.880,47,47,2026-07-02T05:54:48Z,1911397
bsan,atomic-waker-1.1.2,success,162.191,15.294,3,3,2026-07-02T05:57:21Z,1911391
bsan,anstream-1.0.0,build_failed,15.037,0.000,0,0,2026-07-02T05:57:01Z,1911390
bsan,async-io-2.6.0,test_failed,223.054,25.939,15,0,2026-07-02T05:58:53Z,1911392
bsan,ansi_term-0.12.1,success,80.077,60.758,105,105,2026-07-02T05:58:28Z,1911394
bsan,block-buffer-0.12.0,success,20.143,13.877,11,11,2026-07-02T06:00:09Z,1911406
bsan,anstyle-query-1.1.5,success,11.264,3.724,3,3,2026-07-02T06:01:23Z,1911408
bsan,android_system_properties-0.1.5,success,8.420,3.482,4,4,2026-07-02T06:02:31Z,1911409
bsan,ahash-0.8.12,build_failed,333.535,0.000,0,0,2026-07-02T06:02:35Z,1911387
bsan,async-stream-0.3.6,build_failed,180.079,0.000,0,0,2026-07-02T06:03:47Z,1911404
bsan,anstyle-1.0.14,fetch_failed,0.000,0.000,0,0,2026-07-02T06:07:22Z,1911413
bsan,async-lock-3.4.2,test_failed,76.049,7.523,2,0,2026-07-02T06:07:14Z,1911410
bsan,anstyle-wincon-3.0.11,success,11.087,2.880,0,0,2026-07-02T06:08:22Z,1911414
bsan,base16ct-1.0.0,success,7.704,12.241,11,11,2026-07-02T06:09:07Z,1911415
bsan,alloc-no-stdlib-2.0.4,success,1040.693,9.590,9,9,2026-07-02T06:11:01Z,1911401
bsan,bumpalo-3.20.3,success,252.793,32.602,52,49,2026-07-02T06:09:50Z,1911407
bsan,byteorder-1.5.0,success,47.712,946.183,802,802,2026-07-02T06:11:41Z,1911402
bsan,atty-0.2.14,test_failed,13.605,4.057,3,0,2026-07-02T06:12:15Z,1911417
bsan,allocator-api2-0.4.0,success,22.849,83.497,167,167,2026-07-02T06:13:07Z,1911418
bsan,base64ct-1.8.3,success,121.849,1185.205,52,52,2026-07-02T06:16:13Z,1911385
bsan,bincode-2.0.1,success,363.754,301.696,86,83,2026-07-02T06:16:37Z,1911412
bsan,bitvec-1.0.1,test_failed,285.625,99.553,141,0,2026-07-02T06:17:53Z,1911416
bsan,bindgen-0.72.1,success,675.081,804.986,47,30,2026-07-02T06:18:45Z,1911388
bsan,alloc-stdlib-0.2.2,success,927.031,11.272,11,11,2026-07-02T06:18:56Z,1911411
bsan,anstyle-parse-1.0.0,build_failed,22.105,0.000,0,0,2026-07-02T06:18:54Z,1911423
bsan,cexpr-0.6.0,build_failed,37.844,0.000,0,0,2026-07-02T06:19:57Z,1911429
bsan,camino-1.2.2,success,40.904,39.531,85,85,2026-07-02T06:20:11Z,1911425
bsan,cc-1.2.63,success,55.335,15.018,45,43,2026-07-02T06:20:25Z,1911426
bsan,clap_lex-1.1.0,success,14.508,33.844,18,17,2026-07-02T06:20:37Z,1911431
bsan,cmake-0.1.58,success,42.278,5.575,5,5,2026-07-02T06:20:52Z,1911432
bsan,core-foundation-0.10.1,build_failed,33.198,0.000,0,0,2026-07-02T06:22:22Z,1911445
