tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13311,22029,1.65,23742,1.78,0,0.00,0,0.00,0,0.00,0,0.00
2,168,364,2.17,351,2.09,587,3.49,70,0.42,1,0.01,0,0.00
3,12999,18619,1.43,16410,1.26,156927,12.07,3666,0.28,7,0.00,0,0.00
4,223,639,2.87,392,1.76,4417,19.81,23,0.10,1,0.00,0,0.00
5,1147,2503,2.18,2272,1.98,36715,32.01,3138,2.74,16,0.01,0,0.00
6,70,231,3.30,202,2.89,2052,29.31,205,2.93,2,0.03,0,0.00
7,406,2492,6.14,897,2.21,21251,52.34,4598,11.33,10,0.02,0,0.00
8,60,256,4.27,237,3.95,2907,48.45,132,2.20,0,0.00,0,0.00
9,306,1269,4.15,646,2.11,18207,59.50,7305,23.87,22,0.07,0,0.00
10,43,215,5.00,165,3.84,2696,62.70,297,6.91,0,0.00,0,0.00
11,221,601,2.72,835,3.78,28127,127.27,1968,8.90,9,0.04,0,0.00
12,38,310,8.16,237,6.24,2526,66.47,699,18.39,0,0.00,0,0.00
13,57,385,6.75,236,4.14,6719,117.88,1680,29.47,36,0.63,0,0.00
14,23,235,10.22,236,10.26,1910,83.04,22,0.96,14,0.61,0,0.00
15,58,516,8.90,311,5.36,4765,82.16,2819,48.60,9,0.16,0,0.00
16,39,368,9.44,353,9.05,5222,133.90,172,4.41,8,0.21,0,0.00
17,97,435,4.48,231,2.38,8572,88.37,3210,33.09,798,8.23,0,0.00
18,7,41,5.86,28,4.00,1698,242.57,158,22.57,18,2.57,0,0.00
19,72,512,7.11,249,3.46,17428,242.06,5285,73.40,83,1.15,0,0.00
20,9,59,6.56,40,4.44,1786,198.44,209,23.22,0,0.00,0,0.00
21,21,251,11.95,116,5.52,4126,196.48,2649,126.14,28,1.33,0,0.00
22,12,39,3.25,39,3.25,2201,183.42,181,15.08,15,1.25,0,0.00
23,69,1151,16.68,873,12.65,15900,230.43,5393,78.16,9,0.13,0,0.00
24,34,184,5.41,79,2.32,14643,430.68,2193,64.50,0,0.00,0,0.00
25,21,306,14.57,149,7.10,6867,327.00,4212,200.57,40,1.90,0,0.00
26,11,87,7.91,25,2.27,10246,931.45,1003,91.18,0,0.00,0,0.00
27,59,544,9.22,213,3.61,26216,444.34,8120,137.63,25,0.42,0,0.00
28,3,31,10.33,13,4.33,1236,412.00,520,173.33,33,11.00,0,0.00
29,45,745,16.56,162,3.60,57136,1269.69,15561,345.80,2,0.04,0,0.00
30,3,29,9.67,12,4.00,1051,350.33,453,151.00,0,0.00,0,0.00
31,20,259,12.95,35,1.75,8089,404.45,5731,286.55,39,1.95,0,0.00
32,6,40,6.67,11,1.83,2984,497.33,732,122.00,75,12.50,0,0.00
33,20,277,13.85,100,5.00,10213,510.65,5317,265.85,25,1.25,0,0.00
34,3,41,13.67,11,3.67,1368,456.00,669,223.00,18,6.00,0,0.00
35,9,155,17.22,61,6.78,3838,426.44,4603,511.44,61,6.78,0,0.00
36,5,102,20.40,80,16.00,1697,339.40,639,127.80,11,2.20,0,0.00
37,13,282,21.69,164,12.62,7486,575.85,4705,361.92,34,2.62,0,0.00
38,1,17,17.00,1,1.00,398,398.00,376,376.00,6,6.00,0,0.00
39,7,80,11.43,35,5.00,4735,676.43,1931,275.86,47,6.71,0,0.00
40,8,70,8.75,8,1.00,5670,708.75,1217,152.12,28,3.50,0,0.00
41,7,129,18.43,53,7.57,6508,929.71,2496,356.57,0,0.00,0,0.00
42,76,127,1.67,149,1.96,14010,184.34,1747,22.99,12,0.16,0,0.00
43,44,624,14.18,264,6.00,37727,857.43,9958,226.32,21,0.48,0,0.00
44,4,110,27.50,90,22.50,1714,428.50,828,207.00,0,0.00,0,0.00
45,16,296,18.50,145,9.06,13728,858.00,6884,430.25,139,8.69,0,0.00
46,3,36,12.00,8,2.67,1373,457.67,722,240.67,20,6.67,0,0.00
47,24,394,16.42,156,6.50,22412,933.83,6452,268.83,41,1.71,0,0.00
48,4,71,17.75,8,2.00,2812,703.00,1053,263.25,85,21.25,0,0.00
49,8,143,17.88,49,6.12,6341,792.62,4183,522.88,66,8.25,0,0.00
50,5,153,30.60,103,20.60,2783,556.60,1783,356.60,0,0.00,0,0.00
51,3,88,29.33,32,10.67,6267,2089.00,2111,703.67,20,6.67,0,0.00
52,6,104,17.33,40,6.67,4230,705.00,3636,606.00,20,3.33,0,0.00
53,3,86,28.67,40,13.33,3307,1102.33,3336,1112.00,0,0.00,0,0.00
54,1,17,17.00,7,7.00,1317,1317.00,429,429.00,9,9.00,0,0.00
55,5,85,17.00,19,3.80,7541,1508.20,1308,261.60,0,0.00,0,0.00
56,4,224,56.00,224,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,12,274,22.83,174,14.50,10960,913.33,1732,144.33,20,1.67,0,0.00
58,2,8,4.00,4,2.00,974,487.00,62,31.00,0,0.00,0,0.00
59,2,19,9.50,3,1.50,2279,1139.50,360,180.00,30,15.00,0,0.00
60,14,39,2.79,14,1.00,12004,857.43,2366,169.00,29,2.07,0,0.00
62,3,130,43.33,126,42.00,677,225.67,58,19.33,0,0.00,0,0.00
63,14,248,17.71,100,7.14,16328,1166.29,6134,438.14,0,0.00,0,0.00
65,6,52,8.67,24,4.00,4597,766.17,468,78.00,106,17.67,0,0.00
66,1,8,8.00,3,3.00,2011,2011.00,170,170.00,0,0.00,0,0.00
67,3,66,22.00,18,6.00,3940,1313.33,2900,966.67,0,0.00,0,0.00
68,2,18,9.00,3,1.50,2011,1005.50,369,184.50,0,0.00,0,0.00
69,4,106,26.50,96,24.00,2356,589.00,146,36.50,0,0.00,0,0.00
70,1,25,25.00,15,15.00,1390,1390.00,90,90.00,0,0.00,0,0.00
72,2,16,8.00,2,1.00,2096,1048.00,446,223.00,0,0.00,0,0.00
73,28,658,23.50,222,7.93,39712,1418.29,20465,730.89,32,1.14,0,0.00
75,6,294,49.00,88,14.67,16236,2706.00,16087,2681.17,32,5.33,0,0.00
76,1,14,14.00,1,1.00,3456,3456.00,360,360.00,0,0.00,0,0.00
77,5,186,37.20,89,17.80,9107,1821.40,13058,2611.60,79,15.80,0,0.00
81,1,25,25.00,1,1.00,630,630.00,1320,1320.00,75,75.00,0,0.00
83,12,312,26.00,120,10.00,20436,1703.00,10692,891.00,0,0.00,0,0.00
84,6,6,1.00,6,1.00,3786,631.00,300,50.00,0,0.00,0,0.00
85,1,0,0.00,1,1.00,3,3.00,0,0.00,82,82.00,0,0.00
86,1,40,40.00,1,1.00,2800,2800.00,697,697.00,37,37.00,0,0.00
87,2,16,8.00,6,3.00,3762,1881.00,637,318.50,0,0.00,0,0.00
88,2,0,0.00,0,0.00,176,88.00,0,0.00,0,0.00,0,0.00
89,2,88,44.00,2,1.00,1140,570.00,7482,3741.00,0,0.00,0,0.00
90,1,30,30.00,2,2.00,1570,1570.00,3731,3731.00,83,83.00,0,0.00
91,2,180,90.00,92,46.00,4154,2077.00,16856,8428.00,0,0.00,0,0.00
93,7,194,27.71,72,10.29,15133,2161.86,6750,964.29,138,19.71,0,0.00
