tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1001888,1822951,1.82,1760320,1.76,0,0.00,0,0.00,0,0.00,0,0.00
2,14979,38640,2.58,32845,2.19,56738,3.79,5602,0.37,105,0.01,0,0.00
3,836782,1226095,1.47,1052294,1.26,10154144,12.13,266741,0.32,800,0.00,0,0.00
4,23356,53436,2.29,35473,1.52,392514,16.81,2384,0.10,73,0.00,0,0.00
5,92730,213514,2.30,174616,1.88,2938672,31.69,232451,2.51,789,0.01,0,0.00
6,8759,28125,3.21,22119,2.53,400954,45.78,18318,2.09,133,0.02,0,0.00
7,26507,211053,7.96,92899,3.50,1765591,66.61,365824,13.80,761,0.03,0,0.00
8,10606,33377,3.15,26603,2.51,735415,69.34,10762,1.01,88,0.01,0,0.00
9,19934,83044,4.17,43231,2.17,1169236,58.66,462286,23.19,2538,0.13,0,0.00
10,3249,17705,5.45,12275,3.78,239765,73.80,19619,6.04,159,0.05,0,0.00
11,14959,53497,3.58,55717,3.72,1943263,129.91,157567,10.53,141,0.01,0,0.00
12,3059,26196,8.56,17441,5.70,224085,73.25,43166,14.11,225,0.07,0,0.00
13,4171,33090,7.93,16591,3.98,506437,121.42,147126,35.27,1582,0.38,0,0.00
14,1373,13352,9.72,12462,9.08,135380,98.60,3818,2.78,1437,1.05,0,0.00
15,3856,29161,7.56,17036,4.42,315736,81.88,163129,42.31,642,0.17,0,0.00
16,2556,25608,10.02,22890,8.96,331143,129.56,15447,6.04,1134,0.44,0,0.00
17,5718,25027,4.38,14314,2.50,536698,93.86,177154,30.98,47412,8.29,0,0.00
18,554,4327,7.81,2071,3.74,133466,240.91,12480,22.53,1056,1.91,0,0.00
19,4311,30735,7.13,14730,3.42,1052113,244.05,316709,73.47,5812,1.35,0,0.00
20,564,5053,8.96,3327,5.90,101494,179.95,11630,20.62,749,1.33,0,0.00
21,1789,26693,14.92,11068,6.19,332837,186.05,183491,102.57,2829,1.58,0,0.00
22,788,5029,6.38,3244,4.12,140904,178.81,11765,14.93,280,0.36,0,0.00
23,4210,69288,16.46,53476,12.70,962941,228.73,373661,88.76,291,0.07,0,0.00
24,2256,12152,5.39,5571,2.47,934086,414.05,130382,57.79,167,0.07,0,0.00
25,1609,21774,13.53,9102,5.66,460051,285.92,327941,203.82,2151,1.34,0,0.00
26,662,5494,8.30,1659,2.51,601219,908.19,58954,89.05,61,0.09,0,0.00
27,3358,33027,9.84,13785,4.11,1577780,469.86,512342,152.57,635,0.19,0,0.00
28,339,7238,21.35,8960,26.43,219252,646.76,42402,125.08,1738,5.13,0,0.00
29,2280,36982,16.22,7460,3.27,3214238,1409.75,741361,325.16,221,0.10,0,0.00
30,351,2363,6.73,1041,2.97,177260,505.01,28333,80.72,1726,4.92,0,0.00
31,1192,16900,14.18,2510,2.11,490797,411.74,358958,301.14,2022,1.70,0,0.00
32,671,5880,8.76,1453,2.17,434607,647.70,102171,152.27,2058,3.07,0,0.00
33,1615,20268,12.55,7891,4.89,851792,527.43,368184,227.98,2653,1.64,0,0.00
34,362,4511,12.46,2452,6.77,151029,417.21,74043,204.54,2490,6.88,0,0.00
35,525,9011,17.16,3550,6.76,225678,429.86,276909,527.45,3190,6.08,0,0.00
36,296,5961,20.14,4646,15.70,101030,341.32,37446,126.51,652,2.20,0,0.00
