tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,136680,231548,1.69,247535,1.81,0,0.00,0,0.00,0,0.00,0,0.00
2,1702,3819,2.24,3567,2.10,5903,3.47,711,0.42,10,0.01,0,0.00
3,129774,186948,1.44,164305,1.27,1568654,12.09,37510,0.29,56,0.00,0,0.00
4,2299,6763,2.94,4176,1.82,45972,20.00,242,0.11,4,0.00,0,0.00
5,12319,27185,2.21,24168,1.96,394120,31.99,33319,2.70,118,0.01,0,0.00
6,786,2817,3.58,2389,3.04,21851,27.80,2119,2.70,28,0.04,0,0.00
7,4151,24679,5.95,9069,2.18,216377,52.13,46983,11.32,82,0.02,0,0.00
8,598,2674,4.47,2392,4.00,31353,52.43,1402,2.34,20,0.03,0,0.00
9,3162,13067,4.13,6660,2.11,189425,59.91,74895,23.69,278,0.09,0,0.00
10,476,2408,5.06,1893,3.98,28668,60.23,3165,6.65,0,0.00,0,0.00
11,2226,6249,2.81,8454,3.80,285186,128.12,20060,9.01,17,0.01,0,0.00
12,391,3035,7.76,2300,5.88,28221,72.18,6990,17.88,0,0.00,0,0.00
13,660,4476,6.78,2590,3.92,74261,112.52,21093,31.96,265,0.40,0,0.00
14,219,2178,9.95,2123,9.69,21087,96.29,313,1.43,183,0.84,0,0.00
15,528,4704,8.91,2796,5.30,45112,85.44,25325,47.96,26,0.05,0,0.00
16,378,3615,9.56,3325,8.80,53671,141.99,2140,5.66,182,0.48,0,0.00
17,954,4151,4.35,2318,2.43,84114,88.17,30107,31.56,8025,8.41,0,0.00
18,86,975,11.34,839,9.76,19115,222.27,1606,18.67,181,2.10,0,0.00
19,714,5186,7.26,2494,3.49,171230,239.82,52452,73.46,849,1.19,0,0.00
20,96,631,6.57,453,4.72,16328,170.08,2164,22.54,74,0.77,0,0.00
21,227,2714,11.96,1180,5.20,42247,186.11,31376,138.22,113,0.50,0,0.00
22,132,416,3.15,412,3.12,24537,185.89,1865,14.13,38,0.29,0,0.00
23,685,11442,16.70,8736,12.75,160340,234.07,52706,76.94,54,0.08,0,0.00
24,344,1860,5.41,794,2.31,148006,430.25,22006,63.97,0,0.00,0,0.00
25,243,3201,13.17,1567,6.45,71158,292.83,45172,185.89,476,1.96,0,0.00
26,110,870,7.91,250,2.27,102460,931.45,10030,91.18,0,0.00,0,0.00
27,612,5663,9.25,2215,3.62,273848,447.46,84512,138.09,122,0.20,0,0.00
28,30,310,10.33,130,4.33,12406,413.53,5719,190.63,284,9.47,0,0.00
29,411,6896,16.78,1584,3.85,565022,1374.75,142127,345.81,0,0.00,0,0.00
30,33,306,9.27,125,3.79,12175,368.94,4824,146.18,91,2.76,0,0.00
31,190,2460,12.95,407,2.14,83355,438.71,53637,282.30,430,2.26,0,0.00
32,50,400,8.00,100,2.00,30810,616.20,7810,156.20,300,6.00,0,0.00
33,201,2770,13.78,1000,4.98,101925,507.09,49942,248.47,462,2.30,0,0.00
34,30,410,13.67,110,3.67,13474,449.13,5091,169.70,386,12.87,0,0.00
35,90,1550,17.22,610,6.78,38460,427.33,47700,530.00,550,6.11,0,0.00
36,51,1025,20.10,801,15.71,17347,340.14,6434,126.16,110,2.16,0,0.00
37,131,2833,21.63,1645,12.56,75549,576.71,49919,381.06,299,2.28,0,0.00
38,10,170,17.00,10,1.00,4040,404.00,5440,544.00,0,0.00,0,0.00
39,80,885,11.06,388,4.85,56879,710.99,19264,240.80,244,3.05,0,0.00
40,81,709,8.75,81,1.00,57111,705.07,11384,140.54,316,3.90,0,0.00
41,71,1320,18.59,545,7.68,65988,929.41,25604,360.62,0,0.00,0,0.00
42,758,1246,1.64,1488,1.96,141056,186.09,17148,22.62,120,0.16,0,0.00
43,465,6609,14.21,2787,5.99,399203,858.50,105750,227.42,144,0.31,0,0.00
44,40,1100,27.50,900,22.50,17140,428.50,8280,207.00,0,0.00,0,0.00
45,164,2988,18.22,1454,8.87,141958,865.60,67617,412.30,1094,6.67,0,0.00
46,32,386,12.06,87,2.72,15304,478.25,7843,245.09,168,5.25,0,0.00
47,241,3956,16.41,1566,6.50,225125,934.13,59699,247.71,337,1.40,0,0.00
48,44,706,16.05,84,1.91,29344,666.91,8431,191.61,780,17.73,0,0.00
49,80,1430,17.88,490,6.12,63492,793.65,42953,536.91,594,7.42,0,0.00
50,51,1542,30.24,1031,20.22,28630,561.37,17993,352.80,34,0.67,0,0.00
51,30,880,29.33,320,10.67,62716,2090.53,23723,790.77,144,4.80,0,0.00
52,62,1159,18.69,437,7.05,43333,698.92,37563,605.85,249,4.02,0,0.00
53,30,860,28.67,400,13.33,33070,1102.33,33360,1112.00,0,0.00,0,0.00
54,14,220,15.71,78,5.57,18274,1305.29,5798,414.14,90,6.43,0,0.00
55,51,862,16.90,195,3.82,76585,1501.67,13394,262.63,0,0.00,0,0.00
56,41,2255,55.00,2241,54.66,1127,27.49,229,5.59,0,0.00,0,0.00
57,121,2742,22.66,1743,14.40,111409,920.74,19223,158.87,0,0.00,0,0.00
58,27,94,3.48,47,1.74,13163,487.52,669,24.78,0,0.00,0,0.00
59,20,190,9.50,30,1.50,22541,1127.05,3600,180.00,549,27.45,0,0.00
60,145,421,2.90,145,1.00,125108,862.81,24674,170.17,275,1.90,0,0.00
61,2,12,6.00,4,2.00,3218,1609.00,960,480.00,0,0.00,0,0.00
62,30,1300,43.33,1260,42.00,6770,225.67,580,19.33,0,0.00,0,0.00
63,180,3280,18.22,1320,7.33,214360,1190.89,81580,453.22,0,0.00,0,0.00
64,2,34,17.00,42,21.00,5430,2715.00,1376,688.00,0,0.00,0,0.00
65,60,520,8.67,240,4.00,45970,766.17,4680,78.00,1060,17.67,0,0.00
66,10,80,8.00,30,3.00,19080,1908.00,1602,160.20,42,4.20,0,0.00
67,52,1144,22.00,356,6.85,69166,1330.12,41606,800.12,0,0.00,0,0.00
68,20,180,9.00,30,1.50,20110,1005.50,3690,184.50,0,0.00,0,0.00
69,40,1060,26.50,960,24.00,23560,589.00,1460,36.50,0,0.00,0,0.00
70,10,250,25.00,150,15.00,13900,1390.00,900,90.00,0,0.00,0,0.00
72,20,160,8.00,20,1.00,20960,1048.00,4460,223.00,0,0.00,0,0.00
73,240,5660,23.58,1860,7.75,337860,1407.75,190040,791.83,0,0.00,0,0.00
75,60,2940,49.00,880,14.67,162700,2711.67,188860,3147.67,0,0.00,0,0.00
76,10,140,14.00,10,1.00,34560,3456.00,3600,360.00,0,0.00,0,0.00
77,51,1885,36.96,899,17.63,92636,1816.39,131343,2575.35,790,15.49,0,0.00
79,1,17,17.00,6,6.00,1489,1489.00,960,960.00,0,0.00,0,0.00
81,10,250,25.00,10,1.00,6300,630.00,13200,1320.00,750,75.00,0,0.00
83,100,2600,26.00,1000,10.00,170300,1703.00,89100,891.00,0,0.00,0,0.00
84,50,50,1.00,50,1.00,31550,631.00,2500,50.00,0,0.00,0,0.00
85,10,0,0.00,10,1.00,30,3.00,0,0.00,820,82.00,0,0.00
86,10,400,40.00,10,1.00,28037,2803.70,6970,697.00,367,36.70,0,0.00
87,20,160,8.00,60,3.00,37620,1881.00,6370,318.50,0,0.00,0,0.00
88,20,0,0.00,0,0.00,1760,88.00,0,0.00,0,0.00,0,0.00
89,20,880,44.00,20,1.00,11400,570.00,74820,3741.00,0,0.00,0,0.00
90,10,300,30.00,20,2.00,15700,1570.00,37310,3731.00,830,83.00,0,0.00
91,21,1845,87.86,921,43.86,42211,2010.05,169535,8073.10,0,0.00,0,0.00
93,70,1940,27.71,720,10.29,151330,2161.86,67500,964.29,1380,19.71,0,0.00
96,500,3600,7.20,1840,3.68,841860,1683.72,248880,497.76,4420,8.84,0,0.00
97,41,1271,31.00,451,11.00,81672,1992.00,50184,1224.00,0,0.00,0,0.00
98,20,220,11.00,20,1.00,63140,3157.00,6040,302.00,1400,70.00,0,0.00
99,10,10,1.00,20,2.00,12330,1233.00,1210,121.00,0,0.00,0,0.00
100,10,180,18.00,10,1.00,49570,4957.00,6390,639.00,0,0.00,0,0.00
101,20,1000,50.00,20,1.00,12312,615.60,55040,2752.00,608,30.40,0,0.00
103,100,4600,46.00,2000,20.00,216872,2168.72,236364,2363.64,610,6.10,0,0.00
107,51,1394,27.33,502,9.84,90435,1773.24,61295,1201.86,1040,20.39,0,0.00
109,10,180,18.00,20,2.00,22440,2244.00,6690,669.00,630,63.00,0,0.00
113,540,18360,34.00,4700,8.70,2071960,3836.96,693580,1284.41,680,1.26,0,0.00
114,10,80,8.00,20,2.00,1890,189.00,210,21.00,0,0.00,0,0.00
115,60,5700,95.00,2340,39.00,120420,2007.00,676560,11276.00,0,0.00,0,0.00
116,4,80,20.00,32,8.00,22428,5607.00,2160,540.00,0,0.00,0,0.00
117,90,4900,54.44,1970,21.89,265260,2947.33,402990,4477.67,0,0.00,0,0.00
123,67,2316,34.57,859,12.82,163310,2437.46,122851,1833.60,0,0.00,0,0.00
124,10,220,22.00,10,1.00,64580,6458.00,10150,1015.00,0,0.00,0,0.00
125,30,1240,41.33,30,1.00,17190,573.00,150060,5002.00,140,4.67,0,0.00
127,71,4189,59.00,1729,24.35,214291,3018.18,403506,5683.18,2602,36.65,0,0.00
129,10,0,0.00,10,1.00,250,25.00,0,0.00,1040,104.00,0,0.00
130,20,230,11.50,80,4.00,79000,3950.00,9704,485.20,40,2.00,0,0.00
133,26,964,37.08,360,13.85,93616,3600.62,50270,1933.46,0,0.00,0,0.00
134,1,38,38.00,19,19.00,6641,6641.00,1096,1096.00,0,0.00,0,0.00
136,10,650,65.00,10,1.00,30087,3008.70,7513,751.30,950,95.00,0,0.00
137,71,3053,43.00,1065,15.00,201924,2844.00,175370,2470.00,0,0.00,0,0.00
141,10,620,62.00,160,16.00,43500,4350.00,51900,5190.00,0,0.00,0,0.00
143,20,880,44.00,320,16.00,59620,2981.00,53880,2694.00,0,0.00,0,0.00
144,10,70,7.00,20,2.00,36350,3635.00,2660,266.00,860,86.00,0,0.00
145,10,0,0.00,10,1.00,230,23.00,0,0.00,1220,122.00,0,0.00
147,110,4600,41.82,1610,14.64,307170,2792.45,284900,2590.00,0,0.00,0,0.00
