tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,39977,66362,1.66,71443,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,501,1104,2.20,1059,2.11,1761,3.51,210,0.42,3,0.01,0,0.00
3,38858,55712,1.43,49091,1.26,469236,12.08,10992,0.28,29,0.00,0,0.00
4,671,1931,2.88,1196,1.78,13185,19.65,69,0.10,1,0.00,0,0.00
5,3465,7563,2.18,6852,1.98,110865,32.00,9450,2.73,48,0.01,0,0.00
6,223,770,3.45,684,3.07,6149,27.57,614,2.75,7,0.03,0,0.00
7,1224,7412,6.06,2664,2.18,64047,52.33,13818,11.29,38,0.03,0,0.00
8,177,726,4.10,669,3.78,8813,49.79,396,2.24,4,0.02,0,0.00
9,918,3807,4.15,1938,2.11,54602,59.48,21915,23.87,71,0.08,0,0.00
10,129,645,5.00,495,3.84,8088,62.70,891,6.91,0,0.00,0,0.00
11,664,1808,2.72,2506,3.77,84512,127.28,6013,9.06,10,0.02,0,0.00
12,114,930,8.16,711,6.24,7578,66.47,2097,18.39,0,0.00,0,0.00
13,191,1315,6.88,804,4.21,21502,112.58,5732,30.01,99,0.52,0,0.00
14,63,621,9.86,624,9.90,5730,90.95,66,1.05,42,0.67,0,0.00
15,162,1422,8.78,837,5.17,13754,84.90,7989,49.31,29,0.18,0,0.00
16,119,1134,9.53,1091,9.17,15666,131.65,516,4.34,24,0.20,0,0.00
17,281,1221,4.35,673,2.40,24020,85.48,8836,31.44,2394,8.52,0,0.00
18,23,129,5.61,88,3.83,5878,255.57,478,20.78,54,2.35,0,0.00
19,213,1521,7.14,741,3.48,51201,240.38,15531,72.92,270,1.27,0,0.00
20,25,169,6.76,116,4.64,4432,177.28,613,24.52,0,0.00,0,0.00
21,61,745,12.21,344,5.64,11414,187.11,8320,136.39,36,0.59,0,0.00
22,36,117,3.25,117,3.25,6669,185.25,536,14.89,13,0.36,0,0.00
23,207,3453,16.68,2619,12.65,47718,230.52,16392,79.19,15,0.07,0,0.00
24,102,552,5.41,237,2.32,43929,430.68,6579,64.50,0,0.00,0,0.00
25,63,918,14.57,447,7.10,20601,327.00,12636,200.57,120,1.90,0,0.00
26,33,261,7.91,75,2.27,30738,931.45,3009,91.18,0,0.00,0,0.00
27,183,1710,9.34,645,3.52,79688,435.45,26166,142.98,85,0.46,0,0.00
28,9,93,10.33,39,4.33,3708,412.00,1560,173.33,99,11.00,0,0.00
29,123,2067,16.80,474,3.85,169248,1376.00,42471,345.29,6,0.05,0,0.00
30,9,87,9.67,36,4.00,3141,349.00,1359,151.00,12,1.33,0,0.00
31,62,807,13.02,107,1.73,24707,398.50,18626,300.42,63,1.02,0,0.00
32,15,120,8.00,30,2.00,9041,602.73,2196,146.40,124,8.27,0,0.00
33,60,831,13.85,300,5.00,30639,510.65,15951,265.85,75,1.25,0,0.00
34,9,123,13.67,33,3.67,4104,456.00,2007,223.00,54,6.00,0,0.00
35,27,465,17.22,183,6.78,11514,426.44,13809,511.44,183,6.78,0,0.00
36,15,306,20.40,240,16.00,5091,339.40,1917,127.80,33,2.20,0,0.00
37,45,924,20.53,522,11.60,26562,590.27,14793,328.73,228,5.07,0,0.00
38,3,51,17.00,3,1.00,1194,398.00,1128,376.00,18,6.00,0,0.00
39,21,240,11.43,105,5.00,14205,676.43,5793,275.86,141,6.71,0,0.00
40,26,224,8.62,26,1.00,18013,692.81,3791,145.81,99,3.81,0,0.00
41,21,387,18.43,159,7.57,19524,929.71,7488,356.57,0,0.00,0,0.00
42,225,357,1.59,444,1.97,40224,178.77,4974,22.11,36,0.16,0,0.00
43,135,1905,14.11,804,5.96,115883,858.39,30846,228.49,165,1.22,0,0.00
44,12,330,27.50,270,22.50,5142,428.50,2484,207.00,0,0.00,0,0.00
45,48,888,18.50,435,9.06,41299,860.40,20593,429.02,366,7.62,0,0.00
46,9,108,12.00,24,2.67,4119,457.67,2166,240.67,60,6.67,0,0.00
47,72,1182,16.42,468,6.50,67238,933.86,19217,266.90,122,1.69,0,0.00
48,12,192,16.00,24,2.00,7860,655.00,3030,252.50,255,21.25,0,0.00
49,24,429,17.88,147,6.12,19023,792.62,12549,522.88,198,8.25,0,0.00
50,15,459,30.60,309,20.60,8349,556.60,5349,356.60,0,0.00,0,0.00
51,9,264,29.33,96,10.67,18801,2089.00,6333,703.67,60,6.67,0,0.00
52,19,325,17.11,121,6.37,13667,719.32,11092,583.79,60,3.16,0,0.00
53,9,258,28.67,120,13.33,9921,1102.33,10008,1112.00,0,0.00,0,0.00
54,3,51,17.00,21,7.00,3951,1317.00,1287,429.00,27,9.00,0,0.00
55,15,255,17.00,57,3.80,22623,1508.20,3924,261.60,0,0.00,0,0.00
56,12,672,56.00,672,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,37,841,22.73,529,14.30,34104,921.73,6152,166.27,0,0.00,0,0.00
58,6,24,4.00,12,2.00,2922,487.00,186,31.00,0,0.00,0,0.00
59,6,57,9.50,9,1.50,6837,1139.50,1080,180.00,90,15.00,0,0.00
60,42,117,2.79,42,1.00,36012,857.43,7098,169.00,87,2.07,0,0.00
62,9,390,43.33,378,42.00,2031,225.67,174,19.33,0,0.00,0,0.00
63,54,984,18.22,396,7.33,64308,1190.89,24474,453.22,0,0.00,0,0.00
65,18,156,8.67,72,4.00,13791,766.17,1404,78.00,318,17.67,0,0.00
66,3,24,8.00,9,3.00,6033,2011.00,510,170.00,0,0.00,0,0.00
67,9,198,22.00,54,6.00,11820,1313.33,8700,966.67,0,0.00,0,0.00
68,6,54,9.00,9,1.50,6033,1005.50,1107,184.50,0,0.00,0,0.00
69,12,318,26.50,288,24.00,7068,589.00,438,36.50,0,0.00,0,0.00
70,3,75,25.00,45,15.00,4170,1390.00,270,90.00,0,0.00,0,0.00
72,6,48,8.00,6,1.00,6288,1048.00,1338,223.00,0,0.00,0,0.00
73,78,1836,23.54,612,7.85,110298,1414.08,61122,783.62,0,0.00,0,0.00
75,18,882,49.00,264,14.67,48810,2711.67,56658,3147.67,0,0.00,0,0.00
76,3,42,14.00,3,1.00,10368,3456.00,1080,360.00,0,0.00,0,0.00
77,15,558,37.20,267,17.80,27321,1821.40,39174,2611.60,237,15.80,0,0.00
81,3,75,25.00,3,1.00,1890,630.00,3960,1320.00,225,75.00,0,0.00
83,30,780,26.00,300,10.00,51090,1703.00,26730,891.00,0,0.00,0,0.00
84,18,18,1.00,18,1.00,11358,631.00,900,50.00,0,0.00,0,0.00
85,3,0,0.00,3,1.00,9,3.00,0,0.00,246,82.00,0,0.00
86,3,120,40.00,3,1.00,8400,2800.00,2091,697.00,111,37.00,0,0.00
87,6,48,8.00,18,3.00,11286,1881.00,1911,318.50,0,0.00,0,0.00
88,7,0,0.00,1,0.14,531,75.86,0,0.00,85,12.14,0,0.00
89,6,264,44.00,6,1.00,3420,570.00,22446,3741.00,0,0.00,0,0.00
90,5,90,18.00,8,1.60,4716,943.20,11193,2238.60,423,84.60,0,0.00
91,6,540,90.00,276,46.00,12462,2077.00,50568,8428.00,0,0.00,0,0.00
93,21,582,27.71,216,10.29,45105,2147.86,19650,935.71,651,31.00,0,0.00
96,150,1080,7.20,552,3.68,252222,1681.48,74664,497.76,1410,9.40,0,0.00
97,12,372,31.00,132,11.00,23904,1992.00,14688,1224.00,0,0.00,0,0.00
98,6,66,11.00,6,1.00,18942,3157.00,1812,302.00,420,70.00,0,0.00
100,3,54,18.00,3,1.00,14871,4957.00,1917,639.00,0,0.00,0,0.00
101,6,300,50.00,6,1.00,3888,648.00,29106,4851.00,0,0.00,0,0.00
103,24,1188,49.50,528,22.00,52476,2186.50,90474,3769.75,0,0.00,0,0.00
107,15,408,27.20,147,9.80,26469,1764.60,17940,1196.00,312,20.80,0,0.00
109,3,54,18.00,6,2.00,6732,2244.00,2007,669.00,189,63.00,0,0.00
113,162,5508,34.00,1410,8.70,621342,3835.44,200397,1237.02,444,2.74,0,0.00
114,3,24,8.00,6,2.00,567,189.00,63,21.00,0,0.00,0,0.00
115,18,1710,95.00,702,39.00,35886,1993.67,186408,10356.00,240,13.33,0,0.00
116,3,60,20.00,24,8.00,16821,5607.00,1620,540.00,0,0.00,0,0.00
117,30,1581,52.70,630,21.00,86832,2894.40,126276,4209.20,0,0.00,0,0.00
119,3,33,11.00,3,1.00,14655,4885.00,804,268.00,276,92.00,0,0.00
123,19,686,36.11,254,13.37,47470,2498.42,35842,1886.42,0,0.00,0,0.00
124,3,66,22.00,3,1.00,19374,6458.00,3045,1015.00,0,0.00,0,0.00
125,9,372,41.33,9,1.00,4959,551.00,45018,5002.00,240,26.67,0,0.00
127,18,1110,61.67,474,26.33,52812,2934.00,114684,6371.33,741,41.17,0,0.00
129,3,0,0.00,3,1.00,75,25.00,0,0.00,312,104.00,0,0.00
130,6,69,11.50,24,4.00,23718,3953.00,2982,497.00,0,0.00,0,0.00
133,12,492,41.00,180,15.00,33216,2768.00,27912,2326.00,0,0.00,0,0.00
136,3,195,65.00,3,1.00,8972,2990.67,2229,743.00,305,101.67,0,0.00
137,21,903,43.00,315,15.00,59724,2844.00,51870,2470.00,0,0.00,0,0.00
141,3,186,62.00,48,16.00,13050,4350.00,15570,5190.00,0,0.00,0,0.00
143,6,264,44.00,96,16.00,17886,2981.00,16164,2694.00,0,0.00,0,0.00
144,3,21,7.00,6,2.00,10905,3635.00,798,266.00,258,86.00,0,0.00
145,3,0,0.00,3,1.00,69,23.00,0,0.00,366,122.00,0,0.00
147,33,1380,41.82,483,14.64,92151,2792.45,85470,2590.00,0,0.00,0,0.00
153,12,378,31.50,108,9.00,63462,5288.50,27708,2309.00,0,0.00,0,0.00
157,26,1274,49.00,442,17.00,85020,3270.00,84630,3255.00,0,0.00,0,0.00
163,6,300,50.00,108,18.00,20442,3407.00,21066,3511.00,0,0.00,0,0.00
165,6,0,0.00,6,1.00,564,94.00,0,0.00,426,71.00,0,0.00
167,3,18,6.00,3,1.00,20065,6688.33,1696,565.33,206,68.67,0,0.00
171,3,72,24.00,3,1.00,11129,3709.67,9747,3249.00,274,91.33,0,0.00
172,3,90,30.00,3,1.00,27111,9037.00,4349,1449.67,287,95.67,0,0.00
173,3,15,5.00,9,3.00,23259,7753.00,858,286.00,393,131.00,0,0.00
175,3,90,30.00,18,6.00,15609,5203.00,3266,1088.67,302,100.67,0,0.00
182,3,36,12.00,18,6.00,11721,3907.00,3786,1262.00,369,123.00,0,0.00
184,6,180,30.00,39,6.50,61245,10207.50,8724,1454.00,333,55.50,0,0.00
186,3,120,40.00,27,9.00,22719,7573.00,7137,2379.00,231,77.00,0,0.00
191,3,3,1.00,48,16.00,32208,10736.00,5226,1742.00,0,0.00,0,0.00
192,3,27,9.00,21,7.00,13483,4494.33,2960,986.67,117,39.00,0,0.00
196,6,105,17.50,21,3.50,37386,6231.00,9045,1507.50,540,90.00,0,0.00
