tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1282038,2153888,1.68,1854580,1.45,0,0.00,0,0.00,0,0.00,0,0.00
2,22525,51653,2.29,30109,1.34,127513,5.66,2822,0.13,45,0.00,0,0.00
3,610116,883747,1.45,771836,1.27,7394225,12.12,175566,0.29,156,0.00,0,0.00
4,42137,58960,1.40,49545,1.18,607305,14.41,322,0.01,1,0.00,0,0.00
5,62618,146433,2.34,113885,1.82,1965133,31.38,144117,2.30,945,0.02,0,0.00
6,7999,21167,2.65,15132,1.89,248537,31.07,7242,0.91,131,0.02,0,0.00
7,25240,131268,5.20,52944,2.10,1311643,51.97,286615,11.36,54,0.00,0,0.00
8,2275,9501,4.18,8901,3.91,104622,45.99,3854,1.69,4,0.00,0,0.00
9,17623,57619,3.27,31972,1.81,989318,56.14,324765,18.43,762,0.04,0,0.00
10,3479,31914,9.17,18779,5.40,191013,54.90,21791,6.26,54,0.02,0,0.00
11,9586,27506,2.87,37090,3.87,1220588,127.33,93062,9.71,180,0.02,0,0.00
12,1415,12297,8.69,9601,6.79,84755,59.90,23371,16.52,0,0.00,0,0.00
13,10175,28808,2.83,20795,2.04,1200202,117.96,94416,9.28,1246,0.12,0,0.00
14,799,9098,11.39,9109,11.40,60242,75.40,1092,1.37,238,0.30,0,0.00
15,1981,16488,8.32,7224,3.65,202860,102.40,117554,59.34,405,0.20,0,0.00
16,1261,12916,10.24,12650,10.03,135857,107.74,3917,3.11,276,0.22,0,0.00
17,4205,18676,4.44,10177,2.42,358340,85.22,134666,32.03,35984,8.56,0,0.00
18,181,1607,8.88,1068,5.90,46609,257.51,6599,36.46,108,0.60,0,0.00
19,9029,40372,4.47,22868,2.53,1557142,172.46,248215,27.49,1200,0.13,0,0.00
20,338,2873,8.50,1992,5.89,54188,160.32,9139,27.04,80,0.24,0,0.00
21,952,11806,12.40,5090,5.35,168755,177.26,137178,144.09,571,0.60,0,0.00
22,1070,8309,7.77,2213,2.07,395043,369.20,19467,18.19,1310,1.22,0,0.00
23,2365,46302,19.58,36865,15.59,452503,191.33,197528,83.52,286,0.12,0,0.00
24,1645,9549,5.80,3947,2.40,693305,421.46,123533,75.10,59,0.04,0,0.00
25,1201,16637,13.85,6272,5.22,241334,200.94,267646,222.85,2195,1.83,0,0.00
26,538,4286,7.97,1154,2.14,477158,886.91,46751,86.90,127,0.24,0,0.00
27,2669,24486,9.17,9985,3.74,1220659,457.35,351343,131.64,2477,0.93,0,0.00
28,862,2436,2.83,1414,1.64,422191,489.78,28035,32.52,1373,1.59,0,0.00
29,1564,27135,17.35,6780,4.34,2479623,1585.44,543885,347.75,6,0.00,0,0.00
30,4975,10835,2.18,5380,1.08,3170321,637.25,18462,3.71,187,0.04,0,0.00
31,901,11701,12.99,1657,1.84,362110,401.90,269600,299.22,2223,2.47,0,0.00
32,435,1160,2.67,795,1.83,275765,633.94,25908,59.56,2188,5.03,0,0.00
33,1081,15890,14.70,6841,6.33,619368,572.96,292433,270.52,2108,1.95,0,0.00
34,5017,40899,8.15,15139,3.02,2266633,451.79,291993,58.20,1936,0.39,0,0.00
35,371,4345,11.71,1315,3.54,172694,465.48,124165,334.68,1245,3.36,0,0.00
36,135,1350,10.00,360,2.67,76365,565.67,28755,213.00,495,3.67,0,0.00
37,830,17214,20.74,11209,13.50,435328,524.49,237683,286.37,1162,1.40,0,0.00
38,59,793,13.44,59,1.00,31868,540.14,24200,410.17,18,0.31,0,0.00
39,299,3667,12.26,1622,5.42,226446,757.34,80984,270.85,1305,4.36,0,0.00
40,336,3117,9.28,420,1.25,231107,687.82,50145,149.24,1111,3.31,0,0.00
41,225,4365,19.40,1755,7.80,195210,867.60,108270,481.20,0,0.00,0,0.00
42,3375,5355,1.59,6660,1.97,603360,178.77,74610,22.11,540,0.16,0,0.00
43,2164,30800,14.23,13066,6.04,1877999,867.84,473548,218.83,722,0.33,0,0.00
44,180,4950,27.50,4050,22.50,77130,428.50,37260,207.00,0,0.00,0,0.00
45,474,9696,20.46,4998,10.54,333607,703.81,252257,532.19,5076,10.71,0,0.00
46,97,1275,13.14,167,1.72,52228,538.43,24459,252.15,1139,11.74,0,0.00
47,1174,19178,16.34,7658,6.52,1109898,945.40,275541,234.70,2495,2.13,0,0.00
48,141,2580,18.30,204,1.45,81141,575.47,33567,238.06,3573,25.34,0,0.00
49,335,6360,18.99,2180,6.51,260526,777.69,191903,572.84,2798,8.35,0,0.00
50,175,6125,35.00,4723,26.99,52228,298.45,52746,301.41,118,0.67,0,0.00
51,213,4584,21.52,1596,7.49,373326,1752.70,121359,569.76,690,3.24,0,0.00
52,271,4693,17.32,1801,6.65,180199,664.94,166786,615.45,1614,5.96,0,0.00
53,405,8370,20.67,3690,9.11,444465,1097.44,217890,538.00,0,0.00,0,0.00
54,126,1659,13.17,396,3.14,116045,920.99,27271,216.44,917,7.28,0,0.00
55,161,2593,16.11,875,5.43,223011,1385.16,30592,190.01,565,3.51,0,0.00
56,90,5040,56.00,5040,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,543,15955,29.38,12339,22.72,382250,703.96,73626,135.59,1512,2.78,0,0.00
58,91,376,4.13,181,1.99,45032,494.86,3043,33.44,0,0.00,0,0.00
59,55,583,10.60,116,2.11,67151,1220.93,11387,207.04,1595,29.00,0,0.00
60,528,1580,2.99,528,1.00,481322,911.59,95100,180.11,156,0.30,0,0.00
61,90,5490,61.00,5490,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,46,286,6.22,100,2.17,30975,673.37,2610,56.74,0,0.00,0,0.00
63,916,16706,18.24,6736,7.35,1096800,1197.38,413660,451.59,30,0.03,0,0.00
65,206,1616,7.84,782,3.80,134935,655.02,7774,37.74,3121,15.15,0,0.00
66,45,364,8.09,135,3.00,89950,1998.89,7648,169.96,57,1.27,0,0.00
67,228,4996,21.91,1550,6.80,303799,1332.45,183273,803.83,0,0.00,0,0.00
68,68,463,6.81,74,1.09,75781,1114.43,13401,197.07,153,2.25,0,0.00
69,183,4821,26.34,4350,23.77,107775,588.93,6570,35.90,0,0.00,0,0.00
70,95,1625,17.11,875,9.21,155192,1633.60,4250,44.74,38,0.40,0,0.00
72,90,720,8.00,90,1.00,94320,1048.00,20070,223.00,0,0.00,0,0.00
73,990,22230,22.45,8280,8.36,1477440,1492.36,631440,637.82,360,0.36,0,0.00
75,271,9915,36.59,636,2.35,623621,2301.18,583197,2152.02,0,0.00,0,0.00
76,148,1584,10.70,275,1.86,316188,2136.41,28200,190.54,1571,10.61,0,0.00
77,327,16407,50.17,8013,24.50,570483,1744.60,1149129,3514.16,2229,6.82,0,0.00
79,1,17,17.00,6,6.00,1489,1489.00,960,960.00,0,0.00,0,0.00
81,45,1125,25.00,45,1.00,28350,630.00,59400,1320.00,3375,75.00,0,0.00
82,4876,126767,26.00,48751,10.00,6317532,1295.64,4665811,956.89,1494,0.31,0,0.00
83,391,9539,24.40,3740,9.57,648276,1657.99,322790,825.55,1221,3.12,0,0.00
84,284,1949,6.86,364,1.28,296760,1044.93,39068,137.56,1310,4.61,0,0.00
85,45,0,0.00,45,1.00,135,3.00,0,0.00,3690,82.00,0,0.00
86,6,240,40.00,6,1.00,16911,2818.50,4182,697.00,213,35.50,0,0.00
87,220,3892,17.69,1375,6.25,474504,2156.84,142688,648.58,0,0.00,0,0.00
88,91,18,0.20,5,0.05,8905,97.86,547,6.01,0,0.00,0,0.00
89,90,3960,44.00,90,1.00,51300,570.00,336690,3741.00,0,0.00,0,0.00
90,45,1350,30.00,90,2.00,70650,1570.00,167895,3731.00,3735,83.00,0,0.00
91,197,9913,50.32,4383,22.25,413817,2100.59,784502,3982.24,5126,26.02,0,0.00
93,186,5340,28.71,2016,10.84,367758,1977.19,206364,1109.48,0,0.00,0,0.00
96,2250,16200,7.20,8280,3.68,3796536,1687.35,1119960,497.76,13776,6.12,0,0.00
97,271,8401,31.00,2981,11.00,539832,1992.00,331704,1224.00,0,0.00,0,0.00
98,90,990,11.00,90,1.00,284130,3157.00,27180,302.00,6300,70.00,0,0.00
99,46,62,1.35,91,1.98,56676,1232.09,5901,128.28,0,0.00,0,0.00
100,45,810,18.00,45,1.00,223065,4957.00,28755,639.00,0,0.00,0,0.00
101,90,4500,50.00,90,1.00,58320,648.00,436590,4851.00,0,0.00,0,0.00
102,1,14,14.00,5,5.00,2210,2210.00,170,170.00,0,0.00,0,0.00
103,630,26460,42.00,11160,17.71,1361970,2161.86,1730790,2747.29,0,0.00,0,0.00
107,46,34,0.74,57,1.24,2340,50.87,1495,32.50,4680,101.74,0,0.00
109,45,810,18.00,90,2.00,100980,2244.00,30105,669.00,2835,63.00,0,0.00
113,2470,81090,32.83,22350,9.05,9537099,3861.17,2730556,1105.49,10583,4.28,0,0.00
114,6,48,8.00,12,2.00,1134,189.00,126,21.00,0,0.00,0,0.00
115,270,20520,76.00,5400,20.00,370372,1371.75,2357154,8730.20,326,1.21,0,0.00
116,3,60,20.00,24,8.00,16680,5560.00,1325,441.67,109,36.33,0,0.00
117,366,27756,75.84,12966,35.43,944546,2580.73,2848719,7783.39,5769,15.76,0,0.00
118,4,68,17.00,8,2.00,16818,4204.50,924,231.00,325,81.25,0,0.00
123,465,19200,41.29,5160,11.10,1013190,2178.90,1369680,2945.55,0,0.00,0,0.00
124,45,990,22.00,45,1.00,290610,6458.00,45675,1015.00,0,0.00,0,0.00
125,135,11160,82.67,5715,42.33,263385,1951.00,1471500,10900.00,1080,8.00,0,0.00
127,406,14468,35.64,4514,11.12,1135884,2797.74,678720,1671.72,10920,26.90,0,0.00
129,45,0,0.00,45,1.00,1125,25.00,0,0.00,4680,104.00,0,0.00
130,86,951,11.06,332,3.86,329750,3834.30,41105,477.97,93,1.08,0,0.00
133,132,4464,33.82,1419,10.75,414966,3143.68,312420,2366.82,468,3.55,0,0.00
134,39,1131,29.00,195,5.00,195039,5001.00,76362,1958.00,234,6.00,0,0.00
135,2,0,0.00,2,1.00,2,1.00,2,1.00,188,94.00,0,0.00
136,6,390,65.00,6,1.00,18437,3072.83,4373,728.83,374,62.33,0,0.00
137,225,9675,43.00,3375,15.00,639900,2844.00,555750,2470.00,0,0.00,0,0.00
138,5,0,0.00,5,1.00,15,3.00,0,0.00,675,135.00,0,0.00
140,5,160,32.00,81,16.20,7952,1590.40,1641,328.20,321,64.20,0,0.00
141,45,411,9.13,291,6.47,388254,8627.87,57426,1276.13,5343,118.73,0,0.00
142,4,0,0.00,4,1.00,12,3.00,0,0.00,556,139.00,0,0.00
