tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,741759,1218861,1.64,1174730,1.58,0,0.00,0,0.00,0,0.00,0,0.00
2,6361,14576,2.29,12283,1.93,21920,3.45,2306,0.36,28,0.00,0,0.00
3,428068,595300,1.39,526808,1.23,5152636,12.04,135251,0.32,6066,0.01,0,0.00
4,7430,19590,2.64,12821,1.73,144716,19.48,943,0.13,8,0.00,0,0.00
5,91169,163116,1.79,153589,1.68,2807123,30.79,173534,1.90,385,0.00,0,0.00
6,3818,10975,2.87,8672,2.27,140149,36.71,7912,2.07,60,0.02,0,0.00
7,15599,80067,5.13,32235,2.07,813390,52.14,147532,9.46,184,0.01,0,0.00
8,2440,8837,3.62,7320,3.00,141192,57.87,4173,1.71,17,0.01,0,0.00
9,9921,40336,4.07,21408,2.16,577532,58.21,234994,23.69,1406,0.14,0,0.00
10,1926,7643,3.97,5785,3.00,130142,67.57,8221,4.27,0,0.00,0,0.00
11,6587,18159,2.76,24286,3.69,834142,126.63,58933,8.95,47,0.01,0,0.00
12,1363,8969,6.58,6781,4.98,101079,74.16,16073,11.79,0,0.00,0,0.00
13,2832,16069,5.67,9683,3.42,362614,128.04,62084,21.92,826,0.29,0,0.00
14,1005,6470,6.44,6249,6.22,99041,98.55,4330,4.31,1595,1.59,0,0.00
15,2264,16190,7.15,10189,4.50,246023,108.67,84900,37.50,181,0.08,0,0.00
16,1355,10629,7.84,9388,6.93,170908,126.13,6421,4.74,499,0.37,0,0.00
17,2633,11785,4.48,6412,2.44,225736,85.73,84129,31.95,22363,8.49,0,0.00
18,187,1299,6.95,765,4.09,43481,232.52,4925,26.34,182,0.97,0,0.00
19,29732,176757,5.95,88445,2.97,8517859,286.49,1515460,50.97,5055,0.17,0,0.00
20,298,1851,6.21,1256,4.21,47752,160.24,6325,21.22,19,0.06,0,0.00
21,628,7825,12.46,3455,5.50,117795,187.57,84486,134.53,840,1.34,0,0.00
22,470,1186,2.52,1170,2.49,81687,173.80,5482,11.66,77,0.16,0,0.00
23,2190,33889,15.47,25050,11.44,514952,235.14,164887,75.29,98,0.04,0,0.00
24,1061,5488,5.17,2350,2.21,441824,416.42,67471,63.59,37,0.03,0,0.00
25,617,9142,14.82,3929,6.37,140482,227.69,135488,219.59,1246,2.02,0,0.00
26,319,3140,9.84,979,3.07,292688,917.52,31575,98.98,0,0.00,0,0.00
27,1565,14568,9.31,5695,3.64,693837,443.35,221340,141.43,335,0.21,0,0.00
28,87,1129,12.98,433,4.98,32543,374.06,16126,185.36,1000,11.49,0,0.00
29,1186,19464,16.41,4624,3.90,1579199,1331.53,395732,333.67,1149,0.97,0,0.00
30,70,736,10.51,322,4.60,27817,397.39,11990,171.29,133,1.90,0,0.00
31,640,8600,13.44,1313,2.05,247520,386.75,196782,307.47,1345,2.10,0,0.00
32,236,2243,9.50,787,3.33,149168,632.07,34326,145.45,1253,5.31,0,0.00
33,627,9775,15.59,3847,6.14,328052,523.21,195904,312.45,1330,2.12,0,0.00
34,97,1349,13.91,354,3.65,44968,463.59,17048,175.75,1117,11.52,0,0.00
35,209,2602,12.45,758,3.63,78616,376.15,77333,370.01,1121,5.36,0,0.00
36,117,1387,11.85,482,4.12,69116,590.74,25467,217.67,619,5.29,0,0.00
37,457,10504,22.98,6873,15.04,233345,510.60,143483,313.97,802,1.75,0,0.00
38,135,735,5.44,135,1.00,115044,852.18,16112,119.35,56,0.41,0,0.00
39,179,2338,13.06,1001,5.59,129668,724.40,50393,281.53,730,4.08,0,0.00
40,222,2311,10.41,339,1.53,152827,688.41,32261,145.32,1043,4.70,0,0.00
41,153,3289,21.50,1324,8.65,128214,838.00,71542,467.59,3,0.02,0,0.00
42,2108,3774,1.79,4275,2.03,378980,179.78,47412,22.49,336,0.16,0,0.00
43,1292,18658,14.44,7872,6.09,1119552,866.53,282376,218.56,499,0.39,0,0.00
44,116,3243,27.96,2567,22.13,50417,434.63,23506,202.64,64,0.55,0,0.00
45,324,6466,19.96,3278,10.12,239510,739.23,165779,511.66,3204,9.89,0,0.00
46,53,847,15.98,167,3.15,26824,506.11,18298,345.25,478,9.02,0,0.00
47,732,12263,16.75,4861,6.64,690696,943.57,174349,238.18,2190,2.99,0,0.00
48,102,2966,29.08,537,5.26,61108,599.10,22877,224.28,2250,22.06,0,0.00
49,318,4738,14.90,1628,5.12,264622,832.14,122468,385.12,2124,6.68,0,0.00
50,111,4392,39.57,3398,30.61,37586,338.61,36046,324.74,0,0.00,0,0.00
51,123,3087,25.10,1091,8.87,218738,1778.36,72487,589.33,468,3.80,0,0.00
