tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,363922,651815,1.79,647345,1.78,0,0.00,0,0.00,0,0.00,0,0.00
2,4130,9158,2.22,8630,2.09,14238,3.45,1730,0.42,24,0.01,0,0.00
3,333112,477774,1.43,415985,1.25,4011739,12.04,97503,0.29,127,0.00,0,0.00
4,5473,15638,2.86,9716,1.78,106894,19.53,552,0.10,5,0.00,0,0.00
5,30311,68024,2.24,59405,1.96,976710,32.22,82131,2.71,364,0.01,0,0.00
6,2170,6480,2.99,5726,2.64,61968,28.56,5215,2.40,66,0.03,0,0.00
7,20306,75796,3.73,32890,1.62,1000949,49.29,118040,5.81,240,0.01,0,0.00
8,1399,5843,4.18,5372,3.84,69842,49.92,3192,2.28,16,0.01,0,0.00
9,12521,41138,3.29,20826,1.66,736531,58.82,209254,16.71,690,0.06,0,0.00
10,6191,15908,2.57,14706,2.38,636524,102.81,42890,6.93,5,0.00,0,0.00
11,5365,14876,2.77,20420,3.81,687284,128.11,48730,9.08,0,0.00,0,0.00
12,942,7783,8.26,6006,6.38,61058,64.82,16864,17.90,0,0.00,0,0.00
13,1433,9415,6.57,5493,3.83,170079,118.69,44827,31.28,628,0.44,0,0.00
14,846,6688,7.91,5693,6.73,130335,154.06,10858,12.83,477,0.56,0,0.00
15,1365,11829,8.67,6803,4.98,119561,87.59,68744,50.36,58,0.04,0,0.00
16,939,8867,9.44,8499,9.05,124635,132.73,4617,4.92,662,0.71,0,0.00
17,2342,10289,4.39,5705,2.44,220057,93.96,73403,31.34,19362,8.27,0,0.00
18,184,1093,5.94,724,3.93,46002,250.01,3868,21.02,437,2.38,0,0.00
19,1712,12216,7.14,5947,3.47,412077,240.70,126152,73.69,1900,1.11,0,0.00
20,228,1488,6.53,1056,4.63,38986,170.99,4827,21.17,242,1.06,0,0.00
21,547,6526,11.93,2834,5.18,102249,186.93,75274,137.61,226,0.41,0,0.00
22,303,997,3.29,962,3.17,60023,198.10,4905,16.19,98,0.32,0,0.00
23,1667,29097,17.45,22612,13.56,383673,230.16,127095,76.24,120,0.07,0,0.00
24,821,4438,5.41,1918,2.34,352170,428.95,52661,64.14,0,0.00,0,0.00
25,588,8232,14.00,9570,16.28,176560,300.27,120993,205.77,1059,1.80,0,0.00
26,265,2104,7.94,610,2.30,246226,929.15,24186,91.27,0,0.00,0,0.00
27,1424,13757,9.66,5754,4.04,655321,460.20,212605,149.30,178,0.12,0,0.00
28,72,744,10.33,312,4.33,29790,413.75,13983,194.21,666,9.25,0,0.00
29,946,15244,16.11,3112,3.29,1316272,1391.41,308590,326.21,312,0.33,0,0.00
30,80,767,9.59,314,3.92,28822,360.27,11852,148.15,279,3.49,0,0.00
31,482,6239,12.94,843,1.75,194656,403.85,141760,294.11,966,2.00,0,0.00
32,121,965,7.98,241,1.99,74263,613.74,18771,155.13,720,5.95,0,0.00
33,487,6830,14.02,2457,5.05,249728,512.79,120222,246.86,1091,2.24,0,0.00
34,76,1038,13.66,279,3.67,37048,487.47,12523,164.78,914,12.03,0,0.00
35,223,3735,16.75,1475,6.61,95711,429.20,114828,514.92,1330,5.96,0,0.00
36,73,727,9.96,193,2.64,41197,564.34,15388,210.79,264,3.62,0,0.00
37,365,8607,23.58,5737,15.72,183235,502.01,120308,329.61,574,1.57,0,0.00
38,28,454,16.21,33,1.18,11683,417.25,13642,487.21,0,0.00,0,0.00
39,177,1951,11.02,854,4.82,119406,674.61,42538,240.33,610,3.45,0,0.00
40,196,1752,8.94,205,1.05,141982,724.40,27648,141.06,606,3.09,0,0.00
41,123,2387,19.41,964,7.84,105034,853.93,59349,482.51,864,7.02,0,0.00
42,1807,2906,1.61,3559,1.97,327538,181.26,40297,22.30,317,0.18,0,0.00
43,1154,16430,14.24,6962,6.03,1001248,867.63,253195,219.41,338,0.29,0,0.00
44,100,2659,26.59,2164,21.64,43492,434.92,20221,202.21,79,0.79,0,0.00
45,338,6340,18.76,3146,9.31,278500,823.96,159467,471.80,2608,7.72,0,0.00
46,81,1001,12.36,238,2.94,40941,505.44,20796,256.74,347,4.28,0,0.00
47,677,11079,16.36,4449,6.57,651825,962.81,148521,219.38,800,1.18,0,0.00
48,102,1649,16.17,213,2.09,69377,680.17,19924,195.33,1862,18.25,0,0.00
49,144,2664,18.50,840,5.83,97826,679.35,101303,703.49,1410,9.79,0,0.00
50,122,3696,30.30,2474,20.28,67464,552.98,43055,352.91,67,0.55,0,0.00
51,74,2127,28.74,770,10.41,151794,2051.27,58157,785.91,330,4.46,0,0.00
52,153,2571,16.80,969,6.33,112896,737.88,91082,595.31,478,3.12,0,0.00
53,73,2116,28.99,1013,13.88,79368,1087.23,80064,1096.77,0,0.00,0,0.00
54,31,502,16.19,198,6.39,39828,1284.77,13782,444.58,242,7.81,0,0.00
55,170,2891,17.01,808,4.75,244031,1435.48,34620,203.65,0,0.00,0,0.00
56,49,2705,55.20,2689,54.88,1219,24.88,237,4.84,0,0.00,0,0.00
57,296,8649,29.22,6649,22.46,217469,734.69,48053,162.34,66,0.22,0,0.00
58,50,224,4.48,98,1.96,25780,515.60,1994,39.88,0,0.00,0,0.00
59,50,485,9.70,89,1.78,57305,1146.10,9328,186.56,1661,33.22,0,0.00
60,341,984,2.89,341,1.00,294588,863.89,57918,169.85,630,1.85,0,0.00
61,48,2928,61.00,2928,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,26,169,6.50,57,2.19,18493,711.27,2423,93.19,0,0.00,0,0.00
63,337,6003,17.81,2409,7.15,394428,1170.41,148402,440.36,0,0.00,0,0.00
64,9,101,11.22,18,2.00,18698,2077.56,2107,234.11,102,11.33,0,0.00
65,145,1256,8.66,577,3.98,110632,762.98,11421,78.77,2544,17.54,0,0.00
66,25,204,8.16,73,2.92,47351,1894.04,4162,166.48,129,5.16,0,0.00
67,121,2662,22.00,824,6.81,160857,1329.40,97677,807.25,0,0.00,0,0.00
68,49,436,8.90,76,1.55,48716,994.20,8856,180.73,0,0.00,0,0.00
69,96,2544,26.50,2304,24.00,56544,589.00,3504,36.50,0,0.00,0,0.00
70,27,655,24.26,380,14.07,39572,1465.63,3185,117.96,0,0.00,0,0.00
71,3,120,40.00,33,11.00,6321,2107.00,3034,1011.33,0,0.00,0,0.00
72,48,384,8.00,48,1.00,50304,1048.00,10704,223.00,0,0.00,0,0.00
73,625,14100,22.56,5299,8.48,932720,1492.35,404820,647.71,0,0.00,0,0.00
74,4,12,3.00,9,2.25,4126,1031.50,260,65.00,0,0.00,0,0.00
75,144,5280,36.67,336,2.33,331824,2304.33,310608,2157.00,0,0.00,0,0.00
76,24,336,14.00,24,1.00,82944,3456.00,8640,360.00,0,0.00,0,0.00
77,169,8137,48.15,4017,23.77,303688,1796.97,597371,3534.74,1911,11.31,0,0.00
78,3,71,23.67,24,8.00,5693,1897.67,4233,1411.00,0,0.00,0,0.00
81,24,600,25.00,24,1.00,15120,630.00,31680,1320.00,1800,75.00,0,0.00
82,45,1188,26.40,443,9.84,60778,1350.62,43650,970.00,92,2.04,0,0.00
83,241,6242,25.90,2406,9.98,409716,1700.07,213875,887.45,0,0.00,0,0.00
84,122,122,1.00,122,1.00,76980,630.98,6100,50.00,2,0.02,0,0.00
85,24,0,0.00,24,1.00,72,3.00,0,0.00,1968,82.00,0,0.00
86,26,988,38.00,32,1.23,78189,3007.27,17574,675.92,867,33.35,0,0.00
87,53,500,9.43,224,4.23,95186,1795.96,17412,328.53,79,1.49,0,0.00
88,48,0,0.00,0,0.00,4224,88.00,0,0.00,0,0.00,0,0.00
89,48,2112,44.00,48,1.00,27360,570.00,179568,3741.00,0,0.00,0,0.00
90,24,720,30.00,48,2.00,37680,1570.00,89544,3731.00,1992,83.00,0,0.00
91,63,4560,72.38,2313,36.71,171223,2717.83,409104,6493.71,42,0.67,0,0.00
93,168,4656,27.71,1728,10.29,363192,2161.86,162000,964.29,3312,19.71,0,0.00
95,1,25,25.00,8,8.00,2500,2500.00,898,898.00,0,0.00,0,0.00
96,1200,8640,7.20,4416,3.68,2027328,1689.44,597312,497.76,6720,5.60,0,0.00
97,99,3068,30.99,1098,11.09,200210,2022.32,121587,1228.15,0,0.00,0,0.00
98,48,528,11.00,48,1.00,151536,3157.00,14496,302.00,3360,70.00,0,0.00
99,27,27,1.00,54,2.00,33291,1233.00,3267,121.00,0,0.00,0,0.00
100,25,474,18.96,27,1.08,122848,4913.92,16814,672.56,25,1.00,0,0.00
101,56,2453,43.80,83,1.48,41805,746.52,236031,4214.84,96,1.71,0,0.00
102,1,38,38.00,13,13.00,2383,2383.00,2626,2626.00,0,0.00,0,0.00
103,242,11072,45.75,4803,19.85,525619,2171.98,791784,3271.83,0,0.00,0,0.00
107,124,3339,26.93,1191,9.60,224845,1813.27,147418,1188.85,2496,20.13,0,0.00
108,1,3,3.00,3,3.00,1299,1299.00,129,129.00,95,95.00,0,0.00
109,25,540,21.60,102,4.08,56351,2254.04,28302,1132.08,1512,60.48,0,0.00
110,1,41,41.00,14,14.00,2577,2577.00,3066,3066.00,0,0.00,0,0.00
111,5,45,9.00,9,1.80,14563,2912.60,2699,539.80,75,15.00,0,0.00
113,1249,41387,33.14,11233,8.99,4898792,3922.17,1361423,1090.01,14796,11.85,0,0.00
114,24,192,8.00,48,2.00,4536,189.00,504,21.00,0,0.00,0,0.00
115,146,11002,75.36,2884,19.75,200110,1370.62,1231780,8436.85,434,2.97,0,0.00
116,20,316,15.80,118,5.90,90677,4533.85,9521,476.05,84,4.20,0,0.00
117,265,17365,65.53,7573,28.58,761690,2874.30,1561683,5893.14,615,2.32,0,0.00
123,213,8447,39.66,2106,9.89,433700,2036.15,637387,2992.43,375,1.76,0,0.00
124,24,528,22.00,24,1.00,154992,6458.00,24360,1015.00,0,0.00,0,0.00
125,73,5992,82.08,3074,42.11,147230,2016.85,786245,10770.48,240,3.29,0,0.00
127,122,4005,32.83,1093,8.96,365083,2992.48,162694,1333.56,5992,49.11,0,0.00
129,26,43,1.65,32,1.23,8681,333.88,3972,152.77,2502,96.23,0,0.00
130,47,531,11.30,185,3.94,182844,3890.30,22189,472.11,292,6.21,0,0.00
133,62,2376,38.32,924,14.90,224664,3623.61,130846,2110.42,0,0.00,0,0.00
136,24,1560,65.00,24,1.00,72721,3030.04,16365,681.88,1864,77.67,0,0.00
137,169,7267,43.00,2535,15.00,480636,2844.00,417430,2470.00,0,0.00,0,0.00
139,1,4,4.00,8,8.00,2149,2149.00,205,205.00,0,0.00,0,0.00
141,24,1488,62.00,384,16.00,104400,4350.00,124560,5190.00,0,0.00,0,0.00
143,48,2112,44.00,768,16.00,143088,2981.00,129312,2694.00,0,0.00,0,0.00
144,24,168,7.00,48,2.00,87240,3635.00,6384,266.00,2064,86.00,0,0.00
145,24,0,0.00,24,1.00,552,23.00,0,0.00,2928,122.00,0,0.00
147,266,11132,41.85,3896,14.65,743322,2794.44,689458,2591.95,0,0.00,0,0.00
148,1,23,23.00,1,1.00,4721,4721.00,1830,1830.00,0,0.00,0,0.00
149,4,76,19.00,4,1.00,20232,5058.00,4340,1085.00,0,0.00,0,0.00
151,2,38,19.00,2,1.00,10027,5013.50,2210,1105.00,121,60.50,0,0.00
153,100,3108,31.08,868,8.68,531172,5311.72,226188,2261.88,0,0.00,0,0.00
154,1,19,19.00,1,1.00,5417,5417.00,1123,1123.00,0,0.00,0,0.00
155,25,429,17.16,25,1.00,209895,8395.80,20255,810.20,3181,127.24,0,0.00
156,1,5,5.00,3,3.00,2036,2036.00,281,281.00,0,0.00,0,0.00
157,193,9457,49.00,3281,17.00,631110,3270.00,628215,3255.00,0,0.00,0,0.00
161,2,105,52.50,30,15.00,12656,6328.00,6840,3420.00,0,0.00,0,0.00
163,48,2400,50.00,864,18.00,163536,3407.00,168528,3511.00,0,0.00,0,0.00
165,48,0,0.00,48,1.00,1116,23.25,0,0.00,6804,141.75,0,0.00
167,24,144,6.00,24,1.00,112098,4670.75,11507,479.46,1061,44.21,0,0.00
169,6,0,0.00,6,1.00,18,3.00,0,0.00,996,166.00,0,0.00
170,1,6,6.00,1,1.00,2444,2444.00,513,513.00,0,0.00,0,0.00
171,30,685,22.83,57,1.90,100000,3333.33,93440,3114.67,2470,82.33,0,0.00
172,24,720,30.00,24,1.00,225110,9379.58,46113,1921.38,214,8.92,0,0.00
173,30,120,4.00,78,2.60,186098,6203.27,6886,229.53,4162,138.73,0,0.00
175,27,720,26.67,147,5.44,123687,4581.00,25218,934.00,2794,103.48,0,0.00
