tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1946768,3265889,1.68,2682492,1.38,0,0.00,0,0.00,0,0.00,0,0.00
2,10319,22946,2.22,21543,2.09,34765,3.37,4174,0.40,59,0.01,0,0.00
3,1608476,2365968,1.47,1837325,1.14,19031078,11.83,635570,0.40,821,0.00,0,0.00
4,13569,40471,2.98,24338,1.79,263804,19.44,1357,0.10,18,0.00,0,0.00
5,92396,209763,2.27,180761,1.96,2927340,31.68,262135,2.84,1368,0.01,0,0.00
6,17323,30687,1.77,26924,1.55,586226,33.84,13119,0.76,130,0.01,0,0.00
7,29707,166148,5.59,65477,2.20,1485980,50.02,352100,11.85,989,0.03,0,0.00
8,3741,18994,5.08,14980,4.00,180921,48.36,9659,2.58,86,0.02,0,0.00
9,24892,104190,4.19,52190,2.10,1431351,57.50,594522,23.88,1717,0.07,0,0.00
10,3018,19448,6.44,12641,4.19,190438,63.10,24519,8.12,20,0.01,0,0.00
11,13755,44768,3.25,53171,3.87,1693463,123.12,129656,9.43,3,0.00,0,0.00
12,2576,26262,10.19,17478,6.78,159313,61.85,47188,18.32,192,0.07,0,0.00
13,5017,34350,6.85,23594,4.70,729682,145.44,121247,24.17,2392,0.48,0,0.00
14,1505,20608,13.69,15472,10.28,124237,82.55,10176,6.76,1169,0.78,0,0.00
15,3750,40059,10.68,21445,5.72,292439,77.98,176875,47.17,518,0.14,0,0.00
16,2544,30394,11.95,23157,9.10,338560,133.08,32452,12.76,1552,0.61,0,0.00
17,7321,41086,5.61,22752,3.11,874905,119.51,237948,32.50,47842,6.53,0,0.00
18,706,13355,18.92,5830,8.26,126396,179.03,25134,35.60,1077,1.53,0,0.00
19,4641,42964,9.26,19263,4.15,1065212,229.52,341784,73.64,5298,1.14,0,0.00
20,757,15335,20.26,6790,8.97,105998,140.02,29982,39.61,734,0.97,0,0.00
21,1734,28333,16.34,10418,6.01,366957,211.62,218258,125.87,528,0.30,0,0.00
22,1185,19459,16.42,10606,8.95,177896,150.12,55339,46.70,272,0.23,0,0.00
23,9358,102153,10.92,64981,6.94,3443623,367.99,666058,71.18,1429,0.15,0,0.00
24,2330,25680,11.02,10410,4.47,893409,383.44,159361,68.40,2,0.00,0,0.00
25,2037,39896,19.59,26554,13.04,576434,282.98,379386,186.25,3439,1.69,0,0.00
26,912,20819,22.83,7339,8.05,628262,688.88,95360,104.56,19,0.02,0,0.00
27,3634,48842,13.44,18925,5.21,1557091,428.48,532908,146.65,898,0.25,0,0.00
28,606,21005,34.66,8307,13.71,163457,269.73,119921,197.89,1642,2.71,0,0.00
29,4847,70668,14.58,23359,4.82,4394160,906.57,996085,205.51,1460,0.30,0,0.00
30,434,19759,45.53,7429,17.12,85083,196.04,74430,171.50,553,1.27,0,0.00
31,1668,37877,22.71,9339,5.60,559283,335.30,439208,263.31,3664,2.20,0,0.00
32,554,21641,39.06,7763,14.01,208700,376.71,101760,183.68,1770,3.19,0,0.00
33,1648,36054,21.88,14457,8.77,822980,499.38,478251,290.20,2537,1.54,0,0.00
34,449,6760,15.06,3356,7.47,230038,512.33,159100,354.34,2012,4.48,0,0.00
35,487,6344,13.03,1587,3.26,152906,313.98,193841,398.03,3245,6.66,0,0.00
36,246,2970,12.07,1649,6.70,130989,532.48,109749,446.13,656,2.67,0,0.00
37,1374,29931,21.78,18293,13.31,697978,507.99,543320,395.43,1289,0.94,0,0.00
38,129,2253,17.47,1284,9.95,57118,442.78,112746,874.00,36,0.28,0,0.00
39,480,6016,12.53,2135,4.45,299456,623.87,144240,300.50,1182,2.46,0,0.00
40,636,7934,12.47,3100,4.87,421972,663.48,231742,364.37,1458,2.29,0,0.00
41,622,12294,19.77,5227,8.40,442614,711.60,357772,575.20,132,0.21,0,0.00
42,4506,8497,1.89,10095,2.24,836872,185.72,198946,44.15,742,0.16,0,0.00
43,2780,40504,14.57,17812,6.41,2420353,870.63,646749,232.64,816,0.29,0,0.00
44,307,7967,25.95,6725,21.91,141236,460.05,159718,520.25,0,0.00,0,0.00
45,1148,20089,17.50,8276,7.21,798142,695.25,545022,474.76,6338,5.52,0,0.00
46,420,7614,18.13,3965,9.44,238349,567.50,293399,698.57,1008,2.40,0,0.00
47,1944,35513,18.27,14306,7.36,1829003,940.85,683900,351.80,1949,1.00,0,0.00
48,305,5493,18.01,2013,6.60,201627,661.07,177999,583.60,4451,14.59,0,0.00
49,788,17528,22.24,7198,9.13,544455,690.93,686558,871.27,3826,4.86,0,0.00
50,367,10764,29.33,7734,21.07,208374,567.78,249167,678.93,232,0.63,0,0.00
51,241,6856,28.45,1952,8.10,387825,1609.23,220513,914.99,848,3.52,0,0.00
52,520,11103,21.35,5766,11.09,367374,706.49,508583,978.04,1102,2.12,0,0.00
53,738,17398,23.57,7666,10.39,700003,948.51,614904,833.20,240,0.33,0,0.00
54,133,2871,21.59,2157,16.22,132413,995.59,198044,1489.05,560,4.21,0,0.00
55,519,11469,22.10,3457,6.66,601904,1159.74,347121,668.83,276,0.53,0,0.00
56,186,8466,45.52,8408,45.20,50059,269.13,180853,972.33,139,0.75,0,0.00
57,1149,32201,28.03,20917,18.20,882955,768.46,589899,513.40,3247,2.83,0,0.00
58,338,16258,48.10,14279,42.25,184527,545.94,372690,1102.63,183,0.54,0,0.00
59,182,3041,16.71,241,1.32,152133,835.90,115453,634.36,4578,25.15,0,0.00
60,993,6145,6.19,3339,3.36,889109,895.38,391973,394.74,1624,1.64,0,0.00
61,543,20877,38.45,13466,24.80,372830,686.61,693980,1278.05,918,1.69,0,0.00
62,123,2338,19.01,2102,17.09,90317,734.28,227048,1845.92,180,1.46,0,0.00
63,842,15095,17.93,5919,7.03,970023,1152.05,388970,461.96,93,0.11,0,0.00
64,225,7380,32.80,4680,20.80,203433,904.15,455345,2023.76,985,4.38,0,0.00
65,494,9398,19.02,4956,10.03,397333,804.32,463812,938.89,6528,13.21,0,0.00
66,123,2589,21.05,2289,18.61,168563,1370.43,267595,2175.57,176,1.43,0,0.00
67,396,10116,25.55,4136,10.44,477326,1205.37,411175,1038.32,291,0.73,0,0.00
68,132,1538,11.65,653,4.95,130801,990.92,81803,619.72,0,0.00,0,0.00
69,498,15036,30.19,10278,20.64,436808,877.12,516878,1037.91,160,0.32,0,0.00
70,155,5891,38.01,3189,20.57,177070,1142.39,253746,1637.07,575,3.71,0,0.00
71,1,3,3.00,2,2.00,828,828.00,51,51.00,62,62.00,0,0.00
72,120,952,7.93,126,1.05,126724,1056.03,26694,222.45,17,0.14,0,0.00
73,2052,52125,25.40,21577,10.52,2921449,1423.71,1919056,935.21,3751,1.83,0,0.00
75,355,12989,36.59,828,2.33,817237,2302.08,763825,2151.62,36,0.10,0,0.00
76,235,5866,24.96,2675,11.38,391259,1664.93,319979,1361.61,551,2.34,0,0.00
77,672,29745,44.26,15000,22.32,1068182,1589.56,2113405,3144.95,4694,6.99,0,0.00
78,2,24,12.00,11,5.50,4823,2411.50,1544,772.00,0,0.00,0,0.00
79,97,5007,51.62,2595,26.75,109920,1133.20,316963,3267.66,503,5.19,0,0.00
81,317,11762,37.10,5451,17.20,377080,1189.53,772265,2436.17,5280,16.66,0,0.00
82,369,12282,33.28,5418,14.68,465706,1262.08,610903,1655.56,685,1.86,0,0.00
83,591,15352,25.98,5902,9.99,1006788,1703.53,526021,890.05,0,0.00,0,0.00
84,299,314,1.05,301,1.01,189439,633.58,15446,51.66,236,0.79,0,0.00
85,411,16128,39.24,8475,20.62,470308,1144.30,1151559,2801.85,6072,14.77,0,0.00
86,156,4861,31.16,832,5.33,337546,2163.76,112748,722.74,2399,15.38,0,0.00
87,122,992,8.13,374,3.07,229262,1879.20,39422,323.13,73,0.60,0,0.00
88,214,5568,26.02,2880,13.46,127883,597.58,369205,1725.26,3475,16.24,0,0.00
89,378,16509,43.67,6013,15.91,447415,1183.64,1296659,3430.31,510,1.35,0,0.00
90,61,1778,29.15,124,2.03,95776,1570.10,220751,3618.87,4907,80.44,0,0.00
91,280,18290,65.32,9134,32.62,469504,1676.80,1417975,5064.20,2456,8.77,0,0.00
92,10,256,25.60,112,11.20,14531,1453.10,5551,555.10,81,8.10,0,0.00
93,669,23222,34.71,10392,15.53,1291379,1930.31,1357171,2028.66,688,1.03,0,0.00
94,96,5952,62.00,3072,32.00,128450,1338.02,412446,4296.31,992,10.33,0,0.00
96,2950,21240,7.20,10856,3.68,5016888,1700.64,1468392,497.76,8260,2.80,0,0.00
97,594,25894,43.59,12208,20.55,1022620,1721.58,1811067,3048.93,1021,1.72,0,0.00
98,124,1392,11.23,124,1.00,379375,3059.48,37522,302.60,8316,67.06,0,0.00
99,158,2961,18.74,993,6.28,275948,1746.51,106184,672.05,30,0.19,0,0.00
100,188,7369,39.20,3012,16.02,487641,2593.84,474155,2522.10,841,4.47,0,0.00
101,374,18700,50.00,6774,18.11,498804,1333.70,1702467,4552.05,828,2.21,0,0.00
103,473,23466,49.61,10435,22.06,1034362,2186.81,1786670,3777.32,20,0.04,0,0.00
104,4,18,4.50,8,2.00,4922,1230.50,468,117.00,0,0.00,0,0.00
105,258,13358,51.78,6942,26.91,442963,1716.91,1183412,4586.87,1297,5.03,0,0.00
106,3,12,4.00,3,1.00,4164,1388.00,714,238.00,0,0.00,0,0.00
107,295,8024,27.20,2891,9.80,520557,1764.60,352820,1196.00,6136,20.80,0,0.00
108,1,12,12.00,7,7.00,2694,2694.00,284,284.00,0,0.00,0,0.00
109,379,17126,45.19,8118,21.42,700876,1849.28,1457501,3845.65,4063,10.72,0,0.00
111,1,5,5.00,5,5.00,2533,2533.00,820,820.00,0,0.00,0,0.00
112,97,3276,33.77,964,9.94,227378,2344.10,124592,1284.45,486,5.01,0,0.00
113,3442,120182,34.92,36570,10.62,12871862,3739.65,4942612,1435.97,9969,2.90,0,0.00
114,59,472,8.00,118,2.00,11151,189.00,1239,21.00,0,0.00,0,0.00
115,355,26910,75.80,7082,19.95,489123,1377.81,3116287,8778.27,0,0.00,0,0.00
116,49,948,19.35,381,7.78,266387,5436.47,25605,522.55,169,3.45,0,0.00
117,907,57520,63.42,26291,28.99,2352944,2594.21,5463502,6023.71,6389,7.04,0,0.00
118,65,2483,38.20,913,14.05,124185,1910.54,130092,2001.42,89,1.37,0,0.00
121,256,15360,60.00,7936,31.00,507576,1982.72,1577666,6162.76,1315,5.14,0,0.00
123,499,20727,41.54,5134,10.29,1027393,2058.90,1468606,2943.10,7136,14.30,0,0.00
124,59,1298,22.00,59,1.00,381022,6458.00,59885,1015.00,0,0.00,0,0.00
125,529,34152,64.56,16741,31.65,1124983,2126.62,3815258,7212.21,1321,2.50,0,0.00
126,1,2,2.00,4,4.00,1536,1536.00,128,128.00,0,0.00,0,0.00
127,361,12192,33.77,3590,9.94,1012689,2805.23,536640,1486.54,14959,41.44,0,0.00
128,1,5,5.00,2,2.00,1415,1415.00,188,188.00,125,125.00,0,0.00
129,315,16384,52.01,8507,27.01,544599,1728.89,1873902,5948.90,6241,19.81,0,0.00
130,114,1257,11.03,440,3.86,435083,3816.52,52509,460.61,660,5.79,0,0.00
132,1,21,21.00,1,1.00,8520,8520.00,852,852.00,0,0.00,0,0.00
133,192,8966,46.70,3804,19.81,551683,2873.35,725443,3778.35,215,1.12,0,0.00
136,124,6670,53.79,1092,8.81,323704,2610.52,213757,1723.85,4568,36.84,0,0.00
137,419,17861,42.63,6235,14.88,1186840,2832.55,1025602,2447.74,120,0.29,0,0.00
138,97,4074,42.00,1170,12.06,282551,2912.90,189210,1950.62,323,3.33,0,0.00
139,1,6,6.00,2,2.00,1672,1672.00,286,286.00,134,134.00,0,0.00
141,58,3596,62.00,928,16.00,252300,4350.00,301020,5190.00,0,0.00,0,0.00
143,118,5192,44.00,1888,16.00,351758,2981.00,317892,2694.00,0,0.00,0,0.00
144,61,421,6.90,122,2.00,218931,3589.03,16464,269.90,4988,81.77,0,0.00
145,123,3008,24.46,1147,9.33,150605,1224.43,195328,1588.03,7198,58.52,0,0.00
147,657,27388,41.69,9591,14.60,1834449,2792.16,1696181,2581.71,0,0.00,0,0.00
151,97,4417,45.54,1260,12.99,314958,3246.99,225842,2328.27,487,5.02,0,0.00
153,236,7434,31.50,2124,9.00,1243602,5269.50,502916,2131.00,2242,9.50,0,0.00
154,66,3274,49.61,1171,17.74,170975,2590.53,223551,3387.14,146,2.21,0,0.00
157,477,23356,48.96,8095,16.97,1553789,3257.42,1398287,2931.42,6372,13.36,0,0.00
158,2,14,7.00,3,1.50,3972,1986.00,722,361.00,0,0.00,0,0.00
160,2,30,15.00,14,7.00,7350,3675.00,963,481.50,0,0.00,0,0.00
161,5,130,26.00,40,8.00,40398,8079.60,5605,1121.00,62,12.40,0,0.00
163,184,9394,51.05,3382,18.38,587826,3194.71,667962,3630.23,0,0.00,0,0.00
