tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,303386,498990,1.64,544582,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,3409,7898,2.32,7490,2.20,10320,3.03,1416,0.42,24,0.01,0,0.00
3,305826,434402,1.42,384932,1.26,3680792,12.04,82684,0.27,184,0.00,0,0.00
4,4443,13683,3.08,8139,1.83,88946,20.02,96,0.02,0,0.00,0,0.00
5,25176,55072,2.19,50044,1.99,806025,32.02,67624,2.69,455,0.02,0,0.00
6,1272,4896,3.85,4368,3.43,29160,22.92,3648,2.87,48,0.04,0,0.00
7,8833,56546,6.40,19153,2.17,463568,52.48,102101,11.56,120,0.01,0,0.00
8,1056,4560,4.32,4368,4.14,42386,40.14,908,0.86,2,0.00,0,0.00
9,6192,26256,4.24,13512,2.18,359136,58.00,153336,24.76,288,0.05,0,0.00
10,854,4860,5.69,3668,4.30,44992,52.68,7074,8.28,0,0.00,0,0.00
11,5010,14048,2.80,19698,3.93,633210,126.39,45836,9.15,30,0.01,0,0.00
12,818,7684,9.39,6460,7.90,39562,48.36,11798,14.42,0,0.00,0,0.00
13,1307,8645,6.61,5069,3.88,168372,128.82,40985,31.36,822,0.63,0,0.00
14,384,4728,12.31,4800,12.50,25536,66.50,288,0.75,0,0.00,0,0.00
15,1224,11688,9.55,7296,5.96,98976,80.86,61463,50.21,242,0.20,0,0.00
16,576,7032,12.21,7152,12.42,44902,77.95,1512,2.62,218,0.38,0,0.00
17,2217,9867,4.45,5394,2.43,185298,83.58,71370,32.19,19152,8.64,0,0.00
18,81,819,10.11,546,6.74,20728,255.90,3450,42.59,4,0.05,0,0.00
19,1678,12094,7.21,5946,3.54,408250,243.30,125015,74.50,2036,1.21,0,0.00
20,135,1260,9.33,870,6.44,23433,173.58,4017,29.76,0,0.00,0,0.00
21,447,5772,12.91,2646,5.92,79962,178.89,65020,145.46,278,0.62,0,0.00
22,120,672,5.60,672,5.60,16992,141.60,960,8.00,0,0.00,0,0.00
23,1665,28440,17.08,21052,12.64,385609,231.60,142620,85.66,480,0.29,0,0.00
24,802,4516,5.63,1926,2.40,351316,438.05,52118,64.99,0,0.00,0,0.00
25,480,7200,15.00,3096,6.45,86368,179.93,110208,229.60,752,1.57,0,0.00
26,240,2064,8.60,552,2.30,238560,994.00,23808,99.20,0,0.00,0,0.00
27,1320,12816,9.71,5400,4.09,604590,458.02,200840,152.15,352,0.27,0,0.00
28,50,736,14.72,296,5.92,16112,322.24,12526,250.52,838,16.76,0,0.00
29,912,15048,16.50,2976,3.26,1309796,1436.18,305090,334.53,74,0.08,0,0.00
30,48,552,11.50,264,5.50,20400,425.00,9648,201.00,0,0.00,0,0.00
31,576,7680,13.33,984,1.71,210360,365.21,176160,305.83,1743,3.03,0,0.00
32,72,480,6.67,72,1.00,37803,525.04,8657,120.24,1002,13.92,0,0.00
33,500,7476,14.95,3228,6.46,293620,587.24,149631,299.26,639,1.28,0,0.00
34,92,1144,12.43,344,3.74,45194,491.24,18175,197.55,458,4.98,0,0.00
35,168,2184,13.00,648,3.86,67424,401.33,62504,372.05,696,4.14,0,0.00
36,120,2448,20.40,1920,16.00,40728,339.40,15336,127.80,264,2.20,0,0.00
37,288,5112,17.75,2256,7.83,198942,690.77,117947,409.54,858,2.98,0,0.00
38,72,2232,31.00,1848,25.67,9552,132.67,9168,127.33,144,2.00,0,0.00
39,144,1896,13.17,816,5.67,107494,746.49,47255,328.16,1154,8.01,0,0.00
40,168,1512,9.00,168,1.00,116758,694.99,27995,166.64,698,4.15,0,0.00
41,168,3096,18.43,1272,7.57,156188,929.69,59829,356.12,2,0.01,0,0.00
42,1800,2856,1.59,3552,1.97,320208,177.89,39768,22.09,1104,0.61,0,0.00
43,1008,14208,14.10,6000,5.95,848815,842.08,236270,234.39,1184,1.17,0,0.00
44,96,2640,27.50,2160,22.50,41134,428.48,19796,206.21,2,0.02,0,0.00
45,240,4992,20.80,2592,10.80,162604,677.52,134294,559.56,2957,12.32,0,0.00
46,24,504,21.00,24,1.00,11392,474.67,10269,427.88,512,21.33,0,0.00
47,744,11880,15.97,4776,6.42,732576,984.65,162936,219.00,984,1.32,0,0.00
48,72,1224,17.00,96,1.33,36648,509.00,21600,300.00,2040,28.33,0,0.00
49,120,2592,21.60,816,6.80,73516,612.63,97491,812.42,1610,13.42,0,0.00
50,72,2952,41.00,2424,33.67,13008,180.67,24288,337.33,0,0.00,0,0.00
51,96,2328,24.25,840,8.75,172960,1801.67,59005,614.64,509,5.30,0,0.00
52,144,2496,17.33,960,6.67,101494,704.82,87198,605.54,506,3.51,0,0.00
53,120,2832,23.60,1296,10.80,132888,1107.40,82224,685.20,1152,9.60,0,0.00
54,24,408,17.00,168,7.00,31608,1317.00,10296,429.00,216,9.00,0,0.00
55,72,1128,15.67,408,5.67,101952,1416.00,12552,174.33,0,0.00,0,0.00
57,384,12144,31.62,9648,25.12,257664,671.00,63264,164.75,0,0.00,0,0.00
58,48,192,4.00,96,2.00,23376,487.00,1488,31.00,0,0.00,0,0.00
59,24,264,11.00,48,2.00,29736,1239.00,5232,218.00,720,30.00,0,0.00
60,264,792,3.00,264,1.00,243144,921.00,48048,182.00,0,0.00,0,0.00
61,48,2928,61.00,2928,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,24,144,6.00,48,2.00,16248,677.00,1392,58.00,0,0.00,0,0.00
63,336,5952,17.71,2400,7.14,391872,1166.29,147216,438.14,0,0.00,0,0.00
65,96,768,8.00,384,4.00,60624,631.50,2160,22.50,1488,15.50,0,0.00
66,24,192,8.00,72,3.00,48256,2010.67,4080,170.00,2,0.08,0,0.00
67,72,1584,22.00,432,6.00,94560,1313.33,69600,966.67,0,0.00,0,0.00
68,24,72,3.00,24,1.00,29616,1234.00,5256,219.00,0,0.00,0,0.00
69,96,2544,26.50,2304,24.00,56544,589.00,3504,36.50,0,0.00,0,0.00
70,24,600,25.00,360,15.00,33360,1390.00,2160,90.00,0,0.00,0,0.00
72,48,384,8.00,48,1.00,50304,1048.00,10704,223.00,0,0.00,0,0.00
73,624,14688,23.54,4896,7.85,882384,1414.08,488976,783.62,0,0.00,0,0.00
75,96,5280,55.00,2064,21.50,367488,3828.00,327120,3407.50,0,0.00,0,0.00
76,24,336,14.00,24,1.00,82944,3456.00,8640,360.00,0,0.00,0,0.00
77,72,1992,27.67,120,1.67,73608,1022.33,137640,1911.67,1080,15.00,0,0.00
79,48,3744,78.00,1920,40.00,86160,1795.00,300144,6253.00,0,0.00,0,0.00
81,24,600,25.00,24,1.00,15120,630.00,31680,1320.00,1800,75.00,0,0.00
83,264,6360,24.09,2424,9.18,439390,1664.36,216379,819.62,1321,5.00,0,0.00
84,168,1008,6.00,168,1.00,157158,935.46,22848,136.00,774,4.61,0,0.00
85,24,0,0.00,24,1.00,72,3.00,0,0.00,1968,82.00,0,0.00
87,72,768,10.67,264,3.67,178488,2479.00,30576,424.67,0,0.00,0,0.00
88,48,0,0.00,0,0.00,4224,88.00,0,0.00,0,0.00,0,0.00
89,48,2112,44.00,48,1.00,27360,570.00,179568,3741.00,0,0.00,0,0.00
90,24,720,30.00,48,2.00,37680,1570.00,89544,3731.00,1992,83.00,0,0.00
91,96,5400,56.25,2304,24.00,197218,2054.35,416916,4342.88,1624,16.92,0,0.00
93,144,4176,29.00,1584,11.00,271680,1886.67,145824,1012.67,3312,23.00,0,0.00
96,1200,8640,7.20,4416,3.68,2024640,1687.20,597312,497.76,7392,6.16,0,0.00
97,96,2976,31.00,1056,11.00,191232,1992.00,117504,1224.00,0,0.00,0,0.00
98,48,528,11.00,48,1.00,151536,3157.00,14496,302.00,3360,70.00,0,0.00
100,24,432,18.00,24,1.00,118968,4957.00,15336,639.00,0,0.00,0,0.00
101,48,2400,50.00,48,1.00,31104,648.00,232848,4851.00,0,0.00,0,0.00
103,192,9504,49.50,4224,22.00,419808,2186.50,723792,3769.75,0,0.00,0,0.00
107,120,3264,27.20,1176,9.80,211752,1764.60,143520,1196.00,2496,20.80,0,0.00
108,2,24,12.00,14,7.00,4912,2456.00,556,278.00,80,40.00,0,0.00
109,24,432,18.00,48,2.00,53856,2244.00,16056,669.00,1512,63.00,0,0.00
113,1248,40368,32.35,11808,9.46,5012544,4016.46,1123920,900.58,4080,3.27,0,0.00
115,144,8208,57.00,144,1.00,106416,739.00,911232,6328.00,0,0.00,0,0.00
117,360,24696,68.60,11304,31.40,909360,2526.00,2439576,6776.60,0,0.00,0,0.00
123,205,8426,41.10,2090,10.20,422824,2062.56,578176,2820.37,2304,11.24,0,0.00
124,24,528,22.00,24,1.00,154992,6458.00,24360,1015.00,0,0.00,0,0.00
125,72,5952,82.67,3048,42.33,136468,1895.39,659232,9156.00,4508,62.61,0,0.00
126,1,2,2.00,4,4.00,1158,1158.00,101,101.00,32,32.00,0,0.00
127,96,2806,29.23,720,7.50,271065,2823.59,106080,1105.00,5808,60.50,0,0.00
129,24,0,0.00,24,1.00,600,25.00,0,0.00,2496,104.00,0,0.00
130,48,552,11.50,192,4.00,189612,3950.25,23274,484.88,62,1.29,0,0.00
133,72,2400,33.33,744,10.33,221962,3082.81,172572,2396.83,360,5.00,0,0.00
134,24,696,29.00,120,5.00,119240,4968.33,46974,1957.25,182,7.58,0,0.00
137,168,7224,43.00,2520,15.00,477792,2844.00,414960,2470.00,0,0.00,0,0.00
141,24,24,1.00,120,5.00,222864,9286.00,16176,674.00,3288,137.00,0,0.00
143,48,2112,44.00,768,16.00,143088,2981.00,129312,2694.00,0,0.00,0,0.00
145,24,0,0.00,24,1.00,552,23.00,0,0.00,2928,122.00,0,0.00
147,264,11040,41.82,3864,14.64,737208,2792.45,683760,2590.00,0,0.00,0,0.00
153,96,3024,31.50,864,9.00,507696,5288.50,221664,2309.00,0,0.00,0,0.00
157,240,11760,49.00,4080,17.00,779352,3247.30,740040,3083.50,4944,20.60,0,0.00
160,3,45,15.00,21,7.00,10305,3435.00,1387,462.33,82,27.33,0,0.00
163,48,2400,50.00,864,18.00,163536,3407.00,168528,3511.00,0,0.00,0,0.00
165,48,0,0.00,48,1.00,4512,94.00,0,0.00,3408,71.00,0,0.00
172,24,720,30.00,24,1.00,214854,8952.25,36664,1527.67,2603,108.46,0,0.00
184,24,720,30.00,216,9.00,221472,9228.00,39912,1663.00,0,0.00,0,0.00
196,24,816,34.00,24,1.00,263064,10961.00,65400,2725.00,0,0.00,0,0.00
198,8,32,4.00,32,4.00,25656,3207.00,2080,260.00,0,0.00,0,0.00
199,24,504,21.00,72,3.00,197976,8249.00,18840,785.00,2880,120.00,0,0.00
201,25,1780,71.20,630,25.20,73839,2953.56,165130,6605.20,32,1.28,0,0.00
207,24,0,0.00,24,1.00,4968,207.00,0,0.00,0,0.00,0,0.00
209,24,0,0.00,24,1.00,292,12.17,0,0.00,4724,196.83,0,0.00
210,1,5,5.00,4,4.00,4652,4652.00,411,411.00,0,0.00,0,0.00
212,1,18,18.00,7,7.00,4656,4656.00,726,726.00,0,0.00,0,0.00
213,24,264,11.00,48,2.00,267696,11154.00,72024,3001.00,0,0.00,0,0.00
220,24,912,38.00,24,1.00,299088,12462.00,83736,3489.00,0,0.00,0,0.00
222,24,2352,98.00,600,25.00,165744,6906.00,315936,13164.00,0,0.00,0,0.00
225,24,0,0.00,24,1.00,5400,225.00,0,0.00,0,0.00,0,0.00
230,24,144,6.00,96,4.00,141504,5896.00,10128,422.00,0,0.00,0,0.00
231,24,0,0.00,24,1.00,72,3.00,0,0.00,5472,228.00,0,0.00
244,24,96,4.00,240,10.00,16968,707.00,714,29.75,356,14.83,0,0.00
245,72,48,0.67,168,2.33,51104,709.78,2592,36.00,8056,111.89,0,0.00
259,24,240,10.00,24,1.00,66624,2776.00,10272,428.00,5496,229.00,0,0.00
267,24,0,0.00,24,1.00,72,3.00,0,0.00,6336,264.00,0,0.00
268,24,1104,46.00,24,1.00,371136,15464.00,127392,5308.00,0,0.00,0,0.00
271,24,0,0.00,24,1.00,6504,271.00,0,0.00,0,0.00,0,0.00
285,24,0,0.00,24,1.00,72,3.00,0,0.00,6768,282.00,0,0.00
287,24,0,0.00,24,1.00,6148,256.17,0,0.00,740,30.83,0,0.00
292,24,1200,50.00,24,1.00,407160,16965.00,152712,6363.00,0,0.00,0,0.00
295,48,3552,74.00,1200,25.00,352944,7353.00,648672,13514.00,0,0.00,0,0.00
307,24,0,0.00,24,1.00,72,3.00,0,0.00,7296,304.00,0,0.00
309,48,0,0.00,48,1.00,7753,161.52,0,0.00,7079,147.48,0,0.00
316,24,1296,54.00,24,1.00,432095,18003.96,109277,4553.21,2754,114.75,0,0.00
326,24,432,18.00,264,11.00,489984,20416.00,50640,2110.00,0,0.00,0,0.00
327,1,27,27.00,10,10.00,7555,7555.00,2861,2861.00,55,55.00,0,0.00
331,24,0,0.00,24,1.00,7944,331.00,0,0.00,0,0.00,0,0.00
340,24,1392,58.00,24,1.00,479208,19967.00,210336,8764.00,0,0.00,0,0.00
345,24,0,0.00,24,1.00,6840,285.00,0,0.00,1440,60.00,0,0.00
347,48,1344,28.00,360,7.50,429768,8953.50,141768,2953.50,8256,172.00,0,0.00
364,24,1488,62.00,24,1.00,508230,21176.25,213433,8893.04,875,36.46,0,0.00
365,24,0,0.00,24,1.00,1780,74.17,0,0.00,6980,290.83,0,0.00
369,24,0,0.00,24,1.00,72,3.00,0,0.00,8784,366.00,0,0.00
379,1,30,30.00,10,10.00,8536,8536.00,3435,3435.00,55,55.00,0,0.00
387,24,0,0.00,24,1.00,9268,386.17,0,0.00,20,0.83,0,0.00
388,48,3168,66.00,48,1.00,1071696,22327.00,444973,9270.27,8381,174.60,0,0.00
389,24,0,0.00,24,1.00,72,3.00,0,0.00,9264,386.00,0,0.00
393,24,0,0.00,24,1.00,72,3.00,0,0.00,9360,390.00,0,0.00
405,24,0,0.00,24,1.00,72,3.00,0,0.00,9648,402.00,0,0.00
409,24,0,0.00,24,1.00,4696,195.67,0,0.00,5120,213.33,0,0.00
412,24,1680,70.00,24,1.00,587280,24470.00,314232,13093.00,0,0.00,0,0.00
414,48,5184,108.00,576,12.00,698112,14544.00,1149120,23940.00,18624,388.00,0,0.00
427,24,0,0.00,24,1.00,72,3.00,0,0.00,10176,424.00,0,0.00
429,24,0,0.00,24,1.00,1080,45.00,0,0.00,9216,384.00,0,0.00
436,24,1776,74.00,24,1.00,615786,25657.75,272806,11366.92,1717,71.54,0,0.00
447,24,0,0.00,24,1.00,10728,447.00,0,0.00,0,0.00,0,0.00
449,24,0,0.00,24,1.00,72,3.00,0,0.00,10704,446.00,0,0.00
