tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,7589486,12553043,1.65,13651540,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,78811,182089,2.31,174333,2.21,256734,3.26,35226,0.45,597,0.01,0,0.00
3,7644542,10864674,1.42,9630383,1.26,91896404,12.02,2058617,0.27,7912,0.00,0,0.00
4,107677,320808,2.98,199620,1.85,2121218,19.70,2388,0.02,0,0.00,0,0.00
5,623516,1367294,2.19,1241686,1.99,20055372,32.16,1669860,2.68,10912,0.02,0,0.00
6,31643,122988,3.89,108658,3.43,725413,22.92,90756,2.87,1194,0.04,0,0.00
7,235828,1477014,6.26,491349,2.08,12136361,51.46,2751106,11.67,4179,0.02,0,0.00
8,25672,102688,4.00,100299,3.91,1073990,41.84,22663,0.88,12,0.00,0,0.00
9,146311,634193,4.33,348142,2.38,8432189,57.63,3607797,24.66,7200,0.05,0,0.00
10,22175,131706,5.94,102358,4.62,1091811,49.24,171123,7.72,0,0.00,0,0.00
11,127907,374449,2.93,505330,3.95,15888664,124.22,1227098,9.59,1684,0.01,0,0.00
12,16729,150471,8.99,117635,7.03,978130,58.47,293211,17.53,0,0.00,0,0.00
13,41400,290715,7.02,181490,4.38,4754842,114.85,1233280,29.79,18949,0.46,0,0.00
14,15526,195230,12.57,202984,13.07,636242,40.98,7174,0.46,0,0.00,0,0.00
15,24477,207159,8.46,91938,3.76,2462808,100.62,1517818,62.01,4597,0.19,0,0.00
16,13134,155817,11.86,158802,12.09,1118360,85.15,37905,2.89,4000,0.30,0,0.00
17,53987,233601,4.33,137824,2.55,4942334,91.55,1466149,27.16,476406,8.82,0,0.00
18,2048,20472,10.00,13648,6.66,528745,258.18,85885,41.94,24,0.01,0,0.00
19,43715,321018,7.34,149054,3.41,10291152,235.41,3520590,80.54,26932,0.62,0,0.00
20,3325,31210,9.39,21575,6.49,567559,170.69,99691,29.98,0,0.00,0,0.00
21,12281,155391,12.65,66949,5.45,2124236,172.97,1824439,148.56,6569,0.53,0,0.00
22,2986,16717,5.60,16717,5.60,422847,141.61,23890,8.00,0,0.00,0,0.00
23,31689,626493,19.77,488490,15.42,5796555,182.92,2864322,90.39,21492,0.68,0,0.00
24,19749,110328,5.59,47307,2.40,8606892,435.81,1274955,64.56,0,0.00,0,0.00
25,10746,164772,15.33,75819,7.06,1962962,182.67,2447769,227.78,20248,1.88,0,0.00
26,5973,51394,8.60,13734,2.30,5935686,993.75,592359,99.17,0,0.00,0,0.00
27,41193,431034,10.46,139101,3.38,16005984,388.56,7486111,181.73,27329,0.66,0,0.00
28,1206,18006,14.93,7212,5.98,387218,321.08,316413,262.37,19351,16.05,0,0.00
29,16716,290739,17.39,68058,4.07,31351126,1875.52,5512204,329.76,15847,0.95,0,0.00
30,1194,13731,11.50,6567,5.50,507450,425.00,239994,201.00,0,0.00,0,0.00
