tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,100889,191443,1.90,167546,1.66,0,0.00,0,0.00,0,0.00,0,0.00
2,1447,4789,3.31,3328,2.30,3112,2.15,317,0.22,5,0.00,0,0.00
3,85733,122517,1.43,104498,1.22,1010112,11.78,23843,0.28,34,0.00,0,0.00
4,11497,17000,1.48,15772,1.37,178901,15.56,62,0.01,1,0.00,0,0.00
5,6338,14669,2.31,12736,2.01,204013,32.19,17134,2.70,88,0.01,0,0.00
6,464,1976,4.26,1324,2.85,12163,26.21,968,2.09,10,0.02,0,0.00
7,2902,17612,6.07,7270,2.51,162471,55.99,33856,11.67,56,0.02,0,0.00
8,486,2748,5.65,1928,3.97,28681,59.01,3852,7.93,15,0.03,0,0.00
9,2774,10829,3.90,5158,1.86,158127,57.00,56583,20.40,156,0.06,0,0.00
10,192,1050,5.47,803,4.18,10834,56.43,1446,7.53,0,0.00,0,0.00
11,1982,12046,6.08,9197,4.64,310321,156.57,52632,26.55,88,0.04,0,0.00
12,230,2019,8.78,1517,6.60,15070,65.52,4087,17.77,0,0.00,0,0.00
13,584,3719,6.37,2631,4.51,99577,170.51,19043,32.61,175,0.30,0,0.00
14,121,1097,9.07,1078,8.91,9766,80.71,300,2.48,40,0.33,0,0.00
15,351,2908,8.28,1733,4.94,35600,101.42,16329,46.52,69,0.20,0,0.00
16,154,1475,9.58,1454,9.44,17070,110.84,617,4.01,100,0.65,0,0.00
17,878,4869,5.55,2211,2.52,147946,168.50,31661,36.06,3990,4.54,0,0.00
18,183,2078,11.36,444,2.43,64672,353.40,11019,60.21,35,0.19,0,0.00
19,364,2556,7.02,1252,3.44,86385,237.32,26340,72.36,390,1.07,0,0.00
20,162,1458,9.00,993,6.13,54011,333.40,7435,45.90,290,1.79,0,0.00
21,107,1322,12.36,592,5.53,20378,190.45,14203,132.74,57,0.53,0,0.00
22,167,1314,7.87,290,1.74,71473,427.98,7012,41.99,385,2.31,0,0.00
23,343,5824,16.98,4412,12.86,83141,242.39,28539,83.20,50,0.15,0,0.00
24,167,920,5.51,395,2.37,72378,433.40,10767,64.47,0,0.00,0,0.00
25,151,1824,12.08,740,4.90,30864,204.40,26645,176.46,233,1.54,0,0.00
26,52,432,8.31,119,2.29,50312,967.54,4982,95.81,0,0.00,0,0.00
27,285,2782,9.76,1181,4.14,131835,462.58,43913,154.08,102,0.36,0,0.00
28,12,152,12.67,62,5.17,4388,365.67,2582,215.17,169,14.08,0,0.00
29,202,3333,16.50,722,3.57,286325,1417.45,64317,318.40,14,0.07,0,0.00
30,18,191,10.61,84,4.67,7637,424.28,3329,184.94,51,2.83,0,0.00
31,115,1488,12.94,206,1.79,45374,394.56,32801,285.23,301,2.62,0,0.00
32,55,512,9.31,161,2.93,49161,893.84,5710,103.82,206,3.75,0,0.00
33,128,1819,14.21,792,6.19,74651,583.21,34594,270.27,170,1.33,0,0.00
34,176,1809,10.28,696,3.95,217518,1235.90,13764,78.20,111,0.63,0,0.00
35,35,447,12.77,131,3.74,13060,373.14,12819,366.26,209,5.97,0,0.00
36,25,510,20.40,400,16.00,8485,339.40,3195,127.80,55,2.20,0,0.00
37,129,1964,15.22,803,6.22,90480,701.40,35585,275.85,202,1.57,0,0.00
38,15,465,31.00,385,25.67,1990,132.67,1898,126.53,30,2.00,0,0.00
39,32,397,12.41,172,5.38,22906,715.81,9809,306.53,239,7.47,0,0.00
40,38,355,9.34,51,1.34,26448,696.00,6135,161.45,172,4.53,0,0.00
41,43,716,16.65,291,6.77,37173,864.49,13698,318.56,0,0.00,0,0.00
42,375,595,1.59,740,1.97,67040,178.77,8290,22.11,60,0.16,0,0.00
43,386,5424,14.05,2306,5.97,327106,847.42,89464,231.77,290,0.75,0,0.00
44,23,595,25.87,459,19.96,15158,659.04,4932,214.43,0,0.00,0,0.00
45,65,1317,20.26,683,10.51,62063,954.82,32785,504.38,614,9.45,0,0.00
46,9,135,15.00,19,2.11,4170,463.33,2740,304.44,104,11.56,0,0.00
