tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2302994,3990382,1.73,4062429,1.76,0,0.00,0,0.00,0,0.00,0,0.00
2,26374,56543,2.14,53924,2.04,86677,3.29,11264,0.43,155,0.01,0,0.00
3,2147351,3122661,1.45,2683400,1.25,25931092,12.08,648879,0.30,724,0.00,0,0.00
4,33112,97648,2.95,63667,1.92,667494,20.16,1514,0.05,32,0.00,0,0.00
5,197273,447418,2.27,387301,1.96,6207166,31.46,522703,2.65,2361,0.01,0,0.00
6,12146,62022,5.11,41124,3.39,278345,22.92,33190,2.73,422,0.03,0,0.00
7,63852,426226,6.68,152140,2.38,3158921,49.47,717870,11.24,394,0.01,0,0.00
8,8330,38731,4.65,33848,4.06,363593,43.65,11370,1.36,486,0.06,0,0.00
9,44409,187287,4.22,95622,2.15,2603196,58.62,1080094,24.32,2618,0.06,0,0.00
10,6368,33624,5.28,23880,3.75,424724,66.70,52781,8.29,54,0.01,0,0.00
11,33813,98309,2.91,133226,3.94,4211692,124.56,315485,9.33,565,0.02,0,0.00
12,5410,46668,8.63,37476,6.93,330650,61.12,83333,15.40,185,0.03,0,0.00
13,8941,59205,6.62,35299,3.95,1104316,123.51,266175,29.77,5548,0.62,0,0.00
14,2744,31245,11.39,31580,11.51,210241,76.62,2644,0.96,1228,0.45,0,0.00
15,8497,78655,9.26,47818,5.63,706175,83.11,427689,50.33,438,0.05,0,0.00
16,5245,53982,10.29,49808,9.50,673797,128.46,113782,21.69,1479,0.28,0,0.00
17,14998,67805,4.52,36929,2.46,1364452,90.98,486607,32.44,125248,8.35,0,0.00
18,708,5833,8.24,3927,5.55,178843,252.60,23485,33.17,773,1.09,0,0.00
19,17242,119275,6.92,64104,3.72,4331818,251.24,1226383,71.13,4343,0.25,0,0.00
20,2723,14243,5.23,8627,3.17,756589,277.85,53740,19.74,1973,0.72,0,0.00
21,3513,41589,11.84,18536,5.28,663570,188.89,480144,136.68,2255,0.64,0,0.00
22,3582,39802,11.11,24875,6.94,905231,252.72,537333,150.01,664,0.19,0,0.00
23,10251,177461,17.31,134807,13.15,2355574,229.79,851968,83.11,449,0.04,0,0.00
24,5221,29768,5.70,12997,2.49,2259151,432.70,334864,64.14,41,0.01,0,0.00
25,3563,52330,14.69,22852,6.41,787813,221.11,810303,227.42,5202,1.46,0,0.00
26,1762,24648,13.99,14818,8.41,1573647,893.10,156474,88.80,3,0.00,0,0.00
27,8623,83719,9.71,35212,4.08,3951499,458.25,1333627,154.66,751,0.09,0,0.00
28,553,6062,10.96,2702,4.89,210187,380.08,104361,188.72,4476,8.09,0,0.00
29,5976,98117,16.42,19808,3.31,8443145,1412.84,1985836,332.30,1402,0.23,0,0.00
30,350,3796,10.85,1735,4.96,139330,398.09,64286,183.67,274,0.78,0,0.00
31,3414,44970,13.17,5975,1.75,1307365,382.94,1052840,308.39,7078,2.07,0,0.00
32,554,4037,7.29,826,1.49,313216,565.37,82844,149.54,4674,8.44,0,0.00
33,3213,48431,15.07,20715,6.45,1842904,573.58,913995,284.47,7452,2.32,0,0.00
34,534,6863,12.85,1961,3.67,252584,473.00,86223,161.47,5813,10.89,0,0.00
35,1098,14217,12.95,4272,3.89,423738,385.92,425700,387.70,5145,4.69,0,0.00
36,740,15559,21.03,12365,16.71,241540,326.41,95185,128.63,1629,2.20,0,0.00
37,2606,49584,19.03,28305,10.86,1518662,582.76,880024,337.69,4550,1.75,0,0.00
38,270,5656,20.95,2960,10.96,98788,365.88,86749,321.29,0,0.00,0,0.00
39,1126,13495,11.98,5546,4.93,832003,738.90,283036,251.36,3585,3.18,0,0.00
40,1285,11923,9.28,2839,2.21,852550,663.46,216836,168.74,3618,2.82,0,0.00
41,1096,20219,18.45,8335,7.60,1015037,926.13,394551,359.99,132,0.12,0,0.00
42,11744,19731,1.68,23905,2.04,2150136,183.08,287938,24.52,1901,0.16,0,0.00
43,6825,96848,14.19,40985,6.01,5855005,857.88,1555854,227.96,2172,0.32,0,0.00
44,915,21249,23.22,16336,17.85,476837,521.13,223366,244.12,2222,2.43,0,0.00
45,1722,34761,20.19,17777,10.32,1259054,731.16,901662,523.61,16800,9.76,0,0.00
46,422,6081,14.41,1556,3.69,196266,465.09,123430,292.49,5236,12.41,0,0.00
47,4111,67406,16.40,26882,6.54,3890404,946.34,953770,232.00,10891,2.65,0,0.00
48,579,8440,14.58,1317,2.27,415279,717.23,115669,199.77,11303,19.52,0,0.00
49,1164,22133,19.01,7601,6.53,918853,789.39,669506,575.18,9695,8.33,0,0.00
50,291,5181,17.80,297,1.02,204681,703.37,195906,673.22,1898,6.52,0,0.00
51,1008,31356,31.11,21267,21.10,1246620,1236.73,426557,423.17,2083,2.07,0,0.00
52,1044,16141,15.46,6425,6.15,664040,636.05,583765,559.16,2960,2.84,0,0.00
53,1092,23686,21.69,10590,9.70,1208095,1106.31,644046,589.79,179,0.16,0,0.00
54,166,2834,17.07,1168,7.04,220261,1326.87,67852,408.75,1395,8.40,0,0.00
55,260,3914,15.05,608,2.34,450371,1732.20,99841,384.00,528,2.03,0,0.00
56,403,18158,45.06,17553,43.56,47771,118.54,6103,15.14,55,0.14,0,0.00
57,2485,66157,26.62,46879,18.86,2060327,829.11,427276,171.94,71,0.03,0,0.00
58,319,1440,4.51,709,2.22,156196,489.64,11095,34.78,384,1.20,0,0.00
59,207,2214,10.70,421,2.03,251135,1213.21,44503,214.99,6343,30.64,0,0.00
60,1864,5726,3.07,1866,1.00,1699117,911.54,331970,178.10,1809,0.97,0,0.00
61,6,238,39.67,128,21.33,5790,965.00,7618,1269.67,0,0.00,0,0.00
62,494,20795,42.10,19777,40.03,160423,324.74,15124,30.62,20,0.04,0,0.00
63,2180,38825,17.81,15699,7.20,2529986,1160.54,911117,417.94,8085,3.71,0,0.00
64,7,79,11.29,25,3.57,4743,677.57,651,93.00,63,9.00,0,0.00
65,755,6400,8.48,2939,3.89,570625,755.79,42253,55.96,12833,17.00,0,0.00
66,153,1224,8.00,459,3.00,300986,1967.23,25606,167.36,417,2.73,0,0.00
67,549,11902,21.68,4160,7.58,680151,1238.89,521159,949.29,128,0.23,0,0.00
68,283,2281,8.06,427,1.51,291287,1029.28,54283,191.81,196,0.69,0,0.00
69,664,17418,26.23,15672,23.60,400941,603.83,64867,97.69,93,0.14,0,0.00
70,154,3846,24.97,2316,15.04,213958,1389.34,13770,89.42,0,0.00,0,0.00
71,1,68,68.00,36,36.00,1479,1479.00,2920,2920.00,0,0.00,0,0.00
72,313,2529,8.08,323,1.03,329609,1053.06,69799,223.00,0,0.00,0,0.00
73,4345,102128,23.50,34507,7.94,6165240,1418.93,3375082,776.77,144,0.03,0,0.00
75,937,45666,48.74,13670,14.59,2531808,2702.04,2931928,3129.06,14,0.01,0,0.00
76,158,2352,14.89,219,1.39,555587,3516.37,59914,379.20,24,0.15,0,0.00
77,545,25713,47.18,12867,23.61,1005111,1844.24,1904441,3494.39,8267,15.17,0,0.00
79,5,86,17.20,26,5.20,7644,1528.80,4062,812.40,0,0.00,0,0.00
80,2,30,15.00,4,2.00,3064,1532.00,458,229.00,0,0.00,0,0.00
81,193,4445,23.03,383,1.98,158667,822.11,217754,1128.26,13028,67.50,0,0.00
83,1557,40396,25.94,15532,9.98,2652246,1703.43,1381819,887.49,281,0.18,0,0.00
84,883,4918,5.57,883,1.00,804264,910.83,113637,128.69,3733,4.23,0,0.00
85,164,187,1.14,180,1.10,29029,177.01,4051,24.70,12762,77.82,0,0.00
87,426,4348,10.21,1515,3.56,1007514,2365.06,172970,406.03,0,0.00,0,0.00
88,313,94,0.30,47,0.15,37253,119.02,2478,7.92,150,0.48,0,0.00
89,312,13644,43.73,314,1.01,177047,567.46,1159726,3717.07,157,0.50,0,0.00
90,155,4650,30.00,310,2.00,243350,1570.00,578305,3731.00,12865,83.00,0,0.00
91,541,33091,61.17,14724,27.22,1114714,2060.47,2672458,4939.85,7635,14.11,0,0.00
93,970,27770,28.63,10470,10.79,1934400,1994.23,1072280,1105.44,0,0.00,0,0.00
94,25,50,2.00,29,1.16,18592,743.68,606,24.24,1997,79.88,0,0.00
95,2,2,1.00,12,6.00,1646,823.00,228,114.00,158,79.00,0,0.00
96,7762,55954,7.21,28574,3.68,13094706,1687.03,3865338,497.98,55080,7.10,0,0.00
97,313,9653,30.84,3425,10.94,626037,2000.12,380696,1216.28,246,0.79,0,0.00
98,310,3410,11.00,310,1.00,978670,3157.00,93620,302.00,21700,70.00,0,0.00
99,185,276,1.49,356,1.92,218602,1181.63,27129,146.64,0,0.00,0,0.00
100,157,3388,21.58,355,2.26,768335,4893.85,99045,630.86,0,0.00,0,0.00
101,2,32,16.00,10,5.00,4482,2241.00,1038,519.00,142,71.00,0,0.00
103,1252,45594,36.42,11482,9.17,2194792,1753.03,2852716,2278.53,0,0.00,0,0.00
105,310,32240,104.00,16430,53.00,745860,2406.00,3526250,11375.00,0,0.00,0,0.00
107,1086,31654,29.15,11327,10.43,2053320,1890.72,1391845,1281.63,16120,14.84,0,0.00
108,9,108,12.00,63,7.00,23104,2567.11,2496,277.33,245,27.22,0,0.00
109,155,2790,18.00,310,2.00,347820,2244.00,103695,669.00,9765,63.00,0,0.00
112,27,324,12.00,162,6.00,32670,1210.00,3078,114.00,0,0.00,0,0.00
113,8370,278070,33.22,76570,9.15,32402379,3871.25,9316071,1113.03,74555,8.91,0,0.00
114,64,360,5.62,136,2.12,48335,755.23,5116,79.94,1288,20.12,0,0.00
115,932,70724,75.88,18614,19.97,1275962,1369.06,7767800,8334.55,8596,9.22,0,0.00
116,115,2099,18.25,857,7.45,599607,5213.97,59046,513.44,198,1.72,0,0.00
117,1602,107369,67.02,48990,30.58,4071662,2541.61,9624984,6008.10,12938,8.08,0,0.00
120,2,85,42.50,17,8.50,9793,4896.50,4296,2148.00,0,0.00,0,0.00
121,38,1444,38.00,38,1.00,226845,5969.61,38583,1015.34,882,23.21,0,0.00
122,2,4,2.00,2,1.00,2830,1415.00,320,160.00,0,0.00,0,0.00
123,1011,35502,35.12,13182,13.04,2493758,2466.63,1854865,1834.68,254,0.25,0,0.00
124,157,3424,21.81,167,1.06,1007780,6418.98,159589,1016.49,246,1.57,0,0.00
125,545,20794,38.15,545,1.00,532717,977.46,2334040,4282.64,11080,20.33,0,0.00
126,42,578,13.76,189,4.50,193042,4596.24,11572,275.52,1794,42.71,0,0.00
127,1049,67409,64.26,31501,30.03,3226423,3075.71,6251339,5959.33,32630,31.11,0,0.00
128,2,102,51.00,50,25.00,2182,1091.00,700,350.00,236,118.00,0,0.00
129,224,1676,7.48,1296,5.79,296999,1325.89,126053,562.74,19811,88.44,0,0.00
130,309,3545,11.47,1236,4.00,1216975,3938.43,146454,473.96,1166,3.77,0,0.00
131,15,15,1.00,45,3.00,36870,2458.00,4065,271.00,0,0.00,0,0.00
132,1,3,3.00,1,1.00,445,445.00,21,21.00,128,128.00,0,0.00
133,475,15980,33.64,5265,11.08,1606087,3381.24,1046900,2204.00,2109,4.44,0,0.00
134,115,3335,29.00,575,5.00,573155,4983.96,225125,1957.61,785,6.83,0,0.00
