tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,26604,44075,1.66,47469,1.78,0,0.00,0,0.00,0,0.00,0,0.00
2,338,730,2.16,708,2.09,1168,3.46,138,0.41,2,0.01,0,0.00
3,26023,37258,1.43,32850,1.26,314105,12.07,7326,0.28,13,0.00,0,0.00
4,454,1310,2.89,792,1.74,9050,19.93,46,0.10,0,0.00,0,0.00
5,2302,5027,2.18,4561,1.98,73638,31.99,6261,2.72,41,0.02,0,0.00
6,138,456,3.30,400,2.90,4046,29.32,398,2.88,4,0.03,0,0.00
7,799,4939,6.18,1772,2.22,41798,52.31,9107,11.40,4,0.01,0,0.00
8,120,512,4.27,474,3.95,5803,48.36,262,2.18,1,0.01,0,0.00
9,618,2594,4.20,1348,2.18,36482,59.03,14640,23.69,32,0.05,0,0.00
10,78,354,4.54,250,3.21,5316,68.15,594,7.62,0,0.00,0,0.00
11,446,1242,2.78,1714,3.84,56342,126.33,3959,8.88,11,0.02,0,0.00
12,80,668,8.35,522,6.53,5052,63.15,1398,17.48,0,0.00,0,0.00
13,98,626,6.39,352,3.59,12260,125.10,2953,30.13,85,0.87,0,0.00
14,50,522,10.44,528,10.56,3820,76.40,44,0.88,28,0.56,0,0.00
15,129,1194,9.26,761,5.90,9886,76.64,5985,46.40,20,0.16,0,0.00
16,68,548,8.06,514,7.56,10420,153.24,344,5.06,24,0.35,0,0.00
17,199,901,4.53,476,2.39,18618,93.56,6534,32.83,1596,8.02,0,0.00
18,15,85,5.67,58,3.87,3784,252.27,318,21.20,38,2.53,0,0.00
19,142,1014,7.14,494,3.48,34314,241.65,10778,75.90,64,0.45,0,0.00
20,16,111,6.94,77,4.81,2743,171.44,394,24.62,0,0.00,0,0.00
21,41,498,12.15,230,5.61,7794,190.10,5534,134.98,23,0.56,0,0.00
22,25,82,3.28,79,3.16,4598,183.92,382,15.28,0,0.00,0,0.00
23,138,2302,16.68,1746,12.65,31822,230.59,10928,79.19,0,0.00,0,0.00
24,69,373,5.41,159,2.30,29680,430.14,4405,63.84,0,0.00,0,0.00
25,42,612,14.57,298,7.10,13730,326.90,8406,200.14,84,2.00,0,0.00
26,22,174,7.91,50,2.27,20492,931.45,2006,91.18,0,0.00,0,0.00
27,123,1202,9.77,486,3.95,55387,450.30,18595,151.18,44,0.36,0,0.00
28,6,62,10.33,26,4.33,2468,411.33,1022,170.33,70,11.67,0,0.00
29,87,1392,16.00,265,3.05,111968,1286.99,28715,330.06,6,0.07,0,0.00
30,7,66,9.43,25,3.57,2356,336.57,958,136.86,0,0.00,0,0.00
31,50,654,13.08,84,1.68,19044,380.88,14922,298.44,81,1.62,0,0.00
32,10,80,8.00,20,2.00,6085,608.50,1403,140.30,92,9.20,0,0.00
33,36,554,15.39,260,7.22,21632,600.89,10626,295.17,52,1.44,0,0.00
34,6,82,13.67,22,3.67,2734,455.67,1327,221.17,38,6.33,0,0.00
35,14,174,12.43,50,3.57,4636,331.14,5022,358.71,122,8.71,0,0.00
36,10,204,20.40,160,16.00,3394,339.40,1278,127.80,22,2.20,0,0.00
37,26,564,21.69,328,12.62,14962,575.46,9469,364.19,72,2.77,0,0.00
38,2,34,17.00,2,1.00,796,398.00,770,385.00,12,6.00,0,0.00
39,14,160,11.43,70,5.00,9468,676.29,3969,283.50,96,6.86,0,0.00
40,16,140,8.75,16,1.00,11338,708.62,2481,155.06,58,3.62,0,0.00
41,14,258,18.43,106,7.57,13016,929.71,4992,356.57,0,0.00,0,0.00
42,151,256,1.70,301,1.99,28042,185.71,3710,24.57,24,0.16,0,0.00
43,88,1248,14.18,528,6.00,75448,857.36,19890,226.02,46,0.52,0,0.00
44,8,220,27.50,180,22.50,3428,428.50,1656,207.00,0,0.00,0,0.00
45,28,528,18.86,262,9.36,23007,821.68,13582,485.07,280,10.00,0,0.00
46,6,72,12.00,16,2.67,2742,457.00,1417,236.17,44,7.33,0,0.00
47,52,852,16.38,340,6.54,49324,948.54,13084,251.62,82,1.58,0,0.00
48,8,134,16.75,16,2.00,5400,675.00,2082,260.25,170,21.25,0,0.00
49,16,286,17.88,98,6.12,12682,792.62,8383,523.94,134,8.38,0,0.00
50,6,106,17.67,6,1.00,5566,927.67,3566,594.33,0,0.00,0,0.00
51,10,380,38.00,268,26.80,12530,1253.00,4265,426.50,43,4.30,0,0.00
52,12,208,17.33,80,6.67,8458,704.83,7290,607.50,42,3.50,0,0.00
53,10,236,23.60,108,10.80,11242,1124.20,6852,685.20,0,0.00,0,0.00
54,2,34,17.00,14,7.00,2634,1317.00,858,429.00,18,9.00,0,0.00
55,6,106,17.67,10,1.67,10390,1731.67,2436,406.00,0,0.00,0,0.00
56,4,224,56.00,224,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,28,776,27.71,576,20.57,21934,783.36,3632,129.71,28,1.00,0,0.00
58,4,16,4.00,8,2.00,1948,487.00,124,31.00,0,0.00,0,0.00
59,4,38,9.50,6,1.50,4558,1139.50,720,180.00,60,15.00,0,0.00
60,28,78,2.79,28,1.00,23943,855.11,4732,169.00,91,3.25,0,0.00
61,2,0,0.00,2,1.00,6,3.00,0,0.00,116,58.00,0,0.00
62,6,260,43.33,252,42.00,1354,225.67,116,19.33,0,0.00,0,0.00
63,28,496,17.71,200,7.14,32500,1160.71,11592,414.00,104,3.71,0,0.00
65,12,104,8.67,48,4.00,8972,747.67,932,77.67,322,26.83,0,0.00
66,2,16,8.00,6,3.00,3023,1511.50,242,121.00,41,20.50,0,0.00
67,2,44,22.00,4,2.00,2468,1234.00,3508,1754.00,0,0.00,0,0.00
68,4,36,9.00,6,1.50,4022,1005.50,738,184.50,0,0.00,0,0.00
69,8,212,26.50,192,24.00,4712,589.00,292,36.50,0,0.00,0,0.00
70,2,50,25.00,30,15.00,2780,1390.00,180,90.00,0,0.00,0,0.00
72,4,32,8.00,4,1.00,4192,1048.00,892,223.00,0,0.00,0,0.00
73,60,1408,23.47,480,8.00,85452,1424.20,46228,770.47,0,0.00,0,0.00
75,12,588,49.00,176,14.67,32540,2711.67,37772,3147.67,0,0.00,0,0.00
76,2,28,14.00,2,1.00,6912,3456.00,720,360.00,0,0.00,0,0.00
77,10,372,37.20,178,17.80,18214,1821.40,26116,2611.60,158,15.80,0,0.00
78,1,34,34.00,9,9.00,2362,2362.00,1508,1508.00,0,0.00,0,0.00
79,1,17,17.00,6,6.00,1489,1489.00,960,960.00,0,0.00,0,0.00
81,3,51,17.00,7,2.33,3746,1248.67,2820,940.00,150,50.00,0,0.00
83,24,624,26.00,240,10.00,40872,1703.00,21384,891.00,0,0.00,0,0.00
84,12,12,1.00,12,1.00,7572,631.00,600,50.00,0,0.00,0,0.00
85,2,0,0.00,2,1.00,6,3.00,0,0.00,164,82.00,0,0.00
86,2,80,40.00,2,1.00,5600,2800.00,1394,697.00,74,37.00,0,0.00
87,4,32,8.00,12,3.00,7524,1881.00,1274,318.50,0,0.00,0,0.00
88,4,0,0.00,0,0.00,352,88.00,0,0.00,0,0.00,0,0.00
89,4,176,44.00,4,1.00,2280,570.00,14964,3741.00,0,0.00,0,0.00
90,2,60,30.00,4,2.00,3140,1570.00,7462,3731.00,166,83.00,0,0.00
91,4,360,90.00,184,46.00,8308,2077.00,33712,8428.00,0,0.00,0,0.00
93,18,504,28.00,188,10.44,38274,2126.33,19332,1074.00,4,0.22,0,0.00
96,100,720,7.20,368,3.68,168036,1680.36,49776,497.76,968,9.68,0,0.00
97,4,124,31.00,44,11.00,7968,1992.00,4896,1224.00,0,0.00,0,0.00
98,4,44,11.00,4,1.00,12628,3157.00,1208,302.00,280,70.00,0,0.00
99,2,32,16.00,12,6.00,9680,4840.00,966,483.00,0,0.00,0,0.00
100,2,36,18.00,2,1.00,9914,4957.00,1278,639.00,0,0.00,0,0.00
103,12,460,38.33,100,8.33,19676,1639.67,31272,2606.00,0,0.00,0,0.00
105,4,416,104.00,212,53.00,9624,2406.00,45500,11375.00,0,0.00,0,0.00
107,16,426,26.62,148,9.25,33820,2113.75,18264,1141.50,368,23.00,0,0.00
109,2,36,18.00,4,2.00,4488,2244.00,1338,669.00,126,63.00,0,0.00
113,104,3448,33.15,936,9.00,411904,3960.62,114332,1099.35,0,0.00,0,0.00
114,2,16,8.00,4,2.00,378,189.00,42,21.00,0,0.00,0,0.00
115,12,912,76.00,240,20.00,16476,1373.00,105624,8802.00,0,0.00,0,0.00
117,24,1518,63.25,656,27.33,68640,2860.00,141192,5883.00,0,0.00,0,0.00
121,1,1,1.00,9,9.00,5206,5206.00,566,566.00,0,0.00,0,0.00
123,14,460,32.86,172,12.29,32920,2351.43,23959,1711.36,76,5.43,0,0.00
124,2,44,22.00,2,1.00,12916,6458.00,2030,1015.00,0,0.00,0,0.00
125,6,248,41.33,6,1.00,3286,547.67,30012,5002.00,180,30.00,0,0.00
127,8,568,71.00,260,32.50,21302,2662.75,67874,8484.25,494,61.75,0,0.00
129,2,0,0.00,2,1.00,50,25.00,0,0.00,208,104.00,0,0.00
130,4,46,11.50,16,4.00,15770,3942.50,1711,427.75,31,7.75,0,0.00
