tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2538235,5053415,1.99,4021195,1.58,0,0.00,0,0.00,0,0.00,0,0.00
2,4939,7763,1.57,6462,1.31,14172,2.87,3932,0.80,6,0.00,0,0.00
3,2576729,3901923,1.51,3286017,1.28,31809445,12.34,1292906,0.50,1655,0.00,0,0.00
4,5549,12881,2.32,8871,1.60,80379,14.49,138,0.02,1,0.00,0,0.00
5,1963117,2662811,1.36,2632385,1.34,54610837,27.82,271007,0.14,16529,0.01,0,0.00
6,4373,19059,4.36,10909,2.49,114102,26.09,22263,5.09,17,0.00,0,0.00
7,347290,1386893,3.99,697258,2.01,19811153,57.04,3266568,9.41,90,0.00,0,0.00
8,2396,13587,5.67,6938,2.90,121683,50.79,8469,3.53,4,0.00,0,0.00
9,15643,68264,4.36,33454,2.14,881052,56.32,433633,27.72,795,0.05,0,0.00
10,1799,16599,9.23,7175,3.99,128934,71.67,10978,6.10,108,0.06,0,0.00
11,2293,18695,8.15,11264,4.91,266057,116.03,20188,8.80,459,0.20,0,0.00
12,11280,23385,2.07,16086,1.43,540363,47.90,4194,0.37,6256,0.55,0,0.00
13,1082,17691,16.35,7454,6.89,108290,100.08,33361,30.83,266,0.25,0,0.00
14,457,14690,32.14,5952,13.02,11390,24.92,132,0.29,114,0.25,0,0.00
15,12423,100376,8.08,18839,1.52,2394657,192.76,529006,42.58,30725,2.47,0,0.00
16,926,21418,23.13,9595,10.36,104383,112.72,35918,38.79,242,0.26,0,0.00
17,6670,34697,5.20,29534,4.43,1516697,227.39,187041,28.04,4810,0.72,0,0.00
18,343,15922,46.42,5524,16.10,12260,35.74,974,2.84,108,0.31,0,0.00
19,1597,26916,16.85,11775,7.37,378646,237.10,106024,66.39,795,0.50,0,0.00
20,309,15740,50.94,5464,17.68,8098,26.21,1224,3.96,4,0.01,0,0.00
21,404,18991,47.01,6650,16.46,22292,55.18,16633,41.17,69,0.17,0,0.00
22,795,24099,30.31,9672,12.17,164298,206.66,82480,103.75,271,0.34,0,0.00
23,941,28807,30.61,12650,13.44,192206,204.26,49306,52.40,578,0.61,0,0.00
24,684,22355,32.68,7803,11.41,232504,339.92,29233,42.74,5,0.01,0,0.00
25,810,26381,32.57,10572,13.05,189464,233.91,138616,171.13,513,0.63,0,0.00
