tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,196253,319551,1.63,345618,1.76,0,0.00,0,0.00,0,0.00,0,0.00
2,3422,7316,2.14,6024,1.76,14735,4.31,1041,0.30,14,0.00,0,0.00
3,181949,261480,1.44,229956,1.26,2197304,12.08,52348,0.29,97,0.00,0,0.00
4,3328,9287,2.79,5882,1.77,64769,19.46,267,0.08,1,0.00,0,0.00
5,16898,36912,2.18,33254,1.97,540768,32.00,45565,2.70,164,0.01,0,0.00
6,1064,3443,3.24,2987,2.81,32550,30.59,2879,2.71,28,0.03,0,0.00
7,5702,34398,6.03,12353,2.17,295560,51.83,63917,11.21,95,0.02,0,0.00
8,1008,4497,4.46,4054,4.02,50320,49.92,2094,2.08,3,0.00,0,0.00
9,4561,18585,4.07,9549,2.09,271912,59.62,108005,23.68,424,0.09,0,0.00
10,769,3589,4.67,2718,3.53,48266,62.76,4191,5.45,42,0.05,0,0.00
11,3189,8921,2.80,11923,3.74,404940,126.98,30764,9.65,35,0.01,0,0.00
12,646,4730,7.32,3723,5.76,43531,67.39,8796,13.62,0,0.00,0,0.00
13,841,5331,6.34,3045,3.62,103318,122.85,25756,30.63,436,0.52,0,0.00
14,324,2895,8.94,2940,9.07,30374,93.75,258,0.80,402,1.24,0,0.00
15,813,7483,9.20,4864,5.98,65739,80.86,34328,42.22,192,0.24,0,0.00
16,447,3852,8.62,3602,8.06,63475,142.00,1972,4.41,263,0.59,0,0.00
17,1372,6168,4.50,3187,2.32,116270,84.74,47545,34.65,11250,8.20,0,0.00
18,85,560,6.59,375,4.41,21209,249.52,2181,25.66,167,1.96,0,0.00
19,1031,7203,6.99,3513,3.41,249680,242.17,73815,71.60,1198,1.16,0,0.00
20,124,801,6.46,565,4.56,20312,163.81,2826,22.79,0,0.00,0,0.00
21,280,3141,11.22,1033,3.69,56128,200.46,43346,154.81,173,0.62,0,0.00
22,274,1286,4.69,1220,4.45,40863,149.14,3180,11.61,24,0.09,0,0.00
23,1024,16470,16.08,12342,12.05,238763,233.17,79262,77.40,358,0.35,0,0.00
24,540,2836,5.25,1155,2.14,225608,417.79,32436,60.07,0,0.00,0,0.00
25,327,4538,13.88,2032,6.21,87573,267.81,66313,202.79,582,1.78,0,0.00
26,154,1213,7.88,343,2.23,142419,924.80,13987,90.82,115,0.75,0,0.00
27,817,7913,9.69,3317,4.06,374675,458.60,121408,148.60,273,0.33,0,0.00
28,51,520,10.20,212,4.16,18533,363.39,8493,166.53,481,9.43,0,0.00
29,584,9291,15.91,1828,3.13,774890,1326.87,190373,325.98,132,0.23,0,0.00
30,39,376,9.64,164,4.21,24522,628.77,6354,162.92,110,2.82,0,0.00
31,283,3679,13.00,515,1.82,114062,403.05,84764,299.52,474,1.67,0,0.00
32,81,669,8.26,206,2.54,50016,617.48,12272,151.51,536,6.62,0,0.00
33,281,4340,15.44,1852,6.59,158014,562.33,86256,306.96,472,1.68,0,0.00
34,43,578,13.44,158,3.67,19398,451.12,8758,203.67,389,9.05,0,0.00
35,105,1266,12.06,374,3.56,37895,360.90,37027,352.64,668,6.36,0,0.00
36,42,420,10.00,112,2.67,23758,565.67,8946,213.00,154,3.67,0,0.00
37,216,5022,23.25,3357,15.54,109577,507.30,68162,315.56,437,2.02,0,0.00
38,36,283,7.86,36,1.00,26010,722.50,6409,178.03,104,2.89,0,0.00
39,94,1120,11.91,489,5.20,66735,709.95,26292,279.70,388,4.13,0,0.00
40,107,945,8.83,107,1.00,75276,703.51,16327,152.59,404,3.78,0,0.00
41,70,1358,19.40,546,7.80,60732,867.60,33684,481.20,0,0.00,0,0.00
42,1056,1748,1.66,2086,1.98,191970,181.79,24468,23.17,192,0.18,0,0.00
43,644,8988,13.96,4032,6.26,575284,893.30,124201,192.86,271,0.42,0,0.00
44,56,1540,27.50,1260,22.50,23996,428.50,11592,207.00,0,0.00,0,0.00
45,176,2800,15.91,1103,6.27,117887,669.81,61749,350.85,1662,9.44,0,0.00
46,41,555,13.54,131,3.20,21031,512.95,11103,270.80,316,7.71,0,0.00
47,426,7712,18.10,3260,7.65,408802,959.63,148056,347.55,982,2.31,0,0.00
48,51,818,16.04,92,1.80,30879,605.47,12703,249.08,1162,22.78,0,0.00
49,100,1615,16.15,507,5.07,72369,723.69,58383,583.83,994,9.94,0,0.00
50,81,2216,27.36,1453,17.94,39621,489.15,23049,284.56,69,0.85,0,0.00
51,56,1608,28.71,732,13.07,102459,1829.62,33926,605.82,259,4.62,0,0.00
52,84,1456,17.33,560,6.67,58166,692.45,51208,609.62,346,4.12,0,0.00
53,70,1652,23.60,756,10.80,78694,1124.20,47964,685.20,0,0.00,0,0.00
54,15,242,16.13,99,6.60,19154,1276.93,6088,405.87,161,10.73,0,0.00
55,61,1035,16.97,263,4.31,91283,1496.44,14595,239.26,45,0.74,0,0.00
56,28,1568,56.00,1568,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,168,4956,29.50,3836,22.83,118384,704.67,25424,151.33,0,0.00,0,0.00
58,29,115,3.97,59,2.03,13876,478.48,944,32.55,0,0.00,0,0.00
59,29,286,9.86,67,2.31,34794,1199.79,5636,194.34,654,22.55,0,0.00
60,202,579,2.87,202,1.00,178050,881.44,35126,173.89,243,1.20,0,0.00
61,28,1708,61.00,1708,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,14,84,6.00,28,2.00,9478,677.00,812,58.00,0,0.00,0,0.00
63,196,3472,17.71,1400,7.14,228592,1166.29,85876,438.14,0,0.00,0,0.00
64,1,20,20.00,8,8.00,1000,1000.00,577,577.00,0,0.00,0,0.00
65,67,454,6.78,185,2.76,32331,482.55,5482,81.82,1264,18.87,0,0.00
66,14,112,8.00,42,3.00,28154,2011.00,2380,170.00,0,0.00,0,0.00
