tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,227282,373964,1.65,408164,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,2489,5824,2.34,5482,2.20,7740,3.11,1062,0.43,18,0.01,0,0.00
3,229128,325590,1.42,288384,1.26,2758333,12.04,62082,0.27,107,0.00,0,0.00
4,3382,10600,3.13,6262,1.85,67808,20.05,72,0.02,0,0.00,0,0.00
5,18828,41166,2.19,37458,1.99,602890,32.02,50580,2.69,326,0.02,0,0.00
6,918,3492,3.80,3060,3.33,21870,23.82,2736,2.98,36,0.04,0,0.00
7,6660,42372,6.36,14436,2.17,349595,52.49,76788,11.53,127,0.02,0,0.00
8,864,3996,4.62,3852,4.46,31806,36.81,684,0.79,0,0.00,0,0.00
9,4608,19368,4.20,9810,2.13,269352,58.45,115002,24.96,216,0.05,0,0.00
10,666,3960,5.95,3078,4.62,32652,49.03,5112,7.68,0,0.00,0,0.00
11,3672,9954,2.71,14328,3.90,472020,128.55,33114,9.02,30,0.01,0,0.00
12,540,4932,9.13,3978,7.37,29430,54.50,8838,16.37,0,0.00,0,0.00
13,1010,7192,7.12,4614,4.57,117270,116.11,30009,29.71,608,0.60,0,0.00
14,288,3546,12.31,3600,12.50,19152,66.50,216,0.75,0,0.00,0,0.00
15,918,8730,9.51,5472,5.96,74232,80.86,46001,50.11,176,0.19,0,0.00
16,432,5310,12.29,5364,12.42,33682,77.97,1134,2.62,158,0.37,0,0.00
17,1702,7734,4.54,4016,2.36,136996,80.49,60086,35.30,14364,8.44,0,0.00
18,64,624,9.75,416,6.50,16826,262.91,2594,40.53,0,0.00,0,0.00
19,1206,8694,7.21,4374,3.63,295048,244.65,88577,73.45,1508,1.25,0,0.00
20,98,932,9.51,646,6.59,16070,163.98,2990,30.51,0,0.00,0,0.00
21,332,3956,11.92,1618,4.87,47264,142.36,43840,132.05,206,0.62,0,0.00
22,90,504,5.60,504,5.60,12744,141.60,720,8.00,0,0.00,0,0.00
