tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1282859,2213023,1.73,2131327,1.66,0,0.00,0,0.00,0,0.00,0,0.00
2,30846,100793,3.27,60575,1.96,43401,1.41,6669,0.22,62,0.00,0,0.00
3,893500,1289988,1.44,1126356,1.26,10794487,12.08,268844,0.30,624,0.00,0,0.00
4,14540,39413,2.71,28825,1.98,263723,18.14,1432,0.10,140,0.01,0,0.00
5,119825,268223,2.24,237178,1.98,3703027,30.90,392323,3.27,1188,0.01,0,0.00
6,10319,30503,2.96,23841,2.31,327848,31.77,32114,3.11,134,0.01,0,0.00
7,32709,182261,5.57,68737,2.10,1659545,50.74,409317,12.51,657,0.02,0,0.00
8,5246,23416,4.46,17591,3.35,346367,66.02,37197,7.09,128,0.02,0,0.00
9,21632,87819,4.06,44902,2.08,1287747,59.53,517066,23.90,1770,0.08,0,0.00
10,3852,20110,5.22,16738,4.35,247474,64.25,24781,6.43,18,0.00,0,0.00
11,32604,58027,1.78,70773,2.17,2386228,73.19,209086,6.41,292,0.01,0,0.00
12,2447,20174,8.24,15549,6.35,160130,65.44,43564,17.80,13,0.01,0,0.00
13,4556,31892,7.00,18576,4.08,507096,111.30,143991,31.60,2390,0.52,0,0.00
14,1461,14176,9.70,13403,9.17,158091,108.21,5123,3.51,1187,0.81,0,0.00
15,22102,175251,7.93,49456,2.24,4226123,191.21,1132333,51.23,1065,0.05,0,0.00
16,2401,21931,9.13,21055,8.77,322451,134.30,12343,5.14,1467,0.61,0,0.00
17,6938,30040,4.33,18001,2.59,786958,113.43,213211,30.73,51127,7.37,0,0.00
18,667,4455,6.68,2466,3.70,217238,325.69,19975,29.95,1789,2.68,0,0.00
19,4724,33021,6.99,16284,3.45,1146995,242.80,334992,70.91,5750,1.22,0,0.00
20,539,3658,6.79,2466,4.58,99217,184.08,11510,21.35,780,1.45,0,0.00
21,1418,16758,11.82,7299,5.15,262365,185.02,193940,136.77,485,0.34,0,0.00
22,875,3560,4.07,2907,3.32,209317,239.22,20259,23.15,413,0.47,0,0.00
23,4706,72783,15.47,54418,11.56,1040033,221.00,342842,72.85,1809,0.38,0,0.00
