tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13593,22391,1.65,24095,1.77,0,0.00,0,0.00,0,0.00,0,0.00
2,179,378,2.11,366,2.04,640,3.58,75,0.42,1,0.01,0,0.00
3,13082,18756,1.43,16518,1.26,157963,12.07,3720,0.28,6,0.00,0,0.00
4,242,678,2.80,423,1.75,4763,19.68,25,0.10,0,0.00,0,0.00
5,1174,2562,2.18,2322,1.98,37572,32.00,3225,2.75,19,0.02,0,0.00
6,79,247,3.13,217,2.75,2470,31.27,214,2.71,2,0.03,0,0.00
7,416,2535,6.09,925,2.22,21495,51.67,4689,11.27,9,0.02,0,0.00
8,65,272,4.18,248,3.82,3382,52.03,148,2.28,0,0.00,0,0.00
9,318,1300,4.09,666,2.09,18879,59.37,7508,23.61,33,0.10,0,0.00
10,46,189,4.11,132,2.87,3318,72.13,298,6.48,0,0.00,0,0.00
11,229,644,2.81,872,3.81,28805,125.79,2049,8.95,10,0.04,0,0.00
12,44,343,7.80,266,6.05,2926,66.50,701,15.93,0,0.00,0,0.00
13,54,350,6.48,208,3.85,6610,122.41,1521,28.17,41,0.76,0,0.00
14,27,250,9.26,253,9.37,2345,86.85,22,0.81,21,0.78,0,0.00
15,66,582,8.82,347,5.26,5388,81.64,3146,47.67,9,0.14,0,0.00
16,38,337,8.87,322,8.47,5409,142.34,173,4.55,36,0.95,0,0.00
17,98,438,4.47,233,2.38,8894,90.76,3212,32.78,798,8.14,0,0.00
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,18,2.25,0,0.00
19,71,497,7.00,248,3.49,17577,247.56,5180,72.96,41,0.58,0,0.00
20,9,56,6.22,39,4.33,1458,162.00,213,23.67,0,0.00,0,0.00
21,20,247,12.35,114,5.70,3626,181.30,2771,138.55,11,0.55,0,0.00
22,13,40,3.08,40,3.08,2382,183.23,192,14.77,4,0.31,0,0.00
23,73,1174,16.08,880,12.05,16860,230.96,5523,75.66,52,0.71,0,0.00
24,35,184,5.26,79,2.26,14922,426.34,2259,64.54,0,0.00,0,0.00
25,21,306,14.57,149,7.10,6867,327.00,4212,200.57,40,1.90,0,0.00
26,11,87,7.91,25,2.27,10246,931.45,1003,91.18,0,0.00,0,0.00
27,62,609,9.82,242,3.90,27529,444.02,9564,154.26,25,0.40,0,0.00
28,3,31,10.33,13,4.33,1236,412.00,520,173.33,33,11.00,0,0.00
29,43,689,16.02,132,3.07,55195,1283.60,14125,328.49,12,0.28,0,0.00
30,3,29,9.67,12,4.00,1044,348.00,453,151.00,7,2.33,0,0.00
31,24,319,13.29,39,1.62,8857,369.04,7363,306.79,41,1.71,0,0.00
32,7,50,7.14,16,2.29,3716,530.86,904,129.14,75,10.71,0,0.00
33,18,277,15.39,130,7.22,10817,600.94,5291,293.94,25,1.39,0,0.00
34,3,41,13.67,11,3.67,1368,456.00,669,223.00,18,6.00,0,0.00
35,7,87,12.43,25,3.57,2316,330.86,2503,357.57,61,8.71,0,0.00
36,6,111,18.50,81,13.50,2258,376.33,699,116.50,11,1.83,0,0.00
37,15,308,20.53,174,11.60,8892,592.80,5033,335.53,42,2.80,0,0.00
38,2,19,9.50,2,1.00,1377,688.50,392,196.00,6,3.00,0,0.00
39,7,80,11.43,35,5.00,4735,676.43,1931,275.86,47,6.71,0,0.00
40,8,70,8.75,8,1.00,5619,702.38,1211,151.38,43,5.38,0,0.00
