tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,40089,66562,1.66,71598,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,510,1115,2.19,1074,2.11,1774,3.48,213,0.42,3,0.01,0,0.00
3,39073,55971,1.43,49313,1.26,471661,12.07,11034,0.28,29,0.00,0,0.00
4,683,1982,2.90,1211,1.77,13511,19.78,69,0.10,2,0.00,0,0.00
5,3472,7585,2.18,6869,1.98,111059,31.99,9478,2.73,52,0.01,0,0.00
6,211,696,3.30,608,2.88,6178,29.28,620,2.94,7,0.03,0,0.00
7,1220,7503,6.15,2722,2.23,63290,51.88,13848,11.35,19,0.02,0,0.00
8,189,780,4.13,723,3.83,9115,48.23,426,2.25,8,0.04,0,0.00
9,914,3773,4.13,1887,2.06,54746,59.90,21981,24.05,80,0.09,0,0.00
10,129,645,5.00,495,3.84,8088,62.70,891,6.91,0,0.00,0,0.00
11,663,1803,2.72,2505,3.78,84449,127.37,5977,9.02,10,0.02,0,0.00
12,115,941,8.18,723,6.29,7578,65.90,2097,18.23,0,0.00,0,0.00
13,163,1117,6.85,699,4.29,19276,118.26,4672,28.66,99,0.61,0,0.00
14,70,718,10.26,722,10.31,5716,81.66,66,0.94,48,0.69,0,0.00
15,186,1632,8.77,945,5.08,15356,82.56,9393,50.50,29,0.16,0,0.00
16,117,1098,9.38,1059,9.05,15594,133.28,516,4.41,55,0.47,0,0.00
17,292,1317,4.51,694,2.38,25868,88.59,9665,33.10,2402,8.23,0,0.00
18,21,123,5.86,84,4.00,5094,242.57,474,22.57,54,2.57,0,0.00
19,207,1467,7.09,735,3.55,50453,243.73,14844,71.71,280,1.35,0,0.00
20,28,185,6.61,126,4.50,5822,207.93,636,22.71,0,0.00,0,0.00
21,57,633,11.11,282,4.95,9900,173.68,6486,113.79,39,0.68,0,0.00
22,36,117,3.25,117,3.25,6627,184.08,529,14.69,16,0.44,0,0.00
23,216,3596,16.65,2694,12.47,50915,235.72,18924,87.61,15,0.07,0,0.00
24,103,567,5.50,242,2.35,44206,429.18,6780,65.83,16,0.16,0,0.00
25,57,846,14.84,441,7.74,19677,345.21,11118,195.05,120,2.11,0,0.00
26,33,261,7.91,75,2.27,30738,931.45,3009,91.18,0,0.00,0,0.00
27,184,1723,9.36,646,3.51,79886,434.16,26471,143.86,77,0.42,0,0.00
28,9,93,10.33,39,4.33,3708,412.00,1560,173.33,99,11.00,0,0.00
29,135,2235,16.56,486,3.60,171408,1269.69,46683,345.80,6,0.04,0,0.00
30,9,87,9.67,36,4.00,3122,346.89,1359,151.00,31,3.44,0,0.00
31,66,867,13.14,111,1.68,25425,385.23,19581,296.68,111,1.68,0,0.00
32,16,125,7.81,31,1.94,9360,585.00,2223,138.94,124,7.75,0,0.00
33,54,735,13.61,294,5.44,29403,544.50,13161,243.72,75,1.39,0,0.00
34,9,123,13.67,33,3.67,4104,456.00,2007,223.00,54,6.00,0,0.00
35,27,465,17.22,183,6.78,11514,426.44,13809,511.44,183,6.78,0,0.00
36,16,311,19.44,241,15.06,5468,341.75,1961,122.56,33,2.06,0,0.00
37,45,924,20.53,522,11.60,26676,592.80,15099,335.53,126,2.80,0,0.00
38,3,51,17.00,3,1.00,1194,398.00,1128,376.00,18,6.00,0,0.00
39,21,240,11.43,105,5.00,14205,676.43,5793,275.86,141,6.71,0,0.00
40,24,210,8.75,24,1.00,16918,704.92,3643,151.79,114,4.75,0,0.00
41,15,291,19.40,117,7.80,13014,867.60,7218,481.20,0,0.00,0,0.00
42,225,357,1.59,444,1.97,40224,178.77,4974,22.11,36,0.16,0,0.00
43,141,2001,14.19,846,6.00,122694,870.17,31122,220.72,63,0.45,0,0.00
44,12,330,27.50,270,22.50,5142,428.50,2484,207.00,0,0.00,0,0.00
