tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,14088713,32040143,2.27,28565245,2.03,0,0.00,0,0.00,0,0.00,0,0.00
2,209939,1010427,4.81,498419,2.37,335090,1.60,45005,0.21,481,0.00,0,0.00
3,7939682,12758760,1.61,10332066,1.30,96151843,12.11,3056114,0.38,5941,0.00,0,0.00
4,226256,529287,2.34,365010,1.61,3922523,17.34,36168,0.16,1424,0.01,0,0.00
5,1618871,4074697,2.52,2996097,1.85,54175064,33.46,3616389,2.23,16030,0.01,0,0.00
6,71746,251138,3.50,190781,2.66,2194380,30.59,186636,2.60,1173,0.02,0,0.00
7,282923,1551772,5.48,630440,2.23,15043998,53.17,3488791,12.33,6237,0.02,0,0.00
8,40489,167736,4.14,144285,3.56,2048368,50.59,112869,2.79,1210,0.03,0,0.00
9,221076,1254049,5.67,578496,2.62,12240317,55.37,4918689,22.25,18236,0.08,0,0.00
10,34533,194289,5.63,157355,4.56,2291848,66.37,327758,9.49,3041,0.09,0,0.00
11,126307,324008,2.57,419274,3.32,14881879,117.82,1091036,8.64,8859,0.07,0,0.00
12,24077,168290,6.99,125950,5.23,1993994,82.82,368248,15.29,377,0.02,0,0.00
13,42975,263897,6.14,156799,3.65,5171093,120.33,1229347,28.61,19527,0.45,0,0.00
14,15359,151569,9.87,149958,9.76,1282634,83.51,21145,1.38,9406,0.61,0,0.00
15,25753,205211,7.97,94678,3.68,3239729,125.80,1442345,56.01,2632,0.10,0,0.00
16,23117,198455,8.58,180098,7.79,3994373,172.79,304267,13.16,10358,0.45,0,0.00
17,54310,236547,4.36,139769,2.57,5994299,110.37,1673714,30.82,397997,7.33,0,0.00
18,6520,36305,5.57,22948,3.52,1863384,285.80,135803,20.83,13125,2.01,0,0.00
19,44269,290584,6.56,142605,3.22,9844607,222.38,3102828,70.09,31699,0.72,0,0.00
20,10302,52065,5.05,31705,3.08,2168778,210.52,205273,19.93,2308,0.22,0,0.00
21,15199,150931,9.93,70744,4.65,2968956,195.34,1717625,113.01,12738,0.84,0,0.00
22,16384,52242,3.19,39008,2.38,3769970,230.10,311743,19.03,7200,0.44,0,0.00
23,28216,508619,18.03,399014,14.14,5700855,202.04,2248306,79.68,3712,0.13,0,0.00
24,109304,186935,1.71,132235,1.21,13065936,119.54,1181084,10.81,9117,0.08,0,0.00
25,15648,203072,12.98,79159,5.06,4961497,317.07,2981627,190.54,28766,1.84,0,0.00
26,7619,63049,8.28,22046,2.89,6352298,833.74,566420,74.34,7758,1.02,0,0.00
27,39124,343546,8.78,135771,3.47,17145910,438.25,5087715,130.04,12079,0.31,0,0.00
28,19975,317493,15.89,173200,8.67,7845905,392.79,6291287,314.96,27501,1.38,0,0.00
29,23627,310955,13.16,71302,3.02,27492012,1163.58,5982753,253.22,40515,1.71,0,0.00
30,3390,23805,7.02,8999,2.65,1916531,565.35,355285,104.80,10247,3.02,0,0.00
31,9493,99920,10.53,18294,1.93,5338233,562.33,1948118,205.22,18112,1.91,0,0.00
32,3027,30267,10.00,10440,3.45,1930385,637.72,382937,126.51,22889,7.56,0,0.00
33,18461,187383,10.15,86910,4.71,10797518,584.88,3782337,204.88,20994,1.14,0,0.00
34,2294,31650,13.80,10388,4.53,1281705,558.72,445555,194.23,19602,8.54,0,0.00
35,7764,118097,15.21,63346,8.16,3959627,510.00,2539585,327.10,43663,5.62,0,0.00
36,4142,91256,22.03,56391,13.61,1541059,372.06,368606,88.99,9834,2.37,0,0.00
37,5736,112172,19.56,49055,8.55,3800641,662.59,2328829,406.00,21885,3.82,0,0.00
38,2655,53690,20.22,42961,16.18,1055920,397.71,232410,87.54,5414,2.04,0,0.00
39,187686,227808,1.21,385987,2.06,43793929,233.34,2603981,13.87,40791,0.22,0,0.00
40,4371,38117,8.72,6982,1.60,3060021,700.07,693152,158.58,19970,4.57,0,0.00
41,3823,63519,16.61,28493,7.45,3377874,883.57,1175335,307.44,5066,1.33,0,0.00
42,36521,63824,1.75,73572,2.01,6960922,190.60,857064,23.47,8736,0.24,0,0.00
43,22915,313385,13.68,134057,5.85,19189188,837.41,5030468,219.53,62575,2.73,0,0.00
44,2548,61894,24.29,46642,18.31,1302835,511.32,405127,159.00,12614,4.95,0,0.00
45,20396,156642,7.68,83648,4.10,15325828,751.41,3849604,188.74,43392,2.13,0,0.00
46,1894,22776,12.03,5894,3.11,1042649,550.50,443116,233.96,15139,7.99,0,0.00
