tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,728882,1201176,1.65,1311608,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,7777,18048,2.32,17178,2.21,24940,3.21,3422,0.44,58,0.01,0,0.00
3,733068,1046326,1.43,924700,1.26,8828084,12.04,201666,0.28,452,0.00,0,0.00
4,11254,35092,3.12,21926,1.95,215272,19.13,232,0.02,0,0.00,0,0.00
5,59972,131254,2.19,119538,1.99,1928730,32.16,161240,2.69,1046,0.02,0,0.00
6,2610,9396,3.60,7772,2.98,70470,27.00,8816,3.38,116,0.04,0,0.00
7,23084,139548,6.05,51040,2.21,1159876,50.25,259956,11.26,414,0.02,0,0.00
8,2320,9164,3.95,8700,3.75,102486,44.17,2204,0.95,0,0.00,0,0.00
9,14732,62988,4.28,33350,2.26,850164,57.71,362384,24.60,928,0.06,0,0.00
10,2494,16240,6.51,13398,5.37,105212,42.19,16472,6.60,0,0.00,0,0.00
11,11716,30798,2.63,44892,3.83,1520372,129.77,105348,8.99,352,0.03,0,0.00
12,1508,13340,8.85,10034,6.65,94830,62.88,28478,18.88,0,0.00,0,0.00
13,3618,26848,7.42,17814,4.92,374190,103.42,107853,29.81,1968,0.54,0,0.00
14,1160,14326,12.35,14848,12.80,61712,53.20,696,0.60,0,0.00,0,0.00
15,2610,22446,8.60,10788,4.13,249516,95.60,157429,60.32,576,0.22,0,0.00
16,1160,13746,11.85,13572,11.70,108522,93.55,3654,3.15,518,0.45,0,0.00
17,5364,23748,4.43,13280,2.48,471392,87.88,163558,30.49,46284,8.63,0,0.00
18,202,1998,9.89,1332,6.59,52562,260.21,8350,41.34,0,0.00,0,0.00
19,4002,29058,7.26,14210,3.55,966580,241.52,309743,77.40,3070,0.77,0,0.00
20,320,3020,9.44,2090,6.53,53736,167.93,9664,30.20,0,0.00,0,0.00
21,1422,16244,11.42,5570,3.92,199140,140.04,200758,141.18,666,0.47,0,0.00
22,290,1624,5.60,1624,5.60,41064,141.60,2320,8.00,0,0.00,0,0.00
23,2963,60186,20.31,49320,16.65,652247,220.13,238680,80.55,2088,0.70,0,0.00
24,1914,10672,5.58,4582,2.39,833112,435.27,123366,64.45,0,0.00,0,0.00
25,1276,18792,14.73,7598,5.95,226598,177.58,295735,231.77,1806,1.42,0,0.00
26,580,4988,8.60,1334,2.30,576520,994.00,57536,99.20,0,0.00,0,0.00
27,3538,34336,9.70,11542,3.26,1431872,404.71,569593,160.99,1603,0.45,0,0.00
28,116,1740,15.00,696,6.00,37054,319.43,29863,257.44,1980,17.07,0,0.00
29,1856,33118,17.84,8468,4.56,3153758,1699.22,653288,351.99,170,0.09,0,0.00
30,116,1334,11.50,638,5.50,49300,425.00,23316,201.00,0,0.00,0,0.00
31,812,9860,12.14,1798,2.21,396104,487.81,190755,234.92,4547,5.60,0,0.00
32,174,1160,6.67,174,1.00,90859,522.18,21151,121.56,2396,13.77,0,0.00
33,1740,23026,13.23,8236,4.73,909022,522.43,422503,242.82,2528,1.45,0,0.00
34,174,2378,13.67,638,3.67,79290,455.69,38655,222.16,1098,6.31,0,0.00
35,522,9222,17.67,3654,7.00,251206,481.24,272806,522.62,1682,3.22,0,0.00
36,290,5916,20.40,4640,16.00,98426,339.40,37062,127.80,638,2.20,0,0.00
37,1392,24186,17.38,12644,9.08,894928,642.91,380497,273.35,2059,1.48,0,0.00
38,58,986,17.00,58,1.00,23084,398.00,22105,381.12,348,6.00,0,0.00
39,348,4582,13.17,1972,5.67,259786,746.51,113727,326.80,2780,7.99,0,0.00
40,406,3654,9.00,406,1.00,282174,695.01,67447,166.13,1678,4.13,0,0.00
41,290,5626,19.40,2262,7.80,251600,867.59,139473,480.94,2,0.01,0,0.00
42,4350,6902,1.59,8584,1.97,777664,178.77,96164,22.11,696,0.16,0,0.00
43,2668,38048,14.26,16124,6.04,2304900,863.91,581327,217.89,2751,1.03,0,0.00
44,232,6380,27.50,5220,22.50,99410,428.49,47948,206.67,2,0.01,0,0.00
45,696,13920,20.00,7076,10.17,521144,748.77,329687,473.69,7136,10.25,0,0.00
46,58,1218,21.00,58,1.00,27542,474.86,24841,428.29,1226,21.14,0,0.00
47,1102,17574,15.95,7018,6.37,1054966,957.32,277664,251.96,3769,3.42,0,0.00
48,174,3190,18.33,232,1.33,94830,545.00,52952,304.32,4930,28.33,0,0.00
49,406,8120,20.00,2784,6.86,309562,762.47,240840,593.20,3882,9.56,0,0.00
50,174,7134,41.00,5858,33.67,31436,180.67,58696,337.33,0,0.00,0,0.00
51,232,5626,24.25,2030,8.75,417998,1801.72,142624,614.76,1220,5.26,0,0.00
52,348,6032,17.33,2320,6.67,245286,704.84,210744,605.59,1214,3.49,0,0.00
53,406,8932,22.00,3944,9.71,437030,1076.43,266336,656.00,1160,2.86,0,0.00
54,58,986,17.00,406,7.00,76386,1317.00,24882,429.00,522,9.00,0,0.00
55,290,4582,15.80,1798,6.20,382452,1318.80,35554,122.60,0,0.00,0,0.00
56,232,12992,56.00,12992,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,348,9512,27.33,7656,22.00,225968,649.33,10208,29.33,0,0.00,0,0.00
58,116,464,4.00,232,2.00,56492,487.00,3596,31.00,0,0.00,0,0.00
59,58,638,11.00,116,2.00,71862,1239.00,12644,218.00,1740,30.00,0,0.00
60,638,1914,3.00,638,1.00,587598,921.00,116116,182.00,0,0.00,0,0.00
61,116,7076,61.00,7076,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,58,348,6.00,116,2.00,39266,677.00,3364,58.00,0,0.00,0,0.00
63,696,12064,17.33,4872,7.00,798892,1147.83,297076,426.83,0,0.00,0,0.00
65,232,1856,8.00,928,4.00,140244,604.50,5220,22.50,7076,30.50,0,0.00
66,58,464,8.00,174,3.00,116638,2011.00,9860,170.00,0,0.00,0,0.00
67,522,11484,22.00,3828,7.33,699364,1339.78,367604,704.22,0,0.00,0,0.00
68,58,174,3.00,58,1.00,71572,1234.00,12702,219.00,0,0.00,0,0.00
69,232,6148,26.50,5568,24.00,136648,589.00,8468,36.50,0,0.00,0,0.00
70,58,1450,25.00,870,15.00,80620,1390.00,5220,90.00,0,0.00,0,0.00
72,116,928,8.00,116,1.00,121568,1048.00,25868,223.00,0,0.00,0,0.00
73,1624,38164,23.50,12876,7.93,2305268,1419.50,1261152,776.57,0,0.00,0,0.00
75,348,17052,49.00,5104,14.67,862982,2479.83,1080018,3103.50,3248,9.33,0,0.00
76,58,812,14.00,58,1.00,200448,3456.00,20880,360.00,0,0.00,0,0.00
77,174,9222,53.00,4698,27.00,323582,1859.67,697682,4009.67,2610,15.00,0,0.00
81,58,1450,25.00,58,1.00,36540,630.00,76560,1320.00,4350,75.00,0,0.00
83,406,9338,23.00,3538,8.71,666768,1642.29,316332,779.14,3190,7.86,0,0.00
84,406,2436,6.00,406,1.00,380016,936.00,55216,136.00,1856,4.57,0,0.00
85,58,0,0.00,58,1.00,174,3.00,0,0.00,4756,82.00,0,0.00
87,290,5104,17.60,1798,6.20,637710,2199.00,187572,646.80,0,0.00,0,0.00
88,116,0,0.00,0,0.00,10208,88.00,0,0.00,0,0.00,0,0.00
89,116,5104,44.00,116,1.00,66120,570.00,433956,3741.00,0,0.00,0,0.00
90,58,1740,30.00,116,2.00,91060,1570.00,216398,3731.00,4814,83.00,0,0.00
91,232,13050,56.25,5568,24.00,477050,2056.25,1007576,4343.00,3770,16.25,0,0.00
93,464,13456,29.00,5104,11.00,889024,1916.00,521536,1124.00,0,0.00,0,0.00
96,2900,20880,7.20,10672,3.68,4905872,1691.68,1443504,497.76,14616,5.04,0,0.00
97,232,7192,31.00,2552,11.00,462144,1992.00,283968,1224.00,0,0.00,0,0.00
98,116,1276,11.00,116,1.00,366212,3157.00,35032,302.00,8120,70.00,0,0.00
100,58,1044,18.00,58,1.00,287506,4957.00,37062,639.00,0,0.00,0,0.00
101,116,5800,50.00,116,1.00,75168,648.00,562716,4851.00,0,0.00,0,0.00
103,812,34104,42.00,14384,17.71,1749396,2154.43,2227954,2743.79,5858,7.21,0,0.00
107,290,7888,27.20,2842,9.80,511734,1764.60,346840,1196.00,6032,20.80,0,0.00
109,58,1044,18.00,116,2.00,130152,2244.00,38802,669.00,3654,63.00,0,0.00
113,3016,102428,33.96,25752,8.54,11733052,3890.27,3799580,1259.81,14732,4.88,0,0.00
115,348,33060,95.00,13572,39.00,698436,2007.00,3924048,11276.00,0,0.00,0,0.00
