tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,2108174,3489899,1.66,3795723,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,23352,54106,2.32,51300,2.20,72008,3.08,9838,0.42,166,0.01,0,0.00
3,2115089,3009727,1.42,2663645,1.26,25465118,12.04,575839,0.27,988,0.00,0,0.00
4,30726,94719,3.08,56356,1.83,615178,20.02,740,0.02,4,0.00,0,0.00
5,176382,385905,2.19,349910,1.98,5643397,32.00,472456,2.68,3077,0.02,0,0.00
6,8542,32352,3.79,28348,3.32,205017,24.00,25441,2.98,335,0.04,0,0.00
7,62069,394996,6.36,135966,2.19,3232128,52.07,716766,11.55,522,0.01,0,0.00
8,7861,34405,4.38,33366,4.24,303261,38.58,6674,0.85,9,0.00,0,0.00
9,42855,179982,4.20,91137,2.13,2506245,58.48,1069156,24.95,2069,0.05,0,0.00
10,6195,37002,5.97,28508,4.60,306684,49.51,47583,7.68,0,0.00,0,0.00
11,33961,92008,2.71,132323,3.90,4360143,128.39,305769,9.00,670,0.02,0,0.00
12,5018,45651,9.10,36773,7.33,275711,54.94,82367,16.41,0,0.00,0,0.00
13,10199,70611,6.92,44524,4.37,1203050,117.96,301086,29.52,5506,0.54,0,0.00
14,2676,32742,12.24,33232,12.42,179966,67.25,2032,0.76,74,0.03,0,0.00
15,8824,83257,9.44,50832,5.76,713971,80.91,433176,49.09,4159,0.47,0,0.00
16,4045,49277,12.18,49704,12.29,323966,80.09,10855,2.68,1418,0.35,0,0.00
17,15369,68353,4.45,37372,2.43,1292054,84.07,493812,32.13,132468,8.62,0,0.00
18,597,5759,9.65,3842,6.44,155408,260.31,23958,40.13,82,0.14,0,0.00
19,10831,77319,7.14,40113,3.70,2711330,250.33,799257,73.79,6417,0.59,0,0.00
20,929,8672,9.33,5992,6.45,156659,168.63,27891,30.02,0,0.00,0,0.00
21,3411,39876,11.69,15292,4.48,483908,141.87,440877,129.25,3178,0.93,0,0.00
22,859,4694,5.46,4694,5.46,123744,144.06,7218,8.40,12,0.01,0,0.00
23,10827,193905,17.91,147481,13.62,2578447,238.15,982348,90.73,2936,0.27,0,0.00
24,5492,30637,5.58,13144,2.39,2391611,435.47,354312,64.51,0,0.00,0,0.00
25,3333,49931,14.98,21505,6.45,612403,183.74,763499,229.07,5100,1.53,0,0.00
26,1664,14280,8.58,3826,2.30,1651264,992.35,164716,98.99,0,0.00,0,0.00
27,9138,84392,9.24,33058,3.62,4046113,442.78,1300302,142.30,3008,0.33,0,0.00
28,340,5016,14.75,2012,5.92,110150,323.97,86397,254.11,5557,16.34,0,0.00
29,6644,113402,17.07,25580,3.85,9069846,1365.12,2319105,349.05,3622,0.55,0,0.00
30,337,3846,11.41,1838,5.45,142298,422.25,66975,198.74,48,0.14,0,0.00
31,3653,48151,13.18,6467,1.77,1396467,382.28,1101703,301.59,7311,2.00,0,0.00
32,507,3403,6.71,527,1.04,264304,521.31,65310,128.82,7084,13.97,0,0.00
33,3682,56696,15.40,22334,6.07,1968377,534.59,1186908,322.35,4387,1.19,0,0.00
34,528,7046,13.34,1946,3.69,245454,464.88,113985,215.88,3204,6.07,0,0.00
35,1162,15090,12.99,4474,3.85,464254,399.53,431783,371.59,4924,4.24,0,0.00
36,830,16932,20.40,13280,16.00,281702,339.40,106074,127.80,1826,2.20,0,0.00
37,2320,47622,20.53,27872,12.01,1373240,591.91,811558,349.81,5692,2.45,0,0.00
38,167,2838,16.99,173,1.04,66910,400.66,63579,380.71,978,5.86,0,0.00
39,1002,13144,13.12,5654,5.64,745828,744.34,317984,317.35,7810,7.79,0,0.00
40,1168,10497,8.99,1171,1.00,812063,695.26,190133,162.79,4671,4.00,0,0.00
41,830,16102,19.40,6474,7.80,720108,867.60,399396,481.20,0,0.00,0,0.00
42,12450,19754,1.59,24568,1.97,2225396,178.75,275228,22.11,2324,0.19,0,0.00
43,7636,108896,14.26,46148,6.04,6617594,866.63,1667501,218.37,9818,1.29,0,0.00
44,664,18260,27.50,14940,22.50,284524,428.50,137448,207.00,0,0.00,0,0.00
45,2008,40064,19.95,20344,10.13,1510786,752.38,944934,470.58,20249,10.08,0,0.00
46,175,3550,20.29,198,1.13,83310,476.06,72172,412.41,3366,19.23,0,0.00
47,3653,60108,16.45,23578,6.45,3337631,913.67,1051148,287.75,13543,3.71,0,0.00
48,502,9004,17.94,680,1.35,270828,539.50,148389,295.60,14080,28.05,0,0.00
49,1498,28564,19.07,10296,6.87,1267638,846.22,705413,470.90,10962,7.32,0,0.00
