tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,148128,247786,1.67,265674,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,1827,3988,2.18,3823,2.09,6451,3.53,768,0.42,11,0.01,0,0.00
3,143331,205342,1.43,180892,1.26,1730310,12.07,40490,0.28,53,0.00,0,0.00
4,2473,7100,2.87,4405,1.78,48542,19.63,253,0.10,4,0.00,0,0.00
5,12987,28484,2.19,25624,1.97,415784,32.02,35050,2.70,148,0.01,0,0.00
6,780,2572,3.30,2256,2.89,22940,29.41,2241,2.87,24,0.03,0,0.00
7,4479,27481,6.14,9776,2.18,235795,52.64,50757,11.33,73,0.02,0,0.00
8,686,3020,4.40,2815,4.10,31917,46.53,1444,2.10,20,0.03,0,0.00
9,3349,13781,4.11,6916,2.07,200394,59.84,80366,24.00,303,0.09,0,0.00
10,492,2753,5.60,2171,4.41,30434,61.86,3423,6.96,1,0.00,0,0.00
11,2477,6945,2.80,9503,3.84,311132,125.61,22351,9.02,0,0.00,0,0.00
12,431,3577,8.30,2765,6.42,27942,64.83,7696,17.86,5,0.01,0,0.00
13,649,4493,6.92,2833,4.37,74983,115.54,17898,27.58,503,0.78,0,0.00
14,235,2381,10.13,2400,10.21,20940,89.11,242,1.03,184,0.78,0,0.00
15,642,5880,9.16,3733,5.81,50679,78.94,28600,44.55,176,0.27,0,0.00
16,408,3440,8.43,3255,7.98,57906,141.93,1922,4.71,168,0.41,0,0.00
17,1074,4828,4.50,2511,2.34,92454,86.08,37018,34.47,8778,8.17,0,0.00
18,84,472,5.62,322,3.83,21418,254.98,1752,20.86,200,2.38,0,0.00
19,748,5216,6.97,2706,3.62,188497,252.00,53540,71.58,314,0.42,0,0.00
20,89,612,6.88,423,4.75,15307,171.99,2199,24.71,0,0.00,0,0.00
21,247,2743,11.11,1065,4.31,38259,154.89,31423,127.22,139,0.56,0,0.00
22,132,429,3.25,429,3.25,24403,184.87,1984,15.03,31,0.23,0,0.00
23,776,13060,16.83,9876,12.73,186339,240.13,66620,85.85,35,0.05,0,0.00
24,381,2079,5.46,884,2.32,164887,432.77,24608,64.59,0,0.00,0,0.00
25,264,3762,14.25,1672,6.33,80439,304.69,55101,208.72,620,2.35,0,0.00
26,121,957,7.91,275,2.27,112706,931.45,11033,91.18,0,0.00,0,0.00
27,649,6336,9.76,2563,3.95,290909,448.24,99312,153.02,293,0.45,0,0.00
28,34,349,10.26,147,4.32,14044,413.06,6241,183.56,323,9.50,0,0.00
29,451,7271,16.12,1430,3.17,610916,1354.58,149023,330.43,2,0.00,0,0.00
30,34,321,9.44,133,3.91,11346,333.71,4922,144.76,102,3.00,0,0.00
31,243,3186,13.11,411,1.69,94100,387.24,73896,304.10,433,1.78,0,0.00
32,55,440,8.00,110,2.00,33889,616.16,8542,155.31,332,6.04,0,0.00
33,230,3429,14.91,1482,6.44,135365,588.54,65959,286.78,513,2.23,0,0.00
34,45,551,12.24,163,3.62,21638,480.84,6969,154.87,430,9.56,0,0.00
35,77,957,12.43,275,3.57,25556,331.90,29203,379.26,611,7.94,0,0.00
36,56,1133,20.23,881,15.73,19011,339.48,7117,127.09,121,2.16,0,0.00
37,165,3388,20.53,1914,11.60,98037,594.16,58163,352.50,327,1.98,0,0.00
38,14,223,15.93,14,1.00,5560,397.14,6122,437.29,6,0.43,0,0.00
39,77,880,11.43,385,5.00,52752,685.09,19652,255.22,279,3.62,0,0.00
40,92,822,8.93,92,1.00,63822,693.72,13131,142.73,328,3.57,0,0.00
41,55,1067,19.40,429,7.80,47718,867.60,26466,481.20,0,0.00,0,0.00
42,825,1309,1.59,1628,1.97,147488,178.77,18238,22.11,132,0.16,0,0.00
43,506,7216,14.26,3058,6.04,439299,868.18,110708,218.79,181,0.36,0,0.00
44,44,1210,27.50,990,22.50,18854,428.50,9108,207.00,0,0.00,0,0.00
45,182,3340,18.35,1625,8.93,156561,860.23,75517,414.93,1250,6.87,0,0.00
46,33,396,12.00,88,2.67,15143,458.88,8122,246.12,180,5.45,0,0.00
47,244,4014,16.45,1574,6.45,223469,915.86,65441,268.20,566,2.32,0,0.00
48,44,660,15.00,88,2.00,27604,627.36,9270,210.68,875,19.89,0,0.00
49,110,1925,17.50,693,6.30,94845,862.23,48043,436.75,666,6.05,0,0.00
50,33,583,17.67,33,1.00,30613,927.67,19613,594.33,0,0.00,0,0.00
51,55,2090,38.00,1474,26.80,68977,1254.13,25561,464.75,170,3.09,0,0.00
52,66,1144,17.33,440,6.67,43890,665.00,40706,616.76,390,5.91,0,0.00
53,55,1298,23.60,594,10.80,61831,1124.20,37686,685.20,0,0.00,0,0.00
54,11,187,17.00,77,7.00,14487,1317.00,4719,429.00,99,9.00,0,0.00
55,57,981,17.21,219,3.84,86995,1526.23,15104,264.98,0,0.00,0,0.00
56,44,2464,56.00,2464,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,89,1405,15.79,513,5.76,94156,1057.93,20386,229.06,0,0.00,0,0.00
58,44,1364,31.00,1320,30.00,10714,243.50,682,15.50,0,0.00,0,0.00
59,22,209,9.50,33,1.50,24841,1129.14,3927,178.50,525,23.86,0,0.00
60,154,429,2.79,154,1.00,132015,857.24,26024,168.99,298,1.94,0,0.00
61,22,1342,61.00,1342,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,11,66,6.00,22,2.00,7447,677.00,638,58.00,0,0.00,0,0.00
