tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,382514,653501,1.71,694541,1.82,0,0.00,0,0.00,0,0.00,0,0.00
2,4787,10277,2.15,9913,2.07,16693,3.49,2035,0.43,28,0.01,0,0.00
3,363076,522280,1.44,458927,1.26,4386443,12.08,104338,0.29,168,0.00,0,0.00
4,6341,18215,2.87,11535,1.82,125084,19.73,650,0.10,17,0.00,0,0.00
5,34944,76824,2.20,68198,1.95,1114743,31.90,92914,2.66,334,0.01,0,0.00
6,1991,6544,3.29,5716,2.87,58300,29.28,5834,2.93,62,0.03,0,0.00
7,11473,69615,6.07,25612,2.23,593588,51.74,129405,11.28,260,0.02,0,0.00
8,1645,6770,4.12,6232,3.79,82455,50.12,3710,2.26,72,0.04,0,0.00
9,8676,35974,4.15,18279,2.11,515161,59.38,206992,23.86,653,0.08,0,0.00
10,1264,6586,5.21,5189,4.11,75356,59.62,8316,6.58,18,0.01,0,0.00
11,6228,16956,2.72,23464,3.77,793298,127.38,55968,8.99,22,0.00,0,0.00
12,1122,9143,8.15,7027,6.26,73840,65.81,19681,17.54,10,0.01,0,0.00
13,1675,11049,6.60,6442,3.85,198236,118.35,52454,31.32,716,0.43,0,0.00
14,592,5844,9.87,5854,9.89,53898,91.04,714,1.21,404,0.68,0,0.00
15,1630,14568,8.94,8763,5.38,134180,82.32,79930,49.04,48,0.03,0,0.00
16,1034,9354,9.05,8954,8.66,145776,140.98,5132,4.96,72,0.07,0,0.00
17,2686,11852,4.41,6458,2.40,240290,89.46,84726,31.54,22642,8.43,0,0.00
18,210,1190,5.67,812,3.87,53032,252.53,4452,21.20,504,2.40,0,0.00
19,1990,14209,7.14,6921,3.48,478190,240.30,149963,75.36,2112,1.06,0,0.00
20,244,1682,6.89,1230,5.04,37142,152.22,5218,21.39,400,1.64,0,0.00
21,583,6393,10.97,2121,3.64,118502,203.26,87408,149.93,433,0.74,0,0.00
22,392,2324,5.93,2324,5.93,62454,159.32,5096,13.00,8,0.02,0,0.00
