tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,354510,597366,1.69,633557,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,4421,9404,2.13,9164,2.07,15874,3.59,1837,0.42,25,0.01,0,0.00
3,325482,469999,1.44,415617,1.28,3957795,12.16,94217,0.29,260,0.00,0,0.00
4,6462,17699,2.74,11096,1.72,127885,19.79,868,0.13,20,0.00,0,0.00
5,31897,70790,2.22,62422,1.96,1019553,31.96,85154,2.67,300,0.01,0,0.00
6,1984,6757,3.41,6051,3.05,54184,27.31,5221,2.63,76,0.04,0,0.00
7,10493,90203,8.60,40600,3.87,739902,70.51,153114,14.59,261,0.02,0,0.00
8,1527,6150,4.03,5642,3.69,75389,49.37,3534,2.31,10,0.01,0,0.00
9,7900,32725,4.14,16641,2.11,468988,59.37,189870,24.03,790,0.10,0,0.00
10,1056,5011,4.75,3695,3.50,70329,66.60,7576,7.17,10,0.01,0,0.00
11,5766,16744,2.90,22159,3.84,715141,124.03,53740,9.32,0,0.00,0,0.00
12,1079,8219,7.62,6373,5.91,72850,67.52,17475,16.20,0,0.00,0,0.00
13,1585,10429,6.58,5952,3.76,191165,120.61,50117,31.62,662,0.42,0,0.00
14,731,5388,7.37,5407,7.40,63826,87.31,1792,2.45,495,0.68,0,0.00
15,1621,12799,7.90,8010,4.94,141330,87.19,65250,40.25,58,0.04,0,0.00
16,920,7800,8.48,7343,7.98,136283,148.13,5156,5.60,680,0.74,0,0.00
17,2445,10812,4.42,5929,2.42,226620,92.69,76916,31.46,20151,8.24,0,0.00
18,201,1131,5.63,794,3.95,51936,258.39,4133,20.56,492,2.45,0,0.00
19,1815,12417,6.84,6263,3.45,443238,244.21,125257,69.01,2323,1.28,0,0.00
20,234,1612,6.89,1114,4.76,39415,168.44,5136,21.95,202,0.86,0,0.00
21,568,6776,11.93,2943,5.18,104723,184.37,76526,134.73,1141,2.01,0,0.00
22,315,1005,3.19,1005,3.19,58062,184.32,4700,14.92,92,0.29,0,0.00
23,1784,29232,16.39,21938,12.30,412853,231.42,144326,80.90,155,0.09,0,0.00
24,975,6915,7.09,4137,4.24,438461,449.70,57462,58.94,7,0.01,0,0.00
25,616,8788,14.27,3925,6.37,191672,311.16,127777,207.43,1251,2.03,0,0.00
26,322,2602,8.08,893,2.77,301536,936.45,27583,85.66,36,0.11,0,0.00
27,1476,14260,9.66,5979,4.05,678472,459.67,214222,145.14,569,0.39,0,0.00
28,267,2801,10.49,1624,6.08,278172,1041.84,23968,89.77,701,2.63,0,0.00
29,980,15875,16.20,3229,3.29,1381276,1409.47,321784,328.35,13,0.01,0,0.00
30,82,761,9.28,311,3.79,29163,355.65,11635,141.89,200,2.44,0,0.00
31,506,6558,12.96,894,1.77,204941,405.02,149276,295.01,1097,2.17,0,0.00
32,130,1029,7.92,261,2.01,78627,604.82,19859,152.76,750,5.77,0,0.00
33,537,7872,14.66,3459,6.44,307259,572.18,154443,287.60,1156,2.15,0,0.00
34,77,1033,13.42,277,3.60,34292,445.35,12719,165.18,962,12.49,0,0.00
35,190,2304,12.13,787,4.14,66991,352.58,67368,354.57,1434,7.55,0,0.00
36,125,2550,20.40,2000,16.00,42425,339.40,15975,127.80,275,2.20,0,0.00
37,330,7101,21.52,4119,12.48,191804,581.22,125148,379.24,599,1.82,0,0.00
38,37,487,13.16,60,1.62,19990,540.27,14426,389.89,2,0.05,0,0.00
39,176,2005,11.39,879,4.99,120830,686.53,43684,248.20,599,3.40,0,0.00
40,213,1884,8.85,251,1.18,153060,718.59,30181,141.69,747,3.51,0,0.00
41,177,3232,18.26,1330,7.51,164220,927.80,62492,353.06,0,0.00,0,0.00
42,1896,3123,1.65,3741,1.97,353242,186.31,42959,22.66,300,0.16,0,0.00
43,1107,15649,14.14,6607,5.97,949950,858.13,250376,226.18,354,0.32,0,0.00
44,104,2780,26.73,2261,21.74,46317,445.36,21028,202.19,36,0.35,0,0.00
45,361,6653,18.43,3314,9.18,292732,810.89,166352,460.81,2771,7.68,0,0.00
46,84,910,10.83,217,2.58,36028,428.90,19059,226.89,413,4.92,0,0.00
47,656,10742,16.38,4284,6.53,621655,947.64,152681,232.75,889,1.36,0,0.00
48,104,1747,16.80,209,2.01,71201,684.62,20594,198.02,1947,18.72,0,0.00
49,204,3623,17.76,1241,6.08,168577,826.36,108392,531.33,1474,7.23,0,0.00
50,79,1373,17.38,79,1.00,71469,904.67,45012,569.77,91,1.15,0,0.00
51,125,4750,38.00,3350,26.80,156801,1254.41,59808,478.46,349,2.79,0,0.00
52,152,2606,17.14,1002,6.59,104984,690.68,93743,616.73,577,3.80,0,0.00
53,175,3800,21.71,1700,9.71,193725,1107.00,103350,590.57,0,0.00,0,0.00
54,27,453,16.78,177,6.56,35029,1297.37,11137,412.48,225,8.33,0,0.00
55,76,1347,17.72,135,1.78,132608,1744.84,30808,405.37,0,0.00,0,0.00
56,51,2815,55.20,2801,54.92,1127,22.10,229,4.49,0,0.00,0,0.00
57,403,10707,26.57,7589,18.83,335671,832.93,68885,170.93,39,0.10,0,0.00
58,52,212,4.08,104,2.00,28510,548.27,1742,33.50,0,0.00,0,0.00
59,58,547,9.43,83,1.43,67782,1168.66,10064,173.52,1647,28.40,0,0.00
60,351,992,2.83,351,1.00,301436,858.79,59428,169.31,666,1.90,0,0.00
61,4,4,1.00,4,1.00,1399,349.75,24,6.00,29,7.25,0,0.00
62,75,3250,43.33,3150,42.00,16925,225.67,1450,19.33,0,0.00,0,0.00
63,455,8210,18.04,3305,7.26,538820,1184.22,204015,448.38,0,0.00,0,0.00
64,1,15,15.00,10,10.00,1719,1719.00,275,275.00,0,0.00,0,0.00
65,151,1310,8.68,605,4.01,116683,772.74,11907,78.85,2652,17.56,0,0.00
66,27,226,8.37,88,3.26,52556,1946.52,4982,184.52,44,1.63,0,0.00
67,78,1704,21.85,470,6.03,103020,1320.77,73878,947.15,0,0.00,0,0.00
68,51,450,8.82,77,1.51,50405,988.33,9225,180.88,0,0.00,0,0.00
69,100,2650,26.50,2400,24.00,58900,589.00,3650,36.50,0,0.00,0,0.00
70,29,697,24.03,399,13.76,41238,1422.00,3867,133.34,53,1.83,0,0.00
72,53,440,8.30,77,1.45,56004,1056.68,11909,224.70,104,1.96,0,0.00
73,601,14156,23.55,4654,7.74,846106,1407.83,475241,790.75,24,0.04,0,0.00
74,1,11,11.00,4,4.00,1739,1739.00,799,799.00,0,0.00,0,0.00
75,152,7380,48.55,2212,14.55,409652,2695.08,473764,3116.87,0,0.00,0,0.00
76,26,372,14.31,30,1.15,89533,3443.58,9289,357.27,2,0.08,0,0.00
77,126,4675,37.10,2234,17.73,229099,1818.25,326787,2593.55,1981,15.72,0,0.00
78,2,26,13.00,8,4.00,4182,2091.00,2426,1213.00,0,0.00,0,0.00
79,4,68,17.00,24,6.00,5956,1489.00,3840,960.00,0,0.00,0,0.00
81,25,625,25.00,25,1.00,15750,630.00,33000,1320.00,1875,75.00,0,0.00
82,3,39,13.00,21,7.00,11628,3876.00,774,258.00,0,0.00,0,0.00
