tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,415012,692807,1.67,748498,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,4759,10790,2.27,10288,2.16,15318,3.22,1994,0.42,32,0.01,0,0.00
3,412332,587391,1.42,519079,1.26,4963982,12.04,113390,0.27,213,0.00,0,0.00
4,7106,20000,2.81,12184,1.71,140417,19.76,318,0.04,9,0.00,0,0.00
5,35814,78277,2.19,70497,1.97,1144702,31.96,95166,2.66,403,0.01,0,0.00
6,1819,6571,3.61,5758,3.17,47106,25.90,5366,2.95,68,0.04,0,0.00
7,12149,76793,6.32,26780,2.20,633289,52.13,140136,11.53,161,0.01,0,0.00
8,1614,7120,4.41,6758,4.19,67876,42.05,2146,1.33,18,0.01,0,0.00
9,9001,38158,4.24,19982,2.22,523808,58.19,215959,23.99,494,0.05,0,0.00
10,1207,6580,5.45,4994,4.14,67391,55.83,9347,7.74,7,0.01,0,0.00
11,6741,18365,2.72,25926,3.85,861552,127.81,61614,9.14,0,0.00,0,0.00
12,1084,9678,8.93,7762,7.16,61381,56.62,17799,16.42,10,0.01,0,0.00
13,1757,11709,6.66,7026,4.00,215701,122.77,53843,30.64,906,0.52,0,0.00
14,627,7313,11.66,7390,11.79,42494,67.77,484,0.77,146,0.23,0,0.00
15,1749,16194,9.26,9902,5.66,142194,81.30,86569,49.50,321,0.18,0,0.00
16,943,10088,10.70,9990,10.59,95544,101.32,3174,3.37,132,0.14,0,0.00
17,3055,13786,4.51,7317,2.40,261826,85.70,98539,32.25,26176,8.57,0,0.00
18,150,1178,7.85,792,5.28,38238,254.92,4754,31.69,182,1.21,0,0.00
19,2239,16127,7.20,7893,3.53,541370,241.79,166702,74.45,2519,1.13,0,0.00
20,199,1695,8.52,1177,5.91,33384,167.76,5579,28.04,0,0.00,0,0.00
21,614,7778,12.67,3574,5.82,111566,181.70,86790,141.35,565,0.92,0,0.00
22,231,1010,4.37,1007,4.36,37967,164.36,2718,11.77,12,0.05,0,0.00
23,2059,36002,17.49,27732,13.47,477627,231.97,164715,80.00,45,0.02,0,0.00
24,1078,5963,5.53,2546,2.36,467958,434.10,69216,64.21,0,0.00,0,0.00
25,731,10366,14.18,4561,6.24,159170,217.74,155194,212.30,1510,2.07,0,0.00
26,330,2762,8.37,756,2.29,321140,973.15,31854,96.53,0,0.00,0,0.00
27,1845,17901,9.70,7517,4.07,848356,459.81,276302,149.76,382,0.21,0,0.00
28,77,992,12.88,400,5.19,27380,355.58,17857,231.91,963,12.51,0,0.00
29,1356,21944,16.18,4138,3.05,1763454,1300.48,453896,334.73,232,0.17,0,0.00
30,74,796,10.76,362,4.89,29108,393.35,13374,180.73,102,1.38,0,0.00
31,641,8317,12.98,1168,1.82,258307,402.98,191497,298.75,1417,2.21,0,0.00
32,116,840,7.24,166,1.43,66372,572.17,17130,147.67,972,8.38,0,0.00
33,650,8894,13.68,3230,4.97,338117,520.18,163968,252.26,1425,2.19,0,0.00
34,108,1406,13.02,394,3.65,49984,462.81,18539,171.66,1178,10.91,0,0.00
35,288,5048,17.53,1996,6.93,133844,464.74,153636,533.46,1096,3.81,0,0.00
36,98,976,9.96,258,2.63,55025,561.48,20580,210.00,352,3.59,0,0.00
37,502,11502,22.91,7704,15.35,257418,512.78,161807,322.32,890,1.77,0,0.00
38,34,562,16.53,34,1.00,13714,403.35,16446,483.71,40,1.18,0,0.00
39,202,2538,12.56,1098,5.44,147836,731.86,57295,283.64,826,4.09,0,0.00
40,234,2086,8.91,234,1.00,163752,699.79,35471,151.59,824,3.52,0,0.00
41,160,3104,19.40,1248,7.80,138816,867.60,76992,481.20,0,0.00,0,0.00
42,2402,3840,1.60,4742,1.97,430716,179.32,53583,22.31,384,0.16,0,0.00
43,1472,20992,14.26,8896,6.04,1277950,868.17,321847,218.65,540,0.37,0,0.00
44,128,3520,27.50,2880,22.50,54848,428.50,26496,207.00,0,0.00,0,0.00
45,398,7596,19.09,3876,9.74,274890,690.68,188063,472.52,3648,9.17,0,0.00
46,52,822,15.81,102,1.96,24304,467.38,16919,325.37,538,10.35,0,0.00
47,897,14672,16.36,5894,6.57,860441,959.24,200833,223.89,2076,2.31,0,0.00
48,106,1732,16.34,168,1.58,58980,556.42,24837,234.31,2566,24.21,0,0.00
49,170,3486,20.51,1098,6.46,108280,636.94,132980,782.24,1960,11.53,0,0.00
50,116,4236,36.52,3252,28.03,39754,342.71,40094,345.64,0,0.00,0,0.00
51,140,3168,22.63,1112,7.94,252058,1800.41,82836,591.69,514,3.67,0,0.00
52,192,3328,17.33,1280,6.67,128762,670.64,118147,615.35,1063,5.54,0,0.00
53,96,2752,28.67,1280,13.33,105824,1102.33,106752,1112.00,0,0.00,0,0.00
54,32,544,17.00,224,7.00,42144,1317.00,13728,429.00,288,9.00,0,0.00
55,181,2940,16.24,1017,5.62,246653,1362.72,27860,153.92,0,0.00,0,0.00
56,64,3584,56.00,3584,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,385,11347,29.47,8775,22.79,271732,705.80,58522,152.01,0,0.00,0,0.00
58,64,256,4.00,128,2.00,31168,487.00,1984,31.00,0,0.00,0,0.00
59,42,432,10.29,74,1.76,49830,1186.43,8290,197.38,1082,25.76,0,0.00
60,382,1116,2.92,382,1.00,342921,897.70,67704,177.24,291,0.76,0,0.00
61,64,3904,61.00,3904,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,32,192,6.00,64,2.00,21664,677.00,1856,58.00,0,0.00,0,0.00
63,448,7936,17.71,3200,7.14,522496,1166.29,196288,438.14,0,0.00,0,0.00
65,148,1224,8.27,592,4.00,101542,686.09,6660,45.00,2424,16.38,0,0.00
66,32,256,8.00,96,3.00,64348,2010.88,5440,170.00,1,0.03,0,0.00
67,97,2134,22.00,584,6.02,127433,1313.74,93373,962.61,0,0.00,0,0.00
68,42,246,5.86,52,1.24,47258,1125.19,8508,202.57,0,0.00,0,0.00
69,130,3452,26.55,3088,23.75,79548,611.91,6996,53.82,0,0.00,0,0.00
70,32,800,25.00,480,15.00,44480,1390.00,2880,90.00,0,0.00,0,0.00
72,64,512,8.00,64,1.00,67072,1048.00,14272,223.00,0,0.00,0,0.00
73,832,18752,22.54,7040,8.46,1240926,1491.50,531554,638.89,968,1.16,0,0.00
75,192,7040,36.67,448,2.33,442432,2304.33,414144,2157.00,0,0.00,0,0.00
76,32,448,14.00,32,1.00,110592,3456.00,11520,360.00,0,0.00,0,0.00
77,180,10222,56.79,5168,28.71,325680,1809.33,774226,4301.26,1780,9.89,0,0.00
81,33,801,24.27,37,1.12,22646,686.24,42420,1285.45,2400,72.73,0,0.00
83,384,9984,26.00,3840,10.00,650112,1693.00,320704,835.17,3264,8.50,0,0.00
84,192,962,5.01,192,1.00,168077,875.40,22844,118.98,707,3.68,0,0.00
85,32,0,0.00,32,1.00,96,3.00,0,0.00,2624,82.00,0,0.00
86,10,400,40.00,10,1.00,28000,2800.00,6970,697.00,370,37.00,0,0.00
87,87,892,10.25,312,3.59,203013,2333.48,35378,406.64,0,0.00,0,0.00
88,64,0,0.00,0,0.00,5632,88.00,0,0.00,0,0.00,0,0.00
89,64,2816,44.00,64,1.00,36480,570.00,239424,3741.00,0,0.00,0,0.00
90,32,960,30.00,64,2.00,50240,1570.00,119392,3731.00,2656,83.00,0,0.00
91,108,6750,62.50,3032,28.07,222399,2059.25,550738,5099.43,1462,13.54,0,0.00
93,202,5768,28.55,2172,10.75,400370,1982.03,201172,995.90,4416,21.86,0,0.00
96,1601,11562,7.22,5899,3.68,2699544,1686.16,798751,498.91,13026,8.14,0,0.00
97,128,3968,31.00,1408,11.00,254976,1992.00,156672,1224.00,0,0.00,0,0.00
98,64,704,11.00,64,1.00,202048,3157.00,19328,302.00,4480,70.00,0,0.00
99,34,225,6.62,124,3.65,57876,1702.24,9955,292.79,0,0.00,0,0.00
100,32,576,18.00,32,1.00,158624,4957.00,20448,639.00,0,0.00,0,0.00
101,64,3200,50.00,64,1.00,40602,634.41,297790,4652.97,850,13.28,0,0.00
103,257,12694,49.39,5639,21.94,559675,2177.72,940476,3659.44,1811,7.05,0,0.00
105,1,46,46.00,12,12.00,3214,3214.00,2816,2816.00,0,0.00,0,0.00
107,160,4352,27.20,1568,9.80,282336,1764.60,191360,1196.00,3328,20.80,0,0.00
108,2,24,12.00,14,7.00,5204,2602.00,568,284.00,46,23.00,0,0.00
109,32,576,18.00,64,2.00,71808,2244.00,21408,669.00,2016,63.00,0,0.00
111,2,2,1.00,16,8.00,8992,4496.00,900,450.00,0,0.00,0,0.00
113,1664,55168,33.15,14976,9.00,6583808,3956.62,1828736,1099.00,2176,1.31,0,0.00
114,11,130,11.82,33,3.00,5388,489.82,3552,322.91,0,0.00,0,0.00
115,192,14592,76.00,3840,20.00,263616,1373.00,1689984,8802.00,0,0.00,0,0.00
116,6,120,20.00,48,8.00,33735,5622.50,3315,552.50,0,0.00,0,0.00
117,340,22682,66.71,10188,29.96,898920,2643.88,2196812,6461.21,0,0.00,0,0.00
123,275,11330,41.20,2814,10.23,569524,2071.00,741820,2697.53,2112,7.68,0,0.00
124,32,704,22.00,32,1.00,206656,6458.00,32480,1015.00,0,0.00,0,0.00
125,96,7936,82.67,4064,42.33,184912,1926.17,786624,8194.00,3152,32.83,0,0.00
126,1,2,2.00,4,4.00,1158,1158.00,101,101.00,32,32.00,0,0.00
127,184,5755,31.28,1642,8.92,531657,2889.44,277594,1508.66,7794,42.36,0,0.00
129,32,0,0.00,32,1.00,800,25.00,0,0.00,3328,104.00,0,0.00
130,64,736,11.50,256,4.00,252457,3944.64,30648,478.88,375,5.86,0,0.00
132,1,58,58.00,15,15.00,4066,4066.00,4529,4529.00,0,0.00,0,0.00
133,86,3020,35.12,982,11.42,259321,3015.36,205276,2386.93,300,3.49,0,0.00
134,22,638,29.00,110,5.00,109630,4983.18,43067,1957.59,151,6.86,0,0.00
136,10,650,65.00,10,1.00,29904,2990.40,7290,729.00,1007,100.70,0,0.00
137,225,9675,43.00,3375,15.00,639520,2842.31,547350,2432.67,300,1.33,0,0.00
138,18,0,0.00,18,1.00,54,3.00,0,0.00,2430,135.00,0,0.00
140,1,0,0.00,1,1.00,3,3.00,0,0.00,137,137.00,0,0.00
141,26,209,8.04,169,6.50,224028,8616.46,31235,1201.35,3014,115.92,0,0.00
142,7,0,0.00,7,1.00,21,3.00,0,0.00,973,139.00,0,0.00
143,160,6112,38.20,2080,13.00,615242,3845.26,364665,2279.16,3691,23.07,0,0.00
144,13,70,5.38,23,1.77,38839,2987.62,2873,221.00,1197,92.08,0,0.00
145,32,0,0.00,32,1.00,736,23.00,0,0.00,3904,122.00,0,0.00
146,1,0,0.00,1,1.00,3,3.00,0,0.00,143,143.00,0,0.00
147,418,17756,42.48,6208,14.85,1184706,2834.22,1099714,2630.89,0,0.00,0,0.00
148,2,0,0.00,2,1.00,6,3.00,0,0.00,290,145.00,0,0.00
151,1,1,1.00,12,12.00,7456,7456.00,992,992.00,0,0.00,0,0.00
153,128,4032,31.50,1152,9.00,676928,5288.50,295552,2309.00,0,0.00,0,0.00
157,256,12544,49.00,4352,17.00,837120,3270.00,833280,3255.00,0,0.00,0,0.00
160,1,15,15.00,7,7.00,3155,3155.00,451,451.00,25,25.00,0,0.00
161,1,1,1.00,13,13.00,8246,8246.00,1160,1160.00,0,0.00,0,0.00
163,64,3200,50.00,1152,18.00,218048,3407.00,224704,3511.00,0,0.00,0,0.00
165,64,0,0.00,64,1.00,6016,94.00,0,0.00,4544,71.00,0,0.00
167,10,60,6.00,10,1.00,64347,6434.70,5401,540.10,729,72.90,0,0.00
171,10,240,24.00,10,1.00,37258,3725.80,33354,3335.40,890,89.00,0,0.00
172,32,960,30.00,32,1.00,294698,9209.31,50468,1577.12,1242,38.81,0,0.00
173,10,50,5.00,30,3.00,77530,7753.00,2860,286.00,1310,131.00,0,0.00
175,10,300,30.00,60,6.00,52616,5261.60,11226,1122.60,1022,102.20,0,0.00
181,1,1,1.00,15,15.00,9886,9886.00,1535,1535.00,0,0.00,0,0.00
182,10,120,12.00,60,6.00,39070,3907.00,12620,1262.00,1230,123.00,0,0.00
184,32,960,30.00,288,9.00,295296,9228.00,53216,1663.00,0,0.00,0,0.00
186,10,400,40.00,90,9.00,76501,7650.10,23482,2348.20,709,70.90,0,0.00
191,3,3,1.00,48,16.00,32208,10736.00,5226,1742.00,0,0.00,0,0.00
192,10,90,9.00,70,7.00,43419,4341.90,9725,972.50,397,39.70,0,0.00
196,42,1098,26.14,92,2.19,365762,8708.62,90100,2145.24,1800,42.86,0,0.00
198,15,60,4.00,60,4.00,48105,3207.00,3900,260.00,0,0.00,0,0.00
199,32,672,21.00,96,3.00,289632,9051.00,32544,1017.00,3840,120.00,0,0.00
201,42,2778,66.14,922,21.95,166299,3959.50,243783,5804.36,1138,27.10,0,0.00
203,10,60,6.00,30,3.00,70000,7000.00,8640,864.00,1556,155.60,0,0.00
206,2,8,4.00,6,3.00,5264,2632.00,292,146.00,0,0.00,0,0.00
207,32,0,0.00,32,1.00,6624,207.00,0,0.00,0,0.00,0,0.00
209,32,0,0.00,32,1.00,736,23.00,0,0.00,5952,186.00,0,0.00
210,1,5,5.00,4,4.00,4652,4652.00,411,411.00,0,0.00,0,0.00
213,22,242,11.00,44,2.00,245388,11154.00,66022,3001.00,0,0.00,0,0.00
220,32,1216,38.00,32,1.00,398784,12462.00,111648,3489.00,0,0.00,0,0.00
222,32,3136,98.00,800,25.00,220992,6906.00,421248,13164.00,0,0.00,0,0.00
225,32,0,0.00,32,1.00,7200,225.00,0,0.00,0,0.00,0,0.00
230,32,192,6.00,128,4.00,185152,5786.00,13472,421.00,281,8.78,0,0.00
231,32,0,0.00,32,1.00,602,18.81,0,0.00,6790,212.19,0,0.00
242,1,7,7.00,3,3.00,7322,7322.00,581,581.00,0,0.00,0,0.00
244,22,88,4.00,220,10.00,15844,720.18,677,30.77,178,8.09,0,0.00
245,86,44,0.51,174,2.02,50320,585.12,2376,27.63,8810,102.44,0,0.00
259,32,320,10.00,32,1.00,88832,2776.00,13696,428.00,7328,229.00,0,0.00
267,32,0,0.00,32,1.00,96,3.00,0,0.00,8448,264.00,0,0.00
268,42,1512,36.00,82,1.95,523768,12470.67,171216,4076.57,0,0.00,0,0.00
271,32,0,0.00,32,1.00,8672,271.00,0,0.00,0,0.00,0,0.00
285,32,0,0.00,32,1.00,96,3.00,0,0.00,9024,282.00,0,0.00
287,32,0,0.00,32,1.00,9064,283.25,0,0.00,120,3.75,0,0.00
292,32,1600,50.00,32,1.00,542880,16965.00,203616,6363.00,0,0.00,0,0.00
295,64,4736,74.00,1600,25.00,470592,7353.00,864896,13514.00,0,0.00,0,0.00
307,32,0,0.00,32,1.00,96,3.00,0,0.00,9728,304.00,0,0.00
309,64,0,0.00,64,1.00,6042,94.41,0,0.00,13734,214.59,0,0.00
