tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1961954,4161665,2.12,2830165,1.44,0,0.00,0,0.00,0,0.00,0,0.00
2,19610,105332,5.37,62155,3.17,20615,1.05,3140,0.16,17,0.00,0,0.00
3,1103404,1824747,1.65,1435000,1.30,13933664,12.63,408731,0.37,658,0.00,0,0.00
4,55138,87892,1.59,94825,1.72,1092945,19.82,16519,0.30,29,0.00,0,0.00
5,452423,705507,1.56,554767,1.23,13194119,29.16,247817,0.55,1109,0.00,0,0.00
6,60308,195279,3.24,149184,2.47,4195716,69.57,82015,1.36,119,0.00,0,0.00
7,24499,105930,4.32,45294,1.85,1248457,50.96,162439,6.63,488,0.02,0,0.00
8,5060,28138,5.56,17734,3.50,397811,78.62,12010,2.37,219,0.04,0,0.00
9,25399,132288,5.21,51627,2.03,2298407,90.49,330211,13.00,2712,0.11,0,0.00
10,2174,34180,15.72,15170,6.98,145060,66.72,13455,6.19,0,0.00,0,0.00
11,14570,82389,5.65,55475,3.81,2195187,150.66,235383,16.16,635,0.04,0,0.00
12,1107,16065,14.51,8899,8.04,64826,58.56,12047,10.88,58,0.05,0,0.00
13,3995,35402,8.86,14628,3.66,613578,153.59,143565,35.94,1384,0.35,0,0.00
14,515,75659,146.91,19261,37.40,359594,698.24,21121,41.01,442,0.86,0,0.00
15,12010,44037,3.67,27035,2.25,3646497,303.62,101178,8.42,290,0.02,0,0.00
16,11872,45603,3.84,21199,1.79,4061236,342.09,98078,8.26,584,0.05,0,0.00
17,16009,51162,3.20,19451,1.22,5406531,337.72,105562,6.59,24041,1.50,0,0.00
18,219,2464,11.25,1214,5.54,55219,252.14,7325,33.45,669,3.05,0,0.00
19,1452,10991,7.57,5224,3.60,357863,246.46,102938,70.89,1775,1.22,0,0.00
20,11148,37161,3.33,12588,1.13,3967264,355.87,196991,17.67,2555,0.23,0,0.00
21,5018,62707,12.50,29208,5.82,1654494,329.71,481007,95.86,2662,0.53,0,0.00
22,1054,2749,2.61,2250,2.13,204902,194.40,23499,22.30,936,0.89,0,0.00
23,2155,27369,12.70,16435,7.63,562554,261.05,166165,77.11,417,0.19,0,0.00
24,784,4188,5.34,1924,2.45,317392,404.84,41788,53.30,54,0.07,0,0.00
25,670,8123,12.12,3754,5.60,186610,278.52,97587,145.65,1622,2.42,0,0.00
26,4908,53626,10.93,30831,6.28,2181663,444.51,720219,146.74,14281,2.91,0,0.00
27,1222,11770,9.63,4787,3.92,515815,422.11,180476,147.69,969,0.79,0,0.00
28,140,3162,22.59,1096,7.83,59182,422.73,24629,175.92,533,3.81,0,0.00
29,10915,72566,6.65,22733,2.08,9532715,873.36,914537,83.79,184,0.02,0,0.00
30,215,2400,11.16,1453,6.76,88795,413.00,13632,63.40,249,1.16,0,0.00
31,1260,19660,15.60,8567,6.80,614791,487.93,358474,284.50,2503,1.99,0,0.00
32,204,3762,18.44,1828,8.96,104100,510.29,80329,393.77,528,2.59,0,0.00
33,2500,16403,6.56,5664,2.27,2133190,853.28,219000,87.60,13477,5.39,0,0.00
34,155,2761,17.81,1275,8.23,76172,491.43,64947,419.01,675,4.35,0,0.00
35,480,5641,11.75,2752,5.73,256034,533.40,70949,147.81,1253,2.61,0,0.00
36,1403,26482,18.88,15068,10.74,887916,632.87,504262,359.42,6807,4.85,0,0.00
37,320,5236,16.36,2331,7.28,269007,840.65,116073,362.73,1084,3.39,0,0.00
38,140,2364,16.89,1734,12.39,64067,457.62,26654,190.39,538,3.84,0,0.00
39,284,2679,9.43,1170,4.12,224049,788.90,53952,189.97,1469,5.17,0,0.00
40,230,3229,14.04,1283,5.58,144072,626.40,70055,304.59,688,2.99,0,0.00
41,504,11486,22.79,5715,11.34,445252,883.44,243450,483.04,1627,3.23,0,0.00
42,1313,3059,2.33,2891,2.20,232832,177.33,29565,22.52,1166,0.89,0,0.00
43,965,12299,12.75,5222,5.41,895061,927.52,198970,206.19,377,0.39,0,0.00
44,257,3433,13.36,2631,10.24,158399,616.34,38954,151.57,0,0.00,0,0.00
45,332,5783,17.42,2689,8.10,264972,798.11,121082,364.70,3082,9.28,0,0.00
46,256,6611,25.82,3279,12.81,202084,789.39,156328,610.66,643,2.51,0,0.00
47,625,9003,14.40,3685,5.90,570349,912.56,118398,189.44,4070,6.51,0,0.00
48,209,2519,12.05,724,3.46,206695,988.97,35905,171.79,1965,9.40,0,0.00
49,164,2482,15.13,843,5.14,139564,851.00,85574,521.79,1825,11.13,0,0.00
50,131,2647,20.21,2109,16.10,73787,563.26,30947,236.24,1388,10.60,0,0.00
51,420,16148,38.45,8185,19.49,535439,1274.85,426364,1015.15,1252,2.98,0,0.00
52,181,2988,16.51,1097,6.06,141133,779.74,82401,455.25,1828,10.10,0,0.00
53,5658,41217,7.28,12234,2.16,12284446,2171.16,900283,159.12,1136,0.20,0,0.00
54,38,305,8.03,160,4.21,26113,687.18,7507,197.55,153,4.03,0,0.00
55,348,3068,8.82,1215,3.49,277856,798.44,55886,160.59,1340,3.85,0,0.00
56,109,3463,31.77,1664,15.27,138115,1267.11,92484,848.48,318,2.92,0,0.00
57,421,9872,23.45,7691,18.27,465287,1105.19,66544,158.06,3718,8.83,0,0.00
58,47,416,8.85,201,4.28,21348,454.21,5417,115.26,570,12.13,0,0.00
59,43,533,12.40,141,3.28,56584,1315.91,16512,384.00,1173,27.28,0,0.00
60,322,949,2.95,364,1.13,297029,922.45,53854,167.25,1168,3.63,0,0.00
61,96,4282,44.60,3156,32.88,84832,883.67,73864,769.42,246,2.56,0,0.00
62,25,230,9.20,82,3.28,15253,610.12,2202,88.08,344,13.76,0,0.00
63,281,4816,17.14,1828,6.51,345119,1228.18,113448,403.73,532,1.89,0,0.00
64,8,160,20.00,64,8.00,8000,1000.00,4616,577.00,0,0.00,0,0.00
65,114,1109,9.73,525,4.61,91427,801.99,11478,100.68,1802,15.81,0,0.00
66,41,231,5.63,153,3.73,44373,1082.27,3584,87.41,0,0.00,0,0.00
67,160,2722,17.01,865,5.41,226661,1416.63,94180,588.62,919,5.74,0,0.00
68,112,1464,13.07,502,4.48,154831,1382.42,20401,182.15,2716,24.25,0,0.00
69,177,3276,18.51,1805,10.20,105725,597.32,65567,370.44,1584,8.95,0,0.00
70,95,2453,25.82,957,10.07,148896,1567.33,95590,1006.21,27,0.28,0,0.00
71,42,1302,31.00,427,10.17,67368,1604.00,20353,484.60,1559,37.12,0,0.00
72,40,551,13.78,97,2.42,39745,993.62,8788,219.70,0,0.00,0,0.00
73,500,15050,30.10,5046,10.09,681903,1363.81,387491,774.98,675,1.35,0,0.00
74,33,558,16.91,162,4.91,57561,1744.27,11703,354.64,18,0.55,0,0.00
75,121,4431,36.62,1728,14.28,325367,2688.98,247177,2042.79,1602,13.24,0,0.00
76,17,238,14.00,17,1.00,58752,3456.00,6120,360.00,0,0.00,0,0.00
77,120,2190,18.25,395,3.29,142475,1187.29,121924,1016.03,1574,13.12,0,0.00
78,63,882,14.00,126,2.00,136521,2167.00,21813,346.24,0,0.00,0,0.00
79,58,3192,55.03,1456,25.10,123262,2125.21,233350,4023.28,0,0.00,0,0.00
80,59,1119,18.97,251,4.25,69640,1180.34,40202,681.39,474,8.03,0,0.00
81,53,1419,26.77,245,4.62,53190,1003.58,59404,1120.83,1275,24.06,0,0.00
83,301,6067,20.16,2494,8.29,557237,1851.29,210898,700.66,1552,5.16,0,0.00
84,105,187,1.78,126,1.20,64215,611.57,6559,62.47,1075,10.24,0,0.00
85,497,6657,13.39,2512,5.05,1440574,2898.54,206432,415.36,3982,8.01,0,0.00
86,17,680,40.00,17,1.00,47941,2820.06,11849,697.00,602,35.41,0,0.00
87,38,339,8.92,121,3.18,71604,1884.32,12895,339.34,189,4.97,0,0.00
88,34,0,0.00,0,0.00,2992,88.00,0,0.00,0,0.00,0,0.00
89,119,2751,23.12,361,3.03,257453,2163.47,171743,1443.22,1365,11.47,0,0.00
90,25,862,34.48,154,6.16,46162,1846.48,73427,2937.08,1411,56.44,0,0.00
91,63,3967,62.97,1768,28.06,148324,2354.35,330339,5243.48,58,0.92,0,0.00
92,40,2585,64.62,425,10.62,115966,2899.15,76155,1903.88,671,16.77,0,0.00
93,127,3714,29.24,1376,10.83,280437,2208.17,140434,1105.78,1104,8.69,0,0.00
94,6,210,35.00,72,12.00,13134,2189.00,13320,2220.00,0,0.00,0,0.00
95,8,64,8.00,32,4.00,23976,2997.00,888,111.00,688,86.00,0,0.00
96,906,7050,7.78,3234,3.57,1614448,1781.95,450164,496.87,4251,4.69,0,0.00
97,160,3655,22.84,1646,10.29,411549,2572.18,146066,912.91,600,3.75,0,0.00
98,39,546,14.00,72,1.85,118784,3045.74,18888,484.31,2550,65.38,0,0.00
99,17,17,1.00,34,2.00,20399,1199.94,2030,119.41,77,4.53,0,0.00
100,86,1632,18.98,371,4.31,256628,2984.05,46485,540.52,0,0.00,0,0.00
101,36,1740,48.33,46,1.28,28998,805.50,166460,4623.89,0,0.00,0,0.00
102,29,609,21.00,348,12.00,106575,3675.00,29029,1001.00,0,0.00,0,0.00
103,176,7862,44.67,3406,19.35,373440,2121.82,560312,3183.59,510,2.90,0,0.00
105,33,648,19.64,522,15.82,30294,918.00,3141,95.18,216,6.55,0,0.00
107,107,2766,25.85,887,8.29,217209,2029.99,117795,1100.89,2272,21.23,0,0.00
108,52,740,14.23,104,2.00,221543,4260.44,35624,685.08,2261,43.48,0,0.00
109,58,694,11.97,278,4.79,196968,3396.00,28320,488.28,3244,55.93,0,0.00
110,35,710,20.29,142,4.06,160375,4582.14,43075,1230.71,0,0.00,0,0.00
111,57,840,14.74,114,2.00,136273,2390.75,92366,1620.46,802,14.07,0,0.00
112,29,261,9.00,29,1.00,106981,3689.00,10411,359.00,464,16.00,0,0.00
113,850,27404,32.24,7922,9.32,3468299,4080.35,762538,897.10,2523,2.97,0,0.00
114,17,136,8.00,34,2.00,3213,189.00,357,21.00,0,0.00,0,0.00
115,127,6761,53.24,401,3.16,143170,1127.32,689426,5428.55,534,4.20,0,0.00
116,2,40,20.00,16,8.00,11214,5607.00,1080,540.00,0,0.00,0,0.00
117,223,16292,73.06,7387,33.13,625829,2806.41,1646442,7383.15,1056,4.74,0,0.00
118,27,600,22.22,180,6.67,74799,2770.33,19875,736.11,1206,44.67,0,0.00
120,72,1792,24.89,754,10.47,252485,3506.74,41409,575.12,1992,27.67,0,0.00
121,11,224,20.36,29,2.64,32450,2950.00,5458,496.18,784,71.27,0,0.00
122,23,378,16.43,62,2.70,62529,2718.65,16819,731.26,0,0.00,0,0.00
123,142,6010,42.32,1492,10.51,300914,2119.11,436116,3071.24,1062,7.48,0,0.00
124,46,519,11.28,75,1.63,130533,2837.67,24005,521.85,568,12.35,0,0.00
125,63,4594,72.92,2477,39.32,107905,1712.78,555996,8825.33,200,3.17,0,0.00
127,168,6500,38.69,2003,11.92,414116,2464.98,284877,1695.70,4225,25.15,0,0.00
128,12,306,25.50,222,18.50,19176,1598.00,5976,498.00,978,81.50,0,0.00
129,92,1022,11.11,211,2.29,255896,2781.48,149449,1624.45,6598,71.72,0,0.00
130,23,502,21.83,173,7.52,31225,1357.61,3066,133.30,0,0.00,0,0.00
