tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,501381,846611,1.69,913335,1.82,0,0.00,0,0.00,0,0.00,0,0.00
2,5883,13384,2.28,12677,2.15,18837,3.20,2413,0.41,38,0.01,0,0.00
3,488218,698729,1.43,615374,1.26,5887228,12.06,136937,0.28,195,0.00,0,0.00
4,7681,23246,3.03,13845,1.80,153671,20.01,456,0.06,7,0.00,0,0.00
5,43383,95693,2.21,85701,1.98,1386742,31.97,115265,2.66,467,0.01,0,0.00
6,2406,8624,3.58,7648,3.18,62926,26.15,6591,2.74,113,0.05,0,0.00
7,14630,90983,6.22,32365,2.21,758902,51.87,167594,11.46,269,0.02,0,0.00
8,1899,8119,4.28,7580,3.99,85314,44.93,2940,1.55,32,0.02,0,0.00
9,10637,45041,4.23,23090,2.17,622490,58.52,258548,24.31,670,0.06,0,0.00
10,1497,8537,5.70,6269,4.19,86671,57.90,11564,7.72,2,0.00,0,0.00
11,8298,23638,2.85,31927,3.85,1041115,125.47,79386,9.57,84,0.01,0,0.00
12,1310,11611,8.86,9171,7.00,76486,58.39,21986,16.78,12,0.01,0,0.00
13,2104,14103,6.70,8490,4.04,256749,122.03,64297,30.56,1030,0.49,0,0.00
14,690,7685,11.14,7770,11.26,53856,78.05,616,0.89,272,0.39,0,0.00
15,2140,21177,9.90,13575,6.34,171313,80.05,101349,47.36,462,0.22,0,0.00
16,1104,10994,9.96,10770,9.76,127554,115.54,4457,4.04,300,0.27,0,0.00
17,3647,16459,4.51,8901,2.44,329958,90.47,115309,31.62,30574,8.38,0,0.00
18,217,2105,9.70,1282,5.91,51460,237.14,5738,26.44,289,1.33,0,0.00
19,2688,20107,7.48,9707,3.61,645720,240.22,201253,74.87,2901,1.08,0,0.00
20,277,2041,7.37,1435,5.18,41852,151.09,6982,25.21,88,0.32,0,0.00
21,657,7660,11.66,2660,4.05,133077,202.55,103246,157.15,392,0.60,0,0.00
22,378,2912,7.70,2912,7.70,51099,135.18,3792,10.03,36,0.10,0,0.00
23,2530,43556,17.22,33022,13.05,580146,229.31,206434,81.59,326,0.13,0,0.00
24,1285,7067,5.50,3017,2.35,556206,432.85,82167,63.94,0,0.00,0,0.00
25,846,12336,14.58,5292,6.26,198690,234.86,182493,215.71,2384,2.82,0,0.00
26,397,3438,8.66,958,2.41,382616,963.77,37872,95.40,0,0.00,0,0.00
27,2126,20591,9.69,8659,4.07,974710,458.47,322499,151.69,430,0.20,0,0.00
