tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1173803,2024490,1.72,2094271,1.78,0,0.00,0,0.00,0,0.00,0,0.00
2,15923,31084,1.95,30942,1.94,58955,3.70,7009,0.44,74,0.00,0,0.00
3,990073,1435741,1.45,1250803,1.26,11982953,12.10,300715,0.30,2291,0.00,0,0.00
4,23068,56810,2.46,39017,1.69,444960,19.29,3128,0.14,194,0.01,0,0.00
5,112463,248827,2.21,215191,1.91,3596347,31.98,285045,2.53,1996,0.02,0,0.00
6,7447,21200,2.85,18881,2.54,255501,34.31,15992,2.15,190,0.03,0,0.00
7,32729,193480,5.91,71063,2.17,1684011,51.45,358399,10.95,867,0.03,0,0.00
8,5488,21944,4.00,19178,3.49,321080,58.51,13249,2.41,194,0.04,0,0.00
9,26451,104354,3.95,54296,2.05,1569810,59.35,609529,23.04,1955,0.07,0,0.00
10,4645,20132,4.33,15144,3.26,316369,68.11,22399,4.82,54,0.01,0,0.00
11,18116,49919,2.76,65988,3.64,2287399,126.26,163308,9.01,316,0.02,0,0.00
12,4351,26988,6.20,20260,4.66,333778,76.71,51422,11.82,69,0.02,0,0.00
13,5167,32562,6.30,19902,3.85,620203,120.03,142974,27.67,2723,0.53,0,0.00
14,2119,15832,7.47,16153,7.62,216783,102.30,3910,1.85,5170,2.44,0,0.00
15,4793,39909,8.33,23715,4.95,432588,90.25,205921,42.96,142,0.03,0,0.00
16,3850,30908,8.03,27343,7.10,553811,143.85,26712,6.94,802,0.21,0,0.00
17,7216,32059,4.44,17340,2.40,651360,90.27,227545,31.53,61218,8.48,0,0.00
18,572,3301,5.77,2165,3.78,143588,251.03,12550,21.94,1262,2.21,0,0.00
19,5652,38828,6.87,18742,3.32,1367714,241.99,390188,69.04,8140,1.44,0,0.00
20,970,4754,4.90,3351,3.45,160521,165.49,17087,17.62,962,0.99,0,0.00
21,2577,24289,9.43,6892,2.67,496520,192.67,331703,128.72,5963,2.31,0,0.00
22,1456,6827,4.69,6569,4.51,243611,167.32,19061,13.09,271,0.19,0,0.00
23,6112,90503,14.81,66602,10.90,1439088,235.45,439419,71.89,1141,0.19,0,0.00
