tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1774845,2565869,1.45,2664298,1.50,0,0.00,0,0.00,0,0.00,0,0.00
2,53365,67606,1.27,106390,1.99,286899,5.38,5954,0.11,71,0.00,0,0.00
3,1068218,1661674,1.56,1790694,1.68,15807196,14.80,312897,0.29,823,0.00,0,0.00
4,76730,168508,2.20,113078,1.47,1458725,19.01,21666,0.28,178,0.00,0,0.00
5,161077,381221,2.37,291840,1.81,5267497,32.70,353990,2.20,978,0.01,0,0.00
6,5062,16656,3.29,14530,2.87,147246,29.09,14826,2.93,160,0.03,0,0.00
7,70121,3982658,56.80,2467198,35.18,28362523,404.48,5134754,73.23,1197,0.02,0,0.00
8,4485,17777,3.96,16354,3.65,229260,51.12,9554,2.13,273,0.06,0,0.00
9,22039,91568,4.15,46770,2.12,1311724,59.52,524937,23.82,1923,0.09,0,0.00
10,3109,15377,4.95,11812,3.80,191269,61.52,21480,6.91,213,0.07,0,0.00
11,15829,43001,2.72,59633,3.77,2014327,127.26,142397,9.00,506,0.03,0,0.00
12,2760,21601,7.83,16292,5.90,192077,69.59,49413,17.90,119,0.04,0,0.00
13,4365,30507,6.99,19839,4.55,494399,113.26,121512,27.84,2592,0.59,0,0.00
14,1517,15096,9.95,14939,9.85,139765,92.13,2849,1.88,1148,0.76,0,0.00
15,63475,114651,1.81,79774,1.26,4426366,69.73,463671,7.30,1029,0.02,0,0.00
16,2899,27856,9.61,27193,9.38,366693,126.49,13611,4.70,912,0.31,0,0.00
17,6906,30887,4.47,16483,2.39,617581,89.43,214399,31.05,59154,8.57,0,0.00
18,527,3013,5.72,2051,3.89,132246,250.94,11306,21.45,1266,2.40,0,0.00
19,5782,38250,6.62,18304,3.17,1348943,233.30,380670,65.84,7341,1.27,0,0.00
20,676,4486,6.64,3247,4.80,135477,200.41,12865,19.03,850,1.26,0,0.00
21,1549,17964,11.60,8400,5.42,314121,202.79,200141,129.21,738,0.48,0,0.00
22,850,2768,3.26,2763,3.25,157704,185.53,12651,14.88,351,0.41,0,0.00
23,24877,661396,26.59,462106,18.58,38250829,1537.60,1415447,56.90,974,0.04,0,0.00
24,2427,13149,5.42,5629,2.32,1045682,430.85,156167,64.35,0,0.00,0,0.00
25,1592,22832,14.34,10857,6.82,506524,318.17,324334,203.73,2592,1.63,0,0.00
26,780,6176,7.92,1773,2.27,727160,932.26,71202,91.28,0,0.00,0,0.00
27,4196,39130,9.33,14721,3.51,1824475,434.81,619942,147.75,736,0.18,0,0.00
28,314,2764,8.80,1463,4.66,112812,359.27,42655,135.84,2367,7.54,0,0.00
29,2914,48969,16.80,11218,3.85,4005456,1374.56,1009940,346.58,20,0.01,0,0.00
30,219,2079,9.49,858,3.92,75139,343.10,32236,147.20,543,2.48,0,0.00
31,1571,20639,13.14,2644,1.68,605444,385.39,477319,303.83,2234,1.42,0,0.00
32,359,2834,7.89,713,1.99,219693,611.96,55337,154.14,2178,6.07,0,0.00
33,1431,19711,13.77,7134,4.99,737001,515.03,349865,244.49,2770,1.94,0,0.00
34,228,3017,13.23,826,3.62,104113,456.64,35967,157.75,2248,9.86,0,0.00
