tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,16918439,20360348,1.20,20931861,1.24,0,0.00,0,0.00,0,0.00,0,0.00
2,453328,562366,1.24,651910,1.44,2075811,4.58,223655,0.49,16,0.00,0,0.00
3,4952311,8641116,1.74,6641157,1.34,62884405,12.70,3032481,0.61,99094,0.02,0,0.00
4,947287,1491445,1.57,1380175,1.46,17887157,18.88,293070,0.31,1214,0.00,0,0.00
5,1263901,2850130,2.26,2340461,1.85,41247208,32.63,3489539,2.76,13304,0.01,0,0.00
6,428460,861889,2.01,809801,1.89,16262572,37.96,79677,0.19,626,0.00,0,0.00
7,342447,1086696,3.17,724976,2.12,13214576,38.59,2201604,6.43,579,0.00,0,0.00
8,269987,984560,3.65,692644,2.57,24295719,89.99,772694,2.86,293,0.00,0,0.00
9,565172,1597895,2.83,989413,1.75,32021391,56.66,9594863,16.98,62287,0.11,0,0.00
10,254987,490016,1.92,327257,1.28,22562742,88.49,80019,0.31,72,0.00,0,0.00
11,268105,885835,3.30,670556,2.50,31331586,116.86,2305530,8.60,22067,0.08,0,0.00
12,290632,837190,2.88,453841,1.56,36409053,125.28,1404731,4.83,1376,0.00,0,0.00
13,79603,241817,3.04,121106,1.52,11165426,140.26,1167318,14.66,3086,0.04,0,0.00
14,82390,46591,0.57,84671,1.03,11508765,139.69,6096,0.07,552974,6.71,0,0.00
15,118979,400994,3.37,121866,1.02,15634834,131.41,1181760,9.93,1116,0.01,0,0.00
16,78719,498464,6.33,298924,3.80,21976514,279.18,2478041,31.48,5134,0.07,0,0.00
17,10045,44474,4.43,28337,2.82,2240650,223.06,357625,35.60,22892,2.28,0,0.00
18,1296,5433,4.19,1569,1.21,342241,264.07,28349,21.87,753,0.58,0,0.00
19,52039,180538,3.47,71504,1.37,15423048,296.37,438158,8.42,43698,0.84,0,0.00
20,42605,62310,1.46,55850,1.31,6102987,143.25,502991,11.81,2240,0.05,0,0.00
21,11837,140172,11.84,100295,8.47,4990165,421.57,1575693,133.12,3011,0.25,0,0.00
22,64347,87252,1.36,64752,1.01,11495065,178.64,776723,12.07,5017,0.08,0,0.00
23,159395,931007,5.84,298545,1.87,40651820,255.04,9068574,56.89,40395,0.25,0,0.00
24,45147,43825,0.97,20151,0.45,13036427,288.76,2885899,63.92,7254,0.16,0,0.00
25,343,4424,12.90,1905,5.55,101697,296.49,66162,192.89,669,1.95,0,0.00
26,14808,174777,11.80,106859,7.22,7412799,500.59,2448208,165.33,12123,0.82,0,0.00
27,119056,754173,6.33,264231,2.22,58914461,494.85,10422488,87.54,4018,0.03,0,0.00
28,11093,107675,9.71,47279,4.26,4360862,393.12,840641,75.78,10323,0.93,0,0.00
29,1243,13175,10.60,3064,2.47,977851,786.69,238317,191.73,702,0.56,0,0.00
30,19554,196855,10.07,25284,1.29,8895908,454.94,2059933,105.35,30022,1.54,0,0.00
31,30729,489700,15.94,333116,10.84,18884287,614.54,9290739,302.34,28383,0.92,0,0.00
32,52126,519770,9.97,228248,4.38,36198277,694.44,8454156,162.19,19910,0.38,0,0.00
33,491,15729,32.03,5108,10.40,171309,348.90,98257,200.12,1263,2.57,0,0.00
34,4918,47327,9.62,5135,1.04,2965551,603.00,607568,123.54,13887,2.82,0,0.00
35,6242,45454,7.28,12194,1.95,2388855,382.71,1159867,185.82,21312,3.41,0,0.00
36,14890,272257,18.28,170239,11.43,10978405,737.30,5513484,370.28,22595,1.52,0,0.00
37,6581,90946,13.82,23751,3.61,3866781,587.57,1505802,228.81,6682,1.02,0,0.00
38,42404,111600,2.63,42539,1.00,40792096,961.99,1065117,25.12,24122,0.57,0,0.00
39,1381,19069,13.81,2574,1.86,819054,593.09,392709,284.37,1642,1.19,0,0.00
40,2995,37266,12.44,6338,2.12,2350693,784.87,460973,153.91,11315,3.78,0,0.00
41,8259,190087,23.02,124543,15.08,7146534,865.30,4920850,595.82,9725,1.18,0,0.00
42,3343,33257,9.95,4681,1.40,2341508,700.42,482683,144.39,10252,3.07,0,0.00
43,1226,18818,15.35,4269,3.48,962096,784.74,360366,293.94,3675,3.00,0,0.00
44,2101,30864,14.69,3712,1.77,1935074,921.03,455270,216.69,8294,3.95,0,0.00
45,735,13770,18.73,2292,3.12,534977,727.86,321357,437.22,2157,2.93,0,0.00
46,8308,178333,21.47,100421,12.09,7722901,929.57,4760906,573.05,12692,1.53,0,0.00
47,1282,24360,19.00,3950,3.08,1031284,804.43,489746,382.02,2742,2.14,0,0.00
