tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,249447,421338,1.69,450320,1.81,0,0.00,0,0.00,0,0.00,0,0.00
2,3264,6815,2.09,6531,2.00,11379,3.49,1531,0.47,18,0.01,0,0.00
3,237602,344794,1.45,302836,1.27,2882218,12.13,70647,0.30,234,0.00,0,0.00
4,4067,11702,2.88,7243,1.78,79631,19.58,414,0.10,15,0.00,0,0.00
5,24760,55648,2.25,48761,1.97,795847,32.14,69801,2.82,357,0.01,0,0.00
6,1638,5461,3.33,4655,2.84,45890,28.02,5303,3.24,67,0.04,0,0.00
7,8127,46716,5.75,17609,2.17,415678,51.15,96548,11.88,110,0.01,0,0.00
8,1307,5211,3.99,4556,3.49,69078,52.85,5167,3.95,30,0.02,0,0.00
9,5847,24228,4.14,12276,2.10,346621,59.28,140813,24.08,518,0.09,0,0.00
10,803,4004,4.99,3043,3.79,51306,63.89,5660,7.05,15,0.02,0,0.00
11,4030,11249,2.79,15479,3.84,508338,126.14,36124,8.96,0,0.00,0,0.00
12,707,5841,8.26,4500,6.36,46181,65.32,12691,17.95,27,0.04,0,0.00
13,1145,7508,6.56,4179,3.65,132638,115.84,37520,32.77,485,0.42,0,0.00
14,622,4943,7.95,4470,7.19,102036,164.05,4764,7.66,282,0.45,0,0.00
15,976,8848,9.07,5530,5.67,79730,81.69,45677,46.80,77,0.08,0,0.00
16,639,5622,8.80,5272,8.25,96494,151.01,3811,5.96,110,0.17,0,0.00
17,1711,8271,4.83,4985,2.91,145314,84.93,53311,31.16,14434,8.44,0,0.00
18,137,804,5.87,544,3.97,34529,252.04,3118,22.76,327,2.39,0,0.00
19,1269,8917,7.03,4491,3.54,312410,246.19,90151,71.04,1315,1.04,0,0.00
20,155,1069,6.90,777,5.01,23576,152.10,3382,21.82,86,0.55,0,0.00
21,445,5244,11.78,2156,4.84,80527,180.96,62706,140.91,209,0.47,0,0.00
22,216,702,3.25,702,3.25,39952,184.96,3223,14.92,51,0.24,0,0.00
23,1228,20540,16.73,15708,12.79,285286,232.32,94764,77.17,90,0.07,0,0.00
24,633,3437,5.43,1451,2.29,272904,431.13,40225,63.55,0,0.00,0,0.00
25,438,6168,14.08,2751,6.28,131958,301.27,90686,207.05,904,2.06,0,0.00
26,203,1613,7.95,476,2.34,186614,919.28,18741,92.32,0,0.00,0,0.00
27,1100,10640,9.67,4454,4.05,507375,461.25,161366,146.70,212,0.19,0,0.00
28,55,566,10.29,238,4.33,22738,413.42,10382,188.76,512,9.31,0,0.00
29,702,11394,16.23,2304,3.28,983790,1401.41,230220,327.95,342,0.49,0,0.00
30,56,532,9.50,218,3.89,19232,343.43,8194,146.32,206,3.68,0,0.00
31,361,4677,12.96,631,1.75,145757,403.76,106357,294.62,734,2.03,0,0.00
32,94,762,8.11,214,2.28,57161,608.10,14568,154.98,540,5.74,0,0.00
33,372,5592,15.03,2408,6.47,213874,574.93,106152,285.35,837,2.25,0,0.00
34,81,1032,12.74,335,4.14,49946,616.62,15891,196.19,709,8.75,0,0.00
35,126,1566,12.43,450,3.57,41832,332.00,48060,381.43,990,7.86,0,0.00
36,91,1843,20.25,1441,15.84,31163,342.45,11573,127.18,198,2.18,0,0.00
37,237,5115,21.58,2967,12.52,136948,577.84,90171,380.47,472,1.99,0,0.00
38,18,306,17.00,18,1.00,7272,404.00,9792,544.00,0,0.00,0,0.00
39,126,1440,11.43,630,5.00,86338,685.22,31631,251.04,440,3.49,0,0.00
40,145,1267,8.74,145,1.00,102414,706.30,20538,141.64,497,3.43,0,0.00
41,128,2382,18.61,984,7.69,116358,909.05,46216,361.06,826,6.45,0,0.00
42,1351,2149,1.59,2665,1.97,242216,179.29,29915,22.14,216,0.16,0,0.00
43,832,11777,14.16,4984,5.99,713176,857.18,188748,226.86,347,0.42,0,0.00
44,73,1989,27.25,1621,22.21,31529,431.90,15010,205.62,0,0.00,0,0.00
45,256,4780,18.67,2362,9.23,212175,828.81,119741,467.74,1996,7.80,0,0.00
46,56,668,11.93,146,2.61,26278,469.25,13811,246.62,300,5.36,0,0.00
47,471,7700,16.35,3074,6.53,445099,945.01,107738,228.74,1131,2.40,0,0.00
48,77,1313,17.05,149,1.94,55241,717.42,15253,198.09,1410,18.31,0,0.00
49,149,2624,17.61,887,5.95,120760,810.47,77761,521.89,1070,7.18,0,0.00
50,56,978,17.46,56,1.00,51356,917.07,32357,577.80,29,0.52,0,0.00
51,90,3420,38.00,2412,26.80,112888,1254.31,42665,474.06,260,2.89,0,0.00
52,109,1887,17.31,721,6.61,74015,679.04,67306,617.49,518,4.75,0,0.00
53,90,2124,23.60,972,10.80,101178,1124.20,61668,685.20,0,0.00,0,0.00
54,19,320,16.84,127,6.68,24758,1303.05,7928,417.26,162,8.53,0,0.00
55,54,954,17.67,90,1.67,93510,1731.67,21924,406.00,0,0.00,0,0.00
56,42,2094,49.86,2028,48.29,10336,246.10,1118,26.62,0,0.00,0,0.00
57,253,7003,27.68,5191,20.52,198924,786.26,34862,137.79,0,0.00,0,0.00
58,36,144,4.00,72,2.00,17532,487.00,1116,31.00,0,0.00,0,0.00
59,36,342,9.50,54,1.50,40859,1134.97,6480,180.00,703,19.53,0,0.00
60,252,702,2.79,252,1.00,216078,857.45,42588,169.00,516,2.05,0,0.00
62,54,2340,43.33,2268,42.00,12186,225.67,1044,19.33,0,0.00,0,0.00
63,324,5904,18.22,2376,7.33,385848,1190.89,146844,453.22,0,0.00,0,0.00
65,108,936,8.67,432,4.00,82746,766.17,8424,78.00,1908,17.67,0,0.00
66,18,144,8.00,54,3.00,35496,1972.00,3038,168.78,57,3.17,0,0.00
67,91,2002,22.00,620,6.81,120981,1329.46,73401,806.60,0,0.00,0,0.00
68,36,324,9.00,54,1.50,36198,1005.50,6642,184.50,0,0.00,0,0.00
69,72,1908,26.50,1728,24.00,42408,589.00,2628,36.50,0,0.00,0,0.00
70,18,450,25.00,270,15.00,25020,1390.00,1620,90.00,0,0.00,0,0.00
72,36,288,8.00,36,1.00,37728,1048.00,8028,223.00,0,0.00,0,0.00
73,432,10188,23.58,3348,7.75,608148,1407.75,342072,791.83,0,0.00,0,0.00
75,109,5307,48.69,1590,14.59,294311,2700.10,340755,3126.19,0,0.00,0,0.00
76,18,252,14.00,18,1.00,62208,3456.00,6480,360.00,0,0.00,0,0.00
77,94,3448,36.68,1638,17.43,170243,1811.10,238311,2535.22,1388,14.77,0,0.00
80,16,16,1.00,16,1.00,7776,486.00,1136,71.00,0,0.00,0,0.00
81,18,450,25.00,18,1.00,11340,630.00,23760,1320.00,1350,75.00,0,0.00
83,180,4680,26.00,1800,10.00,306540,1703.00,160380,891.00,0,0.00,0,0.00
84,90,90,1.00,90,1.00,56790,631.00,4500,50.00,0,0.00,0,0.00
85,258,3600,13.95,1698,6.58,953034,3693.93,68053,263.77,1648,6.39,0,0.00
86,18,720,40.00,18,1.00,50455,2803.06,12553,697.39,663,36.83,0,0.00
87,36,288,8.00,108,3.00,67716,1881.00,11466,318.50,0,0.00,0,0.00
88,36,0,0.00,0,0.00,3168,88.00,0,0.00,0,0.00,0,0.00
89,36,1584,44.00,36,1.00,20520,570.00,134676,3741.00,0,0.00,0,0.00
90,18,540,30.00,36,2.00,28260,1570.00,67158,3731.00,1494,83.00,0,0.00
91,36,3240,90.00,1656,46.00,74772,2077.00,303408,8428.00,0,0.00,0,0.00
93,126,3492,27.71,1296,10.29,273114,2167.57,116244,922.57,2160,17.14,0,0.00
96,900,6480,7.20,3312,3.68,1515348,1683.72,447984,497.76,7956,8.84,0,0.00
97,36,1116,31.00,396,11.00,71712,1992.00,44064,1224.00,0,0.00,0,0.00
98,276,636,2.30,516,1.87,314796,1140.57,59104,214.14,2768,10.03,0,0.00
99,19,38,2.00,43,2.26,23959,1261.00,3955,208.16,0,0.00,0,0.00
100,18,324,18.00,18,1.00,89226,4957.00,11502,639.00,0,0.00,0,0.00
103,180,6444,35.80,1764,9.80,330372,1835.40,381096,2117.20,0,0.00,0,0.00
105,36,3744,104.00,1908,53.00,86616,2406.00,409500,11375.00,0,0.00,0,0.00
107,128,3740,29.22,1338,10.45,242604,1895.34,164450,1284.77,1872,14.62,0,0.00
108,2,24,12.00,14,7.00,5388,2694.00,568,284.00,0,0.00,0,0.00
109,18,324,18.00,36,2.00,40392,2244.00,12042,669.00,1134,63.00,0,0.00
111,3,57,19.00,21,7.00,9213,3071.00,4560,1520.00,0,0.00,0,0.00
113,936,31032,33.15,8424,9.00,3706920,3960.38,1028988,1099.35,72,0.08,0,0.00
