tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,4006588,7610223,1.90,7793075,1.95,0,0.00,0,0.00,0,0.00,0,0.00
2,43518,101539,2.33,95670,2.20,136421,3.13,18574,0.43,313,0.01,0,0.00
3,4000661,5719154,1.43,5035002,1.26,48187120,12.04,1118812,0.28,1381,0.00,0,0.00
4,60230,186660,3.10,110533,1.84,1203845,19.99,1462,0.02,1,0.00,0,0.00
5,342312,752064,2.20,673686,1.97,10927161,31.92,916671,2.68,3926,0.01,0,0.00
6,23418,82888,3.54,68067,2.91,555733,23.73,55351,2.36,645,0.03,0,0.00
7,123847,761818,6.15,269194,2.17,6329839,51.11,1474294,11.90,705,0.01,0,0.00
8,15801,74418,4.71,72431,4.58,564594,35.73,12829,0.81,17,0.00,0,0.00
9,89478,388940,4.35,196741,2.20,5109647,57.11,2252982,25.18,5407,0.06,0,0.00
10,11765,70083,5.96,53993,4.59,587291,49.92,90855,7.72,0,0.00,0,0.00
11,72064,221071,3.07,265500,3.68,8691832,120.61,953949,13.24,97,0.00,0,0.00
12,9851,90577,9.19,73383,7.45,526742,53.47,156098,15.85,0,0.00,0,0.00
13,18061,120751,6.69,70934,3.93,2176215,120.49,583694,32.32,8895,0.49,0,0.00
14,5059,61787,12.21,62708,12.40,341345,67.47,3856,0.76,207,0.04,0,0.00
15,17067,164497,9.64,105804,6.20,1326162,77.70,803730,47.09,6367,0.37,0,0.00
16,6719,74761,11.13,74884,11.15,640360,95.31,21323,3.17,1292,0.19,0,0.00
17,29631,134798,4.55,69948,2.36,2384315,80.47,1049331,35.41,249801,8.43,0,0.00
18,1121,10841,9.67,7230,6.45,289919,258.63,45205,40.33,209,0.19,0,0.00
19,20575,146457,7.12,76062,3.70,5170388,251.29,1516383,73.70,7584,0.37,0,0.00
20,1770,16412,9.27,11355,6.42,303740,171.60,52762,29.81,0,0.00,0,0.00
21,6455,75288,11.66,28883,4.47,926685,143.56,868817,134.60,3317,0.51,0,0.00
22,1644,8883,5.40,8973,5.46,237417,144.41,13976,8.50,40,0.02,0,0.00
23,20193,363454,18.00,278552,13.79,4899938,242.66,1801771,89.23,718,0.04,0,0.00
24,10399,58167,5.59,24897,2.39,4536299,436.22,672397,64.66,20,0.00,0,0.00
25,6594,97848,14.84,40901,6.20,1205006,182.74,1527005,231.57,13792,2.09,0,0.00
26,3140,26928,8.58,7219,2.30,3114280,991.81,310606,98.92,0,0.00,0,0.00
27,17862,173572,9.72,72993,4.09,8220597,460.23,2699885,151.15,2193,0.12,0,0.00
28,658,9634,14.64,3884,5.90,215474,327.47,176102,267.63,9464,14.38,0,0.00
29,12530,205075,16.37,39478,3.15,17201807,1372.85,4220179,336.81,90,0.01,0,0.00
30,637,7267,11.41,3454,5.42,268239,421.10,126388,198.41,75,0.12,0,0.00
31,6262,81400,13.00,11563,1.85,2512082,401.16,1884156,300.89,15113,2.41,0,0.00
32,965,6508,6.74,1057,1.10,521295,540.20,138016,143.02,9480,9.82,0,0.00
