tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,26644,44172,1.66,47568,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,341,734,2.15,712,2.09,1174,3.44,140,0.41,2,0.01,0,0.00
3,26008,37248,1.43,32830,1.26,313955,12.07,7332,0.28,19,0.00,0,0.00
4,451,1309,2.90,792,1.76,8988,19.93,46,0.10,2,0.00,0,0.00
5,2304,5028,2.18,4558,1.98,73718,32.00,6294,2.73,32,0.01,0,0.00
6,141,467,3.31,410,2.91,4097,29.06,409,2.90,5,0.04,0,0.00
7,803,4943,6.16,1779,2.22,41908,52.19,9174,11.42,13,0.02,0,0.00
8,120,512,4.27,474,3.95,5802,48.35,264,2.20,0,0.00,0,0.00
9,616,2574,4.18,1328,2.16,36406,59.10,14610,23.72,46,0.07,0,0.00
10,82,390,4.76,290,3.54,5392,65.76,594,7.24,0,0.00,0,0.00
11,444,1208,2.72,1672,3.77,56521,127.30,3996,9.00,4,0.01,0,0.00
12,77,621,8.06,475,6.17,5165,67.08,1398,18.16,0,0.00,0,0.00
13,102,678,6.65,404,3.96,12292,120.51,3076,30.16,66,0.65,0,0.00
14,50,522,10.44,528,10.56,3820,76.40,44,0.88,28,0.56,0,0.00
15,128,1180,9.22,746,5.83,9873,77.13,5950,46.48,22,0.17,0,0.00
16,70,608,8.69,578,8.26,10429,148.99,343,4.90,19,0.27,0,0.00
17,200,904,4.52,478,2.39,18940,94.70,6536,32.68,1596,7.98,0,0.00
18,16,88,5.50,60,3.75,4180,261.25,320,20.00,36,2.25,0,0.00
19,146,1050,7.19,498,3.41,34594,236.95,10996,75.32,166,1.14,0,0.00
20,16,110,6.88,76,4.75,2646,165.38,404,25.25,0,0.00,0,0.00
21,36,454,12.61,224,6.22,6728,186.89,4858,134.94,28,0.78,0,0.00
22,24,78,3.25,78,3.25,4416,184.00,347,14.46,12,0.50,0,0.00
23,139,2310,16.62,1750,12.59,32237,231.92,10988,79.05,10,0.07,0,0.00
24,68,368,5.41,158,2.32,29286,430.68,4386,64.50,0,0.00,0,0.00
25,38,564,14.84,294,7.74,13118,345.21,7412,195.05,80,2.11,0,0.00
26,22,174,7.91,50,2.27,20492,931.45,2006,91.18,0,0.00,0,0.00
27,122,1140,9.34,430,3.52,53269,436.63,17467,143.17,46,0.38,0,0.00
28,6,62,10.33,26,4.33,2472,412.00,1040,173.33,66,11.00,0,0.00
29,90,1490,16.56,324,3.60,113075,1256.39,31000,344.44,24,0.27,0,0.00
30,6,58,9.67,24,4.00,2078,346.33,906,151.00,24,4.00,0,0.00
31,50,654,13.08,84,1.68,19056,381.12,15050,301.00,74,1.48,0,0.00
32,10,80,8.00,20,2.00,6158,615.80,1464,146.40,64,6.40,0,0.00
33,36,554,15.39,260,7.22,21634,600.94,10582,293.94,50,1.39,0,0.00
34,6,82,13.67,22,3.67,2736,456.00,1338,223.00,36,6.00,0,0.00
35,14,174,12.43,50,3.57,4632,330.86,5006,357.57,122,8.71,0,0.00
36,6,60,10.00,16,2.67,3394,565.67,1278,213.00,22,3.67,0,0.00
37,31,725,23.39,481,15.52,15686,506.00,9575,308.87,68,2.19,0,0.00
38,2,34,17.00,2,1.00,796,398.00,752,376.00,12,6.00,0,0.00
39,14,160,11.43,70,5.00,9470,676.43,3862,275.86,94,6.71,0,0.00
40,16,140,8.75,16,1.00,11340,708.75,2434,152.12,56,3.50,0,0.00
41,10,194,19.40,78,7.80,8676,867.60,4812,481.20,0,0.00,0,0.00
42,150,238,1.59,296,1.97,26816,178.77,3316,22.11,24,0.16,0,0.00
43,92,1312,14.26,556,6.04,79862,868.07,20096,218.43,41,0.45,0,0.00
44,8,220,27.50,180,22.50,3428,428.50,1656,207.00,0,0.00,0,0.00
45,28,528,18.86,262,9.36,23094,824.79,13470,481.07,244,8.71,0,0.00
46,6,72,12.00,16,2.67,2746,457.67,1444,240.67,40,6.67,0,0.00
47,52,852,16.38,340,6.54,49186,945.88,12905,248.17,164,3.15,0,0.00
48,9,157,17.44,17,1.89,6563,729.22,2141,237.89,170,18.89,0,0.00
49,16,286,17.88,98,6.12,12682,792.62,8366,522.88,132,8.25,0,0.00
50,10,306,30.60,206,20.60,5566,556.60,3566,356.60,0,0.00,0,0.00
51,6,176,29.33,64,10.67,12534,2089.00,4222,703.67,40,6.67,0,0.00
52,13,221,17.00,81,6.23,9437,725.92,7456,573.54,40,3.08,0,0.00
53,10,236,23.60,108,10.80,11242,1124.20,6852,685.20,0,0.00,0,0.00
