tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,864174,1433888,1.66,1557874,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,9597,22219,2.32,21071,2.20,29557,3.08,4035,0.42,68,0.01,0,0.00
3,866662,1232717,1.42,1090816,1.26,10435538,12.04,236024,0.27,319,0.00,0,0.00
4,12930,40984,3.17,24588,1.90,257656,19.93,310,0.02,2,0.00,0,0.00
5,72548,158726,2.19,143788,1.98,2320610,31.99,194038,2.67,1220,0.02,0,0.00
6,3507,13269,3.78,11626,3.32,84316,24.04,10447,2.98,137,0.04,0,0.00
7,25372,161797,6.38,56342,2.22,1309997,51.63,291848,11.50,685,0.03,0,0.00
8,3020,13020,4.31,12454,4.12,122432,40.54,2772,0.92,4,0.00,0,0.00
9,17638,74054,4.20,37426,2.12,1031022,58.45,439549,24.92,916,0.05,0,0.00
10,2533,14999,5.92,11666,4.61,125116,49.39,19338,7.63,0,0.00,0,0.00
11,13906,37700,2.71,54206,3.90,1786506,128.47,125360,9.01,170,0.01,0,0.00
12,2124,18908,8.90,15264,7.19,116226,54.72,33804,15.92,0,0.00,0,0.00
13,3900,27520,7.06,17678,4.53,452306,115.98,113576,29.12,2232,0.57,0,0.00
14,1098,13416,12.22,13616,12.40,74044,67.44,836,0.76,28,0.03,0,0.00
15,3615,33028,9.14,18929,5.24,305563,84.53,194274,53.74,606,0.17,0,0.00
16,1798,22246,12.37,22550,12.54,134008,74.53,4508,2.51,532,0.30,0,0.00
17,6293,27991,4.45,15304,2.43,528318,83.95,202280,32.14,54264,8.62,0,0.00
18,243,2353,9.68,1570,6.46,62870,258.72,9816,40.40,36,0.15,0,0.00
19,4561,32865,7.21,16529,3.62,1116781,244.85,335344,73.52,5182,1.14,0,0.00
20,383,3558,9.29,2460,6.42,65119,170.02,11421,29.82,0,0.00,0,0.00
21,1265,14990,11.85,6136,4.85,183492,145.05,166019,131.24,753,0.60,0,0.00
22,354,1926,5.44,1926,5.44,51144,144.47,2987,8.44,12,0.03,0,0.00
23,4452,79572,17.87,60482,13.59,1064634,239.14,408092,91.66,10,0.00,0,0.00
24,2246,12512,5.57,5372,2.39,977310,435.13,144768,64.46,0,0.00,0,0.00
25,1230,18828,15.31,8680,7.06,230954,187.77,278508,226.43,2112,1.72,0,0.00
26,682,5850,8.58,1568,2.30,676532,991.98,67478,98.94,0,0.00,0,0.00
27,3880,36344,9.37,13680,3.53,1680705,433.17,573795,147.89,1244,0.32,0,0.00
28,138,2042,14.80,818,5.93,44704,323.94,35372,256.32,2252,16.32,0,0.00
29,2723,46470,17.07,10481,3.85,3796938,1394.40,958901,352.15,132,0.05,0,0.00
30,138,1576,11.42,750,5.43,58178,421.58,27438,198.83,24,0.17,0,0.00
31,1496,19718,13.18,2648,1.77,572184,382.48,452453,302.44,2808,1.88,0,0.00
32,208,1400,6.73,218,1.05,108978,523.93,27058,130.09,2820,13.56,0,0.00
33,1360,18836,13.85,6800,5.00,694430,510.61,361074,265.50,1748,1.29,0,0.00
34,204,2788,13.67,748,3.67,92978,455.77,45166,221.40,1270,6.23,0,0.00
35,612,10804,17.65,4280,6.99,292672,478.22,303486,495.89,2704,4.42,0,0.00
36,340,6936,20.40,5440,16.00,115396,339.40,43452,127.80,748,2.20,0,0.00
37,1086,21274,19.59,12096,11.14,654770,602.92,311232,286.59,5702,5.25,0,0.00
38,69,1162,16.84,69,1.00,27528,398.96,26034,377.30,396,5.74,0,0.00
39,410,5374,13.11,2314,5.64,305495,745.11,129680,316.29,3031,7.39,0,0.00
40,478,4298,8.99,478,1.00,332453,695.51,77594,162.33,1911,4.00,0,0.00
41,340,6596,19.40,2652,7.80,294984,867.60,163608,481.20,0,0.00,0,0.00
42,5100,8092,1.59,10064,1.97,911744,178.77,112744,22.11,816,0.16,0,0.00
43,3128,44608,14.26,18904,6.04,2715208,868.03,683052,218.37,1421,0.45,0,0.00
44,272,7480,27.50,6120,22.50,116552,428.50,56304,207.00,0,0.00,0,0.00
45,824,16432,19.94,8342,10.12,620598,753.15,387016,469.68,8284,10.05,0,0.00
46,72,1458,20.25,82,1.14,34154,474.36,29596,411.06,1368,19.00,0,0.00
47,1632,26792,16.42,10608,6.50,1523461,933.49,435072,266.59,3220,1.97,0,0.00
48,206,4236,20.56,280,1.36,126538,614.26,62004,300.99,5768,28.00,0,0.00
49,478,9526,19.93,3266,6.83,365022,763.64,283036,592.13,4476,9.36,0,0.00
50,208,8424,40.50,6872,33.04,41338,198.74,70358,338.26,0,0.00,0,0.00
51,336,7040,20.95,2440,7.26,580390,1727.35,172552,513.55,1358,4.04,0,0.00
52,408,7072,17.33,2720,6.67,287112,703.71,247630,606.94,1394,3.42,0,0.00
53,204,5848,28.67,2720,13.33,224876,1102.33,226848,1112.00,0,0.00,0,0.00
54,68,1156,17.00,476,7.00,89556,1317.00,29172,429.00,612,9.00,0,0.00
55,344,5452,15.85,2112,6.14,455286,1323.51,43270,125.78,0,0.00,0,0.00
56,272,15232,56.00,15232,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,680,16320,24.00,10880,16.00,575008,845.60,123488,181.60,0,0.00,0,0.00
58,136,544,4.00,272,2.00,66232,487.00,4216,31.00,0,0.00,0,0.00
59,70,764,10.91,138,1.97,86332,1233.31,15108,215.83,2040,29.14,0,0.00
60,755,2275,3.01,755,1.00,694023,919.24,137150,181.66,58,0.08,0,0.00
61,136,8296,61.00,8296,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,68,408,6.00,136,2.00,46036,677.00,3944,58.00,0,0.00,0,0.00
63,952,16864,17.71,6800,7.14,1110304,1166.29,417112,438.14,0,0.00,0,0.00
65,276,2216,8.03,1104,4.00,167546,607.05,6672,24.17,6140,22.25,0,0.00
66,68,544,8.00,204,3.00,136748,2011.00,11560,170.00,0,0.00,0,0.00
67,272,5644,20.75,1632,6.00,375156,1379.25,249220,916.25,0,0.00,0,0.00
68,70,234,3.34,72,1.03,85466,1220.94,15192,217.03,0,0.00,0,0.00
69,272,7208,26.50,6528,24.00,160208,589.00,9928,36.50,0,0.00,0,0.00
70,68,1700,25.00,1020,15.00,94520,1390.00,6120,90.00,0,0.00,0,0.00
72,136,1088,8.00,136,1.00,142528,1048.00,30328,223.00,0,0.00,0,0.00
73,2040,47872,23.47,16320,8.00,2905310,1424.17,1571474,770.33,32,0.02,0,0.00
75,408,19992,49.00,5984,14.67,1106360,2711.67,1284248,3147.67,0,0.00,0,0.00
76,68,952,14.00,68,1.00,235008,3456.00,24480,360.00,0,0.00,0,0.00
77,208,10866,52.24,5524,26.56,386428,1857.83,820030,3942.45,3128,15.04,0,0.00
81,68,1700,25.00,68,1.00,42840,630.00,89760,1320.00,5100,75.00,0,0.00
83,680,17680,26.00,6800,10.00,1158040,1703.00,605880,891.00,0,0.00,0,0.00
84,474,2784,5.87,474,1.00,440004,928.28,63432,133.82,2112,4.46,0,0.00
85,68,0,0.00,68,1.00,204,3.00,0,0.00,5576,82.00,0,0.00
86,2,80,40.00,2,1.00,5600,2800.00,1394,697.00,74,37.00,0,0.00
87,202,2144,10.61,738,3.65,498366,2467.16,85358,422.56,0,0.00,0,0.00
88,136,0,0.00,0,0.00,11968,88.00,0,0.00,0,0.00,0,0.00
89,136,5984,44.00,136,1.00,77520,570.00,508776,3741.00,0,0.00,0,0.00
90,68,2040,30.00,136,2.00,106760,1570.00,253708,3731.00,5644,83.00,0,0.00
91,268,15210,56.75,6520,24.33,551158,2056.56,1180264,4403.97,4290,16.01,0,0.00
93,410,11872,28.96,4500,10.98,777386,1896.06,414516,1011.01,9384,22.89,0,0.00
96,3400,24480,7.20,12512,3.68,5736480,1687.20,1692384,497.76,20944,6.16,0,0.00
97,273,8463,31.00,3003,11.00,543816,1992.00,334152,1224.00,0,0.00,0,0.00
98,136,1496,11.00,136,1.00,429352,3157.00,41072,302.00,9520,70.00,0,0.00
100,68,1224,18.00,68,1.00,337076,4957.00,43452,639.00,0,0.00,0,0.00
101,136,6800,50.00,136,1.00,88128,648.00,659736,4851.00,0,0.00,0,0.00
103,544,26928,49.50,11968,22.00,1189456,2186.50,2050744,3769.75,0,0.00,0,0.00
107,340,9248,27.20,3332,9.80,599964,1764.60,406640,1196.00,7072,20.80,0,0.00
109,68,1224,18.00,136,2.00,152592,2244.00,45492,669.00,4284,63.00,0,0.00
113,3672,124848,34.00,31960,8.70,14067772,3831.09,4655094,1267.73,16346,4.45,0,0.00
114,2,16,8.00,4,2.00,378,189.00,42,21.00,0,0.00,0,0.00
115,414,38760,93.62,15918,38.45,811926,1961.17,4478344,10817.26,7511,18.14,0,0.00
116,1,20,20.00,8,8.00,5607,5607.00,540,540.00,0,0.00,0,0.00
117,614,33460,54.50,14214,23.15,1529820,2491.56,2793814,4550.19,0,0.00,0,0.00
119,62,0,0.00,62,1.00,186,3.00,0,0.00,7192,116.00,0,0.00
123,572,23856,41.71,5904,10.32,1191456,2082.97,1800376,3147.51,0,0.00,0,0.00
124,68,1496,22.00,68,1.00,439144,6458.00,69020,1015.00,0,0.00,0,0.00
125,204,16864,82.67,8636,42.33,394316,1932.92,2223600,10900.00,5320,26.08,0,0.00
127,272,7920,29.12,2040,7.50,750675,2759.83,300059,1103.16,16466,60.54,0,0.00
129,68,0,0.00,68,1.00,1700,25.00,0,0.00,7072,104.00,0,0.00
130,136,1564,11.50,544,4.00,537608,3953.00,67592,497.00,0,0.00,0,0.00
131,68,884,13.00,68,1.00,414456,6094.94,31310,460.44,7006,103.03,0,0.00
133,339,12364,36.47,4156,12.26,1007564,2972.17,804567,2373.35,792,2.34,0,0.00
134,66,1914,29.00,330,5.00,330066,5001.00,129228,1958.00,396,6.00,0,0.00
136,2,130,65.00,2,1.00,6003,3001.50,1484,742.00,203,101.50,0,0.00
137,476,20468,43.00,7140,15.00,1353744,2844.00,1175720,2470.00,0,0.00,0,0.00
141,68,190,2.79,362,5.32,621576,9140.82,54864,806.82,9042,132.97,0,0.00
143,136,5984,44.00,2176,16.00,405416,2981.00,366384,2694.00,0,0.00,0,0.00
144,2,14,7.00,4,2.00,7270,3635.00,532,266.00,172,86.00,0,0.00
145,68,0,0.00,68,1.00,1564,23.00,0,0.00,8296,122.00,0,0.00
147,749,31326,41.82,10964,14.64,2091813,2792.81,1940169,2590.35,0,0.00,0,0.00
153,272,8568,31.50,2448,9.00,1438472,5288.50,628048,2309.00,0,0.00,0,0.00
157,680,33320,49.00,11560,17.00,2219656,3264.20,2118200,3115.00,3400,5.00,0,0.00
163,136,6800,50.00,2448,18.00,463352,3407.00,477496,3511.00,0,0.00,0,0.00
165,136,0,0.00,136,1.00,12784,94.00,0,0.00,9656,71.00,0,0.00
167,2,12,6.00,2,1.00,12383,6191.50,1032,516.00,206,103.00,0,0.00
171,2,48,24.00,2,1.00,7408,3704.00,6618,3309.00,183,91.50,0,0.00
172,68,2040,30.00,68,1.00,614936,9043.18,99158,1458.21,6360,93.53,0,0.00
173,2,10,5.00,6,3.00,15506,7753.00,572,286.00,262,131.00,0,0.00
175,2,60,30.00,12,6.00,10444,5222.00,2213,1106.50,209,104.50,0,0.00
182,2,24,12.00,12,6.00,7814,3907.00,2524,1262.00,246,123.00,0,0.00
184,68,2040,30.00,612,9.00,627504,9228.00,113084,1663.00,0,0.00,0,0.00
186,2,80,40.00,18,9.00,15146,7573.00,4758,2379.00,154,77.00,0,0.00
191,2,2,1.00,32,16.00,21472,10736.00,3484,1742.00,0,0.00,0,0.00
192,2,18,9.00,14,7.00,8608,4304.00,1938,969.00,78,39.00,0,0.00
196,70,2314,33.06,80,1.14,748350,10690.71,185880,2655.43,360,5.14,0,0.00
198,20,80,4.00,80,4.00,64140,3207.00,5200,260.00,0,0.00,0,0.00
