tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,54497,89814,1.65,96551,1.77,0,0.00,0,0.00,0,0.00,0,0.00
2,673,1457,2.16,1405,2.09,2351,3.49,281,0.42,4,0.01,0,0.00
3,57760,82350,1.43,77083,1.33,726548,12.58,14688,0.25,26,0.00,0,0.00
4,3205,4885,1.52,3905,1.22,56848,17.74,92,0.03,1,0.00,0,0.00
5,6177,11675,1.89,10718,1.74,190036,30.77,12653,2.05,75,0.01,0,0.00
6,1051,1697,1.61,1580,1.50,35942,34.20,825,0.78,9,0.01,0,0.00
7,2159,58765,27.22,34380,15.92,428732,198.58,80001,37.05,30,0.01,0,0.00
8,236,968,4.10,892,3.78,11733,49.72,526,2.23,13,0.06,0,0.00
9,1219,5016,4.11,2518,2.07,72958,59.85,29310,24.04,98,0.08,0,0.00
10,172,868,5.05,660,3.84,10779,62.67,1188,6.91,5,0.03,0,0.00
11,893,2486,2.78,3444,3.86,112604,126.10,7975,8.93,36,0.04,0,0.00
12,161,1347,8.37,1056,6.56,10104,62.76,2796,17.37,0,0.00,0,0.00
13,230,1550,6.74,950,4.13,27243,118.45,6468,28.12,168,0.73,0,0.00
14,84,828,9.86,832,9.90,7626,90.79,88,1.05,62,0.74,0,0.00
15,242,2156,8.91,1282,5.30,19701,81.41,11524,47.62,86,0.36,0,0.00
16,157,1479,9.42,1428,9.10,20828,132.66,688,4.38,60,0.38,0,0.00
17,382,1682,4.40,920,2.41,34116,89.31,12004,31.42,3192,8.36,0,0.00
18,544,702,1.29,640,1.18,71292,131.05,3832,7.04,71,0.13,0,0.00
19,524,3164,6.04,1996,3.81,198662,379.13,27093,51.70,111,0.21,0,0.00
20,31,219,7.06,153,4.94,5120,165.16,771,24.87,0,0.00,0,0.00
21,346,2276,6.58,1412,4.08,171302,495.09,19044,55.04,57,0.16,0,0.00
22,48,156,3.25,156,3.25,8907,185.56,728,15.17,4,0.08,0,0.00
23,285,4791,16.81,3589,12.59,67607,237.22,25162,88.29,10,0.04,0,0.00
24,139,751,5.40,319,2.29,59754,429.88,8829,63.52,0,0.00,0,0.00
25,92,1320,14.35,604,6.57,28686,311.80,18863,205.03,162,1.76,0,0.00
