tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,120575,201554,1.67,216341,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,1515,3282,2.17,3165,2.09,5283,3.49,630,0.42,9,0.01,0,0.00
3,116529,167160,1.43,147238,1.26,1407566,12.08,33048,0.28,58,0.00,0,0.00
4,2000,5746,2.87,3524,1.76,39625,19.81,207,0.10,1,0.00,0,0.00
5,10600,23231,2.19,20965,1.98,338763,31.96,28659,2.70,90,0.01,0,0.00
6,649,2192,3.38,1932,2.98,18468,28.46,1845,2.84,18,0.03,0,0.00
7,3671,22284,6.07,8111,2.21,191422,52.14,41368,11.27,51,0.01,0,0.00
8,531,2376,4.47,2205,4.15,26159,49.26,1188,2.24,4,0.01,0,0.00
9,2778,11517,4.15,5844,2.10,165101,59.43,66303,23.87,182,0.07,0,0.00
10,387,1935,5.00,1485,3.84,24264,62.70,2673,6.91,0,0.00,0,0.00
11,1999,5459,2.73,7525,3.76,254227,127.18,18311,9.16,5,0.00,0,0.00
12,361,3017,8.36,2361,6.54,22730,62.96,6291,17.43,2,0.01,0,0.00
13,534,3596,6.73,2159,4.04,62178,116.44,16193,30.32,273,0.51,0,0.00
14,190,1876,9.87,1886,9.93,17190,90.47,198,1.04,126,0.66,0,0.00
15,523,4676,8.94,2814,5.38,42889,82.01,25289,48.35,73,0.14,0,0.00
16,343,3075,8.97,2941,8.57,47595,138.76,1560,4.55,51,0.15,0,0.00
17,859,3783,4.40,2069,2.41,76600,89.17,27008,31.44,7182,8.36,0,0.00
18,67,381,5.69,260,3.88,16850,251.49,1430,21.34,162,2.42,0,0.00
19,639,4563,7.14,2223,3.48,154027,241.04,47140,73.77,558,0.87,0,0.00
20,71,497,7.00,346,4.87,12026,169.38,1751,24.66,0,0.00,0,0.00
21,185,2243,12.12,1036,5.60,35315,190.89,24901,134.60,106,0.57,0,0.00
22,108,351,3.25,351,3.25,20088,186.00,1638,15.17,0,0.00,0,0.00
23,625,10394,16.63,7870,12.59,144541,231.27,48927,78.28,56,0.09,0,0.00
24,312,1686,5.40,717,2.30,134151,429.97,19851,63.62,0,0.00,0,0.00
25,208,2982,14.34,1360,6.54,64657,310.85,42883,206.17,432,2.08,0,0.00
