tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,1910566,3493852,1.83,3355780,1.76,0,0.00,0,0.00,0,0.00,0,0.00
2,24816,82914,3.34,50748,2.04,51618,2.08,6113,0.25,85,0.00,0,0.00
3,1579199,2440717,1.55,2039365,1.29,19323406,12.24,634540,0.40,2173,0.00,0,0.00
4,35260,96395,2.73,59645,1.69,753752,21.38,2968,0.08,208,0.01,0,0.00
5,280981,573160,2.04,503944,1.79,8332018,29.65,711950,2.53,1254,0.00,0,0.00
6,6579,22565,3.43,19817,3.01,182970,27.81,17918,2.72,201,0.03,0,0.00
7,88336,460606,5.21,183210,2.07,4650943,52.65,1223693,13.85,6381,0.07,0,0.00
8,5009,20737,4.14,19035,3.80,250625,50.03,11258,2.25,135,0.03,0,0.00
9,56821,232027,4.08,116814,2.06,3270413,57.56,1543190,27.16,2372,0.04,0,0.00
10,3724,18516,4.97,14258,3.83,233536,62.71,25702,6.90,43,0.01,0,0.00
11,80284,236403,2.94,194248,2.42,10139948,126.30,170736,2.13,60,0.00,0,0.00
12,13438,56356,4.19,39758,2.96,1275548,94.92,59809,4.45,57,0.00,0,0.00
13,15802,100296,6.35,34545,2.19,1285567,81.35,767173,48.55,11408,0.72,0,0.00
14,6107,35021,5.73,22195,3.63,1005707,164.68,10963,1.80,1514,0.25,0,0.00
15,5172,43815,8.47,26924,5.21,427101,82.58,225602,43.62,1088,0.21,0,0.00
16,3184,28876,9.07,27507,8.64,447146,140.44,17128,5.38,1547,0.49,0,0.00
17,33548,111365,3.32,107463,3.20,6720107,200.31,950316,28.33,68789,2.05,0,0.00
18,15138,90607,5.99,74950,4.95,3525753,232.91,897418,59.28,1715,0.11,0,0.00
19,26508,251976,9.51,92591,3.49,4927586,185.89,2355985,88.88,22947,0.87,0,0.00
20,939,5934,6.32,4191,4.46,245312,261.25,19015,20.25,852,0.91,0,0.00
21,11965,62088,5.19,40455,3.38,2610902,218.21,425792,35.59,481,0.04,0,0.00
22,1030,3336,3.24,3336,3.24,190508,184.96,15517,15.07,316,0.31,0,0.00
23,5803,97118,16.74,74175,12.78,1344419,231.68,444270,76.56,1950,0.34,0,0.00
24,2909,16047,5.52,6829,2.35,1255107,431.46,187841,64.57,0,0.00,0,0.00
25,1903,27279,14.33,12886,6.77,603011,316.87,391032,205.48,2887,1.52,0,0.00
26,11136,139999,12.57,22527,2.02,11377594,1021.69,1899243,170.55,5653,0.51,0,0.00
