tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,14073,23567,1.67,25274,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,168,364,2.17,351,2.09,587,3.49,70,0.42,1,0.01,0,0.00
3,14281,21691,1.52,18976,1.33,177145,12.40,5198,0.36,7,0.00,0,0.00
4,223,651,2.92,392,1.76,4466,20.03,23,0.10,0,0.00,0,0.00
5,1918,4303,2.24,3815,1.99,60563,31.58,6210,3.24,20,0.01,0,0.00
6,70,231,3.30,202,2.89,2052,29.31,205,2.93,2,0.03,0,0.00
7,657,3238,4.93,1401,2.13,31683,48.22,8418,12.81,11,0.02,0,0.00
8,62,272,4.39,253,4.08,2907,46.89,132,2.13,0,0.00,0,0.00
9,563,2297,4.08,1159,2.06,32581,57.87,15006,26.65,31,0.06,0,0.00
10,41,195,4.76,145,3.54,2696,65.76,297,7.24,0,0.00,0,0.00
11,221,601,2.72,835,3.78,28161,127.43,1971,8.92,11,0.05,0,0.00
12,38,310,8.16,237,6.24,2526,66.47,699,18.39,0,0.00,0,0.00
13,51,339,6.65,202,3.96,6129,120.18,1538,30.16,33,0.65,0,0.00
14,281,263,0.94,520,1.85,5470,19.47,22,0.08,30,0.11,0,0.00
15,64,588,9.19,373,5.83,4943,77.23,2975,46.48,9,0.14,0,0.00
16,35,304,8.69,289,8.26,5162,147.49,172,4.91,36,1.03,0,0.00
17,356,1222,3.43,1259,3.54,73866,207.49,10846,30.47,798,2.24,0,0.00
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,18,2.25,0,0.00
19,72,512,7.11,249,3.46,17418,241.92,5285,73.40,93,1.29,0,0.00
20,8,55,6.88,38,4.75,1323,165.38,202,25.25,0,0.00,0,0.00
21,18,227,12.61,112,6.22,3370,187.22,2429,134.94,11,0.61,0,0.00
22,12,39,3.25,39,3.25,2211,184.25,182,15.17,4,0.33,0,0.00
23,69,1151,16.68,873,12.65,15900,230.43,5393,78.16,9,0.13,0,0.00
24,34,184,5.41,79,2.32,14643,430.68,2193,64.50,0,0.00,0,0.00
25,19,282,14.84,147,7.74,6559,345.21,3706,195.05,40,2.11,0,0.00
26,11,87,7.91,25,2.27,10246,931.45,1003,91.18,0,0.00,0,0.00
27,61,564,9.25,221,3.62,27245,446.64,8213,134.64,50,0.82,0,0.00
28,3,31,10.33,13,4.33,1236,412.00,520,173.33,33,11.00,0,0.00
29,49,801,16.35,166,3.39,57856,1180.73,16965,346.22,2,0.04,0,0.00
30,3,29,9.67,12,4.00,1044,348.00,453,151.00,7,2.33,0,0.00
31,22,289,13.14,37,1.68,8471,385.05,6551,297.77,41,1.86,0,0.00
32,6,40,6.67,11,1.83,3082,513.67,732,122.00,61,10.17,0,0.00
33,18,277,15.39,130,7.22,10817,600.94,5291,293.94,25,1.39,0,0.00
34,3,41,13.67,11,3.67,1368,456.00,669,223.00,18,6.00,0,0.00
35,7,87,12.43,25,3.57,2316,330.86,2503,357.57,61,8.71,0,0.00
36,3,30,10.00,8,2.67,1697,565.67,639,213.00,11,3.67,0,0.00
37,15,356,23.73,238,15.87,7486,499.07,4705,313.67,34,2.27,0,0.00
38,1,17,17.00,1,1.00,398,398.00,376,376.00,6,6.00,0,0.00
39,7,80,11.43,35,5.00,4735,676.43,1931,275.86,47,6.71,0,0.00
40,8,70,8.75,8,1.00,5670,708.75,1217,152.12,28,3.50,0,0.00
41,5,97,19.40,39,7.80,4338,867.60,2406,481.20,0,0.00,0,0.00
42,75,119,1.59,148,1.97,13408,178.77,1658,22.11,12,0.16,0,0.00
43,46,656,14.26,278,6.04,39925,867.93,9969,216.72,23,0.50,0,0.00
44,4,110,27.50,90,22.50,1714,428.50,828,207.00,0,0.00,0,0.00
45,14,264,18.86,131,9.36,11543,824.50,6557,468.36,124,8.86,0,0.00
46,3,36,12.00,8,2.67,1373,457.67,722,240.67,20,6.67,0,0.00
47,27,442,16.37,176,6.52,25593,947.89,6776,250.96,40,1.48,0,0.00
48,4,73,18.25,8,2.00,2868,717.00,999,249.75,85,21.25,0,0.00
49,8,143,17.88,49,6.12,6341,792.62,4183,522.88,66,8.25,0,0.00
50,6,165,27.50,104,17.33,3685,614.17,1946,324.33,0,0.00,0,0.00
51,3,88,29.33,32,10.67,6267,2089.00,2111,703.67,20,6.67,0,0.00
52,6,104,17.33,40,6.67,4230,705.00,3636,606.00,20,3.33,0,0.00
53,5,118,23.60,54,10.80,5621,1124.20,3426,685.20,0,0.00,0,0.00
54,1,17,17.00,7,7.00,1317,1317.00,429,429.00,9,9.00,0,0.00
55,5,87,17.40,19,3.80,7695,1539.00,1316,263.20,0,0.00,0,0.00
56,2,112,56.00,112,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,12,354,29.50,274,22.83,8426,702.17,1664,138.67,21,1.75,0,0.00
58,2,8,4.00,4,2.00,974,487.00,62,31.00,0,0.00,0,0.00
59,2,19,9.50,3,1.50,2240,1120.00,360,180.00,69,34.50,0,0.00
60,14,39,2.79,14,1.00,12007,857.64,2366,169.00,26,1.86,0,0.00
61,2,122,61.00,122,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,1,6,6.00,2,2.00,677,677.00,58,58.00,0,0.00,0,0.00
63,14,248,17.71,100,7.14,16328,1166.29,6134,438.14,0,0.00,0,0.00
65,6,52,8.67,24,4.00,4597,766.17,468,78.00,106,17.67,0,0.00
66,1,8,8.00,3,3.00,2011,2011.00,170,170.00,0,0.00,0,0.00
67,1,22,22.00,2,2.00,1234,1234.00,1754,1754.00,0,0.00,0,0.00
68,2,18,9.00,3,1.50,2011,1005.50,369,184.50,0,0.00,0,0.00
69,4,106,26.50,96,24.00,2356,589.00,146,36.50,0,0.00,0,0.00
70,1,25,25.00,15,15.00,1390,1390.00,90,90.00,0,0.00,0,0.00
72,2,16,8.00,2,1.00,2096,1048.00,446,223.00,0,0.00,0,0.00
73,38,642,16.89,258,6.79,49634,1306.16,18644,490.63,0,0.00,0,0.00
75,6,220,36.67,14,2.33,13826,2304.33,12942,2157.00,0,0.00,0,0.00
76,1,14,14.00,1,1.00,3456,3456.00,360,360.00,0,0.00,0,0.00
77,7,338,48.29,167,23.86,12532,1790.29,24689,3527.00,82,11.71,0,0.00
81,1,25,25.00,1,1.00,630,630.00,1320,1320.00,75,75.00,0,0.00
83,14,364,26.00,140,10.00,23842,1703.00,12474,891.00,0,0.00,0,0.00
84,6,6,1.00,6,1.00,3786,631.00,300,50.00,0,0.00,0,0.00
85,1,0,0.00,1,1.00,3,3.00,0,0.00,82,82.00,0,0.00
86,1,40,40.00,1,1.00,2837,2837.00,697,697.00,34,34.00,0,0.00
87,2,16,8.00,6,3.00,3762,1881.00,637,318.50,0,0.00,0,0.00
88,92,90,0.98,270,2.93,139021,1511.10,10869,118.14,58,0.63,0,0.00
89,2,88,44.00,2,1.00,1140,570.00,7482,3741.00,0,0.00,0,0.00
90,1,30,30.00,2,2.00,1570,1570.00,3731,3731.00,83,83.00,0,0.00
