tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,175268,295189,1.68,315180,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,2503,5077,2.03,5189,2.07,9491,3.79,922,0.37,13,0.01,0,0.00
3,169081,243855,1.44,216846,1.28,2065666,12.22,48116,0.28,89,0.00,0,0.00
4,3780,13810,3.65,6618,1.75,68053,18.00,299,0.08,9,0.00,0,0.00
5,15519,34049,2.19,30516,1.97,496276,31.98,42068,2.71,233,0.02,0,0.00
6,1037,3590,3.46,3324,3.21,27765,26.77,2732,2.63,39,0.04,0,0.00
7,5688,81770,14.38,42758,7.52,625152,109.91,118672,20.86,142,0.02,0,0.00
8,800,3274,4.09,3157,3.95,39209,49.01,1704,2.13,22,0.03,0,0.00
9,3984,16515,4.15,8408,2.11,236914,59.47,95085,23.87,343,0.09,0,0.00
10,609,5423,8.90,4007,6.58,53413,87.71,9101,14.94,3,0.00,0,0.00
11,2965,8343,2.81,11227,3.79,369715,124.69,27399,9.24,0,0.00,0,0.00
12,590,5173,8.77,4433,7.51,35287,59.81,9195,15.58,15,0.03,0,0.00
13,813,5313,6.54,3056,3.76,98271,120.87,25370,31.21,360,0.44,0,0.00
14,305,2915,9.56,3152,10.33,26062,85.45,286,0.94,230,0.75,0,0.00
15,659,5862,8.90,3626,5.50,55720,84.55,30802,46.74,47,0.07,0,0.00
16,523,4853,9.28,4659,8.91,68516,131.01,2287,4.37,250,0.48,0,0.00
17,1222,5314,4.35,2926,2.39,104796,85.76,38043,31.13,10556,8.64,0,0.00
18,112,659,5.88,432,3.86,31674,282.80,2453,21.90,248,2.21,0,0.00
19,923,6591,7.14,3211,3.48,221598,240.08,67555,73.19,1338,1.45,0,0.00
20,111,739,6.66,506,4.56,19870,179.01,2685,24.19,0,0.00,0,0.00
21,287,4351,15.16,2194,7.64,93851,327.01,37165,129.49,158,0.55,0,0.00
22,157,515,3.28,511,3.25,29110,185.41,2442,15.55,84,0.54,0,0.00
23,962,15600,16.22,11492,11.95,222833,231.64,76141,79.15,481,0.50,0,0.00
24,444,2408,5.42,1039,2.34,191355,430.98,28684,64.60,3,0.01,0,0.00
25,312,4446,14.25,1976,6.33,95043,304.62,65169,208.88,754,2.42,0,0.00
26,143,1131,7.91,325,2.27,133198,931.45,13039,91.18,0,0.00,0,0.00
27,767,7410,9.66,3107,4.05,352805,459.98,114021,148.66,128,0.17,0,0.00
28,39,403,10.33,169,4.33,16120,413.33,7306,187.33,377,9.67,0,0.00
29,511,8279,16.20,1668,3.26,718102,1405.29,168179,329.12,0,0.00,0,0.00
30,41,385,9.39,158,3.85,13687,333.83,5913,144.22,160,3.90,0,0.00
31,262,3392,12.95,460,1.76,105878,404.11,77153,294.48,575,2.19,0,0.00
32,65,520,8.00,130,2.00,40053,616.20,10153,156.20,390,6.00,0,0.00
33,260,3601,13.85,1300,5.00,132439,509.38,65415,251.60,622,2.39,0,0.00
34,39,533,13.67,143,3.67,17494,448.56,6650,170.51,524,13.44,0,0.00
35,117,2015,17.22,793,6.78,49998,427.33,62010,530.00,715,6.11,0,0.00
36,65,1326,20.40,1040,16.00,22061,339.40,8307,127.80,143,2.20,0,0.00
37,171,3668,21.45,2134,12.48,98395,575.41,64962,379.89,329,1.92,0,0.00
38,16,245,15.31,16,1.00,6884,430.25,7270,454.38,0,0.00,0,0.00
39,91,1040,11.43,455,5.00,62348,685.14,23036,253.14,325,3.57,0,0.00
40,105,919,8.75,105,1.00,74043,705.17,14956,142.44,394,3.75,0,0.00
41,91,1677,18.43,689,7.57,84604,929.71,32448,356.57,0,0.00,0,0.00
42,975,1547,1.59,1924,1.97,174304,178.77,21554,22.11,156,0.16,0,0.00
43,572,8112,14.18,3432,6.00,490563,857.63,129660,226.68,200,0.35,0,0.00
44,55,1457,26.49,1173,21.33,24313,442.05,11082,201.49,0,0.00,0,0.00
45,182,3432,18.86,1703,9.36,150212,825.34,86337,474.38,1465,8.05,0,0.00
46,39,468,12.00,104,2.67,17867,458.13,9536,244.51,242,6.21,0,0.00
47,338,5538,16.38,2210,6.54,318785,943.15,79126,234.10,854,2.53,0,0.00
48,52,910,17.50,104,2.00,36270,697.50,10989,211.33,1027,19.75,0,0.00
49,104,1859,17.88,637,6.12,82537,793.62,55731,535.88,780,7.50,0,0.00
50,43,773,17.98,91,2.12,46401,1079.09,23920,556.28,29,0.67,0,0.00
51,65,2470,38.00,1742,26.80,81523,1254.20,30485,469.00,195,3.00,0,0.00
52,79,1365,17.28,521,6.59,52503,664.59,48375,612.34,481,6.09,0,0.00
53,39,1118,28.67,520,13.33,42991,1102.33,43368,1112.00,0,0.00,0,0.00
54,14,235,16.79,92,6.57,18173,1298.07,5783,413.07,117,8.36,0,0.00
55,91,1547,17.00,429,4.71,130533,1434.43,18278,200.86,0,0.00,0,0.00
56,28,1486,53.07,1458,52.07,2254,80.50,458,16.36,0,0.00,0,0.00
57,184,5131,27.89,3752,20.39,141184,767.30,35022,190.34,20,0.11,0,0.00
58,26,104,4.00,52,2.00,12662,487.00,806,31.00,0,0.00,0,0.00
59,26,247,9.50,39,1.50,29199,1123.04,4660,179.23,702,27.00,0,0.00
60,182,507,2.79,182,1.00,156064,857.49,30758,169.00,365,2.01,0,0.00
61,26,1586,61.00,1586,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,13,78,6.00,26,2.00,8801,677.00,754,58.00,0,0.00,0,0.00
63,234,4264,18.22,1716,7.33,278668,1190.89,106054,453.22,0,0.00,0,0.00
65,78,676,8.67,312,4.00,59761,766.17,6084,78.00,1378,17.67,0,0.00
66,13,104,8.00,39,3.00,25422,1955.54,2188,168.31,57,4.38,0,0.00
67,52,892,17.15,278,5.35,57685,1109.33,38669,743.63,0,0.00,0,0.00
68,26,234,9.00,39,1.50,26143,1005.50,4797,184.50,0,0.00,0,0.00
69,52,1378,26.50,1248,24.00,30628,589.00,1898,36.50,0,0.00,0,0.00
70,13,325,25.00,195,15.00,18046,1388.15,1170,90.00,3,0.23,0,0.00
72,26,208,8.00,26,1.00,27248,1048.00,5798,223.00,0,0.00,0,0.00
73,286,6760,23.64,2184,7.64,400478,1400.27,229242,801.55,0,0.00,0,0.00
75,78,3822,49.00,1144,14.67,211510,2711.67,245518,3147.67,0,0.00,0,0.00
76,13,182,14.00,13,1.00,44928,3456.00,4680,360.00,0,0.00,0,0.00
77,67,2468,36.84,1175,17.54,121523,1813.78,171280,2556.42,1027,15.33,0,0.00
81,15,355,23.67,25,1.67,11492,766.13,18036,1202.40,975,65.00,0,0.00
83,130,3380,26.00,1300,10.00,221390,1703.00,115830,891.00,0,0.00,0,0.00
84,65,65,1.00,65,1.00,41015,631.00,3250,50.00,0,0.00,0,0.00
85,13,0,0.00,13,1.00,39,3.00,0,0.00,1066,82.00,0,0.00
86,13,520,40.00,13,1.00,36437,2802.85,9061,697.00,478,36.77,0,0.00
87,26,208,8.00,78,3.00,48906,1881.00,8281,318.50,0,0.00,0,0.00
88,26,0,0.00,0,0.00,2288,88.00,0,0.00,0,0.00,0,0.00
89,26,1144,44.00,26,1.00,14820,570.00,97266,3741.00,0,0.00,0,0.00
90,13,390,30.00,26,2.00,20410,1570.00,48503,3731.00,1079,83.00,0,0.00
91,28,2864,102.29,1544,55.14,88427,3158.11,222274,7938.36,26,0.93,0,0.00
93,91,2522,27.71,936,10.29,196729,2161.86,87750,964.29,1794,19.71,0,0.00
96,650,4680,7.20,2392,3.68,1093690,1682.60,323544,497.76,5928,9.12,0,0.00
97,52,1612,31.00,572,11.00,103584,1992.00,63648,1224.00,0,0.00,0,0.00
98,26,286,11.00,26,1.00,82082,3157.00,7852,302.00,1820,70.00,0,0.00
99,13,13,1.00,26,2.00,15467,1189.77,1546,118.92,77,5.92,0,0.00
100,13,234,18.00,13,1.00,64441,4957.00,8307,639.00,0,0.00,0,0.00
103,104,3822,36.75,962,9.25,183248,1762.00,239252,2300.50,0,0.00,0,0.00
105,26,2704,104.00,1378,53.00,62556,2406.00,295750,11375.00,0,0.00,0,0.00
107,67,1836,27.40,661,9.87,119109,1777.75,80730,1204.93,1352,20.18,0,0.00
109,13,234,18.00,26,2.00,29172,2244.00,8697,669.00,819,63.00,0,0.00
113,702,23322,33.22,6422,9.15,2733120,3893.33,756678,1077.89,2990,4.26,0,0.00
114,13,104,8.00,26,2.00,2457,189.00,273,21.00,0,0.00,0,0.00
115,78,5928,76.00,1560,20.00,106996,1371.74,678480,8698.46,76,0.97,0,0.00
116,7,140,20.00,56,8.00,39249,5607.00,3780,540.00,0,0.00,0,0.00
117,169,10348,61.23,4433,26.23,474545,2807.96,922927,5461.11,168,0.99,0,0.00
123,113,4568,40.42,1136,10.05,233176,2063.50,344598,3049.54,0,0.00,0,0.00
124,13,286,22.00,13,1.00,83954,6458.00,13195,1015.00,0,0.00,0,0.00
125,39,3224,82.67,1651,42.33,76141,1952.33,425100,10900.00,260,6.67,0,0.00
127,65,2070,31.85,572,8.80,187952,2891.57,85205,1310.85,3217,49.49,0,0.00
129,13,0,0.00,13,1.00,325,25.00,0,0.00,1352,104.00,0,0.00
130,26,299,11.50,104,4.00,102300,3934.62,12091,465.04,391,15.04,0,0.00
133,32,1210,37.81,450,14.06,110224,3444.50,64226,2007.06,0,0.00,0,0.00
136,13,845,65.00,13,1.00,39244,3018.77,9341,718.54,1107,85.15,0,0.00
137,91,3913,43.00,1365,15.00,258804,2844.00,224770,2470.00,0,0.00,0,0.00
141,13,806,62.00,208,16.00,56550,4350.00,67470,5190.00,0,0.00,0,0.00
142,3,0,0.00,3,1.00,9,3.00,0,0.00,417,139.00,0,0.00
143,39,1339,34.33,429,11.00,172419,4421.00,77649,1991.00,1508,38.67,0,0.00
144,15,91,6.07,28,1.87,47261,3150.73,3458,230.53,1400,93.33,0,0.00
145,13,0,0.00,13,1.00,299,23.00,0,0.00,1586,122.00,0,0.00
146,3,0,0.00,3,1.00,9,3.00,0,0.00,429,143.00,0,0.00
147,146,6118,41.90,2141,14.66,408492,2797.89,378917,2595.32,0,0.00,0,0.00
148,5,0,0.00,5,1.00,15,3.00,0,0.00,725,145.00,0,0.00
153,52,1638,31.50,468,9.00,275002,5288.50,120068,2309.00,0,0.00,0,0.00
157,105,5145,49.00,1785,17.00,343350,3270.00,341775,3255.00,0,0.00,0,0.00
163,39,1833,47.00,650,16.67,140699,3607.67,146419,3754.33,0,0.00,0,0.00
165,26,0,0.00,26,1.00,1796,69.08,0,0.00,2494,95.92,0,0.00
167,13,78,6.00,13,1.00,70488,5422.15,6266,482.00,841,64.69,0,0.00
171,13,312,24.00,13,1.00,50128,3856.00,45629,3509.92,992,76.31,0,0.00
172,13,390,30.00,13,1.00,120328,9256.00,20761,1597.00,312,24.00,0,0.00
173,13,65,5.00,39,3.00,100797,7753.62,3740,287.69,1701,130.85,0,0.00
175,13,390,30.00,78,6.00,67628,5202.15,14037,1079.77,1255,96.54,0,0.00
182,13,156,12.00,78,6.00,50791,3907.00,16406,1262.00,1599,123.00,0,0.00
184,13,390,30.00,117,9.00,119964,9228.00,21619,1663.00,0,0.00,0,0.00
186,13,520,40.00,117,9.00,100188,7706.77,30936,2379.69,902,69.38,0,0.00
191,13,13,1.00,208,16.00,139568,10736.00,22646,1742.00,0,0.00,0,0.00
192,13,117,9.00,91,7.00,55952,4304.00,12597,969.00,507,39.00,0,0.00
196,26,455,17.50,91,3.50,162006,6231.00,38571,1483.50,2340,90.00,0,0.00
198,4,16,4.00,16,4.00,12325,3081.25,1029,257.25,182,45.50,0,0.00
199,13,273,21.00,39,3.00,123825,9525.00,13221,1017.00,1560,120.00,0,0.00
201,26,1495,57.50,455,17.50,130436,5016.77,121568,4675.69,1522,58.54,0,0.00
203,13,78,6.00,39,3.00,80680,6206.15,9629,740.69,2029,156.08,0,0.00
207,13,0,0.00,13,1.00,2691,207.00,0,0.00,0,0.00,0,0.00
209,13,0,0.00,13,1.00,299,23.00,0,0.00,2418,186.00,0,0.00
220,13,494,38.00,13,1.00,158910,12223.85,45221,3478.54,764,58.77,0,0.00
222,13,1274,98.00,325,25.00,89778,6906.00,171132,13164.00,0,0.00,0,0.00
