tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,795364,1312763,1.65,1430699,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,8850,20645,2.33,19452,2.20,27244,3.08,3727,0.42,63,0.01,0,0.00
3,799009,1137800,1.42,1006915,1.26,9622537,12.04,218201,0.27,328,0.00,0,0.00
4,11655,35930,3.08,21373,1.83,233382,20.02,271,0.02,1,0.00,0,0.00
5,66465,145249,2.19,131912,1.98,2125364,31.98,178889,2.69,1143,0.02,0,0.00
6,3611,14404,3.99,13014,3.60,77470,21.45,9642,2.67,127,0.04,0,0.00
7,23101,145366,6.29,48859,2.12,1216242,52.65,269412,11.66,322,0.01,0,0.00
8,2788,12028,4.31,11513,4.13,112622,40.40,2542,0.91,5,0.00,0,0.00
9,16373,69393,4.24,35710,2.18,949890,58.02,405523,24.77,768,0.05,0,0.00
10,2224,12659,5.69,9563,4.30,116344,52.31,18156,8.16,0,0.00,0,0.00
11,13130,36907,2.81,51708,3.94,1662448,126.61,120574,9.18,97,0.01,0,0.00
12,2151,20198,9.39,16965,7.89,104057,48.38,31148,14.48,0,0.00,0,0.00
13,3746,24409,6.52,13753,3.67,466029,124.41,119100,31.79,2489,0.66,0,0.00
14,1013,12421,12.26,12608,12.45,67864,66.99,766,0.76,20,0.02,0,0.00
15,2840,27044,9.52,17015,5.99,237851,83.75,141367,49.78,604,0.21,0,0.00
16,1526,18628,12.21,18797,12.32,121190,79.42,4074,2.67,568,0.37,0,0.00
17,5701,25029,4.39,13796,2.42,451076,79.12,183846,32.25,50274,8.82,0,0.00
18,218,2165,9.93,1444,6.62,55884,256.35,9144,41.94,20,0.09,0,0.00
19,4428,31941,7.21,15614,3.53,1075790,242.95,325353,73.48,6238,1.41,0,0.00
20,357,3311,9.27,2286,6.40,61974,173.60,10581,29.64,0,0.00,0,0.00
21,1175,15159,12.90,6950,5.91,210316,178.99,171038,145.56,724,0.62,0,0.00
22,326,1783,5.47,1783,5.47,46839,143.68,2702,8.29,4,0.01,0,0.00
23,4364,74621,17.10,55231,12.66,1008571,231.11,374046,85.71,1265,0.29,0,0.00
24,2084,11632,5.58,4989,2.39,907843,435.63,134495,64.54,0,0.00,0,0.00
25,1263,18930,14.99,8149,6.45,230291,182.34,289537,229.25,1982,1.57,0,0.00
26,631,5419,8.59,1451,2.30,626526,992.91,62507,99.06,0,0.00,0,0.00
27,3594,34928,9.72,14689,4.09,1651765,459.59,538175,149.74,940,0.26,0,0.00
28,131,1923,14.68,773,5.90,42472,324.21,32900,251.15,2146,16.38,0,0.00
29,2399,39531,16.48,7832,3.26,3440894,1434.30,801857,334.25,166,0.07,0,0.00
30,190,1463,7.70,757,3.98,54179,285.15,25429,133.84,1686,8.87,0,0.00
31,1262,16389,12.99,2335,1.85,507527,402.16,378706,300.08,2056,1.63,0,0.00
32,192,1280,6.67,197,1.03,100740,524.69,23712,123.50,2585,13.46,0,0.00
33,1271,17492,13.76,6336,4.99,656191,516.28,335280,263.79,1671,1.31,0,0.00
34,199,2663,13.38,733,3.68,92282,463.73,43093,216.55,1230,6.18,0,0.00
35,573,10055,17.55,3979,6.94,275884,481.47,296843,518.05,1851,3.23,0,0.00
36,189,1890,10.00,504,2.67,106911,565.67,40257,213.00,693,3.67,0,0.00
37,1007,22738,22.58,15242,15.14,521486,517.86,309158,307.01,2206,2.19,0,0.00
38,67,1071,15.99,72,1.07,25485,380.37,24198,361.16,370,5.52,0,0.00
