tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,630462,1037212,1.65,1132612,1.80,0,0.00,0,0.00,0,0.00,0,0.00
2,6404,15058,2.35,14208,2.22,21500,3.36,2950,0.46,50,0.01,0,0.00
3,629970,894420,1.42,795570,1.26,7580785,12.03,168250,0.27,385,0.00,0,0.00
4,9112,27262,2.99,17112,1.88,175554,19.27,200,0.02,0,0.00,0,0.00
5,52100,114350,2.19,104250,2.00,1667100,32.00,139300,2.67,1100,0.02,0,0.00
6,2750,10900,3.96,9700,3.53,60750,22.09,7600,2.76,100,0.04,0,0.00
7,18900,118300,6.26,39500,2.09,1001088,52.97,221400,11.71,162,0.01,0,0.00
8,2300,10100,4.39,9900,4.30,88350,38.41,1900,0.83,0,0.00,0,0.00
9,13100,56400,4.31,29950,2.29,748200,57.11,319450,24.39,600,0.05,0,0.00
10,2150,13900,6.47,11550,5.37,90700,42.19,14200,6.60,0,0.00,0,0.00
11,10300,27750,2.69,38900,3.78,1323400,128.49,96986,9.42,480,0.05,0,0.00
12,1400,12600,9.00,9850,7.04,81750,58.39,24550,17.54,0,0.00,0,0.00
13,3227,22985,7.12,14481,4.49,353070,109.41,100208,31.05,1702,0.53,0,0.00
14,1000,12550,12.55,12800,12.80,53200,53.20,600,0.60,0,0.00,0,0.00
15,1950,16550,8.49,7600,3.90,197300,101.18,120210,61.65,502,0.26,0,0.00
16,1100,13250,12.05,13300,12.09,93548,85.04,3150,2.86,452,0.41,0,0.00
17,4619,20557,4.45,11238,2.43,386118,83.59,148688,32.19,39900,8.64,0,0.00
18,169,1707,10.10,1138,6.73,43298,256.20,7188,42.53,0,0.00,0,0.00
19,3650,26850,7.36,12450,3.41,856252,234.59,287471,78.76,2802,0.77,0,0.00
20,281,2624,9.34,1812,6.45,48703,173.32,8367,29.78,0,0.00,0,0.00
21,1031,13024,12.63,5612,5.44,179252,173.86,152777,148.18,581,0.56,0,0.00
22,250,1400,5.60,1400,5.60,35400,141.60,2000,8.00,0,0.00,0,0.00
23,2554,51382,20.12,40816,15.98,473350,185.34,224340,87.84,0,0.00,0,0.00
24,1650,9200,5.58,3950,2.39,718200,435.27,106350,64.45,0,0.00,0,0.00
25,1100,16200,14.73,6550,5.95,195336,177.58,254912,231.74,1564,1.42,0,0.00
26,500,4300,8.60,1150,2.30,497000,994.00,49600,99.20,0,0.00,0,0.00
27,3150,29700,9.43,11250,3.57,1382198,438.79,436262,138.50,2948,0.94,0,0.00
28,100,1500,15.00,600,6.00,31936,319.36,25712,257.12,1714,17.14,0,0.00
29,1700,29950,17.62,7400,4.35,2736746,1609.85,598154,351.86,152,0.09,0,0.00
30,100,1150,11.50,550,5.50,42500,425.00,20100,201.00,0,0.00,0,0.00
31,900,11500,12.78,1750,1.94,382568,425.08,259025,287.81,1628,1.81,0,0.00
32,150,1000,6.67,150,1.00,78574,523.83,18092,120.61,2078,13.85,0,0.00
33,1200,16050,13.38,6000,5.00,638232,531.86,292257,243.55,1287,1.07,0,0.00
34,150,2050,13.67,550,3.67,68348,455.65,33464,223.09,952,6.35,0,0.00
35,450,7950,17.67,3150,7.00,216564,481.25,235206,522.68,1450,3.22,0,0.00
36,250,5100,20.40,4000,16.00,84850,339.40,31950,127.80,550,2.20,0,0.00
37,700,14350,20.50,8400,12.00,414470,592.10,245664,350.95,1784,2.55,0,0.00
38,50,850,17.00,50,1.00,19900,398.00,19088,381.76,300,6.00,0,0.00
39,300,3950,13.17,1700,5.67,223948,746.49,98332,327.77,2402,8.01,0,0.00
40,350,3150,9.00,350,1.00,243248,694.99,58272,166.49,1452,4.15,0,0.00
41,350,6450,18.43,2650,7.57,325380,929.66,124425,355.50,10,0.03,0,0.00
42,3750,5950,1.59,7400,1.97,670400,178.77,82900,22.11,600,0.16,0,0.00
43,2300,32600,14.17,13800,6.00,1961880,852.99,518500,225.43,2385,1.04,0,0.00
44,200,5500,27.50,4500,22.50,85690,428.45,41020,205.10,10,0.05,0,0.00
45,600,12000,20.00,6100,10.17,449260,748.77,284274,473.79,6158,10.26,0,0.00
46,50,1050,21.00,50,1.00,23736,474.72,21398,427.96,1064,21.28,0,0.00
47,1150,18350,15.96,7250,6.30,1096400,953.39,298550,259.61,2050,1.78,0,0.00
48,150,2950,19.67,200,1.33,87350,582.33,46300,308.67,4250,28.33,0,0.00
49,350,7000,20.00,2400,6.86,266860,762.46,207612,593.18,3352,9.58,0,0.00
50,150,6150,41.00,5050,33.67,27100,180.67,50600,337.33,0,0.00,0,0.00
51,200,4850,24.25,1750,8.75,360336,1801.68,122938,614.69,1058,5.29,0,0.00
52,300,5200,17.33,2000,6.67,211448,704.83,181668,605.56,1052,3.51,0,0.00
53,350,7700,22.00,3400,9.71,378150,1080.43,237600,678.86,0,0.00,0,0.00
54,50,850,17.00,350,7.00,65850,1317.00,21450,429.00,450,9.00,0,0.00
55,150,2250,15.00,850,5.67,204700,1364.67,25750,171.67,0,0.00,0,0.00
56,200,11200,56.00,11200,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,600,13700,22.83,8700,14.50,544600,907.67,82100,136.83,2900,4.83,0,0.00
58,100,400,4.00,200,2.00,48700,487.00,3100,31.00,0,0.00,0,0.00
59,50,550,11.00,100,2.00,61950,1239.00,10900,218.00,1500,30.00,0,0.00
60,550,1650,3.00,550,1.00,506550,921.00,100100,182.00,0,0.00,0,0.00
62,150,6500,43.33,6300,42.00,33850,225.67,2900,19.33,0,0.00,0,0.00
63,900,16400,18.22,6600,7.33,1071800,1190.89,407900,453.22,0,0.00,0,0.00
65,200,1600,8.00,800,4.00,126300,631.50,4500,22.50,3100,15.50,0,0.00
66,50,400,8.00,150,3.00,100550,2011.00,8500,170.00,0,0.00,0,0.00
67,250,5500,22.00,1700,6.80,332300,1329.20,202300,809.20,0,0.00,0,0.00
68,50,150,3.00,50,1.00,61700,1234.00,10950,219.00,0,0.00,0,0.00
69,200,5300,26.50,4800,24.00,117800,589.00,7300,36.50,0,0.00,0,0.00
70,50,1250,25.00,750,15.00,69500,1390.00,4500,90.00,0,0.00,0,0.00
72,100,800,8.00,100,1.00,104800,1048.00,22300,223.00,0,0.00,0,0.00
