tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,332570,548673,1.65,596509,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,3765,8619,2.29,8193,2.18,11751,3.12,1605,0.43,26,0.01,0,0.00
3,332330,473475,1.42,418448,1.26,4003949,12.05,90751,0.27,158,0.00,0,0.00
4,5056,15544,3.07,9373,1.85,101046,19.99,151,0.03,2,0.00,0,0.00
5,27837,60792,2.18,55255,1.98,889798,31.96,74947,2.69,480,0.02,0,0.00
6,1415,5231,3.70,4568,3.23,35307,24.95,4224,2.99,55,0.04,0,0.00
7,9806,62254,6.35,21757,2.22,506037,51.60,112684,11.49,284,0.03,0,0.00
8,1209,5126,4.24,4883,4.04,51021,42.20,1281,1.06,15,0.01,0,0.00
9,6850,28672,4.19,14508,2.12,401637,58.63,169967,24.81,354,0.05,0,0.00
10,1011,5836,5.77,4537,4.49,52309,51.74,7612,7.53,10,0.01,0,0.00
11,5369,14553,2.71,20836,3.88,688111,128.16,47742,8.89,219,0.04,0,0.00
12,816,7237,8.87,5805,7.11,46545,57.04,13206,16.18,10,0.01,0,0.00
13,1513,10672,7.05,6867,4.54,176067,116.37,43773,28.93,850,0.56,0,0.00
14,439,5186,11.81,5250,11.96,31934,72.74,411,0.94,66,0.15,0,0.00
15,1394,12667,9.09,7246,5.20,118317,84.88,74550,53.48,230,0.16,0,0.00
16,720,8672,12.04,8722,12.11,58379,81.08,1983,2.75,258,0.36,0,0.00
17,2416,10739,4.44,5867,2.43,204137,84.49,77733,32.17,20777,8.60,0,0.00
18,103,927,9.00,627,6.09,26912,261.28,3793,36.83,47,0.46,0,0.00
19,1785,12793,7.17,6464,3.62,441353,247.26,129847,72.74,2186,1.22,0,0.00
20,152,1371,9.02,953,6.27,25338,166.70,4449,29.27,0,0.00,0,0.00
21,487,5742,11.79,2356,4.84,71112,146.02,63558,130.51,289,0.59,0,0.00
22,152,764,5.03,760,5.00,23088,151.89,1442,9.49,8,0.05,0,0.00
23,1720,30509,17.74,23157,13.46,411755,239.39,156404,90.93,34,0.02,0,0.00
24,867,4834,5.58,2067,2.38,377648,435.58,56073,64.67,0,0.00,0,0.00
25,477,7264,15.23,3363,7.05,93542,196.10,106637,223.56,893,1.87,0,0.00
26,264,2240,8.48,606,2.30,259664,983.58,25836,97.86,0,0.00,0,0.00
27,1494,13987,9.36,5246,3.51,647795,433.60,219921,147.20,492,0.33,0,0.00
28,58,793,13.67,321,5.53,20016,345.10,13669,235.67,861,14.84,0,0.00
29,1042,17770,17.05,4012,3.85,1452438,1393.89,366601,351.82,50,0.05,0,0.00
30,76,626,8.24,314,4.13,23623,310.83,10694,140.71,559,7.36,0,0.00
31,575,7563,13.15,1013,1.76,219289,381.37,169500,294.78,1552,2.70,0,0.00
32,89,580,6.52,107,1.20,45146,507.26,11173,125.54,1151,12.93,0,0.00
33,532,7246,13.62,2634,4.95,278837,524.13,137943,259.29,735,1.38,0,0.00
34,88,1146,13.02,326,3.70,41684,473.68,18165,206.42,546,6.20,0,0.00
35,234,4126,17.63,1634,6.98,111620,477.01,122385,523.01,804,3.44,0,0.00
36,132,2676,20.27,2082,15.77,45797,346.95,16710,126.59,275,2.08,0,0.00
37,414,8128,19.63,4620,11.16,249676,603.08,132655,320.42,1909,4.61,0,0.00
38,27,455,16.85,35,1.30,11114,411.63,10220,378.52,142,5.26,0,0.00
39,159,2063,12.97,887,5.58,117810,740.94,49608,312.00,1198,7.53,0,0.00
40,189,1707,9.03,229,1.21,130369,689.78,31150,164.81,722,3.82,0,0.00
41,130,2522,19.40,1014,7.80,112788,867.60,62556,481.20,0,0.00,0,0.00
42,1953,3127,1.60,3873,1.98,350444,179.44,43916,22.49,312,0.16,0,0.00
43,1198,17080,14.26,7234,6.04,1038150,866.57,256368,214.00,1407,1.17,0,0.00
44,110,2957,26.88,2401,21.83,49010,445.55,23695,215.41,37,0.34,0,0.00
45,320,6352,19.85,3218,10.06,242070,756.47,141057,440.80,4084,12.76,0,0.00
46,33,629,19.06,67,2.03,15902,481.88,12796,387.76,599,18.15,0,0.00
47,626,10276,16.42,4068,6.50,584606,933.88,166190,265.48,1041,1.66,0,0.00
48,80,1655,20.69,117,1.46,51979,649.74,23602,295.02,2149,26.86,0,0.00
49,186,3652,19.63,1252,6.73,142814,767.82,108346,582.51,1706,9.17,0,0.00
50,84,3280,39.05,2632,31.33,19220,228.81,27977,333.06,29,0.35,0,0.00
51,126,2672,21.21,928,7.37,219034,1738.37,65584,520.51,513,4.07,0,0.00
52,156,2704,17.33,1040,6.67,109442,701.55,94674,606.88,556,3.56,0,0.00
53,78,2236,28.67,1040,13.33,85982,1102.33,86736,1112.00,0,0.00,0,0.00
54,26,442,17.00,182,7.00,34242,1317.00,11154,429.00,234,9.00,0,0.00
