tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,122822,206125,1.68,219871,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,1466,3329,2.27,3125,2.13,5309,3.62,636,0.43,9,0.01,0,0.00
3,119315,171202,1.43,150629,1.26,1439419,12.06,33850,0.28,79,0.00,0,0.00
4,1904,5087,2.67,3431,1.80,35803,18.80,207,0.11,7,0.00,0,0.00
5,10924,24389,2.23,21638,1.98,350603,32.09,28938,2.65,135,0.01,0,0.00
6,669,2506,3.75,2028,3.03,18755,28.03,1880,2.81,21,0.03,0,0.00
7,3965,24119,6.08,8315,2.10,208645,52.62,45069,11.37,81,0.02,0,0.00
8,534,2365,4.43,2211,4.14,26288,49.23,1189,2.23,17,0.03,0,0.00
9,2709,11387,4.20,5978,2.21,161268,59.53,64623,23.85,233,0.09,0,0.00
10,452,2635,5.83,2078,4.60,24752,54.76,2727,6.03,0,0.00,0,0.00
11,2078,5982,2.88,7796,3.75,258119,124.22,20435,9.83,7,0.00,0,0.00
12,327,2686,8.21,1965,6.01,22734,69.52,6291,19.24,0,0.00,0,0.00
13,682,4784,7.01,2907,4.26,80205,117.60,20389,29.90,293,0.43,0,0.00
14,256,2586,10.10,2641,10.32,20536,80.22,237,0.93,174,0.68,0,0.00
15,406,3433,8.46,1737,4.28,39336,96.89,21548,53.07,67,0.17,0,0.00
16,359,3300,9.19,3181,8.86,47112,131.23,1557,4.34,278,0.77,0,0.00
17,887,3979,4.49,2182,2.46,86974,98.05,26879,30.30,7218,8.14,0,0.00
18,71,455,6.41,284,4.00,18170,255.92,1442,20.31,170,2.39,0,0.00
19,684,4914,7.18,2269,3.32,159953,233.85,53533,78.26,485,0.71,0,0.00
20,74,532,7.19,355,4.80,12835,173.45,1809,24.45,0,0.00,0,0.00
21,209,2129,10.19,744,3.56,42863,205.09,28931,138.43,106,0.51,0,0.00
22,126,747,5.93,747,5.93,19899,157.93,1638,13.00,36,0.29,0,0.00
23,518,9577,18.49,7383,14.25,93848,181.17,45659,88.14,49,0.09,0,0.00
24,316,1686,5.34,726,2.30,134047,424.20,19847,62.81,0,0.00,0,0.00
25,214,3018,14.10,1379,6.44,66275,309.70,43353,202.58,414,1.93,0,0.00
26,99,783,7.91,225,2.27,92214,931.45,9027,91.18,0,0.00,0,0.00
27,616,6273,10.18,2154,3.50,245594,398.69,108503,176.14,522,0.85,0,0.00
28,27,279,10.33,117,4.33,11136,412.44,4806,178.00,285,10.56,0,0.00
29,267,4566,17.10,1072,4.01,482230,1806.10,85729,321.08,12,0.04,0,0.00
30,33,288,8.73,114,3.45,11557,350.21,4425,134.09,124,3.76,0,0.00
31,222,2905,13.09,365,1.64,80924,364.52,68302,307.67,248,1.12,0,0.00
32,45,360,8.00,90,2.00,27619,613.76,6735,149.67,296,6.58,0,0.00
33,296,4003,13.52,1752,5.92,171669,579.96,69890,236.11,296,1.00,0,0.00
34,28,373,13.32,100,3.57,12546,448.07,5598,199.93,230,8.21,0,0.00
35,71,907,12.77,273,3.85,22634,318.79,23265,327.68,531,7.48,0,0.00
36,29,306,10.55,83,2.86,16530,570.00,5922,204.21,99,3.41,0,0.00
37,201,4033,20.06,2491,12.39,113959,566.96,54314,270.22,285,1.42,0,0.00
38,11,169,15.36,11,1.00,4688,426.18,4020,365.45,36,3.27,0,0.00
39,68,785,11.54,345,5.07,46495,683.75,18123,266.51,249,3.66,0,0.00
40,72,630,8.75,72,1.00,50922,707.25,10731,149.04,264,3.67,0,0.00
41,46,886,19.26,359,7.80,39713,863.33,21912,476.35,0,0.00,0,0.00
42,677,1089,1.61,1334,1.97,121968,180.16,15108,22.32,108,0.16,0,0.00
43,330,4566,13.84,2058,6.24,298841,905.58,59664,180.80,173,0.52,0,0.00
44,44,1149,26.11,884,20.09,21487,488.34,7942,180.50,10,0.23,0,0.00
45,126,1980,15.71,783,6.21,91145,723.37,43352,344.06,1068,8.48,0,0.00
46,28,349,12.46,82,2.93,13342,476.50,6587,235.25,168,6.00,0,0.00
47,227,4086,18.00,1796,7.91,211399,931.27,79675,350.99,346,1.52,0,0.00
48,36,540,15.00,72,2.00,22590,627.50,8295,230.42,747,20.75,0,0.00
49,76,1211,15.93,343,4.51,64302,846.08,39006,513.24,582,7.66,0,0.00
50,45,1377,30.60,927,20.60,25047,556.60,16047,356.60,0,0.00,0,0.00
51,28,800,28.57,294,10.50,58658,2094.93,19798,707.07,165,5.89,0,0.00
52,54,936,17.33,360,6.67,37278,690.33,32937,609.94,231,4.28,0,0.00
53,99,1980,20.00,864,8.73,108045,1091.36,49950,504.55,0,0.00,0,0.00
54,10,192,19.20,79,7.90,13210,1321.00,3982,398.20,81,8.10,0,0.00
55,49,843,17.20,195,3.98,71713,1463.53,13378,273.02,0,0.00,0,0.00
56,18,1008,56.00,1008,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,109,3205,29.40,2473,22.69,77244,708.66,16754,153.71,0,0.00,0,0.00
58,20,104,5.20,38,1.90,11170,558.50,1064,53.20,0,0.00,0,0.00
59,18,171,9.50,27,1.50,20139,1118.83,3228,179.33,624,34.67,0,0.00
60,126,351,2.79,126,1.00,108054,857.57,21294,169.00,243,1.93,0,0.00
61,18,1098,61.00,1098,61.00,0,0.00,0,0.00,0,0.00,0,0.00
62,11,135,12.27,52,4.73,8902,809.27,757,68.82,0,0.00,0,0.00
63,146,2606,17.85,1048,7.18,170709,1169.24,64393,441.05,0,0.00,0,0.00
64,1,39,39.00,16,16.00,1423,1423.00,121,121.00,0,0.00,0,0.00
65,37,205,5.54,104,2.81,20420,551.89,4260,115.14,954,25.78,0,0.00
66,9,72,8.00,27,3.00,15881,1764.56,1310,145.56,83,9.22,0,0.00
67,83,1696,20.43,582,7.01,112894,1360.17,47984,578.12,0,0.00,0,0.00
68,18,162,9.00,27,1.50,18099,1005.50,3321,184.50,0,0.00,0,0.00
69,37,967,26.14,866,23.41,21485,580.68,1644,44.43,0,0.00,0,0.00
70,10,227,22.70,141,14.10,12738,1273.80,812,81.20,0,0.00,0,0.00
72,19,155,8.16,21,1.11,19226,1011.89,4046,212.95,0,0.00,0,0.00
73,162,3618,22.33,1332,8.22,242046,1494.11,101646,627.44,0,0.00,0,0.00
75,54,1980,36.67,126,2.33,124434,2304.33,116478,2157.00,0,0.00,0,0.00
76,10,179,17.90,31,3.10,32935,3293.50,3399,339.90,0,0.00,0,0.00
77,85,3537,41.61,1680,19.76,144040,1694.59,238114,2801.34,711,8.36,0,0.00
79,1,17,17.00,6,6.00,1489,1489.00,960,960.00,0,0.00,0,0.00
81,9,225,25.00,9,1.00,5670,630.00,11880,1320.00,675,75.00,0,0.00
82,4,48,12.00,19,4.75,3240,810.00,444,111.00,0,0.00,0,0.00
83,72,1872,26.00,720,10.00,122616,1703.00,64152,891.00,0,0.00,0,0.00
84,54,54,1.00,54,1.00,34074,631.00,2700,50.00,0,0.00,0,0.00
85,9,0,0.00,9,1.00,27,3.00,0,0.00,738,82.00,0,0.00
86,9,360,40.00,9,1.00,25200,2800.00,6273,697.00,333,37.00,0,0.00
87,21,237,11.29,92,4.38,39131,1863.38,9472,451.05,0,0.00,0,0.00
88,18,0,0.00,0,0.00,1584,88.00,0,0.00,0,0.00,0,0.00
89,18,792,44.00,18,1.00,10260,570.00,67338,3741.00,0,0.00,0,0.00
90,9,270,30.00,18,2.00,14130,1570.00,33579,3731.00,747,83.00,0,0.00
91,18,1620,90.00,828,46.00,37386,2077.00,151704,8428.00,0,0.00,0,0.00
93,81,2268,28.00,846,10.44,172269,2126.78,86994,1074.00,0,0.00,0,0.00
96,450,3240,7.20,1656,3.68,760248,1689.44,223992,497.76,2520,5.60,0,0.00
97,58,1738,29.97,610,10.52,126584,2182.48,67968,1171.86,0,0.00,0,0.00
98,19,214,11.26,22,1.16,60402,3179.05,5720,301.05,1260,66.32,0,0.00
99,1,20,20.00,7,7.00,1765,1765.00,1777,1777.00,0,0.00,0,0.00
100,9,162,18.00,9,1.00,44613,4957.00,5751,639.00,0,0.00,0,0.00
101,18,900,50.00,18,1.00,11664,648.00,87318,4851.00,0,0.00,0,0.00
102,1,18,18.00,7,7.00,753,753.00,432,432.00,54,54.00,0,0.00
103,109,4733,43.42,2018,18.51,234474,2151.14,321910,2953.30,0,0.00,0,0.00
105,3,52,17.33,30,10.00,3898,1299.33,2822,940.67,0,0.00,0,0.00
107,28,646,23.07,237,8.46,41922,1497.21,28405,1014.46,936,33.43,0,0.00
109,9,162,18.00,18,2.00,20196,2244.00,6021,669.00,567,63.00,0,0.00
113,504,16776,33.29,4680,9.29,1932764,3834.85,572415,1135.74,1685,3.34,0,0.00
114,9,72,8.00,18,2.00,1701,189.00,189,21.00,0,0.00,0,0.00
115,63,4365,69.29,1170,18.57,97415,1546.27,474328,7529.02,1821,28.90,0,0.00
116,6,120,20.00,48,8.00,33673,5612.17,3265,544.17,0,0.00,0,0.00
117,90,6165,68.50,2718,30.20,264528,2939.20,559764,6219.60,810,9.00,0,0.00
123,57,2495,43.77,534,9.37,109845,1927.11,205349,3602.61,153,2.68,0,0.00
124,11,250,22.73,23,2.09,65814,5983.09,13887,1262.45,0,0.00,0,0.00
125,27,2232,82.67,1143,42.33,52353,1939.00,294300,10900.00,540,20.00,0,0.00
127,56,1847,32.98,541,9.66,161191,2878.41,80921,1445.02,2223,39.70,0,0.00
129,9,0,0.00,9,1.00,225,25.00,0,0.00,936,104.00,0,0.00
130,18,207,11.50,72,4.00,70914,3939.67,7809,433.83,124,6.89,0,0.00
132,2,54,27.00,14,7.00,8442,4221.00,5178,2589.00,0,0.00,0,0.00
133,57,2286,40.11,840,14.74,167376,2936.42,127362,2234.42,1161,20.37,0,0.00
136,10,680,68.00,49,4.90,30298,3029.80,6669,666.90,824,82.40,0,0.00
137,135,5805,43.00,2025,15.00,383940,2844.00,333450,2470.00,0,0.00,0,0.00
140,2,8,4.00,24,12.00,912,456.00,8,4.00,0,0.00,0,0.00
141,8,496,62.00,128,16.00,34800,4350.00,41520,5190.00,0,0.00,0,0.00
142,2,0,0.00,2,1.00,6,3.00,0,0.00,278,139.00,0,0.00
143,9,135,15.00,9,1.00,65709,7301.00,5265,585.00,1044,116.00,0,0.00
144,12,92,7.67,27,2.25,37586,3132.17,5311,442.58,1056,88.00,0,0.00
145,9,0,0.00,9,1.00,207,23.00,0,0.00,1098,122.00,0,0.00
146,2,0,0.00,2,1.00,6,3.00,0,0.00,286,143.00,0,0.00
147,29,920,31.72,329,11.34,62364,2150.48,56971,1964.52,36,1.24,0,0.00
148,4,95,23.75,43,10.75,3340,835.00,273,68.25,435,108.75,0,0.00
151,1,1,1.00,12,12.00,7456,7456.00,992,992.00,0,0.00,0,0.00
153,36,1134,31.50,324,9.00,190386,5288.50,83124,2309.00,0,0.00,0,0.00
157,90,4410,49.00,1530,17.00,294300,3270.00,292950,3255.00,0,0.00,0,0.00
