tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,82486,105439,1.28,101292,1.23,0,0.00,0,0.00,0,0.00,0,0.00
2,181,390,2.15,366,2.02,620,3.43,81,0.45,1,0.01,0,0.00
3,66637,128534,1.93,77701,1.17,882425,13.24,31820,0.48,7,0.00,0,0.00
4,222,639,2.88,392,1.77,4397,19.81,23,0.10,0,0.00,0,0.00
5,1198,2631,2.20,2371,1.98,38183,31.87,3434,2.87,16,0.01,0,0.00
6,83,274,3.30,236,2.84,2371,28.57,271,3.27,2,0.02,0,0.00
7,424,2569,6.06,923,2.18,22053,52.01,4983,11.75,11,0.03,0,0.00
8,60,256,4.27,237,3.95,2907,48.45,132,2.20,0,0.00,0,0.00
9,307,1267,4.13,642,2.09,18362,59.81,7339,23.91,29,0.09,0,0.00
10,41,197,4.80,145,3.54,2696,65.76,297,7.24,0,0.00,0,0.00
11,227,653,2.88,881,3.88,28237,124.39,2039,8.98,16,0.07,0,0.00
12,42,356,8.48,285,6.79,2526,60.14,699,16.64,0,0.00,0,0.00
13,51,323,6.33,182,3.57,6541,128.25,1508,29.57,41,0.80,0,0.00
14,23,235,10.22,236,10.26,1889,82.13,22,0.96,27,1.17,0,0.00
15,61,574,9.41,371,6.08,4765,78.11,2819,46.21,9,0.15,0,0.00
16,36,304,8.44,289,8.03,5162,143.39,172,4.78,36,1.00,0,0.00
17,99,446,4.51,234,2.36,8996,90.87,3317,33.51,798,8.06,0,0.00
18,8,46,5.75,30,3.75,2118,264.75,164,20.50,18,2.25,0,0.00
19,68,476,7.00,245,3.60,17050,250.74,4907,72.16,41,0.60,0,0.00
20,8,55,6.88,38,4.75,1323,165.38,202,25.25,0,0.00,0,0.00
21,20,227,11.35,94,4.70,3018,150.90,2497,124.85,11,0.55,0,0.00
22,12,39,3.25,39,3.25,2211,184.25,182,15.17,4,0.33,0,0.00
23,77,1255,16.30,909,11.81,18231,236.77,6935,90.06,39,0.51,0,0.00
24,34,184,5.41,79,2.32,14643,430.68,2193,64.50,0,0.00,0,0.00
25,21,306,14.57,149,7.10,6867,327.00,4212,200.57,40,1.90,0,0.00
26,11,87,7.91,25,2.27,10246,931.45,1003,91.18,0,0.00,0,0.00
27,59,570,9.66,239,4.05,26913,456.15,8647,146.56,36,0.61,0,0.00
28,3,31,10.33,13,4.33,1236,412.00,520,173.33,33,11.00,0,0.00
29,43,689,16.02,132,3.07,55633,1293.79,14200,330.23,27,0.63,0,0.00
30,3,29,9.67,12,4.00,1044,348.00,453,151.00,7,2.33,0,0.00
31,24,319,13.29,39,1.62,8857,369.04,7363,306.79,41,1.71,0,0.00
32,6,40,6.67,11,1.83,2984,497.33,732,122.00,75,12.50,0,0.00
33,19,277,14.58,5990,315.26,10850,571.05,5291,278.47,25,1.32,0,0.00
34,3,41,13.67,11,3.67,1368,456.00,669,223.00,18,6.00,0,0.00
35,7,87,12.43,25,3.57,2292,327.43,2240,320.00,83,11.86,0,0.00
36,5,102,20.40,80,16.00,1697,339.40,639,127.80,11,2.20,0,0.00
37,13,282,21.69,164,12.62,7462,574.00,4167,320.54,56,4.31,0,0.00
38,1,17,17.00,1,1.00,398,398.00,376,376.00,6,6.00,0,0.00
39,7,80,11.43,35,5.00,4735,676.43,1931,275.86,47,6.71,0,0.00
40,8,70,8.75,8,1.00,5670,708.75,1217,152.12,28,3.50,0,0.00
41,5,97,19.40,39,7.80,4338,867.60,2406,481.20,0,0.00,0,0.00
42,76,133,1.75,149,1.96,13842,182.13,1791,23.57,12,0.16,0,0.00
43,46,656,14.26,278,6.04,39929,868.02,10048,218.43,21,0.46,0,0.00
44,4,110,27.50,90,22.50,1714,428.50,828,207.00,0,0.00,0,0.00
45,16,296,18.50,145,9.06,13767,860.44,6884,430.25,122,7.62,0,0.00
46,3,36,12.00,8,2.67,1373,457.67,722,240.67,20,6.67,0,0.00
47,22,362,16.45,142,6.45,20098,913.55,6362,289.18,83,3.77,0,0.00
48,4,72,18.00,8,2.00,2840,710.00,1056,264.00,85,21.25,0,0.00
49,10,175,17.50,63,6.30,8615,861.50,4273,427.30,66,6.60,0,0.00
50,3,53,17.67,3,1.00,2783,927.67,1783,594.33,0,0.00,0,0.00
51,5,190,38.00,134,26.80,6267,1253.40,2111,422.20,20,4.00,0,0.00
52,6,104,17.33,40,6.67,4230,705.00,3636,606.00,20,3.33,0,0.00
