tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,390118,669091,1.72,691307,1.77,0,0.00,0,0.00,0,0.00,0,0.00
2,5833,12810,2.20,11596,1.99,22166,3.80,3090,0.53,24,0.00,0,0.00
3,352444,511725,1.45,450353,1.28,4262164,12.09,103752,0.29,223,0.00,0,0.00
4,18199,32467,1.78,26258,1.44,309717,17.02,683,0.04,25,0.00,0,0.00
5,38565,86204,2.24,77028,2.00,1229246,31.87,107696,2.79,536,0.01,0,0.00
6,2310,7811,3.38,6574,2.85,67428,29.19,7538,3.26,68,0.03,0,0.00
7,12182,69404,5.70,27033,2.22,632054,51.88,146977,12.07,371,0.03,0,0.00
8,1699,7452,4.39,6975,4.11,79864,47.01,3391,2.00,13,0.01,0,0.00
9,8984,36989,4.12,18448,2.05,527365,58.70,220865,24.58,685,0.08,0,0.00
10,1156,5518,4.77,4287,3.71,75490,65.30,7342,6.35,75,0.06,0,0.00
11,6292,19050,3.03,25294,4.02,784774,124.73,57492,9.14,13,0.00,0,0.00
12,950,7293,7.68,5532,5.82,67057,70.59,16169,17.02,5,0.01,0,0.00
13,2257,14807,6.56,9123,4.04,250499,110.99,65295,28.93,779,0.35,0,0.00
14,499,4961,9.94,4990,10.00,44933,90.05,601,1.20,427,0.86,0,0.00
15,1455,12661,8.70,7637,5.25,122387,84.11,66496,45.70,376,0.26,0,0.00
16,853,7912,9.28,7584,8.89,115305,135.18,4204,4.93,618,0.72,0,0.00
17,2637,11581,4.39,6221,2.36,251945,95.54,93361,35.40,19552,7.41,0,0.00
18,260,1779,6.84,1198,4.61,53378,205.30,4808,18.49,375,1.44,0,0.00
19,1728,12337,7.14,6003,3.47,414991,240.16,127081,73.54,2150,1.24,0,0.00
20,504,5348,10.61,4126,8.19,129951,257.84,18455,36.62,1253,2.49,0,0.00
21,574,6429,11.20,3274,5.70,112494,195.98,70621,123.03,912,1.59,0,0.00
22,471,1298,2.76,1201,2.55,90988,193.18,6793,14.42,86,0.18,0,0.00
23,2083,31676,15.21,22160,10.64,514543,247.02,184949,88.79,289,0.14,0,0.00
24,885,4891,5.53,2243,2.53,366508,414.13,52913,59.79,255,0.29,0,0.00
