tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,100604,168508,1.67,180219,1.79,0,0.00,0,0.00,0,0.00,0,0.00
2,1293,2802,2.17,2597,2.01,4563,3.53,604,0.47,7,0.01,0,0.00
3,95636,139117,1.45,122233,1.28,1162495,12.16,28653,0.30,70,0.00,0,0.00
4,1812,6747,3.72,3760,2.08,43219,23.85,161,0.09,1,0.00,0,0.00
5,10506,23618,2.25,20579,1.96,340138,32.38,29538,2.81,176,0.02,0,0.00
6,840,2326,2.77,2047,2.44,24100,28.69,1998,2.38,17,0.02,0,0.00
7,3375,20640,6.12,7883,2.34,178323,52.84,41278,12.23,92,0.03,0,0.00
8,578,2034,3.52,1786,3.09,31222,54.02,1245,2.15,8,0.01,0,0.00
9,2436,10073,4.14,5127,2.10,143594,58.95,59766,24.53,218,0.09,0,0.00
10,459,2104,4.58,1441,3.14,36958,80.52,2758,6.01,15,0.03,0,0.00
11,1547,4207,2.72,5845,3.78,197029,127.36,13945,9.01,26,0.02,0,0.00
12,324,2444,7.54,1937,5.98,23449,72.37,5000,15.43,4,0.01,0,0.00
13,402,2710,6.74,1661,4.13,47569,118.33,11801,29.36,229,0.57,0,0.00
14,315,2173,6.90,1971,6.26,64800,205.71,2044,6.49,143,0.45,0,0.00
15,461,3871,8.40,2302,4.99,40857,88.63,20396,44.24,175,0.38,0,0.00
16,326,2831,8.68,2565,7.87,56900,174.54,8201,25.16,258,0.79,0,0.00
17,802,3344,4.17,2089,2.60,94871,118.29,24931,31.09,5691,7.10,0,0.00
18,59,353,5.98,225,3.81,16611,281.54,1526,25.86,131,2.22,0,0.00
19,498,3558,7.14,1730,3.47,119366,239.69,36667,73.63,790,1.59,0,0.00
20,63,417,6.62,284,4.51,12322,195.59,1514,24.03,0,0.00,0,0.00
21,131,1455,11.11,514,3.92,28086,214.40,19432,148.34,80,0.61,0,0.00
22,175,1041,5.95,692,3.95,57404,328.02,5868,33.53,663,3.79,0,0.00
23,483,8057,16.68,6111,12.65,111172,230.17,37864,78.39,189,0.39,0,0.00
24,250,1458,5.83,587,2.35,112116,448.46,16459,65.84,10,0.04,0,0.00
25,415,2544,6.13,1423,3.43,64557,155.56,37956,91.46,4821,11.62,0,0.00
26,83,723,8.71,193,2.33,77500,933.73,8011,96.52,0,0.00,0,0.00
27,416,4071,9.79,1641,3.94,186171,447.53,64548,155.16,155,0.37,0,0.00
28,32,402,12.56,134,4.19,17540,548.12,5340,166.88,245,7.66,0,0.00
29,278,4489,16.15,920,3.31,388481,1397.41,90684,326.20,12,0.04,0,0.00
30,24,265,11.04,91,3.79,9834,409.75,3838,159.92,80,3.33,0,0.00
31,171,2288,13.38,287,1.68,65044,380.37,53798,314.61,214,1.25,0,0.00
32,36,289,8.03,71,1.97,21370,593.61,5236,145.44,286,7.94,0,0.00
33,140,2163,15.45,924,6.60,78573,561.24,43533,310.95,204,1.46,0,0.00
34,26,372,14.31,107,4.12,13918,535.31,8039,309.19,154,5.92,0,0.00
35,49,609,12.43,175,3.57,16216,330.94,17574,358.65,425,8.67,0,0.00
36,23,254,11.04,60,2.61,13829,601.26,5372,233.57,77,3.35,0,0.00
37,122,2731,22.39,1747,14.32,65627,537.93,36722,301.00,235,1.93,0,0.00
38,12,181,15.08,12,1.00,10185,848.75,3832,319.33,82,6.83,0,0.00
39,59,670,11.36,335,5.68,38506,652.64,14070,238.47,246,4.17,0,0.00
40,56,490,8.75,56,1.00,39590,706.96,8468,151.21,224,4.00,0,0.00
41,71,859,12.10,309,4.35,65199,918.30,19260,271.27,492,6.93,0,0.00
42,528,877,1.66,1039,1.97,98650,186.84,12392,23.47,120,0.23,0,0.00
43,317,4406,13.90,1959,6.18,284740,898.23,62587,197.44,143,0.45,0,0.00
44,137,1588,11.59,739,5.39,122648,895.24,15027,109.69,1422,10.38,0,0.00
45,263,2856,10.86,866,3.29,230941,878.10,49402,187.84,3057,11.62,0,0.00
46,58,667,11.50,118,2.03,76404,1317.31,16893,291.26,207,3.57,0,0.00
47,228,4120,18.07,1642,7.20,246259,1080.08,82399,361.40,841,3.69,0,0.00
48,110,1202,10.93,400,3.64,170413,1549.21,15044,136.76,680,6.18,0,0.00
49,42,777,18.50,245,5.83,28471,677.88,28671,682.64,460,10.95,0,0.00
50,35,1071,30.60,721,20.60,19481,556.60,12481,356.60,0,0.00,0,0.00
51,40,764,19.10,318,7.95,82766,2069.15,16630,415.75,186,4.65,0,0.00
52,42,728,17.33,280,6.67,29612,705.05,25472,606.48,138,3.29,0,0.00
53,37,866,23.41,380,10.27,45793,1237.65,25248,682.38,0,0.00,0,0.00
54,11,199,18.09,53,4.82,21753,1977.55,5416,492.36,107,9.73,0,0.00
55,39,647,16.59,141,3.62,60225,1544.23,10197,261.46,0,0.00,0,0.00
56,28,1160,41.43,1028,36.71,38974,1391.93,2516,89.86,50,1.79,0,0.00
57,84,2478,29.50,1918,22.83,59192,704.67,12712,151.33,0,0.00,0,0.00
58,29,326,11.24,45,1.55,54124,1866.34,9613,331.48,44,1.52,0,0.00
59,15,152,10.13,22,1.47,18551,1236.73,3101,206.73,518,34.53,0,0.00
60,98,273,2.79,98,1.00,84049,857.64,16562,169.00,182,1.86,0,0.00
61,21,876,41.71,867,41.29,5730,272.86,697,33.19,0,0.00,0,0.00
62,7,42,6.00,14,2.00,4739,677.00,406,58.00,0,0.00,0,0.00
63,181,1939,10.71,856,4.73,158934,878.09,45937,253.80,43,0.24,0,0.00
65,28,140,5.00,70,2.50,14973,534.75,2646,94.50,742,26.50,0,0.00
66,7,56,8.00,21,3.00,14077,2011.00,1190,170.00,0,0.00,0,0.00
67,37,732,19.78,242,6.54,49278,1331.84,21190,572.70,0,0.00,0,0.00
68,14,126,9.00,21,1.50,14077,1005.50,2583,184.50,0,0.00,0,0.00
69,39,972,24.92,860,22.05,27370,701.79,3154,80.87,0,0.00,0,0.00
70,14,840,60.00,196,14.00,49833,3559.50,9653,689.50,0,0.00,0,0.00
71,4,64,16.00,4,1.00,15961,3990.25,3432,858.00,109,27.25,0,0.00
72,14,112,8.00,14,1.00,14672,1048.00,3122,223.00,0,0.00,0,0.00
73,196,4424,22.57,1666,8.50,291799,1488.77,122395,624.46,578,2.95,0,0.00
74,7,14,2.00,7,1.00,2103,300.43,77,11.00,65,9.29,0,0.00
75,42,1540,36.67,98,2.33,96782,2304.33,90594,2157.00,0,0.00,0,0.00
76,7,98,14.00,7,1.00,24192,3456.00,2520,360.00,0,0.00,0,0.00
77,49,2366,48.29,1169,23.86,88151,1799.00,174106,3553.18,556,11.35,0,0.00
78,1,34,34.00,9,9.00,2362,2362.00,1508,1508.00,0,0.00,0,0.00
81,7,175,25.00,7,1.00,4410,630.00,9240,1320.00,525,75.00,0,0.00
83,70,1820,26.00,700,10.00,119210,1703.00,62370,891.00,0,0.00,0,0.00
84,42,42,1.00,42,1.00,26502,631.00,2100,50.00,0,0.00,0,0.00
85,11,56,5.09,23,2.09,9405,855.00,1500,136.36,574,52.18,0,0.00
86,7,280,40.00,7,1.00,19637,2805.29,4879,697.00,256,36.57,0,0.00
87,16,178,11.12,62,3.88,30759,1922.44,7338,458.62,0,0.00,0,0.00
88,53,39,0.74,39,0.74,29195,550.85,2106,39.74,0,0.00,0,0.00
89,14,616,44.00,14,1.00,7980,570.00,52374,3741.00,0,0.00,0,0.00
90,7,210,30.00,14,2.00,10990,1570.00,26117,3731.00,581,83.00,0,0.00
91,21,1421,67.67,700,33.33,44373,2113.00,127624,6077.33,0,0.00,0,0.00
93,49,1358,27.71,504,10.29,105931,2161.86,47250,964.29,966,19.71,0,0.00
95,1,42,42.00,12,12.00,3258,3258.00,234,234.00,0,0.00,0,0.00
96,351,2564,7.30,1300,3.70,593898,1692.02,174462,497.04,2164,6.17,0,0.00
97,29,899,31.00,319,11.00,57768,1992.00,35496,1224.00,0,0.00,0,0.00
98,17,163,9.59,17,1.00,45533,2678.41,4291,252.41,980,57.65,0,0.00
99,6,444,74.00,75,12.50,39315,6552.50,8202,1367.00,0,0.00,0,0.00
100,7,126,18.00,7,1.00,34699,4957.00,4473,639.00,0,0.00,0,0.00
101,20,706,35.30,26,1.30,16962,848.10,68664,3433.20,0,0.00,0,0.00
103,134,2850,21.27,1388,10.36,231038,1724.16,221135,1650.26,77,0.57,0,0.00
107,35,952,27.20,343,9.80,61761,1764.60,41860,1196.00,728,20.80,0,0.00
109,7,126,18.00,14,2.00,15708,2244.00,4683,669.00,441,63.00,0,0.00
111,1,1,1.00,8,8.00,4496,4496.00,450,450.00,0,0.00,0,0.00
113,365,12068,33.06,3277,8.98,1439399,3943.56,399959,1095.78,1349,3.70,0,0.00
114,7,56,8.00,14,2.00,1323,189.00,147,21.00,0,0.00,0,0.00
115,45,3192,70.93,843,18.73,57675,1281.67,369684,8215.20,336,7.47,0,0.00
116,4,80,20.00,32,8.00,22490,5622.50,2210,552.50,0,0.00,0,0.00
117,84,5313,63.25,2296,27.33,240162,2859.07,493346,5873.17,70,0.83,0,0.00
119,3,0,0.00,3,1.00,9,3.00,0,0.00,348,116.00,0,0.00
120,14,14,1.00,42,3.00,28210,2015.00,3458,247.00,0,0.00,0,0.00
121,1,1,1.00,9,9.00,5206,5206.00,566,566.00,0,0.00,0,0.00
123,60,2458,40.97,610,10.17,124304,2071.73,185458,3090.97,0,0.00,0,0.00
124,7,154,22.00,7,1.00,45206,6458.00,7105,1015.00,0,0.00,0,0.00
125,21,1736,82.67,889,42.33,40599,1933.29,228900,10900.00,540,25.71,0,0.00
127,28,828,29.57,210,7.50,78075,2788.39,30939,1104.96,1729,61.75,0,0.00
129,7,0,0.00,7,1.00,175,25.00,0,0.00,728,104.00,0,0.00
130,14,161,11.50,56,4.00,55276,3948.29,6667,476.21,31,2.21,0,0.00
131,8,92,11.50,17,2.12,48587,6073.38,3558,444.75,728,91.00,0,0.00
132,1,58,58.00,15,15.00,4066,4066.00,4529,4529.00,0,0.00,0,0.00
133,28,1148,41.00,420,15.00,77504,2768.00,65128,2326.00,0,0.00,0,0.00
136,7,455,65.00,7,1.00,21124,3017.71,4800,685.71,580,82.86,0,0.00
137,50,2150,43.00,750,15.00,142200,2844.00,123500,2470.00,0,0.00,0,0.00
141,3,186,62.00,48,16.00,13050,4350.00,15570,5190.00,0,0.00,0,0.00
143,16,666,41.62,236,14.75,51542,3221.38,39876,2492.25,0,0.00,0,0.00
144,7,49,7.00,14,2.00,25445,3635.00,1862,266.00,602,86.00,0,0.00
145,7,0,0.00,7,1.00,161,23.00,0,0.00,854,122.00,0,0.00
147,78,3266,41.87,1143,14.65,218076,2795.85,202279,2593.32,0,0.00,0,0.00
153,28,882,31.50,252,9.00,148078,5288.50,64652,2309.00,0,0.00,0,0.00
157,70,3430,49.00,1190,17.00,228683,3266.90,223083,3186.90,168,2.40,0,0.00
160,5,145,29.00,40,8.00,27720,5544.00,5810,1162.00,0,0.00,0,0.00
163,14,700,50.00,252,18.00,47698,3407.00,49154,3511.00,0,0.00,0,0.00
165,14,0,0.00,14,1.00,1316,94.00,0,0.00,994,71.00,0,0.00
167,7,42,6.00,7,1.00,31601,4514.43,3396,485.14,283,40.43,0,0.00
171,7,168,24.00,7,1.00,26897,3842.43,24434,3490.57,515,73.57,0,0.00
172,7,210,30.00,7,1.00,63343,9049.00,9828,1404.00,647,92.43,0,0.00
173,7,35,5.00,21,3.00,54271,7753.00,2002,286.00,917,131.00,0,0.00
175,7,210,30.00,42,6.00,36155,5165.00,7371,1053.00,651,93.00,0,0.00
