tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,13313,22031,1.65,23744,1.78,43184,3.24,0,0.00,0,0.00,19,0.00
2,173,364,2.10,351,2.03,943,5.45,70,0.40,1,0.01,0,0.00
3,12998,18613,1.43,16408,1.26,156943,12.07,3662,0.28,7,0.00,34,0.00
4,221,637,2.88,390,1.76,4392,19.87,23,0.10,0,0.00,6,0.03
5,1178,2504,2.13,2272,1.93,37772,32.06,3918,3.33,81,0.07,0,0.00
6,70,231,3.30,202,2.89,2052,29.31,205,2.93,2,0.03,0,0.00
7,413,2492,6.03,897,2.17,22294,53.98,6851,16.59,38,0.09,0,0.00
8,60,256,4.27,237,3.95,2913,48.55,132,2.20,0,0.00,4,0.07
9,309,1269,4.11,646,2.09,18317,59.28,7350,23.79,32,0.10,0,0.00
10,44,217,4.93,165,3.75,2849,64.75,365,8.30,7,0.16,10,0.23
11,230,603,2.62,835,3.63,28596,124.33,8184,35.58,51,0.22,0,0.00
12,40,334,8.35,261,6.53,2526,63.15,699,17.48,0,0.00,0,0.00
13,56,364,6.50,213,3.80,6924,123.64,1625,29.02,41,0.73,0,0.00
14,23,235,10.22,236,10.26,1912,83.13,22,0.96,13,0.57,1,0.04
15,60,546,9.10,341,5.68,4743,79.05,2730,45.50,28,0.47,0,0.00
16,37,336,9.08,321,8.68,5232,141.41,192,5.19,0,0.00,1,0.03
17,98,438,4.47,233,2.38,8939,91.21,3182,32.47,810,8.27,57,0.58
18,8,44,5.50,30,3.75,2090,261.25,160,20.00,17,2.12,1,0.12
19,72,512,7.11,249,3.46,17542,243.64,5405,75.07,26,0.36,5,0.07
20,8,55,6.88,38,4.75,1311,163.88,172,21.50,12,1.50,4,0.50
21,21,248,11.81,114,5.43,4176,198.86,2808,133.71,7,0.33,0,0.00
22,12,39,3.25,39,3.25,2216,184.67,182,15.17,3,0.25,1,0.08
23,69,1151,16.68,873,12.65,15911,230.59,5464,79.19,0,0.00,0,0.00
24,34,184,5.41,79,2.32,14643,430.68,2193,64.50,0,0.00,0,0.00
25,24,335,13.96,151,6.29,7915,329.79,4894,203.92,32,1.33,2,0.08
26,12,92,7.67,25,2.08,10780,898.33,1022,85.17,0,0.00,0,0.00
27,59,570,9.66,239,4.05,27126,459.76,8925,151.27,28,0.47,0,0.00
28,3,31,10.33,13,4.33,1244,414.67,636,212.00,25,8.33,0,0.00
29,43,689,16.02,132,3.07,55332,1286.79,14198,330.19,10,0.23,0,0.00
30,5,29,5.80,12,2.40,3931,786.20,453,90.60,0,0.00,6,1.20
31,22,289,13.14,37,1.68,8443,383.77,6362,289.18,70,3.18,0,0.00
32,12,308,25.67,11,0.92,149873,12489.42,27367,2280.58,239,19.92,8,0.67
33,20,309,15.45,132,6.60,11169,558.45,5362,268.10,82,4.10,0,0.00
34,3,41,13.67,11,3.67,1354,451.33,490,163.33,32,10.67,0,0.00
35,7,87,12.43,25,3.57,2294,327.71,2655,379.29,86,12.29,3,0.43
36,5,102,20.40,80,16.00,1667,333.40,624,124.80,41,8.20,0,0.00
37,13,282,21.69,164,12.62,7502,577.08,4928,379.08,16,1.23,0,0.00
38,1,17,17.00,1,1.00,404,404.00,544,544.00,0,0.00,0,0.00
39,7,80,11.43,35,5.00,4732,676.00,1667,238.14,35,5.00,1,0.14
40,8,70,8.75,8,1.00,5631,703.88,1073,134.12,31,3.88,0,0.00
41,7,129,18.43,53,7.57,6508,929.71,2496,356.57,0,0.00,0,0.00
42,76,127,1.67,149,1.96,14012,184.37,1747,22.99,12,0.16,4,0.05
43,44,624,14.18,264,6.00,37628,855.18,10023,227.80,37,0.84,0,0.00
44,4,110,27.50,90,22.50,1714,428.50,828,207.00,0,0.00,0,0.00
45,14,264,18.86,131,9.36,11570,826.43,6667,476.21,104,7.43,3,0.21
46,3,36,12.00,8,2.67,1382,460.67,790,263.33,12,4.00,3,1.00
47,27,428,15.85,170,6.30,25675,950.93,5990,221.85,80,2.96,0,0.00
48,4,71,17.75,8,2.00,2824,706.00,778,194.50,74,18.50,2,0.50
49,9,148,16.44,49,5.44,7764,862.67,4558,506.44,98,10.89,3,0.33
50,3,53,17.67,3,1.00,2783,927.67,1783,594.33,0,0.00,0,0.00
51,5,190,38.00,134,26.80,6277,1255.40,2672,534.40,9,1.80,0,0.00
52,6,104,17.33,40,6.67,4242,707.00,3888,648.00,8,1.33,4,0.67
53,5,118,23.60,54,10.80,5621,1124.20,3426,685.20,0,0.00,0,0.00
54,7,17,2.43,7,1.00,18421,2631.57,12581,1797.29,225,32.14,0,0.00
55,3,53,17.67,5,1.67,5195,1731.67,1218,406.00,0,0.00,0,0.00
56,2,112,56.00,112,56.00,0,0.00,0,0.00,0,0.00,0,0.00
57,14,388,27.71,288,20.57,10948,782.00,1767,126.21,31,2.21,2,0.14
58,2,8,4.00,4,2.00,974,487.00,62,31.00,0,0.00,2,1.00
59,2,19,9.50,3,1.50,2256,1128.00,360,180.00,53,26.50,0,0.00
60,14,39,2.79,14,1.00,12024,858.86,2366,169.00,10,0.71,1,0.07
62,3,130,43.33,126,42.00,677,225.67,58,19.33,0,0.00,1,0.33
63,14,248,17.71,100,7.14,16328,1166.29,6134,438.14,0,0.00,2,0.14
65,6,52,8.67,24,4.00,4599,766.50,468,78.00,106,17.67,2,0.33
66,1,8,8.00,3,3.00,2011,2011.00,170,170.00,0,0.00,0,0.00
67,3,66,22.00,18,6.00,3844,1281.33,2520,840.00,58,19.33,0,0.00
68,2,18,9.00,3,1.50,2011,1005.50,369,184.50,0,0.00,0,0.00
69,4,106,26.50,96,24.00,2356,589.00,146,36.50,0,0.00,2,0.50
