tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,137174,232031,1.69,248062,1.81,428520,3.12,0,0.00,0,0.00,205,0.00
2,1755,3817,2.17,3565,2.03,10629,6.06,711,0.41,10,0.01,0,0.00
3,130601,187824,1.44,165133,1.26,1578068,12.08,37562,0.29,116,0.00,344,0.00
4,2303,6767,2.94,4180,1.82,46121,20.03,242,0.11,3,0.00,60,0.03
5,12621,27199,2.16,24174,1.92,404066,32.02,78781,6.24,927,0.07,0,0.00
6,746,2577,3.45,2149,2.88,21854,29.29,2119,2.84,25,0.03,0,0.00
7,4222,25001,5.92,9070,2.15,235661,55.82,69911,16.56,382,0.09,0,0.00
8,638,2994,4.69,2712,4.25,31387,49.20,1392,2.18,5,0.01,40,0.06
9,3192,13067,4.09,6660,2.09,190654,59.73,75439,23.63,384,0.12,0,0.00
10,494,2464,4.99,1919,3.88,31195,63.15,4001,8.10,70,0.14,102,0.21
11,2325,6273,2.70,8463,3.64,289748,124.62,75529,32.49,490,0.21,0,0.00
12,412,3277,7.95,2542,6.17,28370,68.86,6991,16.97,12,0.03,0,0.00
13,602,3997,6.64,2294,3.81,71700,119.10,19090,31.71,250,0.42,0,0.00
14,219,2178,9.95,2123,9.69,20938,95.61,304,1.39,190,0.87,10,0.05
15,568,5284,9.30,3396,5.98,45083,79.37,25174,44.32,57,0.10,16,0.03
16,358,3295,9.20,3005,8.39,53465,149.34,2259,6.31,280,0.78,10,0.03
17,997,4480,4.49,2364,2.37,89719,89.99,33369,33.47,8034,8.06,592,0.59
18,89,984,11.06,845,9.49,20295,228.03,1612,18.11,170,1.91,10,0.11
19,725,5221,7.20,2527,3.49,176978,244.11,53959,74.43,267,0.37,50,0.07
20,93,619,6.66,447,4.81,15001,161.30,1999,21.49,12,0.13,40,0.43
21,234,2712,11.59,1174,5.02,46166,197.29,31682,135.39,86,0.37,0,0.00
22,132,416,3.15,412,3.12,24542,185.92,1878,14.23,30,0.23,58,0.44
23,688,11454,16.65,8744,12.71,161161,234.25,52617,76.48,256,0.37,0,0.00
24,349,1910,5.47,809,2.32,151296,433.51,22541,64.59,0,0.00,0,0.00
25,273,3491,12.79,1587,5.81,81236,297.57,50944,186.61,840,3.08,204,0.75
26,120,920,7.67,250,2.08,107608,896.73,9980,83.17,192,1.60,0,0.00
27,592,5723,9.67,2395,4.05,271968,459.41,89203,150.68,258,0.44,0,0.00
28,31,318,10.26,134,4.32,12997,419.26,5111,164.87,102,3.29,0,0.00
29,411,6616,16.10,1304,3.17,548782,1335.24,132038,321.26,512,1.25,0,0.00
30,53,306,5.77,125,2.36,52487,990.32,4188,79.02,350,6.60,62,1.17
31,210,2760,13.14,427,2.03,87574,417.02,63272,301.30,128,0.61,0,0.00
32,110,3000,27.27,100,0.91,1451750,13197.73,249010,2263.73,1500,13.64,70,0.64
33,211,3120,14.79,1350,6.40,124211,588.68,60530,286.87,448,2.12,7,0.03
34,40,490,12.25,150,3.75,19926,498.15,7734,193.35,128,3.20,0,0.00
35,70,870,12.43,250,3.57,22988,328.40,23092,329.89,792,11.31,30,0.43
36,51,1025,20.10,801,15.71,17116,335.61,4766,93.45,342,6.71,2,0.04
37,131,2833,21.63,1645,12.56,75822,578.79,50333,384.22,92,0.70,0,0.00
38,10,170,17.00,10,1.00,4040,404.00,5440,544.00,0,0.00,0,0.00
39,80,885,11.06,388,4.85,56461,705.76,19811,247.64,282,3.52,10,0.12
40,81,709,8.75,81,1.00,57254,706.84,11740,144.94,167,2.06,2,0.02
41,71,1320,18.59,545,7.68,65912,928.34,25547,359.82,76,1.07,0,0.00
42,758,1246,1.64,1488,1.96,140893,185.87,17141,22.61,183,0.24,20,0.03
43,465,6609,14.21,2787,5.99,399247,858.60,108876,234.14,94,0.20,0,0.00
44,40,1100,27.50,900,22.50,17064,426.60,8185,204.62,76,1.90,0,0.00
45,144,2668,18.53,1314,9.12,119226,827.96,72655,504.55,1026,7.12,30,0.21
46,32,386,12.06,87,2.72,15469,483.41,11115,347.34,20,0.62,32,1.00
47,271,4296,15.85,1706,6.30,257497,950.17,55997,206.63,1441,5.32,0,0.00
48,44,706,16.05,84,1.91,29515,670.80,7425,168.75,622,14.14,44,1.00
49,90,1480,16.44,490,5.44,77946,866.07,40381,448.68,942,10.47,30,0.33
50,31,542,17.48,31,1.00,28373,915.26,15093,486.87,360,11.61,2,0.06
51,50,1900,38.00,1340,26.80,62818,1256.36,30560,611.20,42,0.84,0,0.00
52,62,1159,18.69,437,7.05,44809,722.73,40842,658.74,32,0.52,40,0.65
53,50,1180,23.60,540,10.80,54526,1090.52,32780,655.60,581,11.62,0,0.00
54,74,220,2.97,78,1.05,173756,2348.05,117272,1584.76,2250,30.41,4,0.05
55,31,542,17.48,55,1.77,53125,1713.71,12494,403.03,0,0.00,0,0.00
56,21,1135,54.05,1121,53.38,1128,53.71,229,10.90,0,0.00,2,0.10
57,141,3882,27.53,2883,20.45,111119,788.08,18263,129.52,160,1.13,20,0.14
58,27,94,3.48,47,1.74,13163,487.52,669,24.78,0,0.00,34,1.26
59,20,190,9.50,30,1.50,22400,1120.00,3600,180.00,690,34.50,0,0.00
60,145,421,2.90,145,1.00,125128,862.95,24674,170.17,266,1.83,12,0.08
61,2,12,6.00,4,2.00,3218,1609.00,960,480.00,0,0.00,0,0.00
62,30,1300,43.33,1260,42.00,6770,225.67,580,19.33,0,0.00,10,0.33
63,140,2480,17.71,1000,7.14,163280,1166.29,61340,438.14,0,0.00,20,0.14
64,2,34,17.00,42,21.00,5430,2715.00,1376,688.00,0,0.00,0,0.00
65,60,520,8.67,240,4.00,45990,766.50,4680,78.00,1060,17.67,20,0.33
66,10,80,8.00,30,3.00,20110,2011.00,1700,170.00,0,0.00,0,0.00
