tree_size,count,reads,avg_reads,writes,avg_writes,visited,avg_visited,skipped,avg_skipped,gc_pruned,avg_gc_pruned,exposures,avg_exposures
1,989215,1849788,1.87,1485249,1.50,1192888,1.21,0,0.00,0,0.00,403,0.00
2,13477,42837,3.18,24474,1.82,45915,3.41,2321,0.17,28,0.00,0,0.00
3,495352,721322,1.46,612694,1.24,6082250,12.28,170855,0.34,7578,0.02,1045,0.00
4,7521,20601,2.74,13171,1.75,145273,19.32,956,0.13,2,0.00,420,0.06
5,140565,255029,1.81,230941,1.64,4454540,31.69,344836,2.45,2154,0.02,0,0.00
6,12050,30938,2.57,20513,1.70,471429,39.12,20057,1.66,102,0.01,0,0.00
7,40692,136608,3.36,73016,1.79,2189817,53.81,322120,7.92,904,0.02,0,0.00
8,7648,21885,2.86,13938,1.82,436312,57.05,4143,0.54,5,0.00,112,0.01
9,15181,63110,4.16,32489,2.14,866433,57.07,385874,25.42,1450,0.10,0,0.00
10,3806,11384,2.99,8254,2.17,283589,74.51,9056,2.38,73,0.02,208,0.05
11,6894,20012,2.90,24909,3.61,840407,121.90,223534,32.42,1492,0.22,0,0.00
12,1509,12123,8.03,8319,5.51,103325,68.47,16089,10.66,0,0.00,0,0.00
13,7918,37662,4.76,19832,2.50,1164396,147.06,126918,16.03,906,0.11,0,0.00
14,2620,11535,4.40,8475,3.23,274773,104.88,23170,8.84,1499,0.57,724,0.28
15,5175,25532,4.93,18614,3.60,735685,142.16,137219,26.52,264,0.05,0,0.00
16,1359,12256,9.02,9354,6.88,173418,127.61,7311,5.38,457,0.34,826,0.61
17,2833,14971,5.28,7403,2.61,233535,82.43,93628,33.05,22418,7.91,1596,0.56
18,235,3542,15.07,1532,6.52,45836,195.05,4946,21.05,178,0.76,10,0.04
19,48150,262487,5.45,132617,2.75,13496591,280.30,2163950,44.94,13141,0.27,140,0.00
20,329,3799,11.55,1907,5.80,45982,139.76,5600,17.02,62,0.19,112,0.34
21,743,10572,14.23,4494,6.05,128190,172.53,92834,124.94,82,0.11,0,0.00
22,501,3448,6.88,1936,3.86,80156,159.99,5402,10.78,46,0.09,28,0.06
23,2218,35784,16.13,25696,11.59,514350,231.90,164495,74.16,729,0.33,0,0.00
24,1093,7127,6.52,2903,2.66,446950,408.92,68103,62.31,17,0.02,0,0.00
25,795,12387,15.58,5018,6.31,168944,212.51,149087,187.53,1584,1.99,56,0.07
26,359,4427,12.33,1372,3.82,305703,851.54,31725,88.37,576,1.60,1,0.00
27,1584,16817,10.62,6936,4.38,715915,451.97,235251,148.52,1059,0.67,0,0.00
28,93,2569,27.62,931,10.01,27032,290.67,14382,154.65,499,5.37,0,0.00
29,1287,20814,16.17,4767,3.70,1583457,1230.35,377372,293.22,2301,1.79,0,0.00
30,145,2181,15.04,805,5.55,102834,709.20,11831,81.59,741,5.11,170,1.17
31,593,8217,13.86,1442,2.43,240311,405.25,174117,293.62,1064,1.79,0,0.00
32,404,11097,27.47,1311,3.25,4326244,10708.52,783680,1939.80,5917,14.65,196,0.49
33,739,12988,17.58,5162,6.99,355182,480.63,186052,251.76,1712,2.32,0,0.00
34,110,2008,18.25,595,5.41,49828,452.98,19193,174.48,468,4.25,2,0.02
35,212,3007,14.18,896,4.23,77560,365.85,69167,326.26,1719,8.11,74,0.35
36,164,3651,22.26,2541,15.49,63775,388.87,18776,114.49,999,6.09,8,0.05
